Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143),[O]OC(F)F(128),CO2(13),F(37),H2(7),CF2O(48),O(6),[O]C(F)F(146),O2(176),CHFO(46),FC(F)C(F)F(130),CO(12),CHF2-CF2(68),CF2(42),OO[C](F)F(619),FC1(F)OO1(411),CF2O2(152),CHF3(41),O[C](F)F(237)
3.192900330017588e-20,0.13193747856535154,3.76,0.0,0.7112910813939264,0.9999999999997395,1.9523032958097023e-45,7.653150928302038e-33,2.3007341586416852e-18,2.7819055618875036e-17,2.3007341585103095e-18,2.78190556188687e-17,4.687483691257271e-35,6.431224876719686e-34,1.3775290682553774e-28,6.32438679516627e-30,4.266951968077042e-32,3.0794934218030754e-42,1.951390564660191e-35,1.0191601065476742e-19,7.70145626064299e-33,4.0128261576222535e-25,2.4656542840730152e-33,2.604415665965087e-13,6.826926583577023e-33,2.1190066640911324e-38,3.771345501725275e-47,1.0765185078035902e-43,1.0191601065476734e-19,1.2496852325577163e-43,1.374600686861476e-36,2.3398479745312546e-35,1.296807622521867e-43,1.415262318217241e-49
6.388574682910952e-20,0.13193747856535154,3.76,0.0,0.7112910813939264,0.9999999999994789,1.5630297207576228e-44,3.0632548402786694e-32,4.603467217507176e-18,5.566228070396977e-17,4.603467217244414e-18,5.566228070394443e-17,1.8762150710389276e-34,2.5741659759564634e-33,2.8828649679443427e-28,2.531402900829835e-29,1.707892786995349e-31,2.4654672012764194e-41,7.810648962010417e-35,2.0392056693130266e-19,3.082589561829746e-32,8.029138884769385e-25,9.869042815319804e-33,5.211094072437163e-13,2.732549781843807e-32,8.481548947400308e-38,3.019369540898393e-46,4.3088799354789084e-43,2.039205669313023e-19,1.0005080115625374e-42,5.5019850793696086e-36,9.365489715769729e-35,5.1906105870851105e-43,1.1330703944650507e-48
1.2779923388697679e-19,0.13193747856535154,3.76,0.0,0.7112910813939263,0.9999999999989575,1.2508988134492212e-43,1.2257009437442766e-31,9.208933335235438e-18,1.1134873087415923e-16,9.208933334710218e-18,1.1134873087405782e-16,7.507304175707495e-34,1.0300016907845542e-32,6.273531780425883e-28,1.012890890827371e-28,6.833795781270012e-31,1.9731230668320222e-40,3.125277955499114e-34,4.0792967948437313e-19,1.233437350734206e-31,1.6061764900642377e-24,3.9489026272982474e-32,1.042445088188088e-12,1.0933758438284299e-31,3.393724352107379e-37,2.4164132807597624e-45,1.724113564755851e-42,4.0792967948437164e-19,8.007104253736079e-42,2.20151071381556e-35,3.7474157961067826e-34,2.0769207583465277e-42,9.068006784973132e-48
2.5562620800271134e-19,0.13193747856535157,3.76,0.0,0.7112910813939262,0.9999999999979148,1.0009091063485721e-42,4.903601905198947e-31,1.8419865570681086e-17,2.227216312145381e-16,1.8419865569632203e-17,2.227216312141324e-16,3.003410523173182e-33,4.1206774580102034e-32,1.4574845457795015e-27,4.052223118233577e-28,2.7339633024962366e-30,1.578798239841463e-39,1.250315477450132e-33,8.15947904590514e-19,4.934552570047355e-31,3.2127019178703286e-24,1.5798181870667582e-31,2.085116448676656e-12,4.374215338899014e-31,1.3577107270904326e-36,1.933497762268386e-44,6.897579598480505e-42,8.15947904590508e-19,6.406899022540952e-41,8.807476515553401e-35,1.4992103341213472e-33,8.309038764895983e-42,7.25578317047547e-47
5.112801562341804e-19,0.13193747856535157,3.76,0.0,0.7112910813939259,0.9999999999958294,8.008033158247733e-42,1.9616004005115573e-30,3.684173004152888e-17,4.454674318952959e-16,3.684173003943769e-17,4.454674318936729e-16,1.2014619907707748e-32,1.6484051305611217e-31,3.725739302209043e-27,1.6210211676639313e-27,1.0936743252928336e-29,1.2631585192282e-38,5.001675266288155e-33,1.6319843548027956e-18,1.973981673446135e-30,6.425753672008482e-24,6.319787051490683e-31,4.17045916405309e-12,1.749828538413153e-30,5.431284913466885e-36,1.5469450805645248e-43,2.759258522010196e-41,1.6319843548027711e-18,5.126004390026641e-40,3.5232774322733694e-34,5.997329394296407e-33,3.3238886650065505e-41,5.805177686515093e-46
1.0225880526971187e-18,0.13193747856535157,3.76,0.0,0.7112910813939255,0.9999999999916587,6.406730672040375e-41,7.846720898433709e-30,7.368545898305051e-17,8.90959033256811e-16,7.368545897889473e-17,8.909590332503189e-16,4.806043564733425e-32,6.593888817147911e-31,1.0694216898837338e-26,6.48434852072128e-27,4.3748753157658434e-29,1.0105747888766141e-37,2.0007565703115808e-32,3.2640572552273578e-18,7.896248000599976e-30,1.2851860774388681e-23,2.5280176803461462e-30,8.341144572403152e-12,6.99959896946531e-30,2.172602370462533e-35,1.2376148158835603e-42,1.10375002591531e-40,3.2640572552272596e-18,4.1009957867138376e-39,1.4093683990216888e-33,2.3990293661140567e-32,1.3296116945252325e-40,4.6443626118563046e-45
2.045203845622995e-18,0.1319374785653516,3.76,0.0,0.7112910813939245,0.9999999999833172,5.1255062090018106e-40,3.13875222631206e-29,1.4737291686539777e-16,1.7819422359798393e-15,1.4737291685719305e-16,1.7819422359538704e-15,1.922456572267252e-31,2.637609179304146e-30,3.4359044426741524e-26,2.5937921791851765e-26,1.7499857295931303e-28,8.084790209950945e-37,8.003229528538753e-32,6.528203056076477e-18,3.1585634663639556e-29,2.57040893555647e-23,1.0112276408087629e-29,1.668251529949205e-11,2.799896551934516e-29,8.69058630240627e-35,9.901153538978721e-42,4.415103571391142e-40,6.528203056076085e-18,3.280870654129064e-38,5.6375889212338675e-33,9.59631263158382e-32,5.31857199536938e-40,3.715578262201885e-44
4.090435431474748e-18,0.13193747856535165,3.76,0.0,0.7112910813939226,0.9999999999666344,4.100453652309284e-39,1.2555136692456348e-28,2.947478326273085e-16,3.563908641425888e-15,2.947478326113266e-16,3.5639086413220135e-15,7.68990478529327e-31,1.0550543963133741e-29,1.2060018881770642e-25,1.0375274259026372e-25,7.000014123452476e-28,6.467908928300715e-36,3.2013567146047384e-31,1.3056494657774699e-17,1.2634382427782854e-28,5.14086040235797e-23,4.044951671774514e-29,3.3365256395224956e-11,1.119970013682305e-28,3.4762698911940602e-34,7.921016837053095e-41,1.7660703077890255e-39,1.3056494657773127e-17,2.624721514123041e-37,2.255059010431597e-32,3.8385640438953634e-31,2.1274640484373107e-39,2.9724978558058116e-43
8.180898603178254e-18,0.13193747856535173,3.76,0.0,0.7112910813939187,0.9999999999332686,3.28038242147701e-38,5.022080276293216e-28,5.894976641399945e-16,7.127841452317961e-15,5.894976641097416e-16,7.127841451902457e-15,3.0759777756559505e-30,4.220238986589966e-29,4.487284349127912e-25,4.150130811803944e-25,2.8000198887583963e-27,5.174357846565316e-35,1.2805750692613955e-30,2.6113077861171073e-17,5.0537787068410945e-28,1.0281786338226516e-22,1.6179888671204041e-28,6.673073715291131e-11,4.479902840466912e-28,1.3905150351998597e-33,6.336851072002969e-40,7.064404473994572e-39,2.6113077861164778e-17,2.0997798165693662e-36,9.020285939442045e-32,1.5354333818362699e-30,8.510008347758213e-39,2.378012345535062e-42
1.6361824946585267e-17,0.1319374785653519,3.76,0.0,0.711291081393911,0.9999999998665371,2.6243137777899525e-37,2.0088372637951906e-27,1.1789973271208254e-15,1.4255707074102003e-14,1.1789973270671626e-15,1.425570707243998e-14,1.2303944123563935e-29,1.6880998365588404e-28,1.7275687561358145e-24,1.660056546083506e-24,1.1200108020236043e-26,4.139498558197201e-34,5.1225202659341776e-30,5.2226244267963524e-17,2.0215166484120878e-27,2.0563730219028707e-22,6.471971678668096e-28,1.3346169293316653e-10,1.7919656931998725e-27,5.5620743354309786e-33,5.069495898215049e-39,2.825838825552241e-38,5.2226244267938366e-17,1.6798130697441975e-35,3.6081267662484297e-31,6.1417487838641226e-30,3.4040990926602337e-38,1.9024154406086427e-41
3.272367763339929e-17,0.13193747856535223,3.76,0.0,0.7112910813938955,0.999999999733074,2.0994542236497252e-36,8.035359628984802e-27,2.3579966529043234e-15,2.8511438317669663e-14,2.3579966528243708e-15,2.851143831102156e-14,4.921585291855036e-29,6.752407523258708e-28,6.775584712955133e-24,6.640234624778112e-24,4.480048890248663e-26,3.31160375787843e-33,2.0491762817696334e-29,1.0445257708154731e-16,8.086077073161687e-27,4.112798601691677e-22,2.5887917641711413e-27,2.6692358155321117e-10,7.167871885679284e-27,2.224832602826321e-32,4.0556027342163893e-38,1.1303928473099408e-37,1.0445257708144664e-16,1.3438272219775227e-34,1.4432551133218105e-30,2.456702347195403e-29,1.3617110461999042e-37,1.5219344818518726e-40
6.544738300702734e-17,0.13193747856535296,3.76,0.0,0.7112910813938645,0.999999999466148,1.6795647637599316e-35,3.2141461801479965e-26,4.715995303758661e-15,5.702290080480327e-14,4.715995303708248e-15,5.702290077821084e-14,1.9686364758160153e-28,2.7009643992436266e-27,2.6832957870021725e-23,2.65609553616967e-23,1.7920206838168794e-25,2.6492849691278335e-32,8.198034898777812e-29,2.0890524270871028e-16,3.234433043691573e-26,8.225796975801417e-22,1.0355172047399883e-26,5.338472670314687e-10,2.867150575923428e-26,8.899336386412076e-32,3.244484592655634e-37,4.5220213025916315e-37,2.0890524270830762e-16,1.0750222133134012e-33,5.773044696736735e-30,9.826813314825028e-29,5.44740507419362e-37,1.217548283130597e-39
1.3089479375428343e-16,0.13193747856535432,3.76,0.0,0.7112910813938026,0.9999999989322963,1.343652531783418e-34,1.28565910880806e-25,9.431992602616705e-15,1.1404582577906372e-13,9.431992602953852e-15,1.1404582567269392e-13,7.87455726610942e-28,1.0803858413132672e-26,1.067930690453458e-22,1.0624385502545823e-22,7.168084920990442e-25,2.1194287577049237e-31,3.2802746505455634e-28,4.178105739630179e-16,1.2937737551847732e-25,1.645238258229857e-21,4.142068861346943e-26,1.0676942709409087e-09,1.1468605939596126e-25,3.5597359398231342e-31,2.5955886346743634e-36,1.8091667270444278e-36,4.1781057396140735e-16,8.599535179134952e-33,2.3092350712172386e-29,3.9307247181324764e-28,2.179408670437613e-36,9.740386590081705e-39
1.9634220450153953e-16,0.1319374785653557,3.76,0.0,0.7112910813937406,0.9999999983984449,3.842007189307499e-34,2.732026196478723e-25,1.4147989898624123e-14,1.7106875075331731e-13,1.4147989899677301e-14,1.7106875052728148e-13,1.6733448766753738e-27,2.295819742773693e-26,2.2659854495870493e-22,2.25768212740316e-22,1.5232181744037564e-24,6.060242175150866e-31,6.972140642727624e-28,6.267159052173072e-16,2.749269672385677e-25,2.4679557047222417e-21,8.801895281214112e-26,1.6015409078035263e-09,2.4370789884605745e-25,7.564440007414157e-31,7.421761955555215e-36,3.8450831570629385e-36,6.267159052138849e-16,2.4588237988861573e-32,4.9071491582333945e-29,8.352788078633442e-28,4.631996402855039e-36,2.7851415158258453e-38
2.617896152487956e-16,0.1319374785653571,3.76,0.0,0.7112910813936787,0.9999999978645938,8.103907000690468e-34,4.660516030564796e-25,1.8863987191780915e-14,2.2809167572756416e-13,1.8863987193878606e-14,2.280916753419736e-13,2.8545316791065023e-27,3.9163979723718785e-26,3.862493854869434e-22,3.85134028367442e-22,2.598431109124228e-24,1.2782806561357136e-30,1.1896096860644469e-27,8.356212364715785e-16,4.689931138820542e-25,3.290732037072197e-21,1.5014995627640958e-25,2.135387177619574e-09,4.15737024033275e-25,1.29040460633586e-30,1.5654646254308223e-35,6.560264347818227e-36,8.356212364657403e-16,5.186168937167782e-32,8.371057531325128e-29,1.4248870193713358e-27,7.902893929475902e-36,5.874669358855312e-38
3.926844367433078e-16,0.13193747856535984,3.76,0.0,0.7112910813935548,0.9999999967968929,2.2134287741707298e-33,9.649008730323236e-25,2.8295981771404254e-14,3.421375256760419e-13,2.8295981776361894e-14,3.4213752487772553e-13,5.909952597681311e-27,8.108402831254418e-26,7.99065697365663e-22,7.973711216034781e-22,5.379721735264146e-24,3.491381101431583e-30,2.46378067622574e-27,1.2534318989800784e-15,9.709908168321592e-25,4.9364229033207485e-21,3.1086632530895237e-25,3.2030788558166238e-09,8.607307406595987e-25,2.671619228288308e-30,4.275769633439705e-35,1.3586045700729678e-35,1.2534318989679905e-15,1.4164113956129634e-31,1.7331343349990821e-28,2.9500462411311386e-27,1.6366741066667607e-35,1.6045540156891307e-37
5.2357925823782e-16,0.13193747856536261,3.76,0.0,0.7112910813934309,0.999999995729193,4.631234112104056e-33,1.641043996252436e-24,3.772797634054484e-14,4.561833756244946e-13,3.772797634957035e-14,4.561833742667676e-13,1.0051293132627374e-26,1.3790266453265823e-25,1.3584076249670968e-21,1.3561194640931837e-21,9.149497739349083e-24,7.305137333416347e-30,4.1916128560238844e-27,1.6712425614885121e-15,1.6514012647464995e-24,6.582330313993327e-21,5.28702046948033e-25,4.270769184254622e-09,1.4638775850804236e-24,4.543725142086825e-30,8.946340572064307e-35,2.3112835048598953e-35,1.6712425614679527e-15,2.9634352879163277e-31,2.9476288741426276e-28,5.01725371773708e-27,2.7843682553326197e-35,3.357262949297243e-37
6.544740797323322e-16,0.1319374785653654,3.76,0.0,0.711291081393307,0.9999999946614948,8.430985994165656e-33,2.507144919330685e-24,4.7159970898453915e-14,5.702292255729207e-13,4.715997091284151e-14,5.702292234986204e-13,1.535612285648137e-26,2.106840617218089e-25,2.0747412828694604e-21,2.071844144133657e-21,1.3978365178502138e-23,1.3298723619977244e-29,6.405975408642404e-27,2.089053223996875e-15,2.5229682804997096e-24,8.228469736648389e-21,8.077370190220964e-25,5.338458066523895e-09,2.2364742087634766e-24,6.941786163625179e-30,1.6286471469724117e-34,3.5321421608359053e-35,2.089053223965463e-15,5.394503764145851e-31,4.503344158199034e-28,7.665226366672366e-27,4.2551615508665443e-35,6.111767418811698e-37
9.162637227213565e-16,0.13193747856537089,3.76,0.0,0.7112910813930592,0.9999999925261026,2.2260297919465158e-32,4.821152887589052e-24,6.602395997987213e-14,7.983209254696905e-13,6.60239600089478e-14,7.983209214808847e-13,2.952935983347434e-26,4.0513774899800444e-25,3.98824509211689e-21,3.984082851813782e-21,2.687990005134466e-23,3.511255315150652e-29,1.2328002687145419e-26,2.924674549013385e-15,4.851579735592618e-24,1.1521459192225374e-20,1.5532485167066379e-24,7.47383140172778e-09,4.300660640815158e-24,1.334881198112108e-29,4.300108887052827e-34,6.796665308309562e-35,2.9246745489529755e-15,1.424079568765836e-30,8.659919390248771e-28,1.4739941951347882e-26,8.188113306415469e-35,1.613685722095568e-36
1.1780533657103808e-15,0.1319374785653764,3.76,0.0,0.7112910813928114,0.9999999903907163,4.61511867397462e-32,7.906681673433929e-24,8.488794901567339e-14,1.0264126253663517e-12,8.48879490646936e-14,1.0264126188247203e-12,4.84282017483729e-26,6.644244958059813e-25,6.539375515847071e-21,6.53388565427825e-21,4.408296596834937e-23,7.279711526666096e-29,2.0233104530256803e-26,3.760295874029613e-15,7.956580167493736e-24,1.4815390972939956e-20,2.5473217635147843e-24,9.609198863299425e-09,7.053072432040933e-24,2.1892022506173774e-29,8.915202534871631e-34,1.1153571753237819e-34,3.760295873930531e-15,2.9520453772189063e-30,1.4202481906561858e-27,2.4173440420259404e-26,1.343728743933615e-34,3.345572416427527e-36
1.7016326516884295e-15,0.13193747856538746,3.76,0.0,0.7112910813923158,0.9999999861199613,1.3867107867670351e-31,1.6391981388695228e-23,1.2261592695044494e-13,1.4825960251593477e-12,1.226159270551214e-13,1.4825960115973746e-12,1.0040090017392387e-25,1.377469268748817e-24,1.355424736287978e-20,1.3545914720865855e-20,9.139187550763934e-23,2.18734284361535e-28,4.201465699432896e-26,5.431538524061233e-15,1.6495423398244613e-23,2.1406081117447867e-20,5.2810459560670465e-24,1.3879916168105451e-08,1.4622281932797132e-23,4.5386104461254384e-29,2.6787606176000597e-33,2.31544091335716e-34,5.431538523855774e-15,8.867011277433534e-30,2.9445341122198043e-27,5.011575136412723e-26,2.789664061821381e-34,1.0052462466485614e-35
2.748791223644527e-15,0.13193747856540952,3.76,0.0,0.7112910813913246,0.9999999775785217,5.961926418373043e-31,4.261950886218831e-23,1.980718822726721e-13,2.394962824744035e-12,1.9807188255172915e-13,2.3949627894826757e-12,2.610471459240614e-25,3.5814342109091225e-24,3.523437505992849e-20,3.521960667797978e-20,2.3762038933959904e-22,9.404091413067986e-28,1.0961049168598063e-25,8.774023824121232e-15,4.288842419246271e-23,3.459876768211269e-20,1.373076410172994e-23,2.242128030545406e-08,3.801817997154849e-23,1.180047589526905e-28,1.1516854812150403e-32,6.037046376012012e-34,8.77402382358679e-15,3.809321813205386e-29,7.656415762521838e-27,1.303011496510855e-25,7.2742076302533016e-34,4.321862713007696e-35
4.843108367556722e-15,0.1319374785654537,3.76,0.0,0.7112910813893423,0.9999999604959243,3.357244470917596e-30,1.3210222758477466e-22,3.4898379072791135e-13,4.2196964239081905e-12,3.4898379160799885e-13,4.2196963146135e-12,8.091511328434573e-25,1.1100810551684227e-23,1.0919591214357683e-19,1.0916527132155052e-19,7.365183887299185e-22,5.295557043120636e-27,3.4212482123158423e-25,1.545899442422906e-14,1.3293551842096915e-22,6.102936579685739e-20,4.255903763626246e-23,3.950372669774843e-08,1.178396186659423e-22,3.6576356591434256e-28,6.485279663999812e-32,1.8819629957627303e-33,1.5458994422570944e-14,2.1416584638310967e-28,2.3735215583082405e-26,4.0387202797848693e-25,2.2680924952966793e-33,2.4336755156905015e-34
9.031742655381111e-15,0.131937478565542,3.76,0.0,0.7112910813853777,0.9999999263318573,2.229350069493811e-29,4.591802382697966e-22,6.508075988817809e-13,7.869163622215625e-12,6.508076019729989e-13,7.869163242316164e-12,2.8126837842589757e-24,3.858510281927104e-23,3.7952398708196555e-19,3.794495954062355e-19,2.5600766940502642e-21,3.5164448437296035e-26,1.2059545588788149e-24,2.8828935624402343e-14,4.620750825851257e-22,1.1407146384481806e-19,1.4792974684472692e-22,7.366749198824435e-08,4.096009382897473e-22,1.2713698415985538e-27,4.3064646359479005e-31,6.617025543994516e-33,2.882893561862776e-14,1.417555311669277e-27,8.252770827245828e-26,1.4037970333631093e-24,7.977960835597482e-33,1.616026702927197e-33
1.740901123102989e-14,0.13193747856571866,3.76,0.0,0.7112910813774483,0.9999998580082325,1.620676811022301e-28,1.705802691260118e-21,1.2544551801650496e-12,1.5168098018746974e-11,1.2544551917147527e-12,1.516809660748587e-11,1.04496820078518e-23,1.433339392601147e-22,1.409799756849749e-18,1.409589822448868e-18,9.510234102028565e-21,2.556322459008766e-25,4.604907948797733e-24,5.556881802462976e-14,1.7165445524028975e-21,2.208792831532893e-19,5.4951856257513795e-22,1.4199051287125835e-07,1.5215969948978844e-21,4.7229604930997725e-27,3.1306372283872397e-30,2.514373879065275e-32,5.556881800309543e-14,1.0238790849290024e-26,3.0677037566968254e-25,5.214645725690868e-24,3.0340383675787523e-32,1.1747561056142208e-32
3.4163548382327453e-14,0.13193747856607196,3.76,0.0,0.7112910813615897,0.9999997213790202,1.2351882002640513e-27,6.5690452218983156e-21,2.4617502026492986e-12,2.976596681147564e-11,2.461750247260442e-12,2.9765961376883545e-11,4.024849683638257e-23,5.519375566020539e-22,5.428828545799656e-18,5.42815522472169e-18,3.6622657062082204e-20,1.9482274274670853e-24,1.8696683491447044e-23,1.0904858282501117e-13,6.6103183658632575e-21,4.373895448366371e-19,2.1160124986745454e-21,2.786185180552618e-07,5.859481945951607e-21,1.8187847961916012e-26,2.385925241532031e-29,1.011626736014434e-31,1.0904858274144686e-13,7.703896021164145e-26,1.1828315397909418e-24,2.0079270317827453e-23,1.22276825652469e-31,8.952542881210934e-32
5.091808553362501e-14,0.13193747856642532,3.76,0.0,0.711291081345731,0.9999995847738535,3.8703320838022184e-27,1.4592457698636767e-20,3.669045038377507e-12,4.436383560375891e-11,3.669045137575498e-12,4.436382353169312e-11,8.942037770713526e-23,1.2259961168272134e-21,1.2059158871567463e-17,1.2057765583107163e-17,8.135115332051019e-20,6.104444785590606e-24,4.330829488834584e-23,1.6252834762582092e-13,1.4683968884746665e-20,6.57759474158428e-19,4.700165895514902e-21,4.1522247734669214e-07,1.3015889750117303e-20,4.040193043723731e-26,7.475898475539649e-29,2.3271174022826185e-31,1.6252834743901977e-13,2.3932224441832844e-25,2.6302275419993492e-24,4.4599738216749514e-23,2.8167769301653518e-31,2.8050193750677253e-31
