Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143),[O]OC(F)F(128),CO2(13)
2.142006133945886e-09,0.25182957703229014,3.76,0.0,0.8993496015916995,0.9999999854487723,6.540092321496023e-28,1.5166993026043865e-18,1.4067356035459842e-08,1.084628501220171e-07,1.4073211868681191e-08,1.079906639975342e-07,1.0897351302387967e-14,7.0578993528970245e-15,4.721420678795888e-10,4.7216816923224e-10,5.8297333853919496e-12,0.0
2.476572071015671e-09,0.25182957778604853,3.76,0.0,0.899349582452455,0.9999999830899591,1.5322854778476373e-27,2.699819629828066e-18,1.6263559265524428e-08,1.2540396454335936e-07,1.6271360980806425e-08,1.2477304125220392e-07,1.5018096242055176e-14,8.340946502277156e-15,6.308548000321145e-10,6.308999321126759e-10,7.756585901248725e-12,0.0
3.14570394515524e-09,0.2518295792935291,3.76,0.0,0.8993495441739677,0.999999978302932,6.344493268624896e-27,6.98838427750048e-18,2.0655178138908876e-08,1.5928619184032558e-07,2.0667681656144846e-08,1.582692031769105e-07,2.5261206660352367e-14,1.0909861273877105e-14,1.0168466693981993e-09,1.0169524923471699e-09,1.2397701275375823e-11,0.0
3.8148358192948095e-09,0.2518295808009622,3.76,0.0,0.8993495058954828,0.9999999734235951,1.9964240797613647e-26,1.506990384171954e-17,2.5045771611460963e-08,1.931684170755756e-07,2.506403968540874e-08,1.9167411596115983e-07,3.815976980106577e-14,1.3479834222556037e-14,1.4940453675495563e-09,1.4942494748117305e-09,1.8063981755505704e-11,0.0
4.483967693434379e-09,0.25182958230834857,3.76,0.0,0.8993494676170002,0.9999999684522176,5.220288291962447e-26,2.8714958059222944e-17,2.9435368607549198e-08,2.2705064024820218e-07,2.946044394932758e-08,2.2498802817526676e-07,5.369905727715825e-14,1.6044728104138283e-14,2.062193461002994e-09,2.06254232915005e-09,2.4726502346277083e-11,0.0
5.153099567573949e-09,0.25182958381568926,3.76,0.0,0.8993494293385197,0.9999999633890659,1.1951789765353057e-25,5.002858448976186e-17,3.3823997238579616e-08,2.609328613573019e-07,3.385690330335572e-08,2.582111877115511e-07,7.186243695281046e-14,1.860302679179809e-14,2.7210342164984058e-09,2.721583180287026e-09,3.2357151016068076e-11,0.0
5.822231441713518e-09,0.251829585322985,3.76,0.0,0.8993493910600416,0.9999999582344062,2.4755871617920253e-25,8.144869045857446e-17,3.821168482750949e-08,2.9481508040197487e-07,3.825342657785226e-08,2.9134384178925797e-07,9.263211887355182e-14,2.115610093230512e-14,3.47031159688888e-09,3.4711248244971186e-09,4.0928604183206867e-11,0.0
7.160495189992656e-09,0.2518295883374448,3.76,0.0,0.8993493145030923,0.9999999476516181,8.589053479057956e-25,1.860228690199961e-16,4.6984342384789944e-08,3.625795122944597e-07,4.7046700084567175e-08,3.57338619090651e-07,1.4192186688776227e-13,2.624691279453023e-14,5.239155565024502e-09,5.240725035028959e-09,6.078841579564536e-11,0.0
8.498758938271795e-09,0.251829591351734,3.76,0.0,0.8993492379461524,0.9999999367059513,2.3985570282069346e-24,3.6858143414832324e-16,5.5753544844136675e-08,4.303439359185309e-07,5.5840334612005554e-08,4.2297432441533366e-07,2.0143124928787865e-13,3.1319811929238345e-14,7.3666909831520554e-09,7.369378752135989e-09,8.410236746638249e-11,0.0
9.837022686550935e-09,0.25182959436585806,3.76,0.0,0.8993491613892216,0.9999999253994818,5.748804148774874e-24,6.605470315642091e-16,6.45194844042403e-08,4.981083512671206e-07,6.463439990410773e-08,4.882529114094505e-07,2.710267210855431e-13,3.637241168533568e-14,9.850894553675251e-09,9.855132458537076e-09,1.1067825555265247e-10,0.0
