Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143),[O]OC(F)F(128),CO2(13),F(37),H2(7),CF2O(48),O(6),[O]C(F)F(146),O2(176),CHFO(46),FC(F)C(F)F(130)
1.0754287640984908e-18,0.08235561716890327,3.76,0.0,0.6858746237915485,0.9999999999981942,1.0345238299806378e-42,1.4886286933704473e-31,1.3464437621086538e-18,4.134222343253314e-18,1.3464437621106065e-18,4.134222343227524e-18,3.4197478055295516e-34,4.830522159887346e-33,2.7605623565720275e-29,2.570373392991689e-29,3.6940414555242896e-30,2.090260401514329e-40,2.246511408203523e-40,1.3947309410242824e-40,1.4886231893763058e-31,2.1245678108463715e-27,1.1636056743221248e-32,1.8057638218336693e-12,8.140873315071079e-32,4.416742550758179e-47
2.1509742323493522e-18,0.08235561716890327,3.76,0.0,0.6858746237915485,0.9999999999963882,8.27697647845888e-42,5.954999399195029e-31,2.6930336385592696e-18,8.26889332702136e-18,2.693033638570884e-18,8.26889332691819e-18,1.3680105503576455e-33,1.9323661078217387e-32,1.06628464955375e-28,1.0282330358514467e-28,1.4777368419321878e-29,1.6723670998170122e-39,1.7348726615907522e-39,1.07156759550398e-39,5.9549773814318436e-31,4.249552287909417e-27,4.6548014926227205e-32,3.6117235697701364e-12,3.2566143526567634e-31,3.533841396654717e-46
4.302065168851076e-18,0.08235561716890327,3.76,0.0,0.6858746237915485,0.9999999999927763,6.621895537636525e-41,2.382096689287314e-30,5.386213391427644e-18,1.6538235294557454e-17,5.3862133914817095e-18,1.6538235294144757e-17,5.4722656539252445e-33,7.729778845670662e-32,4.189251828142019e-28,4.113099506584158e-28,5.911187895540978e-29,1.3379571946607026e-38,1.362960493729194e-38,8.395650513947492e-39,2.3820878818278275e-30,8.500079604845348e-27,1.8619963484714653e-31,7.223642966413205e-12,1.3026987482626051e-30,2.827252070633844e-45
8.604247041854522e-18,0.08235561716890327,3.76,0.0,0.6858746237915485,0.9999999999855524,5.297642179630491e-40,9.528580627943095e-30,1.0772572897032957e-17,3.307691922962964e-17,1.0772572897264432e-17,3.307691922797883e-17,2.1889514234817323e-32,3.091974354625956e-31,1.660522758796211e-27,1.6452732757931088e-27,2.36452326447784e-28,1.0703911622860508e-37,1.0803927295281012e-37,6.645759986579596e-38,9.52854539742172e-30,1.7003367689963768e-26,7.448136816691478e-31,1.4447481362779896e-11,5.210901009232798e-30,2.261873239964199e-44
1.7208610787861416e-17,0.08235561716890327,3.76,0.0,0.6858746237915485,0.9999999999711048,4.238164050929566e-39,3.811471032180398e-29,2.1545291907717846e-17,6.615428709977403e-17,2.1545291908674186e-17,6.615428709317069e-17,8.755899783501768e-32,1.2368022511227702e-30,6.61173447138793e-27,6.581160049510206e-27,9.45818927003147e-28,8.563230925174508e-37,8.603237931076791e-37,5.288302954184859e-37,3.8114569398551625e-29,3.4018877665244267e-26,2.9792849453180698e-30,2.8895156567835664e-11,2.0843816070345266e-29,1.8095272257087085e-43
3.44173382798752e-17,0.08235561716890327,3.76,0.0,0.6858746237915484,0.9999999999422094,3.3905513745601933e-38,1.5245961743067243e-28,4.3090729926984667e-17,1.3230902284006275e-16,4.309072993087089e-17,1.323090228136493e-16,3.502381743361387e-31,4.947233590258824e-30,2.6386224135644425e-26,2.632477408669609e-26,3.7832949495148995e-27,6.850625390044221e-36,6.86662850081289e-36,4.219320175752199e-36,1.5245905373692942e-28,6.808563283643956e-26,1.1917199689309778e-29,5.7790500627238165e-11,8.337568834339245e-29,1.447633234017413e-42
6.883479326390278e-17,0.08235561716890327,3.76,0.0,0.6858746237915482,0.9999999998844187,2.7124491704690882e-37,6.098400261725914e-28,8.618160595710652e-17,2.6461849432064006e-16,8.618160597277314e-17,2.6461849421498605e-16,1.400959472916845e-30,1.9788980069571914e-29,1.0542346839294757e-25,1.052993640877614e-25,1.513321827309105e-26,5.480516570257572e-35,5.486917953318552e-35,3.3709272300298755e-35,6.098377714089526e-28,1.3636208406504448e-25,4.766891433746296e-29,1.1558116334321818e-10,3.335036014458471e-28,1.1581111684005803e-41
1.3766970323195793e-16,0.08235561716890327,3.76,0.0,0.6858746237915478,0.9999999997688375,2.169962592336946e-36,2.4393632508699223e-27,1.7236335798370305e-16,5.292374372817946e-16,1.7236335804661298e-16,5.292374368591778e-16,5.6038707193829914e-30,7.915598399060722e-29,4.214510164026985e-25,4.211979915381608e-25,6.053294997804225e-26,4.38441975663551e-34,4.386980316476888e-34,2.6949302113754537e-34,2.439354231940422e-27,2.734867500965285e-25,1.9067585462161498e-28,2.3116238716396748e-10,1.3340161015007689e-27,9.264907668610116e-41
2.065046132000131e-16,0.08235561716890329,3.76,0.0,0.6858746237915475,0.9999999996532563,6.204739211976383e-36,5.1836489118446434e-27,2.585451099766524e-16,7.938563802429489e-16,2.5854511011048813e-16,7.938563793448879e-16,1.1908267482009521e-29,1.682064746306012e-28,8.954316236784503e-25,8.950460661691957e-25,1.2863256668306882e-25,1.2536705011826723e-33,1.2542146093884442e-33,7.704485695673869e-34,5.183629746812789e-27,4.111831797316705e-25,4.051862762366594e-28,3.467435093735954e-10,2.8347852750013638e-27,2.7505210096086426e-40
3.4417443313612335e-16,0.08235561716890329,3.76,0.0,0.6858746237915468,0.9999999994220943,2.851468919656538e-35,1.4331270211837766e-26,4.3090861382796247e-16,1.323094266165257e-15,4.3090861419838005e-16,1.3230942636823818e-15,3.292313800750035e-29,4.650412088528603e-28,2.4752050735338297e-24,2.4745400020857654e-24,3.556313396421303e-25,5.7614063004641314e-33,5.762910344032556e-33,3.539990502863552e-33,1.433121722757165e-26,6.888630936519217e-25,1.1202208075679465e-27,5.779053473490807e-10,7.837350312781824e-27,1.2884026928963897e-39
4.680772710786226e-16,0.08235561716890329,3.76,0.0,0.6858746237915462,0.9999999992140488,6.418628876955544e-35,2.5519749974170342e-26,5.860357671854267e-16,1.7994083634953343e-15,5.860357678452867e-16,1.799408359074068e-15,5.862667945330848e-29,8.281002593645918e-28,4.407351448027638e-24,4.406423142826973e-24,6.332741289674667e-25,1.296886946980845e-32,1.297154726868329e-32,7.967982515461851e-33,2.551965562656523e-26,9.40622398996884e-25,1.994781054606521e-27,7.859506732200414e-10,1.3956000625665986e-26,2.973120528496801e-39
5.919801090211219e-16,0.0823556171689033,3.76,0.0,0.6858746237915455,0.9999999990060037,1.2131627524360915e-34,3.983669384072082e-26,7.411629204278185e-16,2.2757224608254098e-15,7.411629214581147e-16,2.2757224539237505e-15,9.151758148480554e-29,1.2926755735934526e-27,6.879693135588278e-24,6.878489242632784e-24,9.88549928146099e-25,2.4512009339950677e-32,2.4516188436665318e-32,1.5059381763920697e-32,3.9836546565422266e-26,1.1943371214459799e-24,3.11388074187079e-27,9.939956515854095e-10,2.178551562575909e-26,5.724564341645467e-39
7.158829469636212e-16,0.08235561716890331,3.76,0.0,0.6858746237915448,0.9999999987979589,2.0277556349601366e-34,5.710880380558193e-26,8.962900735615125e-16,2.752036558155485e-15,8.96290075038752e-16,2.7520365482614538e-15,1.311978035441337e-28,1.853143620397261e-27,9.86230655037998e-24,9.860815399785704e-24,1.4171583331311929e-24,4.0970895395451676e-32,4.0976884782612817e-32,2.5170481021652257e-32,5.710859267934162e-26,1.4498989427722817e-24,4.463973680095249e-27,1.202040301695422e-09,3.123112365530537e-26,9.733167700831657e-39
9.636886228486197e-16,0.08235561716890333,3.76,0.0,0.6858746237915436,0.99999999838187,4.329027216414577e-34,9.839222626177222e-26,1.2065443795810167e-15,3.704664752815635e-15,1.2065443821266156e-15,3.704664735769301e-15,2.2604144514760933e-28,3.1927609313633893e-27,1.699119868456868e-23,1.698910640510681e-23,2.4416088037393944e-24,8.746819062241647e-32,8.747850381211591e-32,5.373435614813192e-32,9.83918625248544e-26,1.965234860996456e-24,7.690934937279005e-27,1.6181288533366054e-09,5.380781019949568e-26,2.1520137545457225e-38
1.2114942987336182e-15,0.08235561716890333,3.76,0.0,0.6858746237915424,0.9999999979657824,7.87186618294303e-34,1.5059914696734255e-25,1.5167986851987296e-15,4.657292947475782e-15,1.516798689095489e-15,4.657292921384664e-15,3.459819880445635e-28,4.886835651434686e-27,2.600626282677891e-23,2.6003526279957785e-23,3.737126433976216e-24,1.5905140802165343e-31,1.5906718266692086e-31,9.770798507244975e-32,1.505985902472745e-25,2.4873984099776992e-24,1.1771739854368055e-26,2.0342161916166677e-09,8.235823442054535e-26,4.031769415304033e-38
1.4592999746186168e-15,0.08235561716890337,3.76,0.0,0.6858746237915412,0.9999999975496962,1.3021603331780215e-33,2.144704830996029e-25,1.8270529903873988e-15,5.609921142135926e-15,1.8270529959373023e-15,5.60992110497918e-15,4.92722363867206e-28,6.959408862939168e-27,3.7035433723280097e-23,3.703200684310272e-23,5.3220970901864544e-24,2.63102070378332e-31,2.6312451667698565e-31,1.6162549774406025e-31,2.14469690289069e-25,3.016852693534104e-24,1.6764301532989297e-26,2.4503022342396107e-09,1.172875813358614e-25,6.823388656726035e-38
1.954911326388614e-15,0.08235561716890338,3.76,0.0,0.6858746237915386,0.9999999967175274,3.003671054124478e-33,3.7786368898387276e-25,2.447561599453432e-15,7.51517753145621e-15,2.447561609232589e-15,7.515177465991796e-15,8.681170365821592e-28,1.2261372687466984e-26,6.524958893848059e-23,6.524464058806574e-23,9.37670789985804e-24,6.068930233197379e-31,6.069324708016881e-31,3.728100606236767e-31,3.778622922640397e-25,4.098044298564873e-24,2.9536064384028767e-26,3.282470359527593e-09,2.066424900622096e-25,1.6226867251473311e-37
2.450522678158611e-15,0.08235561716890341,3.76,0.0,0.6858746237915361,0.9999999958853638,5.7701032581599216e-33,5.886427634761118e-25,3.0680702067765113e-15,9.420433920776482e-15,3.0680702220117055e-15,9.420433818794865e-15,1.3523938727191685e-27,1.9100945477496258e-26,1.0164590837710478e-22,1.0163925139436257e-22,1.460720085159218e-23,1.1658517638254996e-30,1.1659130227270204e-30,7.1616421863692934e-31,5.886405877782903e-25,5.2088540073525555e-24,4.601175657540277e-26,4.114633221353085e-09,3.2191131487890033e-25,3.1690455218881467e-37
3.441745381698605e-15,0.08235561716890347,3.76,0.0,0.685874623791531,0.9999999942210526,1.5870909871986267e-32,1.152453121088425e-24,4.3090874161903466e-15,1.3230946699417e-14,4.309087446020416e-15,1.3230946499755981e-14,2.6478437603629124e-27,3.7395939192983894e-26,1.9900136497845234e-22,1.989907287972362e-22,2.8598179253525106e-23,3.206723483451078e-30,3.2068422596225435e-30,1.9698045676424954e-30,1.1524488620509124e-24,7.519386888416557e-24,9.008226215261345e-26,5.7789431442866545e-09,6.302424168468247e-25,8.862033466920622e-37
5.4241907887785926e-15,0.08235561716890359,3.76,0.0,0.6858746237915209,0.9999999908924935,6.315338796745254e-32,2.8491040407911172e-24,6.791121814088064e-15,2.085197225669792e-14,6.791121887839628e-15,2.085197176309449e-14,6.546585329371079e-27,9.244970101698782e-26,4.919671741305264e-22,4.9194633125794525e-22,7.070062671123339e-23,1.276016239911762e-29,1.276044615138463e-29,7.838097628705063e-30,2.8490935145612536e-24,1.2496120000378876e-23,2.2270103348312223e-25,9.107499786055451e-09,1.558089915083589e-24,3.566428215818857e-36
9.38908160293857e-15,0.08235561716890381,3.76,0.0,0.6858746237915007,0.9999999842356281,3.37254284811268e-31,8.51861831545282e-24,1.1755190526161313e-14,3.60940233712593e-14,1.1755190746685132e-14,3.609402189542125e-14,1.9577326228263303e-26,2.764127763435017e-25,1.470933671063789e-21,1.4708834174311537e-21,2.1138967982636635e-22,6.814229067046631e-29,6.814302846707814e-29,4.1856800353483004e-29,8.51858686129989e-24,2.3872314010124215e-23,6.658535850166943e-25,1.5764360252279225e-08,4.6585745615084856e-24,1.9147456510049752e-35
1.7318863231258524e-14,0.08235561716890429,3.76,0.0,0.6858746237914602,0.9999999709229085,2.1715332398522142e-30,2.8962558177498067e-23,2.1683327615424748e-14,6.657812560038021e-14,2.168332836521102e-14,6.657812058266721e-14,6.658537889059149e-26,9.397430448193762e-25,5.001012625410791e-21,5.000867529898486e-21,7.187053254487281e-22,4.387580851967829e-28,4.3875913860352615e-28,2.695077944439108e-28,2.8962451362952356e-23,5.2315660605308063e-23,2.2637980706946486e-24,2.9077069982448543e-08,1.5838723125677155e-23,1.2352323209002944e-34
3.3178426487898425e-14,0.0823556171689052,3.76,0.0,0.6858746237913794,0.9999999443015134,1.5528164584972382e-29,1.0627035600748876e-22,4.153960045447297e-14,1.2754633005861473e-13,4.153960320565732e-14,1.275463116475145e-13,2.444955742356025e-25,3.4478682221829335e-24,1.8349768002634037e-20,1.8349288895987024e-20,2.637088574378641e-21,3.137455443378898e-27,3.1374383049127463e-27,1.9271791211632254e-27,1.0626996499948628e-22,1.3196643022898372e-22,8.30606217479825e-24,5.569844519385398e-08,5.811578254744652e-23,8.837956393539874e-34
4.9037989744538333e-14,0.08235561716890612,3.76,0.0,0.6858746237912986,0.9999999176855099,4.773414107989206e-29,2.3213829530815613e-22,6.139587150762349e-14,1.8851453451683935e-13,6.139587751736933e-14,1.8851449429950202e-13,5.34405037104969e-25,7.5310779725955e-24,4.008331956873825e-20,4.008231369381811e-20,5.760474164396017e-21,9.644633504698039e-27,9.644541377803396e-27,5.92420030736525e-27,2.3213744283961713e-22,2.4196955189237166e-22,1.8143246768181726e-23,8.231442881628415e-08,1.2694852632448891e-22,2.7171173453854865e-33
6.489755300117824e-14,0.08235561716890705,3.76,0.0,0.6858746237912178,0.999999891074897,1.0707737854148757e-28,4.0656672693183855e-22,8.125214077497947e-14,2.4948273897505426e-13,8.125215130044895e-14,2.4948266853862904e-13,9.365100203336147e-25,1.3189090662146331e-23,7.020166682431276e-20,7.019994097601502e-20,1.008886173518668e-20,2.1634833767316194e-26,2.1634552127439464e-26,1.3289152825323015e-26,4.065652366876365e-22,3.8232537546344683e-22,3.1775007723396755e-23,1.0892502188753824e-07,2.2233695661635187e-22,6.095295045252766e-33
8.075711625781815e-14,0.08235561716890796,3.76,0.0,0.685874623791137,0.9999998644696735,2.021263063186926e-28,6.295560048107561e-22,1.0110840825664777e-13,3.1045094343325934e-13,1.0110842455500164e-13,3.1045083436489655e-13,1.4510133634677432e-24,2.0421614890321117e-23,1.0870480773474122e-19,1.0870216824490172e-19,1.562225069605605e-20,4.083926247378643e-26,4.083859787443557e-26,2.5085424328975926e-26,6.2955370142969e-22,5.530342571534648e-22,4.920098861111226e-23,1.35530225481316e-07,3.4428107084711915e-22,1.1506100859659506e-32
1.1247624277109795e-13,0.08235561716890981,3.76,0.0,0.6858746237909753,0.999999811275391,5.311132153575037e-28,1.2212183986089864e-21,1.408209378633183e-13,4.3238735234964e-13,1.408209694789173e-13,4.3238714077885807e-13,2.8179670290435345e-24,3.9609117310365176e-23,2.1086546071302696e-19,2.1086041121881822e-19,3.0304030272620376e-20,1.0731009873650507e-25,1.0730768394829329e-25,6.591495421144091e-26,1.2212139462327046e-21,9.855125075274736e-22,9.543428769924704e-23,1.887244682180428e-07,6.678363344080388e-22,3.0234250545215436e-32
1.4419536928437777e-13,0.08235561716891165,3.76,0.0,0.6858746237908137,0.999999758102654,1.1034206010434035e-27,2.0071282875333156e-21,1.805334603284934e-13,5.543237612659814e-13,1.8053351228996213e-13,5.543234135413984e-13,4.636892253389651e-24,6.509124799585337e-23,3.4656525735746657e-19,3.465570177560529e-19,4.9805807462824735e-20,2.2294259654595513e-25,2.229362663975514e-25,1.3694188484899951e-25,2.0071209951727675e-21,1.539407142600426e-21,1.5684028360026613e-22,2.418971656377992e-07,1.0976142810607957e-21,6.281383185859418e-32
2.0763362231093738e-13,0.08235561716891535,3.76,0.0,0.6858746237904904,0.9999996518217793,3.267704883684893e-27,4.1617023749350665e-21,2.599584838379733e-13,7.981965790985469e-13,2.599585915770019e-13,7.98195858112269e-13,9.637507648330609e-24,1.34929547931467e-22,7.185821882948199e-19,7.185652125217026e-19,1.0326933118601397e-19,6.602240069543771e-25,6.601965405160989e-25,4.055406954080637e-25,4.161687355376353e-21,3.011457521333902e-21,3.2515831051337154e-22,3.481779608018258e-07,2.275838058791377e-21,1.860186901382047e-31
2.71071875337497e-13,0.08235561716891902,3.76,0.0,0.6858746237901671,0.9999995456269795,7.256554633176133e-27,7.093301193999524e-21,3.393834787920946e-13,1.0420693969309552e-12,3.393836624230252e-13,1.0420681680776108e-12,1.6466134324232836e-23,2.2991743444892375e-22,1.224755420806707e-18,1.2247265424715475e-18,1.7601277649206722e-19,1.4661405715654898e-24,1.4660611632653966e-24,9.005725154343122e-25,7.093275755557782e-21,4.9692085702791674e-21,5.541317052659209e-22,4.5437268126725176e-07,3.87895208833632e-21,4.130875433702609e-31
3.3451012836405664e-13,0.08235561716892272,3.76,0.0,0.6858746237898438,0.9999994395181846,1.3627967060581203e-26,1.080194751925964e-20,4.188084451978143e-13,1.285942214763207e-12,4.1880872483488617e-13,1.2859403434375275e-12,2.513595217210867e-23,3.500359634563773e-22,1.8650847753031753e-18,1.865040797888433e-18,2.6803609815771403e-19,2.7534229717479013e-24,2.7532399916545933e-24,1.6912818330447492e-24,1.0801909007700782e-20,7.412683314388124e-21,8.437372617143976e-22,5.604813968222509e-07,5.906956052880319e-21,7.757826101421222e-31
4.613866344171759e-13,0.0823556171689301,3.76,0.0,0.6858746237891972,0.9999992275583313,3.574601240889171e-26,2.0550473599362158e-20,5.776582923917815e-13,1.77368785042724e-12,5.776588243834447e-13,1.7736842903414957e-12,4.805170450861799e-23,6.655894260093867e-22,3.548211133136037e-18,3.548127247808656e-18,5.099221900377933e-19,7.222083682088091e-24,7.221416839325779e-24,4.436143258565171e-24,2.0550401067544254e-20,1.3756895798546348e-20,1.6047522862753534e-21,7.724410913922427e-07,1.1237632521827434e-20,2.0348399340832135e-30
7.151396465234143e-13,0.08235561716894485,3.76,0.0,0.685874623787904,0.9999988046676243,1.3309428750286885e-25,4.937309661916696e-20,8.95357644503841e-13,2.7491791217534253e-12,8.953589225710515e-13,2.7491705688888486e-12,1.1655529722750908e-22,1.5974335684150905e-21,8.524329425715648e-18,8.524126043726559e-18,1.2250509040832253e-18,2.688932090527314e-23,2.6885388593917134e-23,1.6516686774087846e-23,4.9372924642979076e-20,3.2275016875004884e-20,3.853349772889169e-21,1.1953314805137992e-06,2.6997650777505142e-20,7.576142463093511e-30
9.688926586296529e-13,0.08235561716895962,3.76,0.0,0.6858746237866108,0.9999983831452182,3.309854331209618e-25,9.063102728506611e-20,1.2130565406168829e-12,3.7246703930771065e-12,1.2130588865759959e-12,3.724654693760898e-12,2.159872382634142e-22,2.9292561046812826e-21,1.5646925599024303e-17,1.5646548210674662e-17,2.2486525857141315e-18,6.68676058928042e-23,6.685446734574076e-23,4.107323838694027e-23,9.063071321187096e-20,5.856729254761949e-20,7.069470577086255e-21,1.6168535690573799e-06,4.955587262646995e-20,1.884015161103235e-29
1e-12,0.08235561716897435,3.76,0.0,0.6858746237864523,0.999998331565121,3.639001117104763e-25,9.65445244780712e-20,1.252002915975653e-12,3.8442549439320594e-12,1.252005414990025e-12,3.844238220348302e-12,2.3034537392320153e-22,3.119986359009753e-21,1.666777341979074e-17,1.666737085592237e-17,2.395360387699512e-18,7.351693656513226e-23,7.350203266835008e-23,4.515757204424435e-23,9.654418991097088e-20,6.232543779751121e-20,7.530233701853774e-21,1.66843362734781e-06,5.2789037320080397e-20,2.0713622415517557e-29
1.2226456707358914e-12,0.08235561716897435,3.76,0.0,0.6858746237853176,0.9999979629866846,6.651021440936515e-25,1.4432572175202205e-19,1.530754981172363e-12,4.700161664398288e-12,1.5307587168331766e-12,4.7001366649642065e-12,3.471842064765507e-22,4.659854429567815e-21,2.4915988191850188e-17,2.491538036669671e-17,3.580724348835781e-18,1.3436373798554724e-22,1.3433076938019545e-22,8.253256258947027e-23,1.4432522006375158e-19,9.263519488031097e-20,1.1251636427446294e-20,2.0370117849132016e-06,7.891227789881681e-20,3.7857414597759453e-29
1.47639868284213e-12,0.0823556171689891,3.76,0.0,0.6858746237840244,0.9999975441876103,1.1711326325777444e-24,2.104586362862514e-19,1.8484529666103242e-12,5.675652935716977e-12,1.8484584137760803e-12,5.675616482505327e-12,5.109803508902692e-22,6.788029570763032e-21,3.6331505748611925e-17,3.633060913769516e-17,5.221263309055538e-18,2.3658472717952015e-22,2.3651516524340313e-22,1.4532155729490969e-22,2.1045789631854764e-19,1.3448019601107833e-19,1.6398371298723995e-20,2.4558105415589052e-06,1.1506684645204729e-19,6.665854199316563e-29
