Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143)
1.023e-12,0.18138240816916684,3.76,0.0,0.9756803565501496,0.9999999999999976,1.2300393931872632e-58,1.1795184703532443e-39,2.4872630301333147e-15,1.1977006870750239e-15,2.4872630301288726e-15,1.1976991334534061e-15,1.2628127236957429e-26,1.5790695096442193e-25,1.5534555245123765e-21,1.5534510828416154e-21
2.047e-12,0.1813824081691669,3.76,0.0,0.975680356550146,0.9999999999999951,7.894288491328485e-57,1.8910130719943018e-38,4.97824943359768e-15,2.397194303463439e-15,4.978249433581715e-15,2.3971880820046468e-15,5.27100878865984e-26,6.299334549255232e-25,6.220792111923729e-21,6.220776148298168e-21
4.095e-12,0.18138240816916695,3.76,0.0,0.9756803565501386,0.9999999999999901,5.059397632130374e-55,3.028644670767283e-37,9.960222240526343e-15,4.79618153624024e-15,9.960222240476365e-15,4.796156636498833e-15,2.2791382624132737e-25,2.5021104391969396e-24,2.489706136211133e-20,2.489701138366142e-20
8.191e-12,0.1813824081691671,3.76,0.0,0.9756803565501239,0.9999999999999801,3.2402608767926736e-53,4.8482326547509543e-36,1.9924167854383414e-14,9.594156001793742e-15,1.992416785429341e-14,9.594056375345101e-15,1.0447584226502466e-24,9.862087815754058e-24,9.961563180087029e-20,9.961554179624187e-20
1e-11,0.18138240816916743,3.76,0.0,0.9756803565501173,0.9999999999999758,4.833426032231727e-52,2.0911520214945074e-35,2.4324748326909425e-14,1.1713183298714128e-14,2.432474832695347e-14,1.171301766062462e-14,1.9621882555453567e-24,1.614387430346602e-23,1.6561993940175808e-19,1.6561998344855538e-19
1.6383e-11,0.18138240816916743,3.76,0.0,0.9756803565500943,0.9999999999999603,2.0744702895735496e-51,7.759032867084282e-35,3.985205908209653e-14,1.919010493290032e-14,3.985205908261357e-14,1.9189706374797728e-14,5.1993107670818306e-24,3.8308961728046124e-23,3.985140772770849e-19,3.9851459432015114e-19
3.2767e-11,0.18138240816916804,3.76,0.0,0.9756803565500353,0.9999999999999204,1.3278658216665848e-49,1.2415746268025573e-33,7.97078415375186e-14,3.8382002795111784e-14,7.970784154659864e-14,3.838040847937102e-14,2.8325415876721285e-23,1.447952639088287e-22,1.5941335400362872e-18,1.5941426200900408e-18
6.5535e-11,0.1813824081691692,3.76,0.0,0.9756803565499171,0.9999999999998407,8.498742492356915e-48,1.9865602462224216e-32,1.5941940644834624e-13,7.676579851952795e-14,1.5941940654074932e-13,7.67594212602016e-14,1.650286621165914e-22,5.211207674608165e-22,6.3764807738517215e-18,6.376573176907955e-18
9.999999999999999e-11,0.1813824081691717,3.76,0.0,0.975680356549793,0.9999999999997569,2.9006262031237464e-46,1.7656478099166503e-31,2.432591001937849e-13,1.1713742692655726e-13,2.432591006678816e-13,1.1712098909704625e-13,5.908971579978027e-22,1.157434418858408e-21,1.643560708268833e-17,1.643608117941368e-17
1.31071e-10,0.1813824081691717,3.76,0.0,0.975680356549681,0.9999999999996813,5.4389901223884425e-46,3.1783273909664853e-31,3.188425362699353e-13,1.5353338996833322e-13,3.1884253708813775e-13,1.535078823005455e-13,9.74827523166093e-22,1.7310859918331525e-21,2.5504143671745702e-17,2.5504961874201308e-17
2.62143e-10,0.18138240816917656,3.76,0.0,0.9756803565492086,0.9999999999993624,3.480459650394683e-44,5.084539141668459e-30,6.376887959128487e-13,3.070685728658356e-13,6.376888027734611e-13,3.069665558291609e-13,5.491612600548426e-21,5.135543555488253e-21,1.0199954890600381e-16,1.0200640951849696e-16
5.24287e-10,0.18138240816918622,3.76,0.0,0.9756803565482638,0.9999999999987244,2.2267851174568422e-42,8.132546862885308e-29,1.2753813151976148e-12,6.141389386604075e-13,1.275381371328205e-12,6.137309849056782e-13,2.832423762368677e-20,1.3392827718262528e-20,4.078559070739415e-16,4.079120376639778e-16
7.864310000000001e-10,0.18138240816919593,3.76,0.0,0.975680356547319,0.9999999999980861,1.2705884794857216e-41,3.100057102543971e-28,1.9130738344813193e-12,9.212093044545466e-13,1.9130739958772728e-12,9.203425721910782e-13,6.576524759582034e-20,2.21812057387992e-20,8.664829210611781e-16,8.666443170149673e-16
9.999999999999999e-10,0.18138240816920564,3.76,0.0,0.9756803565465493,0.9999999999975661,4.2847691064552236e-41,7.368674879958573e-28,2.4326026188543145e-12,1.1713798632016316e-12,2.432602926944768e-12,1.1700149052602962e-12,1.0840880115619438e-19,2.949846643535383e-20,1.3645119436133162e-15,1.3648200340678604e-15
1.0485750000000002e-09,0.18138240816920564,3.76,0.0,0.9756803565463742,0.9999999999974478,4.970326579473521e-41,8.339546628844956e-28,2.5507663537639613e-12,1.2282796702482524e-12,2.5507666952192072e-12,1.2268013938369967e-12,1.1810782402091344e-19,3.116273390083405e-20,1.4777856854507098e-15,1.4781271406977762e-15
1.5728630000000002e-09,0.18138240816922507,3.76,0.0,0.9756803565444847,0.9999999999961708,4.161264022378168e-40,3.371849032776814e-27,3.826151392326745e-12,1.8424204018346478e-12,3.826152327705426e-12,1.8393607416027976e-12,2.5802843437149376e-19,4.92570749787955e-20,3.0584175676556826e-15,3.0593529463404263e-15
2.0971510000000003e-09,0.1813824081692445,3.76,0.0,0.9756803565425952,0.9999999999948933,1.6351394222435244e-39,9.131100263215907e-27,5.101536430885606e-12,2.4565611334194494e-12,5.101538391223646e-12,2.4513589476762776e-12,4.532453800638254e-19,6.742911773600366e-20,5.199704730625338e-15,5.201665068674292e-15
2.621439e-09,0.18138240816926393,3.76,0.0,0.9756803565407057,0.9999999999936152,5.133637681205389e-39,2.050729684492008e-26,6.3769214694402565e-12,3.070701865002543e-12,6.376925041952644e-12,3.06275643866783e-12,7.077369332427311e-19,8.55931581938003e-20,7.94106049221366e-15,7.94463300462135e-15
3.670015e-09,0.1813824081693028,3.76,0.0,0.9756803565369266,0.9999999999910572,4.6687121717912845e-38,7.9458104390388e-26,8.927691546536598e-12,4.298983328163496e-12,8.927700989993067e-12,4.2837149802280006e-12,1.3979429199332654e-18,1.2185990785007382e-19,1.525738467611486e-14,1.5266828132665532e-14
4.718591e-09,0.18138240816934165,3.76,0.0,0.9756803565331476,0.9999999999884966,1.9369383846934706e-37,2.1129071042688966e-25,1.1478461623615697e-11,5.527264791317499e-12,1.147848121022813e-11,5.50224135218956e-12,2.3281335023583927e-18,1.58056363312705e-19,2.5001366325432337e-14,2.502095293807333e-14
6.8157430000000004e-09,0.18138240816941928,3.76,0.0,0.9756803565255895,0.9999999999833682,2.02371256968275e-36,9.454706614470174e-25,1.6580001777721755e-11,7.983827717604637e-12,1.6580060613296058e-11,7.932023564594974e-12,4.905759361213482e-18,2.3025738537511422e-19,5.174018141766969e-14,5.1799016992916904e-14
8.912895000000001e-09,0.18138240816949694,3.76,0.0,0.9756803565180314,0.9999999999782302,8.976967093551181e-36,2.6837434681587424e-24,2.1681541931757824e-11,1.0440390643863909e-11,2.1681671627433027e-11,1.0352137439177217e-11,8.437039452917483e-18,3.022058209047023e-19,8.811476976354086e-14,8.824446544142043e-14
