Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143),[O]OC(F)F(128),CO2(13),F(37),H2(7),CF2O(48),O(6),[O]C(F)F(146),O2(176),CHFO(46),FC(F)C(F)F(130),CO(12)
3.57882277233622e-20,0.0888626060699133,3.76,0.0,0.9483895079671448,0.9999999999997699,3.2276655932297226e-45,6.917067837065526e-33,1.4544763366131166e-18,1.4295531017152626e-17,1.4544763365856384e-18,1.4295531017148207e-17,5.203865408583422e-35,7.2669572101291684e-34,3.1973856703172155e-29,4.411375876075698e-30,7.611288724435228e-32,2.1799034565131892e-42,2.7261415245394295e-40,1.8379059930962265e-41,6.91621208510549e-33,5.278799114040033e-26,1.510748260310264e-33,2.3019999902819205e-13,6.484365683508265e-33,8.070581952345408e-49,2.944038481097223e-47
7.160754860721385e-20,0.08886260606991331,3.76,0.0,0.9483895079671448,0.9999999999995395,2.5840950336345147e-44,2.7686297749483705e-32,2.910216336419894e-18,2.8603482130758037e-17,2.9102163363650827e-18,2.860348213074034e-17,2.0829023328832e-34,2.9086767071270344e-33,7.280643443597269e-29,1.7656999881606295e-29,3.0464990488522446e-31,1.745248239833988e-41,1.0998942513593547e-39,8.244279248656405e-41,2.768287251051987e-32,1.056218610069074e-25,6.046930163598902e-33,4.605999979056923e-13,2.5954361478692476e-32,6.463011091849922e-48,2.3570208863099136e-46
1.4324619037491716e-19,0.0888626060699133,3.76,0.0,0.9483895079671448,0.9999999999990786,2.068061386447709e-43,1.1078125408834774e-31,5.8216963360316e-18,5.721938435796885e-17,5.8216963359226284e-18,5.721938435789808e-17,8.33432246135148e-34,1.1638495550332089e-32,1.8097592057423488e-28,7.065099883370866e-29,1.218996444411115e-30,1.3967290084335148e-40,4.4708499302113864e-39,4.009309333903075e-40,1.1076754866315173e-31,2.112896487779988e-25,2.4195597135805763e-32,9.213999952109541e-13,1.0385125303606796e-31,5.173028365031262e-47,1.8863330558114972e-45
2.8652347391032377e-19,0.0888626060699133,3.76,0.0,0.9483895079671447,0.999999999998157,1.6547633204789654e-42,4.431971529143896e-31,1.1644656335247612e-17,1.1445118881239044e-16,1.1644656335032347e-17,1.1445118881210736e-16,3.3342717021422616e-33,4.6561560694188926e-32,5.033322155406436e-28,2.8265000050138196e-28,4.876779540400733e-30,1.1175954187138113e-39,1.8445123891853078e-38,2.1724963557498628e-39,4.43142322227076e-31,4.226254164724907e-25,9.679814369085744e-32,1.8429999880225266e-12,4.154726360183482e-31,4.139470744564468e-46,1.5093530445905997e-44
5.73078040981137e-19,0.08886260606991331,3.76,0.0,0.9483895079671446,0.9999999999963138,1.3239363549265005e-41,1.77293289589735e-30,2.329057633365004e-17,2.2891479772123365e-16,2.3290576333230285e-17,2.2891479772010115e-16,1.3338172435778577e-32,1.8626140060000504e-31,1.5721140962269177e-27,1.130692018885033e-27,1.950870579982131e-29,8.941612288217967e-39,7.825736766813211e-38,1.323915526168971e-38,1.772713554801149e-30,8.452977204707112e-25,3.8722408682846916e-31,3.686199966449862e-12,1.6620258014490315e-30,3.3119958678453525e-45,1.20759708789348e-43
1.1461871751227635e-18,0.08886260606991331,3.76,0.0,0.9483895079671444,0.9999999999926275,1.0591993669841042e-40,7.092020169087762e-30,4.6582416330336534e-17,4.578420155389199e-16,4.6582416329540204e-17,4.578420155343897e-16,5.335486199248564e-32,7.450759171905717e-31,5.405955020564644e-27,4.5229521158009985e-27,7.803799858594794e-29,7.153629424039451e-38,3.488106021156364e-37,8.934795730986719e-38,7.091142765026862e-30,1.6906454029041054e-24,1.5489593698933805e-30,7.372599894521298e-12,6.648373730142946e-30,2.649764413378502e-44,9.661235336477344e-43
2.292405443406016e-18,0.08886260606991331,3.76,0.0,0.9483895079671438,0.9999999999852546,8.473796088456795e-40,2.836865791157439e-29,9.316609632323599e-17,9.156964511742921e-16,9.316609632181613e-17,9.156964511561702e-16,2.1342379988720595e-31,2.9803642839396397e-30,1.9858745520711627e-26,1.8092176549871127e-26,3.121583452075034e-28,5.7230393801247666e-37,1.681423766214184e-36,6.485184742717733e-37,2.8365148192129885e-29,3.3813530655187526e-24,6.195963496619186e-30,1.474539963553123e-11,2.65940359786054e-29,2.119878620371041e-43,7.72917172733345e-42
4.584841979972522e-18,0.08886260606991332,3.76,0.0,0.9483895079671428,0.9999999999705089,6.77911735693942e-39,1.1347578655863366e-28,1.8633345630714092e-16,1.8314053224450357e-15,1.8633345630499244e-16,1.8314053223725473e-15,8.537039621904185e-31,1.1921578243327096e-29,7.59047611237783e-26,7.236944237611263e-26,1.2486460824891066e-27,4.578485840990152e-36,9.015010532376163e-36,4.92307896684534e-36,1.13461747283673e-28,6.762817581739859e-24,2.4784105779952574e-29,2.9490998657019344e-11,1.0637722603778434e-28,1.6959297325414415e-42,6.183410765980426e-41
9.169715053105532e-18,0.08886260606991336,3.76,0.0,0.9483895079671408,0.9999999999410175,5.423326118741906e-38,4.539054595223987e-28,3.726681762673747e-16,3.662823064986516e-15,3.7266817626584287e-16,3.66282306469656e-15,3.414833843960283e-30,4.7686554198599954e-29,2.9655853071609473e-25,2.894792418381878e-25,4.9946097319365505e-27,3.66281040738546e-35,5.437429501233674e-35,3.8324340241286514e-35,4.538493001019526e-28,1.3525943378152333e-23,9.913692476612937e-29,5.898219485786872e-11,4.255110683888021e-28,1.3567545205614026e-41,4.946757966422942e-40
1.8339461199371555e-17,0.08886260606991339,3.76,0.0,0.9483895079671368,0.9999999998820347,4.3386738499221345e-37,1.8156264922989318e-27,7.453376161575377e-16,7.325658550069454e-15,7.453376161655348e-16,7.32565854890963e-15,1.365937512502029e-29,1.9074669131866357e-28,1.1721130232462001e-24,1.1579199118182055e-24,1.997848972021052e-26,2.9302570192820912e-34,3.6401066034616067e-34,3.0235352354002e-34,1.815401837766046e-27,2.7052982026882346e-23,3.965486868163872e-28,1.1796457989106091e-10,1.702048601890629e-27,1.0854079101944143e-40,3.95741811430847e-39
3.66789534919036e-17,0.08886260606991353,3.76,0.0,0.9483895079671287,0.9999999997640693,3.470944360492932e-36,7.262515498611353e-27,1.4906764958166468e-15,1.4651329520235245e-14,1.4906764958768834e-15,1.4651329515595928e-14,5.463761006814836e-29,7.629876509050814e-28,4.660209820094214e-24,4.631685534541698e-24,7.991406037301187e-26,2.3442090919927546e-33,2.6281493814505058e-33,2.40186332916012e-33,7.261616749098429e-27,5.411020754815494e-23,1.5861965984274542e-27,2.359293204834266e-10,6.808203063046655e-27,8.683280455251039e-40,3.165939187403431e-38
7.335793807696769e-17,0.08886260606991377,3.76,0.0,0.9483895079671126,0.9999999995281385,2.776757758338462e-35,2.905008282118038e-26,2.9813542546499957e-15,2.930267146056646e-14,2.9813542549474384e-15,2.93026714420092e-14,2.185508999657709e-28,3.051951867529007e-27,1.8584354648188787e-23,1.852675389936242e-23,3.1965644373352495e-25,1.8753686629610598e-32,1.9889448973322462e-32,1.914704705318601e-32,2.904648677893218e-26,1.0823725148748893e-22,6.344789101283587e-27,4.718586837721417e-10,2.723282955359389e-26,6.946631231576554e-39,2.5327532274762094e-37
1.1003692266203178e-16,0.08886260606991399,3.76,0.0,0.9483895079670965,0.9999999992922077,7.939793573122219e-35,6.173144099931539e-26,4.472032012998476e-15,4.395401340089732e-14,4.472032013665853e-15,4.395401336146314e-14,4.644212203523439e-28,6.485397937535112e-27,3.9456450697109673e-23,3.9369359371057226e-23,6.792700684847044e-25,5.362383289371143e-32,5.603732865053464e-32,5.469875323446356e-32,6.172379787780183e-26,1.6237688832514874e-22,1.348267741308515e-26,7.077879291648994e-10,5.786977360279728e-26,2.0622817260720728e-38,7.242092637539513e-37
1.8339489183215996e-16,0.08886260606991443,3.76,0.0,0.9483895079670642,0.9999999988203467,3.6488353765195764e-34,1.7066933315310342e-25,7.453387527755962e-15,7.325669728155761e-14,7.453387529694117e-15,7.325669717253369e-14,1.2839916669779996e-27,1.7930213939607587e-26,1.0899244757623536e-22,1.0884471864850247e-22,1.8779822783489044e-24,2.464352639142749e-31,2.5310786780515214e-31,2.51111121997902e-31,1.7064819125689474e-25,2.707065336060796e-22,3.727563030921202e-26,1.1796459483670575e-09,1.5999293186883433e-25,9.660164564221845e-38,3.328197399436079e-36
2.494170640852753e-16,0.08886260606991485,3.76,0.0,0.9483895079670351,0.9999999983956723,8.213492932029493e-34,3.0391156480847914e-25,1.013660748947108e-14,9.962911277415069e-14,1.013660749298178e-14,9.962911258001139e-14,2.286412846854553e-27,3.192839232285739e-26,1.9402384821789621e-22,1.9382020744923913e-22,3.344130228600849e-24,5.547233404890064e-31,5.666052631970464e-31,5.650611199698491e-31,3.038739044751277e-25,3.682439023461267e-22,6.637684136572768e-26,1.6043177847249416e-09,2.8490002682996e-25,2.2291812176146277e-37,7.491739415512439e-36
3.1543923633839067e-16,0.08886260606991528,3.76,0.0,0.948389507967006,0.9999999979709981,1.552403795265513e-33,4.744103060391238e-25,1.2819827449527962e-14,1.2600152826674254e-13,1.2819827455065131e-14,1.2600152796368834e-13,3.569129104039697e-27,4.9840659784370253e-26,3.028170594375837e-22,3.0255609059047343e-22,5.220234665556694e-24,1.048463253733582e-30,1.0670110816845353e-30,1.0677686807551276e-30,4.743514974428144e-25,4.658243384985384e-22,1.0361516434458723e-25,2.0289892178829167e-09,4.447329796607018e-25,4.29215378572283e-37,1.415987558849444e-35
3.8146140859150604e-16,0.08886260606991565,3.76,0.0,0.948389507966977,0.9999999975463244,2.5947842647936896e-33,6.801017781953071e-25,1.5503047408018466e-14,1.5237394375933324e-13,1.5503047416010886e-14,1.5237394332488295e-13,5.1166149702658286e-27,7.145019670295282e-26,4.340558191863434e-22,4.337361844804422e-22,7.483586451726007e-24,1.7524665714870418e-30,1.779056194019466e-30,1.7844711766812322e-30,6.800174440764012e-25,5.634454563954089e-22,1.485398470227923e-25,2.453660270176179e-09,6.375571069881282e-25,7.297717064905836e-37,2.366769512199956e-35
5.135057530977368e-16,0.08886260606991649,3.76,0.0,0.9483895079669189,0.9999999966969778,5.5395690258587055e-33,1.1717411248921141e-24,2.0869487321427382e-14,2.05118774744512e-13,2.0869487335308128e-14,2.0511877399600167e-13,8.815392402698195e-27,1.2310081836214864e-25,7.4771999990364855e-22,7.472799827143218e-22,1.2893400485267864e-23,3.741316198871948e-30,3.787127061393912e-30,3.808987711704782e-30,1.1715957462071383e-24,7.587804661860073e-22,2.5591780025505894e-25,3.303001506208685e-09,1.0984411293877755e-24,1.6135329444319963e-36,5.052782897699187e-35
6.455500976039675e-16,0.08886260606991732,3.76,0.0,0.9483895079668608,0.9999999958476326,1.0073105702015689e-32,1.7934672051861525e-24,2.6235927229046337e-14,2.5786360572968647e-13,2.6235927250400356e-14,2.578636045840166e-13,1.3492876206422273e-26,1.884180316255716e-25,1.14435206417497e-21,1.1437867195730776e-21,1.973463832520499e-23,6.803177142211915e-30,6.873294965936431e-30,6.925442550156649e-30,1.793244568934419e-24,9.54265852338205e-22,3.917076259472704e-25,4.152341334413004e-09,1.681273961886408e-24,3.0229326177639844e-36,9.18793689432103e-35
7.775944421101983e-16,0.08886260606991812,3.76,0.0,0.9483895079668028,0.9999999949982891,1.6662884340433917e-32,2.5541035672265075e-24,3.160236713048261e-14,3.1060843671485634e-13,3.160236716100235e-14,3.106084350832909e-13,1.9215458117518077e-26,2.6832879277064053e-25,1.6295795342110314e-21,1.6288835819064892e-21,2.8104390164869437e-23,1.1253782547094761e-29,1.1353637874284034e-29,1.1455069277185051e-29,2.5537863337203754e-24,1.149911814599109e-21,5.578364023805298e-25,5.001679659301682e-09,2.3943271143981645e-24,5.116027618133256e-36,1.5198640542977062e-34
1.0416831311226597e-15,0.08886260606991978,3.76,0.0,0.9483895079666865,0.9999999932996062,3.8435998677262673e-32,4.49993500548437e-24,4.233524691445882e-14,4.160980986851822e-13,4.2335246968482694e-14,4.1609809581061755e-13,3.385485999745296e-26,4.727531802893859e-25,2.8708129645503598e-21,2.869839658702184e-21,4.951556615011188e-23,2.5958906089718267e-29,2.6134832860839984e-29,2.6419959384834655e-29,4.499375408052129e-24,1.541694516164874e-21,9.82820161116136e-25,6.700351714436467e-09,4.218432182266349e-24,1.2166549889320244e-35,3.505844204459068e-34
1.3057718201351212e-15,0.08886260606992141,3.76,0.0,0.9483895079665703,0.9999999916009296,7.383622190274807e-32,7.010080403491194e-24,5.3068126673318453e-14,5.215877606554894e-13,5.3068126757721906e-14,5.215877561774419e-13,5.274001987282771e-26,7.364625532528843e-25,4.471958874098539e-21,4.470686764527488e-21,7.71362203395978e-23,4.986749691880898e-29,5.014155319667368e-29,5.074936945823196e-29,7.00920760512045e-24,1.9341295475548313e-21,1.531053229144674e-24,8.399017662493284e-09,6.5715479628968166e-24,2.3760809266134001e-35,6.734785924160696e-34
1.833949198160044e-15,0.08886260606992472,3.76,0.0,0.9483895079663378,0.9999999882035945,2.03089702153667e-31,1.372444200459441e-23,7.453388611563829e-14,7.325670845960481e-13,7.453388628144091e-14,7.325670758288648e-13,1.0325649026089372e-25,1.4418536890336625e-24,8.754706221462125e-21,8.752772113174397e-21,1.5101835153780458e-22,1.3716260953075739e-28,1.376991266268205e-28,1.3957525249908997e-28,1.3722728835325878e-23,2.7209579043305862e-21,2.9975115301859448e-24,1.1796331225301281e-08,1.2865867154683296e-23,6.644558471146886e-35,1.8524306862535076e-33
2.89030395420989e-15,0.08886260606993128,3.76,0.0,0.948389507965873,0.9999999814089978,8.081336318542678e-31,3.392971775952189e-23,1.1746540469867126e-13,1.154525732476942e-12,1.1746540510983533e-13,1.1545257108026475e-12,2.5527851993330038e-25,3.564546312781527e-24,2.164218244285705e-20,2.1638666775810877e-20,3.733486502126228e-22,5.457960900473313e-28,5.4712217419754505e-28,5.553481307858094e-28,3.392545948181306e-23,4.30244810211666e-21,7.410440668369923e-24,1.8590885015715727e-08,3.1807090499782833e-23,2.674029667686235e-34,7.371173801904697e-33
5.003013466309582e-15,0.08886260606994441,3.76,0.0,0.9483895079649431,0.9999999678200976,4.3156376020836375e-30,1.0144769050693702e-22,2.0332844065828174e-13,1.998443028237836e-12,2.0332844189043315e-13,1.9984429634332865e-12,7.633079327183653e-25,1.0657639545467226e-23,6.470573342352931e-20,6.469802446078252e-20,1.1162849509467503e-21,2.914680400149804e-27,2.9186419185747002e-27,2.9655042313405345e-27,1.0143481602671955e-22,7.496763809566473e-21,2.21564927470571e-23,3.217969925019718e-08,9.510086643380378e-23,1.43563428631356e-33,3.93638147541847e-32
9.228432490508965e-15,0.08886260606997068,3.76,0.0,0.9483895079630836,0.9999999406434708,2.7787914251875024e-29,3.4491501096381215e-22,3.750545077518064e-13,3.68627761975605e-12,3.7505451194699067e-13,3.686277399426574e-12,2.595479483806584e-24,3.623435180177939e-23,2.1998751029201157e-19,2.199672948633163e-19,3.795264866711676e-21,1.876719381048444e-26,1.878061780706518e-26,1.9093720477115763e-26,3.448702546508584e-22,1.401073822642806e-20,7.532877751950158e-23,5.9356154375810044e-08,3.233341562119978e-22,9.26150096560447e-33,2.534577605523101e-31
1.7679270538907733e-14,0.08886260607002322,3.76,0.0,0.9483895079593645,0.9999998862949101,1.9870718546980615e-28,1.2655860556807114e-21,7.185066226371894e-13,7.061946802778186e-12,7.185066380426421e-13,7.061945994340555e-12,9.525624295458401e-24,1.3294715536993492e-22,8.071703407695698e-19,8.071086397164884e-19,1.392566116768092e-20,1.3419976884342747e-25,1.342483747359716e-25,1.3653187649079276e-25,1.2654145738566788e-21,2.754007007933241e-20,2.763887412345904e-22,1.1370437161826543e-07,1.1863846018423989e-21,6.626505885205616e-32,1.8124166915394886e-30
2.61301085873065e-14,0.08886260607007578,3.76,0.0,0.9483895079556454,0.9999998319526063,6.108369093076244e-28,2.764585283601896e-21,1.0619587117885345e-12,1.043761598578126e-11,1.061958745449805e-12,1.0437614219824404e-11,2.0811925300930773e-23,2.9040210952687557e-22,1.763178825301762e-18,1.763053683967341e-18,3.0419301678913724e-20,4.125341700891186e-25,4.126386509295885e-25,4.197005057198011e-25,2.7641974295055395e-21,4.1737925546741865e-20,6.037286669798467e-22,1.6804633200528263e-07,2.5915468843550517e-21,2.0372350177019984e-31,5.5714242928450474e-30
4.3031784684104034e-14,0.08886260607018087,3.76,0.0,0.9483895079482071,0.9999997232867655,2.731584614125879e-27,7.4976660549139e-21,1.7488628129005651e-12,1.7188954351730232e-11,1.7488629042097075e-12,1.7188949562501733e-11,5.646622829918705e-23,7.875106239637529e-22,4.7816722847609376e-18,4.7813544663151e-18,8.249628015610089e-20,1.8447607032925115e-24,1.8450269644941738e-24,1.8767955465275922e-24,7.496533514974072e-21,7.213930464300567e-20,1.6371938139233853e-21,2.7671148590875876e-07,7.02820691855022e-21,9.110660018428481e-31,2.4914168710472882e-29
5.993346078090158e-14,0.08886260607028597,3.76,0.0,0.9483895079407688,0.9999996146459433,7.175409170403121e-27,1.4544290734179398e-20,2.4357668111036266e-12,2.3940292717602964e-11,2.4357669882418535e-12,2.3940283427459016e-11,1.095765223000327e-22,1.5275216601626112e-21,9.275466846255692e-18,9.274868691955226e-18,1.6002614524903766e-19,4.8457921147994366e-24,4.846268013560202e-24,4.9299286791932345e-24,1.4541952960987803e-20,1.0521500821363281e-19,3.1756492515379444e-21,3.8535162115878553e-07,1.363331362040505e-20,2.3932192275103996e-30,6.544420324418419e-29
7.683513687769911e-14,0.08886260607039108,3.76,0.0,0.9483895079333305,0.9999995060301343,1.4798566464513436e-26,2.3904604611841315e-20,3.1226707064148697e-12,3.069163108339945e-11,3.122670997562769e-12,3.069161581469681e-11,1.8016257256892837e-22,2.5103935250442105e-21,1.5244561277219923e-17,1.5243595229139874e-17,2.6300883528588724e-19,9.99380444115019e-24,9.994504398970429e-24,1.0167310556696745e-23,2.390053677015813e-20,1.409651807505302e-19,5.219013230157314e-21,4.939667432859913e-07,2.240686615266199e-20,4.935736405076978e-30,1.3497001437386331e-28
9.373681297449664e-14,0.08886260607049618,3.76,0.0,0.9483895079258923,0.9999993974393327,2.6480976645822437e-26,3.557875693874905e-20,3.809574498851916e-12,3.74429694491197e-11,3.809574932189432e-12,3.7442946724215745e-11,2.682446857597881e-22,3.7360833779287404e-21,2.2688954281765792e-17,2.2687532885593965e-17,3.91444286389081e-19,1.7882916966196432e-23,1.7883811290349493e-23,1.8193371745544155e-23,3.5572368120055067e-20,1.7938997067676365e-19,7.76720174862092e-21,6.025568579728256e-07,3.3348863611881785e-20,8.832045005111742e-30,2.415154110705633e-28
1.2754016516809171e-13,0.08886260607070635,3.76,0.0,0.9483895079110158,0.9999991803327308,6.527859556716992e-26,6.586912893603976e-20,5.183381775168584e-12,5.0945646180331496e-11,5.183382577422779e-12,5.094560411009937e-11,4.969721938742694e-22,6.915758616633685e-21,4.200363117463595e-17,4.2001037102672304e-17,7.246732347708679e-19,4.4082030940753557e-23,4.408300600024718e-23,4.484726057456178e-23,6.585608096665869e-20,2.642639516201116e-19,1.437774175132762e-20,8.196620860381769e-07,6.173818990550581e-20,2.177139611405896e-29,5.953442515844723e-28
1.6134351736168678e-13,0.08886260607091656,3.76,0.0,0.9483895078961394,0.9999989633260923,1.3060972374153186e-25,1.054166007804256e-19,6.557188640194573e-12,6.444832291123831e-11,6.557189924077687e-12,6.444825558511498e-11,7.959214651975495e-22,1.1066204705934927e-20,6.721948706357132e-17,6.721537171116678e-17,1.159712477712615e-18,8.819685494638563e-23,8.819704295524483e-23,8.972781893113777e-23,1.0539375665300107e-19,3.5983813845109843e-19,2.3006597342690487e-20,1.0366673508018563e-06,9.880128513699421e-20,4.3559072639520767e-29,1.191131602830062e-27
1.9514686955528185e-13,0.08886260607112675,3.76,0.0,0.948389507881263,0.9999987464193691,2.2988647970323976e-25,1.542224292156135e-19,7.930995094078167e-12,7.795099964184019e-11,7.930996972297016e-12,7.79509011492679e-11,1.1652633925876704e-21,1.61870610940217e-20,9.833651092780656e-17,9.833052656334396e-17,1.6965614754510606e-18,1.5523074876270348e-22,1.5522856134490556e-22,1.579252413892593e-22,1.5418609503377106e-19,4.661137809140387e-19,3.3653061530318866e-20,1.2535727000779512e-06,1.4453814154083936e-19,7.666616973185452e-29,2.0964498626494115e-27
2.62753573942472e-13,0.08886260607154715,3.76,0.0,0.94838950785151,0.9999983129054835,5.591248893264518e-25,2.79614045621562e-19,1.0678606768994567e-11,1.0495635310212907e-10,1.0678610173984234e-11,1.0495617454500651e-10,2.1157896171489005e-21,2.9338602990808704e-20,1.7827401965590023e-16,1.7826325747133685e-16,3.0756866345268423e-18,3.7752319881311406e-22,3.7750714765599116e-22,3.840759888312715e-22,2.7953748084541344e-19,7.107742952453482e-19,6.099606688331782e-20,1.687083838019744e-06,2.6203310758694875e-19,1.8645336702690694e-28,5.09859539389572e-27
3.3036027832966215e-13,0.08886260607196755,3.76,0.0,0.948389507821757,0.9999978797907041,1.1104220048642678e-24,4.420537117320471e-19,1.3426216801064915e-11,1.3196170656119815e-10,1.342622218358955e-11,1.3196142429735662e-10,3.3498731825285623e-21,4.636759445325887e-20,2.8181607196759297e-16,2.817991512019548e-16,4.8620445312477256e-18,7.497109974973059e-22,7.4966103385238185e-22,7.627236500084264e-22,4.419156539058053e-19,9.98255173951695e-19,9.640128699563825e-20,2.1201958697336497e-06,4.1422302785700015e-19,3.7027195340077326e-28,1.0125138218666556e-26
4.655736871040424e-13,0.08886260607280834,3.76,0.0,0.9483895077622511,0.9999970147569981,3.1072012239820734e-24,8.78115821625972e-19,1.8921431941213134e-11,1.8597241347567688e-10,1.8921442630933453e-11,1.8597185287205543e-10,6.6739537281715074e-21,9.204686762402438e-20,5.597134686058039e-16,5.596801152731275e-16,9.656441950386552e-18,2.097560885252261e-21,2.097327154405263e-21,2.133966863686675e-21,8.77773829465633e-19,1.7017164377231155e-18,1.9137668476355163e-19,2.985224080065761e-06,8.226874924672978e-19,1.0359576845236058e-27,2.832839818686867e-26
