Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143),[O]OC(F)F(128),CO2(13),F(37),H2(7),CF2O(48),O(6),[O]C(F)F(146),O2(176),CHFO(46),FC(F)C(F)F(130),CO(12),CHF2-CF2(68),CF2(42),OO[C](F)F(619),FC1(F)OO1(411),CF2O2(152)
2.5423402563082254e-17,0.09238092347746545,3.76,0.0,0.7631876129493712,0.9999999997415497,3.035932014949043e-36,9.852789151415755e-27,2.644114027944473e-15,3.253778232138961e-14,2.644114027907333e-15,3.253778231305523e-14,8.905006530265395e-29,1.2230256783851556e-27,8.44826579221903e-24,8.323960508032409e-24,7.42028632953644e-26,3.4702533353996e-33,1.7135546988506023e-29,8.611556683680333e-17,9.893805998756834e-27,4.0735134322486985e-22,3.134362375936551e-27,2.584476458652644e-10,9.119848574355471e-27,2.487973405053293e-32,5.57887876810852e-38,1.052943700945827e-37,8.611556683671075e-17,1.6922811303155464e-34,1.676909700814876e-30,2.875158071167727e-29
5.0846826677868166e-17,0.09238092347746601,3.76,0.0,0.7631876129493359,0.9999999994830995,2.4287476380310705e-35,3.9411185566696167e-26,5.288230296248362e-15,6.507559222541965e-14,5.288230296346845e-15,6.507559219208214e-14,3.562007511796793e-28,4.8921051280275514e-27,3.3546039398590434e-23,3.3295863172932285e-23,2.9681164018199496e-25,2.7762047253703663e-32,6.855611174675199e-29,1.7223120667473373e-16,3.957525120180493e-26,8.147276384508359e-22,1.2537455414432103e-26,5.168953933623124e-10,3.6479417474334653e-26,9.951900474365153e-32,4.463106323144904e-37,4.212368099103726e-37,1.7223120667436345e-16,1.3537860831669245e-33,6.707670483956507e-30,1.150063658735906e-28
1.0169367490743999e-16,0.09238092347746708,3.76,0.0,0.7631876129492654,0.9999999989661991,1.9429991903273756e-34,1.576448236138166e-25,1.0576462829598981e-14,1.301512120334714e-13,1.0576462830487008e-14,1.301512119001213e-13,1.424805565674378e-27,1.9568421166102747e-26,1.3369010956314675e-22,1.331834948045136e-22,1.1872469244857307e-24,2.220964600489159e-31,2.743355759098283e-28,3.4446248635057856e-16,1.5830107149432488e-25,1.6295540490117643e-21,5.0149821116611237e-26,1.0337905359849742e-09,1.4591771615470834e-25,3.980761876719348e-31,3.570486379776569e-36,1.685420269456791e-36,3.4446248634909728e-16,1.0829655531670606e-32,2.683090979371701e-29,4.600253689948993e-28
1.525405231370118e-16,0.0923809234774682,3.76,0.0,0.7631876129491949,0.999999998449299,5.555764429053559e-34,3.349953273595e-25,1.586469535969245e-14,1.9522683184151482e-13,1.5864695361888307e-14,1.9522683155814574e-13,3.027715206161078e-27,4.1582890687963627e-26,2.8378270251215233e-22,2.8301495257723954e-22,2.5228999302418728e-24,6.350571253482526e-31,5.83126245859279e-28,5.166937660264077e-16,3.363898323977059e-25,2.4444542797020853e-21,1.0656835562194314e-25,1.5506853262364428e-09,3.1007517561694484e-25,8.4591204902575e-31,1.0209360459503905e-35,3.5823157417076845e-36,5.166937660232598e-16,3.096500303622575e-32,5.701601077863622e-29,9.775536468851605e-28
2.0338737136658363e-16,0.09238092347746929,3.76,0.0,0.7631876129491244,0.9999999979323992,1.1718717973868855e-33,5.714627172861405e-25,2.115292788652876e-14,2.603024516495499e-13,2.115292789055075e-14,2.6030245116615554e-13,5.164931055890443e-27,7.093551003860732e-26,4.83823818078243e-22,4.827902363304735e-22,4.303770648372354e-24,1.3395194704628414e-30,9.95000992731519e-28,6.889250457022208e-16,5.738415446367703e-25,3.2594283305421968e-21,1.8179304810839877e-25,2.0675797641169575e-09,5.289517957624916e-25,1.443026625688583e-30,2.1534499143456423e-35,6.112336659451653e-36,6.889250456968508e-16,6.531216125274866e-32,9.726311737026246e-29,1.6675910415159913e-27
3.050810678257273e-16,0.09238092347747145,3.76,0.0,0.7631876129489833,0.9999999968986006,3.200746009727008e-33,1.1831412730938183e-24,3.172939293255706e-14,3.904536912656005e-13,3.1729392941447705e-14,3.9045369026479397e-13,1.0693351006263043e-26,1.4686292576941477e-25,1.001132173158591e-21,9.995559050874784e-22,8.91041076881234e-24,3.65864330521091e-30,2.060908552883234e-27,1.0333876050538106e-15,1.1880662146535858e-24,4.889549683657589e-21,3.7637930087935764e-25,3.101367812885679e-09,1.095127555672726e-24,2.987603928854843e-30,5.881739900851524e-35,1.2659905134870815e-35,1.0333876050426916e-15,1.783786738188791e-31,2.013726881438214e-28,3.4525336756296004e-27
4.0677476428487095e-16,0.09238092347747365,3.76,0.0,0.7631876129488422,0.9999999958648034,6.697032449556386e-33,2.01221387389245e-24,4.2305857966607656e-14,5.206049308816205e-13,4.230585798227291e-14,5.206049291795105e-13,1.8186616941927006e-26,2.4977530524799876e-25,1.7021190589152125e-21,1.6999828333688597e-21,1.5154275131481468e-23,7.655105823463533e-30,3.506498376709632e-27,1.3778501644053425e-15,2.020589717938515e-24,6.5199424999615515e-21,6.4012241396263535e-25,4.135154565862725e-09,1.8625251844735433e-24,5.081132675973518e-30,1.2306567663795088e-34,2.1539809493483897e-35,1.3778501643864308e-15,3.732109675570772e-31,3.424850378515249e-28,5.871852545528408e-27
5.084684607440146e-16,0.09238092347747581,3.76,0.0,0.7631876129487011,0.9999999948310073,1.2191693676899262e-32,3.0742088026585974e-24,5.288232298782502e-14,6.507561704976077e-13,5.288232301230698e-14,6.507561678971684e-13,2.77850842504457e-26,3.816001214530216e-25,2.599904369268795e-21,2.597189681486564e-21,2.3152308264351564e-23,1.393582789658134e-29,5.359377708097351e-27,1.7223127237568135e-15,3.0870048999808528e-24,8.150626169818161e-21,9.77962090755436e-25,5.168939930493152e-09,2.84551767213146e-24,7.76282393738521e-30,2.2403636607605406e-34,3.292148012331678e-35,1.7223127237279185e-15,6.793850323130368e-31,5.23244184188151e-28,8.970859183168307e-27
7.118558536623019e-16,0.09238092347748018,3.76,0.0,0.763187612948419,0.9999999927634198,3.21896804020421e-32,5.911597399019282e-24,7.403525299095406e-14,9.110586497294814e-13,7.403525303932393e-14,9.110586447289289e-13,5.342992216087261e-26,7.338030097226864e-25,4.9982319894980254e-21,4.994303700905349e-21,4.4521067117025767e-23,3.679469638306753e-29,1.0315889419859166e-26,2.4112378424595714e-15,5.9362025022395865e-24,1.141288434084315e-20,1.8805849607577075e-24,7.236506407517168e-09,5.4718296356290635e-24,1.4927640629155002e-29,5.9152209276782065e-34,6.336604293101354e-35,2.411237842403998e-15,1.7935513397391016e-30,1.006199767971381e-27,1.7250622638707495e-26
9.152432465805892e-16,0.09238092347748454,3.76,0.0,0.7631876129481369,0.9999999906958377,6.673729220894507e-32,9.695009091917807e-24,9.51881829419607e-14,1.1713611289612222e-12,9.518818302251251e-14,1.1713611207603286e-12,8.762523823986648e-26,1.2034342591610414e-24,8.195862303984955e-21,8.190645257619652e-21,7.301443418965427e-23,7.628461943470256e-29,1.6933972727268082e-26,3.1001629611620877e-15,9.735359263788893e-24,1.467632382436443e-20,3.0841521573189052e-24,9.304067245753939e-09,8.973786582512034e-24,2.4481300763101888e-29,1.2263734243121982e-33,1.0401339747203547e-34,3.100162961070933e-15,3.7180584821302005e-30,1.65019653005913e-27,2.8290942427548996e-26
