Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143),[O]OC(F)F(128),CO2(13),F(37),H2(7),CF2O(48),O(6),[O]C(F)F(146),O2(176),CHFO(46)
5.7874929479808616e-18,0.0899684226592749,3.76,0.0,0.9780327151262308,0.9999999999858566,8.074769813235714e-40,1.4570528666158053e-29,2.4355915447242655e-17,1.2143386307321286e-16,2.4355915447462757e-17,1.2143386306895466e-16,5.292139595507005e-32,7.4850556044843124e-31,4.3254750931193676e-27,4.2466419792319154e-27,2.8282806979244797e-28,2.2313358935675445e-37,2.3298242845437436e-37,1.9438732794799923e-37,1.4570371769783196e-29,7.713579424963452e-26,1.5380660701501906e-30,1.4143290129772946e-11,1.0788339536345633e-29
1.1575064394923406e-17,0.0899684226592749,3.76,0.0,0.9780327151262307,0.9999999999717132,6.45989253474735e-39,5.828270772764488e-29,4.871216124615435e-17,2.428693732209449e-16,4.8712161247192203e-17,2.428693732039118e-16,2.1168780617896536e-31,2.9940525902886252e-30,1.714464260707002e-26,1.6986740713640106e-26,1.1313237874078883e-27,1.7850899000210725e-36,1.8244857208263923e-36,1.5386585079916702e-36,5.828208009335932e-29,1.542972881829341e-25,6.152326726337979e-30,2.8286770696951413e-11,4.3153797127294504e-29
2.3150207288808495e-17,0.08996842265927492,3.76,0.0,0.9780327151262304,0.9999999999434261,5.16794472399861e-38,2.331320181212838e-28,9.742465284080614e-17,4.857403935164087e-16,9.742465284527244e-17,4.85740393448276e-16,8.467560831981163e-31,1.1976270406671597e-29,6.826405168668231e-26,6.794730844010586e-26,4.5253181650268005e-27,1.4280803939555075e-35,1.4438388464710242e-35,1.2243506595939195e-35,2.3312950723215487e-28,3.0869423689711303e-25,2.4609430963089292e-29,5.657372764374286e-11,1.7261606646628138e-28
4.6300493076578675e-17,0.0899684226592749,3.76,0.0,0.9780327151262298,0.9999999998868522,4.1343680934521245e-37,9.325304555470357e-28,1.9484963601742334e-16,9.71482434107336e-16,1.9484963603591833e-16,9.714824338348046e-16,3.387037359741096e-30,4.79051965040425e-29,2.7242716598749204e-25,2.7178992485771256e-25,1.81013186815331e-26,1.1424677044556017e-34,1.1487711257076986e-34,9.768500486244514e-35,9.325204092512315e-28,6.177839777233421e-25,9.843796529403701e-29,1.1314762478706877e-10,6.904660216982165e-28
9.260106465211903e-17,0.08996842265927496,3.76,0.0,0.9780327151262286,0.9999999997737044,3.307499457642373e-36,3.730126657398931e-27,3.8969960231991205e-16,1.942966515289189e-15,3.896996023951517e-16,1.9429665141990608e-15,1.3548201972587853e-29,1.916209740595793e-28,1.088450578633378e-24,1.087161081024246e-24,7.240536669335022e-26,9.139755188102963e-34,9.164968922606605e-34,7.804278428637854e-34,3.7300864504546e-27,1.2371468330277022e-24,3.937522906652642e-28,2.2629535207273233e-10,2.7618675977827658e-27
1.8520220780319975e-16,0.08996842265927497,3.76,0.0,0.9780327151262262,0.9999999995474086,2.646001650741719e-35,1.4920516852676288e-26,7.793995347219069e-16,3.8859346776528875e-15,7.793995350253847e-16,3.885934673292372e-15,5.419312479507288e-29,7.664839386331321e-28,4.351286135925638e-24,4.348647082463553e-24,2.8962165010204818e-25,7.311809563903338e-33,7.321894796000256e-33,6.239213944347259e-33,1.4920355851116172e-26,2.4806060387273682e-24,1.575009594481696e-27,4.525905386404237e-10,1.1047477407673257e-26
2.778033509542805e-16,0.089968422659275,3.76,0.0,0.9780327151262239,0.9999999993211134,7.565912611659659e-35,3.170610532246613e-26,1.1690994669209196e-15,5.8289028400165795e-15,1.1690994675673844e-15,5.828902830750484e-15,1.1516082656960984e-28,1.6287780206562382e-27,9.24491042085729e-24,9.240876768605546e-24,6.154461203533665e-25,2.0907209437834005e-32,2.0928639824691245e-32,1.7837161525447922e-32,3.170576293899325e-26,3.728798740000783e-24,3.346895177542163e-27,6.788854572047968e-10,2.3475893870055074e-26
3.7040449410536117e-16,0.08996842265927504,3.76,0.0,0.9780327151262216,0.9999999990948183,1.595870298407966e-34,5.408689254970737e-26,1.5587993989169501e-15,7.771871002380265e-15,1.558799400021151e-15,7.771870986573394e-15,1.9645149265127059e-28,2.7785029281162664e-27,1.5769323429067243e-23,1.5763850135046672e-23,1.0498787769048625e-24,4.409936441459774e-32,4.4135920521065685e-32,3.7620131634831107e-32,5.408630808304627e-26,4.9817249373307465e-24,5.7094086660169606e-27,9.05180107766169e-10,4.004711697969816e-26
5.556067804075225e-16,0.0899684226592751,3.76,0.0,0.9780327151262169,0.9999999986422289,4.3588173735809795e-34,1.1198005742076815e-25,2.3381992624326247e-15,1.1657807327107619e-14,2.338199264721606e-15,1.1657807294381497e-14,4.067301527510424e-28,5.752534386591014e-27,3.2645510720682986e-23,3.263705242987868e-23,2.1736408520507702e-24,1.2044905406561694e-31,1.2052473119051066e-31,1.0274216305879615e-31,1.1197884597198665e-25,7.498686558925443e-24,1.1820602016229533e-26,1.3577687799032636e-09,8.291247674112874e-26
7.408090667096839e-16,0.08996842265927514,3.76,0.0,0.9780327151262123,0.9999999981896405,9.120104847134322e-34,1.9044876769718748e-25,3.117599125201863e-15,1.554374365183495e-14,3.1175991290975965e-15,1.5543743596176382e-14,6.917451406788846e-28,9.783549078414402e-27,5.551868974249261e-23,5.550708081545257e-23,3.696793959500553e-24,2.5201972634339698e-31,2.5214841754336707e-31,2.149586020690428e-31,1.9044670509921276e-25,1.0033054937761526e-23,2.0103741720326492e-26,1.810356466500375e-09,1.4101241405881554e-25
9.260113530118453e-16,0.08996842265927521,3.76,0.0,0.9780327151262076,0.9999999977370532,1.6602803676280517e-33,2.9096270842123665e-25,3.8969989871713485e-15,1.942967997656225e-14,3.896998993125947e-15,1.9429679891528536e-14,1.0568360045024e-27,1.494704385409367e-26,8.48172170173749e-23,8.480227998297391e-23,5.6478660264987826e-24,4.58792300486641e-31,4.589888811059288e-31,3.9130819611075275e-31,2.909595537332065e-25,1.2586073416868708e-23,3.071396430480703e-26,2.2629430971639126e-09,2.1543511300863686e-25
1.296415925616168e-15,0.08996842265927533,3.76,0.0,0.9780327151261983,0.9999999968318816,4.3836304985032e-33,5.595110563469944e-25,5.455798708660826e-15,2.7201552626016786e-14,5.455798720117896e-15,2.7201552462499952e-14,2.0322836572765957e-27,2.8742596246643403e-26,1.6309391916439547e-22,1.6307178235226888e-22,1.0860646396706024e-23,1.2113470447296056e-30,1.2117248623578695e-30,1.0331101576898356e-30,5.595049743586153e-25,1.7749232188678465e-23,5.90618150034207e-26,3.168113124377032e-09,4.142740965918467e-25
1.6668204982204908e-15,0.08996842265927546,3.76,0.0,0.978032715126189,0.9999999959267142,9.088364735196376e-33,9.17596818461706e-25,7.014598426902096e-15,3.4973425275471203e-14,7.014598445697906e-15,3.497342500730401e-14,3.3329805876195224e-27,4.713772104178964e-26,2.6746736574768414e-22,2.674373083492434e-22,1.78114324163418e-23,2.5114258049813663e-30,2.51204501118786e-30,2.1418276445255955e-30,9.17586819083283e-25,2.298813895149919e-23,9.686114497962808e-26,4.073278862916258e-09,6.794084661716431e-25
2.4076296434291366e-15,0.0899684226592757,3.76,0.0,0.9780327151261703,0.9999999941163925,2.730791493329779e-32,1.9023429985774396e-24,1.0132197853641404e-14,5.051717057437972e-14,1.0132197892622739e-14,5.051717001842112e-14,6.910046367311086e-27,9.77246523880264e-26,5.544934892211999e-22,5.544454285142171e-22,3.6926288536590875e-23,7.546108613547324e-30,7.547389606550002e-30,6.435331595077774e-30,1.9023221569316877e-24,3.369316467663246e-23,2.0081013488718882e-25,5.883597475885797e-09,1.4085354135566117e-24
3.8892479338464284e-15,0.0899684226592762,3.76,0.0,0.978032715126133,0.9999999904958004,1.1740558102017034e-31,4.946126618827296e-24,1.6367396668147645e-14,8.160466117219546e-14,1.6367396769532004e-14,8.160465972669367e-14,1.796722833301649e-26,2.5408419175106766e-25,1.4416602033529154e-21,1.4415674874626595e-21,9.600897313067052e-23,3.244315220633166e-29,3.2446457634892614e-29,2.766665105321042e-29,4.946071820983476e-24,5.601205885286785e-23,5.2210775606416795e-25,9.504183246464304e-09,3.662215919458226e-24
6.852484514681011e-15,0.08996842265927717,3.76,0.0,0.9780327151260584,0.9999999832548222,6.6112563720293e-31,1.5330831765164802e-23,2.883779414127374e-14,1.437796423678218e-13,2.8837794455591305e-14,1.4377963788740266e-13,5.569684372370395e-26,7.875391503603668e-25,4.4684411031144974e-21,4.4682244821501195e-21,2.975855349703883e-22,1.826912981751506e-28,1.827012477733509e-28,1.5579070891856936e-28,1.533065801385383e-23,1.0428519642697698e-22,1.618291414788784e-24,1.674514897331812e-08,1.1351257063250494e-23
1.2778957676350176e-14,0.08996842265927912,3.76,0.0,0.9780327151259091,0.999999968773689,4.390126752811743e-30,5.328884440585625e-23,5.3778588463995584e-14,2.681296047590538e-13,5.37785895566875e-14,2.681295891854806e-13,1.936423730372898e-25,2.7373518653891843e-24,1.5531787725152994e-20,1.5531184909529314e-20,1.0343830575706795e-21,1.2131375122898932e-27,1.2131680935359922e-27,1.0344939919149653e-27,5.328821299183902e-23,2.1537292152804103e-22,5.6249596547191584e-24,3.122625721395251e-08,3.945604781561731e-23
2.4631903999688507e-14,0.08996842265928302,3.76,0.0,0.9780327151256105,0.9999999398147151,3.191469445702782e-29,1.979597726310063e-22,1.036601746154362e-13,5.168295295414354e-13,1.0366017867490534e-13,5.168294716882898e-13,7.196812798784414e-25,1.0168267228923154e-23,5.769760531929409e-20,5.769567653017497e-20,3.842554427740904e-21,8.819051431082453e-27,8.819106359334391e-27,7.520327039316716e-27,1.9795722210611601e-22,4.957146703160141e-22,2.0895087139241742e-23,6.018518119182697e-08,1.4657243162625332e-22
3.648485032302684e-14,0.08996842265928691,3.76,0.0,0.978032715125312,0.9999999108601308,9.859744604567639e-29,4.343045912524022e-22,1.535417574416924e-13,7.65529454323707e-13,1.5354176634797323e-13,7.655293273999735e-13,1.5795153453210528e-24,2.2307151970355066e-23,1.2658224815807396e-19,1.265782552226877e-19,8.430160056927722e-21,2.724555347457029e-26,2.7245520742967044e-26,2.323322783450749e-26,4.342986203289344e-22,8.536121706846507e-22,4.5840401680624734e-23,8.913971561859739e-08,3.2156454185306977e-22
6.019074296970349e-14,0.08996842265929471,3.76,0.0,0.9780327151247148,0.9999998529641275,4.430315537148523e-28,1.1820210855350258e-21,2.5330491311980577e-13,1.2629293038879203e-12,2.5330493735978674e-13,1.2629289584499932e-12,4.302566041815144e-24,6.070568217969076e-23,3.4450795671995385e-19,3.4449762051729105e-19,2.2943667856439312e-20,1.2242255388699515e-25,1.2242091165594785e-25,1.0439373805755683e-25,1.182002540207144e-21,1.802079613617955e-21,1.2475256120497354e-22,1.4703561923944059e-07,8.751758703479643e-22
8.389663561638015e-14,0.08996842265930251,3.76,0.0,0.9780327151241176,0.999999795085674,1.1660047913069732e-27,2.29644545748014e-21,3.5306805549991654e-13,1.7603291534516938e-12,3.530681025936732e-13,1.7603284823355737e-12,8.365531926987741e-24,1.1792862944464214e-22,6.693088470232674e-19,6.692892137805074e-19,4.457489831121362e-20,3.221993128438787e-25,3.2219242946969482e-25,2.7474972134628726e-25,2.2964054163784088e-21,3.060782379542807e-21,2.423559151884511e-22,2.049139727639515e-07,1.7002899510904143e-21
1.076025282630568e-13,0.08996842265931031,3.76,0.0,0.9780327151235204,0.9999997372247659,2.4074043232049544e-27,3.777585485450702e-21,4.5283118458374797e-13,2.257729003015027e-12,4.5283126205131704e-13,2.2577278990567495e-12,1.3771396739008747e-23,1.9397129298426152e-22,1.1009848481706808e-18,1.1009529634340475e-18,7.332384264037001e-20,6.65228633848005e-25,6.652098269820151e-25,5.672615896384587e-25,3.777513187844128e-21,4.629728244933009e-21,3.9864444380605885e-22,2.627747813008519e-07,2.796906698212177e-21
1.3130842090973346e-13,0.0899684226593181,3.76,0.0,0.9780327151229232,0.9999996793813973,4.31097770522189e-27,5.625449163866623e-21,5.5259430037307e-13,2.7551288525779204e-12,5.525944157344481e-13,2.7551272086135547e-12,2.0523225775282105e-23,2.8882884361076406e-22,1.639535887764397e-18,1.6394887963812733e-18,1.0919049185137163e-19,1.1912291785178937e-24,1.1911877396813532e-24,1.0157986444553136e-24,5.625331958038967e-21,6.5089252020205866e-21,5.936119623064577e-22,3.206180500982203e-07,4.165026024634718e-21
1.7872020620308677e-13,0.0899684226593337,3.76,0.0,0.9780327151217288,0.9999995637472602,1.0636371085539654e-26,1.0421377045048745e-20,7.521204920747302e-13,3.749928551702387e-12,7.521207057835686e-13,3.749925506234186e-12,3.8076110629588344e-23,5.349707500575134e-22,3.0372628151975774e-18,3.037176442483814e-18,2.02276871704143e-19,2.9390593571335127e-24,2.9389205441556955e-24,2.5062275260892087e-24,1.0421125067904074e-20,1.1198101955802967e-20,1.0995610976029496e-21,4.362519878781324e-07,7.715772095079537e-21
2.2613199149644008e-13,0.08996842265934932,3.76,0.0,0.9780327151205345,0.9999994481832205,2.129240523460814e-26,1.6684293072053976e-20,9.516466306190512e-13,4.744728250825093e-12,9.516469727548688e-13,4.7447233751977494e-12,6.104869971944401e-23,8.563157299582484e-22,4.8624890515615605e-18,4.862351568751601e-18,3.238339660222285e-19,5.883490480383981e-24,5.883143079370524e-24,5.017034560224097e-24,1.6683833570287064e-20,1.7128376593493932e-20,1.7601538520804844e-21,5.518158280686744e-07,1.2352527469583393e-20
2.735437767897934e-13,0.08996842265936487,3.76,0.0,0.9780327151193401,0.9999993326892341,3.7489753535952994e-26,2.4414264576264267e-20,1.1511727160209221e-12,5.73952794994604e-12,1.1511732166629016e-12,5.739520815504538e-12,8.946678152776447e-23,1.2528231554299114e-21,7.115213988989833e-18,7.115013561465106e-18,4.738616992044227e-19,1.035901237585303e-23,1.0358279377177017e-23,8.833449325466318e-24,2.4413508839383343e-20,2.4299816426852316e-20,2.5753381740899884e-21,6.673096148145428e-07,1.8075291419566408e-20
3.683673473765e-13,0.0899684226593961,3.76,0.0,0.9780327151169514,0.9999991019112504,9.121944679409147e-26,4.427563600078312e-20,1.5502247274551707e-12,7.729127348182653e-12,1.5502256353457115e-12,7.729114410148939e-12,1.6273964883265768e-22,2.2711674450106057e-21,1.2903157603374574e-17,1.290279575993404e-17,8.5932878813652525e-19,2.520478774174378e-23,2.5202355467492108e-23,2.1492895699036234e-23,4.427395943194647e-20,4.2366453586906e-20,4.669279137979839e-21,8.980871995057682e-07,3.2778842215336536e-20
4.631909179632066e-13,0.08996842265942728,3.76,0.0,0.9780327151145628,0.9999988714129675,1.8120341662953173e-25,7.000601281978365e-20,1.9492765264926122e-12,9.71872674641223e-12,1.949277961944528e-12,9.718706290169669e-12,2.580941687847978e-22,3.589689389683529e-21,2.0401088952760007e-17,2.0400518287314826e-17,1.3586775531996645e-18,5.006705085433974e-23,5.0060960556316674e-23,4.269370535726784e-23,7.000287440816631e-20,6.539853478139705e-20,7.380981193315355e-21,1.1285850833019186e-06,5.182641884666304e-20
6.5283805913662e-13,0.08996842265948968,3.76,0.0,0.9780327151097855,0.9999984112541526,5.071569796264599e-25,1.3907585229318793e-19,2.747379487833092e-12,1.3697925542850272e-11,2.747382339335853e-12,1.3697884906349156e-11,5.158383399520279e-22,7.12602138011943e-21,4.052689618933643e-17,4.052576548482149e-17,2.6990177897911304e-18,1.4012226957573315e-22,1.4009789102440239e-22,1.194865299344918e-22,1.3906767357757668e-19,1.2636109829139294e-19,1.4656071792823136e-20,1.5887431001244622e-06,1.0295362727408715e-19
8.424852003100332e-13,0.08996842265955209,3.76,0.0,0.9780327151050082,0.9999979522100824,1.0899598367811256e-24,2.316279311426651e-19,3.5454816009554813e-12,1.7677124339260184e-11,3.5454863497292635e-12,1.767705666406111e-11,8.642816971434717e-22,1.185932615775905e-20,6.749259829106469e-17,6.749071739362591e-17,4.494877756026094e-18,3.0113087785852995e-22,3.0106344813402983e-22,2.567834618681999e-22,2.316110635867747e-19,2.0719165381689063e-19,2.4397411250512196e-20,2.047786372261479e-06,1.7145687194378395e-19
1e-12,0.08996842265967685,3.76,0.0,0.9780327151010404,0.9999975717883822,1.8227938404487038e-24,3.263530000981047e-19,4.2083588346339636e-12,2.0982118537753693e-11,4.2083655250311106e-12,2.0982023191275212e-11,1.2237683456626533e-21,1.6698819928723673e-20,9.50891381884334e-17,9.508648940094885e-17,6.332746296228547e-18,5.035752804421685e-22,5.034399402185377e-22,4.29413951449189e-22,3.2632542676735008e-19,2.894336326343824e-19,3.4360820160373224e-20,2.4282074094090064e-06,2.4156278017698797e-19
1.2217794826568597e-12,0.08996842265967685,3.76,0.0,0.9780327150954536,0.9999970374553938,3.324570052203434e-24,4.871953962080194e-19,5.1416832861833416e-12,2.5635521931995674e-11,5.141693273076747e-12,2.5635379604154692e-11,1.83957228135122e-21,2.4906918863701558e-20,1.4194353760700546e-16,1.4193958447895044e-16,9.453138283724321e-18,9.184134197837046e-22,9.181112689789763e-22,7.831590267728969e-22,4.871462154176634e-19,4.2847332475575516e-19,5.126607232648173e-20,2.962539464407948e-06,3.6059129139035396e-19
1.6010737650036862e-12,0.08996842265980164,3.76,0.0,0.9780327150858991,0.9999961271273742,7.482209256870376e-24,8.367415967502725e-19,6.737881589439154e-12,3.3593919524618874e-11,6.737898739084007e-12,3.359367511059485e-11,3.196561062007289e-21,4.2712624592053374e-20,2.437536079544889e-16,2.437468178565059e-16,1.623342195121176e-17,2.066773006756286e-21,2.0658877201820783e-21,1.762400109055775e-21,8.36633509902614e-19,7.292767252904318e-19,8.796145482411621e-20,3.87286588775806e-06,6.192293201978562e-19
1.9803680473505127e-12,0.08996842265992643,3.76,0.0,0.9780327150763445,0.999995221204597,1.4160271586639286e-23,1.2802997232490576e-18,8.334076517952423e-12,4.1552317117130017e-11,8.334102754814579e-12,4.1551943183525643e-11,4.9477920675785485e-21,6.525668086255671e-20,3.7292251064504914e-16,3.729121161613728e-16,2.4835691605012703e-17,3.91106949746404e-21,3.909013816023648e-21,3.3350877348550255e-21,1.2800980644830183e-18,1.1096350342640302e-18,1.3445811350702405e-19,4.778787068549849e-06,9.473706022373702e-19
2.359662329697339e-12,0.0899684226600512,3.76,0.0,0.9780327150667899,0.999994319665742,2.395637831223835e-23,1.8179029679162665e-18,9.930268078917859e-12,4.951071470952941e-11,9.930305327297175e-12,4.9510183823090807e-11,7.105756134492003e-21,9.251940890317498e-20,5.29449947257865e-16,5.294351783631903e-16,3.5259910124549387e-17,6.616163945555683e-21,6.612045168162855e-21,5.6418039632815614e-21,1.8175649313716997e-18,1.569581431634266e-18,1.9073067023690717e-19,5.680324327176121e-06,1.345014782272524e-18
2.7389566120441657e-12,0.08996842266017598,3.76,0.0,0.9780327150572353,0.9999934224895938,3.746837051424933e-23,2.449584524336199e-18,1.152645627949565e-11,5.746911230181743e-11,1.1526506463525955e-11,5.746839702943368e-11,9.682891283080892e-21,1.2448121305852037e-19,7.133356196392994e-16,7.133157037651956e-16,4.7506040422148614e-17,1.0346916898804549e-20,1.0339470662173969e-20,8.823130435638228e-21,2.449059097803292e-18,2.109149098120279e-18,2.567538137052133e-19,6.577498879043671e-06,1.812161505952455e-18
