Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143),[O]OC(F)F(128),CO2(13),F(37),H2(7),CF2O(48),O(6)
2.5093636175250013e-07,0.4512776060448232,3.76,0.0,0.6623679501767896,0.9999999998241879,3.2704998097382757e-14,3.965288280073911e-13,1.5248023536974093e-10,6.355819491445768e-11,1.6090528416244479e-10,5.728534522769945e-11,2.054184913120974e-16,8.179016593086834e-19,5.401435464611272e-12,4.958539721298623e-12,8.833642035692292e-12,6.867062050819052e-13,5.93086810971771e-14,1.6110785631313677e-13,3.7957417802772823e-13,4.808328118773086e-14
2.698515670965626e-07,0.4512776060451199,3.76,0.0,0.6623679501597238,0.9999999998098029,4.0683128407243524e-14,4.587091320349211e-13,1.6341628398736553e-10,6.84514686713225e-11,1.7303952425148008e-10,6.117605494343491e-11,2.36470318790626e-16,8.741627935657924e-19,6.196738113873876e-12,5.65316989400083e-12,1.016141758067818e-11,8.449640274689041e-13,6.792156553265463e-14,1.9915862611970732e-13,4.379309894328102e-13,5.936677486224931e-14
3.0768197778468765e-07,0.4512776060456974,3.76,0.0,0.6623679501255085,0.9999999997805913,6.033418811828258e-14,5.96646871989846e-13,1.851047794458291e-10,7.830146249685727e-11,1.9731145938958892e-10,6.879141312260906e-11,3.046030614997163e-16,9.845395864564572e-19,7.928508851812833e-12,7.1437251980232055e-12,1.3072239686354743e-11,1.2262399384690477e-12,8.646128831419873e-14,2.9170615708004937e-13,5.66745092633511e-13,8.673997167816368e-14
3.417293474040002e-07,0.45127760604619976,3.76,0.0,0.6623679500946117,0.9999999997538076,8.269410523752799e-14,7.36240515389886e-13,2.044295508151655e-10,8.724414585758196e-11,2.19160485883789e-10,7.546022696657457e-11,3.726327432081791e-16,1.0814881941456016e-18,9.641236261225897e-12,8.591162819016351e-12,1.5976181896453265e-11,1.6484522198804039e-12,1.0452208200116972e-13,3.9539504082648116e-13,6.963616699482558e-13,1.1731025780388372e-13
3.757767170233127e-07,0.45127760604668643,3.76,0.0,0.6623679500636094,0.9999999997265675,1.0999146912872716e-13,8.904298487958358e-13,2.2358477483957612e-10,9.626586949959098e-11,2.410139384060033e-10,8.195841795831647e-11,4.468433804405697e-16,1.1762319124102058e-18,1.1492695822190916e-11,1.0129002408808435e-11,1.9142159037555173e-11,2.1508792054096644e-12,1.2375729796560028e-13,5.201516087190417e-13,8.38828324390126e-13,1.5397909159452724e-13
4.0982408664262526e-07,0.45127760604715855,3.76,0.0,0.6623679500324949,0.9999999996988813,1.4271608904212837e-13,1.0591650061709947e-12,2.42584041663255e-10,1.0537136327594545e-10,2.628721530877663e-10,8.829035204723758e-11,5.270695900531911e-16,1.268826909949572e-18,1.3476100673274065e-11,1.1748263978408267e-11,2.256355551627666e-11,2.7381350999694964e-12,1.4405128805637116e-13,6.675755468366079e-13,9.940447964862794e-13,1.9717678845509852e-13
4.6011689338625054e-07,0.4512776060478312,3.76,0.0,0.6623679499863159,0.9999999996571897,2.0201850624283184e-13,1.3348940401910204e-12,2.7039011898122694e-10,1.18983660405597e-10,2.9516923106259524e-10,9.734833990189115e-11,6.562401445481423e-16,1.401787432408277e-18,1.6633422791877574e-11,1.427141511451231e-11,2.8071442356157426e-11,3.769492628880203e-12,1.7573751049888038e-13,9.30019742976484e-13,1.2464552153535017e-12,2.73778692960774e-13
5.104097001298758e-07,0.4512776060484761,3.76,0.0,0.6623679499398601,0.9999999996145766,2.7579067580562683e-13,1.6419986062671144e-12,2.9792129471599666e-10,1.3279992814880202e-10,3.274783607427981e-10,1.0606610504350235e-10,7.976825612748843e-16,1.5303495527373814e-18,2.0044139088815873e-11,1.6929052146305928e-11,3.410376634886449e-11,5.006574706445349e-12,2.0917766680783358e-13,1.2498274670426014e-12,1.5262219228012629e-12,3.666936314904364e-13
5.607025068735011e-07,0.45127760604909595,3.76,0.0,0.6623679498931112,0.9999999995710706,3.655838426848033e-13,1.9802050931051823e-12,3.2521175617736946e-10,1.4683021712330992e-10,3.5980043611761413e-10,1.1445642675724279e-10,9.509128341226218e-16,1.6546776801493861e-18,2.36890315583751e-11,1.9698636075039988e-11,4.0642643044569346e-11,6.459141530074671e-12,2.4408133663405193e-13,1.6312533146067234e-12,1.8331152250323366e-12,4.769955102919637e-13
6.109953136171264e-07,0.45127760604969214,3.76,0.0,0.6623679498460554,0.9999999995266993,4.729346971190655e-13,2.3491993719152756e-12,3.5229241583246447e-10,1.6108283805500505e-10,3.921362822222345e-10,1.225316027086162e-10,1.1154652291081048e-15,1.774930029067473e-18,2.754986045361069e-11,2.2559821223734498e-11,4.767136206177917e-11,8.135241576810371e-12,2.801862711255224e-13,2.0782237231676178e-12,2.1669367496150506e-12,6.056455383905067e-13
