Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143),[O]OC(F)F(128),CO2(13),F(37),H2(7),CF2O(48),O(6),[O]C(F)F(146),O2(176),CHFO(46),FC(F)C(F)F(130),CO(12),CHF2-CF2(68),CF2(42),OO[C](F)F(619),FC1(F)OO1(411)
1.1285648131957293e-19,0.48878917731686955,3.76,0.0,0.7901458080151684,0.9999999999997521,9.199379093362435e-46,3.770511868990548e-33,1.261900951119151e-18,1.3376769457671582e-17,1.2619009510466702e-18,1.3376769457668973e-17,5.3563587030919573e-36,7.424784968982816e-35,7.509821714029043e-29,2.603912130795811e-30,8.92461281706866e-33,2.6442650661989695e-42,4.950711488711464e-40,9.334480467854381e-20,3.769678859173294e-33,1.0032546427831219e-25,9.740603797612038e-34,2.4793298692374253e-13,3.307416529881237e-33,7.153792020582206e-39,1.196266662750158e-47,6.312857660365841e-44,9.334480467854381e-20,7.289770646685721e-44,1.4209526860502411e-42
2.258110134482854e-19,0.48878917731686955,3.76,0.0,0.7901458080151684,0.999999999999504,7.365096891407898e-45,1.5091873714349677e-32,2.524898254063329e-18,2.6765160782812904e-17,2.524898253918332e-18,2.6765160782802467e-17,2.1439393893968986e-35,2.9718489421098996e-34,1.554744452863386e-28,1.0422434514026194e-29,3.5721709480104793e-32,2.117019879319767e-41,1.9921610359268442e-39,1.8677070823169975e-19,1.5088539503887317e-32,2.0073810086817908e-25,3.8987799930853436e-33,4.960813803018529e-13,1.3238285495753125e-32,2.8633811402923176e-38,9.577407115438662e-47,2.5267883338570563e-43,1.8677070823169975e-19,5.836248181832538e-43,5.6875138537718493e-42
4.517200777057103e-19,0.48878917731686955,3.76,0.0,0.7901458080151684,0.9999999999990077,5.894315917062249e-44,6.03871529402185e-32,5.0508928599503505e-18,5.354194343309555e-17,5.050892859660401e-18,5.354194343305378e-17,8.578550174334892e-35,1.1891266778634243e-33,3.318719877340273e-28,4.1703313905624323e-29,1.4293336759849909e-31,1.6942593090110158e-40,8.055956617237047e-39,3.736225153380116e-19,6.037381175290117e-32,4.015633997749484e-25,1.5600198363896484e-32,9.92378166646219e-13,5.297038564836361e-32,1.1457254288255764e-37,7.664836461887546e-46,1.0110445362082239e-42,3.736225153380116e-19,4.670770974458419e-42,2.2757463744943096e-41
9.035382062205602e-19,0.48878917731686955,3.76,0.0,0.7901458080151683,0.999999999998015,4.716348287338948e-43,2.4158793356913657e-31,1.0102882071719047e-17,1.0709550873366083e-16,1.0102882071139516e-17,1.0709550873349376e-16,3.4319786764715557e-34,4.757281022393289e-33,7.4724741725147e-28,1.668404111887596e-28,5.718265429874998e-31,1.3556648644280308e-39,3.290692303687995e-38,7.4732612955063515e-19,2.415345601129435e-31,8.032141004966282e-25,6.241095165822083e-32,1.9849717376875325e-12,2.1191603483683863e-31,4.5836477672432956e-37,6.133033726149337e-45,4.044837083539628e-42,7.4732612955063515e-19,3.737324310849924e-41,9.104467375014685e-41
1.80717446325026e-18,0.48878917731686955,3.76,0.0,0.7901458080151682,0.9999999999960298,3.773436890836046e-42,9.664303838283208e-31,2.0206860495235072e-17,2.1420263933479134e-16,2.0206860494077665e-17,2.1420263933412305e-16,1.3729032029513039e-33,1.9030672810629427e-32,1.8283196547721888e-27,6.6741595974990305e-28,2.287492330237744e-30,1.0846348694220898e-38,1.3706165312947747e-37,1.4947333579758824e-18,9.662168724704581e-31,1.6065159135725548e-24,2.4966412426608295e-31,3.970158873180484e-12,8.477331287451025e-31,1.8336083281194297e-36,4.906892853330733e-44,1.6180669822169285e-41,1.4947333579758824e-18,2.990139944411173e-40,3.642083346515928e-40
3.6144469773096594e-18,0.48878917731686955,3.76,0.0,0.790145808015168,0.9999999999920595,3.0188928266588953e-41,3.8658788426930934e-30,4.041481734218162e-17,4.284169005370523e-16,4.041481733987365e-17,4.284169005343791e-16,5.491836308956517e-33,7.612578870601873e-32,4.991749643737522e-27,2.6697724728126135e-27,9.150341649534351e-30,8.677490888760777e-38,5.916566721201494e-37,2.9895478148263766e-18,3.865024761250182e-30,3.213121186254676e-24,9.986971320259015e-31,7.94053311780769e-12,3.3910704986732676e-30,7.334731767208207e-36,3.925700641565466e-43,6.472535049306701e-41,2.9895478148263766e-18,2.392220084529034e-39,1.4568926200153841e-39
7.228992005428458e-18,0.48878917731686955,3.76,0.0,0.7901458080151675,0.9999999999841187,2.415171591574003e-40,1.5463830012536398e-29,8.083073103573275e-17,8.56845422941574e-16,8.083073103114435e-17,8.568454229308807e-16,2.196779243384083e-32,3.0450934915015643e-31,1.5323751677208296e-26,1.0679307162387192e-26,3.660211125856922e-29,6.942157488545697e-37,2.7137839035085475e-36,5.979176728527363e-18,1.546041360718826e-29,6.426338317740012e-24,3.994869785459842e-30,1.5881281501627295e-11,1.3564557966867205e-29,2.933952400219889e-35,3.140635058776456e-42,2.589069695515843e-40,5.979176728527363e-18,1.9138127999142442e-38,5.827689044960532e-39
1.4458082061666053e-17,0.48878917731686966,3.76,0.0,0.7901458080151667,0.9999999999682371,1.932160210656224e-39,6.185594951050406e-29,1.6166255842146705e-16,1.7137024677506158e-15,1.616625584124006e-16,1.7137024677078423e-15,8.78720657053947e-32,1.2180497796733972e-30,5.200832396506642e-26,4.2717663192832694e-26,1.46409934288463e-28,5.553791902384681e-36,1.3632146802951623e-35,1.1958434555929331e-17,6.184228366953861e-29,1.2852798925195206e-23,1.597964154588834e-29,3.1762777847527306e-11,5.425878381573394e-29,1.173592899923833e-34,2.512537865585875e-41,1.0356408140728502e-39,1.1958434555929331e-17,1.5310545004156118e-37,2.3310993311512827e-38
2.891626217414125e-17,0.4887891773168699,3.76,0.0,0.7901458080151648,0.9999999999364739,1.5457373515324692e-38,2.4742505833818534e-28,3.2332621318746394e-16,3.4274165573686935e-15,3.2332621316977255e-16,3.4274165571976e-15,3.5149006729796116e-31,4.872223839431967e-30,1.8945974141449825e-25,1.7087152183890656e-25,5.856427150360063e-28,4.4430598861482154e-35,7.674418361371762e-35,2.391695021073324e-17,2.4737039405182695e-28,2.570582551804487e-23,6.39188900962151e-29,6.352576885237069e-11,2.1703623915641043e-28,4.694395487971683e-34,2.0100422199053304e-40,4.1426035330310624e-39,2.391695021073324e-17,1.2248286128086365e-36,9.324444750959933e-38
5.783262239909164e-17,0.48878917731687016,3.76,0.0,0.790145808015161,0.9999999998729476,1.2365935672214e-37,9.897027649097245e-28,6.466535226975707e-16,6.854844736604828e-15,6.466535226639544e-16,6.85484473592045e-15,1.4059639783794659e-30,1.948894443517532e-29,7.206916677286181e-25,6.834878253117671e-25,2.3425768108057928e-27,3.5544584537623096e-34,4.847005187790512e-34,4.783398152034093e-17,9.894841020524999e-28,5.141230021551085e-23,2.556762010365663e-28,1.2705174411423146e-10,8.681471643537558e-28,1.8777629796532378e-33,1.6080385468046353e-39,1.6570609925000237e-38,4.7833981520340934e-17,9.798301900648443e-36,3.7297873855237133e-37
1.1566534284899242e-16,0.48878917731687077,3.76,0.0,0.7901458080151534,0.999999999745895,9.892763486268726e-37,3.958816210434551e-27,1.2933081416302367e-15,1.3709701095077002e-14,1.29330814157007e-15,1.3709701092339491e-14,5.623864133716198e-30,7.795587298258987e-29,2.808471885381034e-24,2.733954775700186e-24,9.370319103633584e-27,2.8435709795341376e-33,3.360590365248206e-33,9.566804413955585e-17,3.95794151664769e-27,1.0282693565758594e-22,1.0227060280506155e-27,2.5410366764665497e-10,3.472593072366181e-27,7.51106154194204e-33,1.2864327456227112e-38,6.628375320026937e-38,9.566804413955588e-17,7.83808348947848e-35,1.491916851117682e-36
2.3133078374879394e-16,0.4887891773168719,3.76,0.0,0.7901458080151383,0.99999999949179,7.914217095631972e-36,1.583527584480348e-26,2.586617379145378e-15,2.7419413812020987e-14,2.586617379053306e-15,2.7419413801070938e-14,2.2495479389789454e-29,3.1182365910931813e-28,1.1085297775687788e-23,1.0935826040006593e-23,3.7481299807957504e-26,2.2748584679660414e-32,2.4816663642335124e-32,1.9133616937798388e-16,1.5831776737464955e-26,2.0566295073091993e-22,4.090826100808653e-27,5.082074067463553e-10,1.3890381115292083e-26,3.004426584955165e-32,1.0291469594882795e-37,2.651450151170835e-37,1.9133616937798393e-16,6.2695601788661445e-34,5.967671197314335e-36
3.469962246485955e-16,0.4887891773168732,3.76,0.0,0.7901458080151232,0.999999999237685,2.2629719535181798e-35,3.364996883558561e-26,3.879926616310328e-15,4.1129126528964606e-14,3.87992661620755e-15,4.112912650569575e-14,4.7802915202894615e-29,6.626253538612799e-28,2.3463389115380638e-23,2.323863465708031e-23,7.96477763426795e-26,6.504674665930488e-32,6.944141522214141e-32,2.8700429461641007e-16,3.364253274646216e-26,3.0850570999404835e-22,8.69300619029838e-27,7.623110378809549e-10,2.951706538088734e-26,6.384407784782803e-32,2.942717647223296e-37,5.634498569540081e-37,2.8700429461641007e-16,1.7925530639237724e-33,1.268130366343965e-35
5.783271064481985e-16,0.4887891773168756,3.76,0.0,0.790145808015093,0.9999999987294756,1.0399781491518647e-34,9.303229315448297e-26,6.46654508923947e-15,6.854855196285039e-14,6.4665450892000645e-15,6.854855189851882e-14,1.3216111395884822e-28,1.8319642147317247e-27,6.462463355155245e-23,6.424800122036723e-23,2.2020271044184205e-25,2.989307422200771e-31,3.110807067791237e-31,4.78340545093255e-16,9.301173109652796e-26,5.142182052843743e-22,2.403360322177955e-26,1.2705178682901183e-09,8.160601877419617e-26,1.7651013565285066e-31,1.3523639798798026e-36,1.557885487515756e-36,4.783405450932551e-16,8.235832260257079e-33,3.506008106858067e-35
8.096579882478017e-16,0.48878917731687804,3.76,0.0,0.7901458080150628,0.9999999982212667,2.580778488182641e-34,1.7616756071725335e-25,9.053163560767852e-15,9.596797739673471e-14,9.053163560876607e-15,9.596797727491535e-14,2.5026268473757066e-28,3.469038383715479e-27,1.2219093969958377e-22,1.2166111702669557e-22,4.169796232645644e-25,7.418174875523175e-31,7.648248593432972e-31,6.696767955700927e-16,1.761286189528748e-25,7.199576773436541e-22,4.5510433889779816e-26,1.778724266839613e-09,1.5453055699576982e-25,3.342426313274215e-31,3.355985548695671e-36,2.9502159013958575e-36,6.696767955700929e-16,2.04342986514975e-32,6.639037093751318e-35
1.0409888700474048e-15,0.4887891773168805,3.76,0.0,0.7901458080150326,0.999999997713058,5.056446735588675e-34,2.830557764313304e-25,1.1639782030895472e-14,1.2338740283061757e-13,1.163978203123718e-14,1.2338740263488532e-13,4.0210767243207176e-28,5.573847697559391e-27,1.961623075145481e-22,1.9547798198996728e-22,6.699785125046895e-25,1.4534220605125857e-30,1.4903889429475243e-30,8.6101304604692305e-16,2.829931994906042e-25,9.257241261767726e-22,7.312349497831824e-26,2.286930233529806e-09,2.4829068001175475e-25,5.370415689326189e-31,6.575287746778923e-36,4.7405099350246094e-36,8.610130460469233e-16,4.003015912128119e-32,1.0667217326113827e-34
1.503650633646611e-15,0.4887891773168853,3.76,0.0,0.7901458080149723,0.9999999966966421,1.2846305540893395e-33,5.525789381153231e-25,1.6813018967863223e-14,1.7822625369837985e-13,1.6813018968869828e-14,1.7822625331627317e-13,7.849915206308112e-28,1.0881211566582587e-26,3.826067183322634e-22,3.8161030659599372e-22,1.307925820274327e-24,3.692534103337801e-30,3.764700420706141e-30,1.2436855470005668e-15,5.524567511819827e-25,1.3373203366946998e-21,1.427509642836325e-25,3.3033411533639895e-09,4.847107677858565e-25,1.0484076400970955e-30,1.6705040431942535e-35,9.255363979509801e-36,1.243685547000567e-15,1.0167379883649735e-31,2.0824442955211654e-34
1.9663123972458173e-15,0.48878917731689014,3.76,0.0,0.7901458080149119,0.9999999956802275,2.579979425955039e-33,9.094502025458157e-25,2.19862558996799e-14,2.330651045661368e-13,2.1986255901663192e-14,2.330651039372548e-13,1.2919623205273526e-27,1.79086030273132e-26,6.293783914781602e-22,6.280650666208384e-22,2.152621368038787e-24,7.415876214562056e-30,7.534649409694905e-30,1.6263580479541837e-15,9.092490649918816e-25,1.749015750472018e-21,2.3494351464889175e-25,4.319750485100542e-09,7.97750731689384e-25,1.725499131850489e-30,3.354945647724246e-35,1.5234356140189448e-35,1.6263580479541835e-15,2.0414929749365534e-31,3.4273458966771136e-34
2.4289741608450236e-15,0.4887891773168951,3.76,0.0,0.7901458080148515,0.9999999946638146,4.567436880061029e-33,1.3599087527368821e-24,2.7159492825977563e-14,2.8790395543388795e-13,2.7159492829271616e-14,2.879039544935153e-13,1.931883725880144e-27,2.677888010215358e-26,9.40786416815357e-22,9.391510068731832e-22,3.2188328718017e-24,1.3128609918088993e-29,1.3306212148137474e-29,2.0090305489077717e-15,1.3596079308817273e-24,2.1608174534884725e-21,3.5131291608120777e-25,5.336158115306374e-09,1.192883419787351e-24,2.5801536020822618e-30,5.9393888865752e-35,2.2782539732390035e-35,2.0090305489077717e-15,3.6132995016071113e-31,5.124939323901462e-34
3.354297688043436e-15,0.48878917731690474,3.76,0.0,0.7901458080147307,0.9999999926309943,1.1603226778769478e-32,2.5474665423637867e-24,3.7505966661669255e-14,3.9758165716937263e-13,3.750596666860802e-14,3.975816554078081e-13,3.618931570919024e-27,5.016384306312638e-26,1.7615716020303424e-21,1.7592761792893402e-21,6.029717987843514e-24,3.335222919172412e-29,3.36849226573566e-29,2.7743755508148625e-15,2.546902770022116e-24,2.9847464039323485e-21,6.581007757447815e-25,7.368968164262225e-09,2.234583554874073e-24,4.8333051367996596e-30,1.508856318010583e-34,4.2688174948442904e-35,2.774375550814859e-15,9.173659839796978e-31,9.600355703231318e-34
4.279621215241849e-15,0.48878917731691457,3.76,0.0,0.7901458080146099,0.9999999905981809,2.3546318222429967e-32,4.11513239935218e-24,4.785244047494545e-14,5.07259358904834e-13,4.7852440486885754e-14,5.072593560592345e-13,5.845966822280496e-27,8.103372481273229e-26,2.844879268097169e-21,2.841902822316664e-21,9.740296578358526e-24,6.768134805779109e-29,6.821877075641238e-29,3.5397205527218377e-15,4.114221291255878e-24,3.809107051805616e-21,1.0630833175161696e-24,9.401771302436984e-09,3.609705751016794e-24,7.807634451165044e-30,3.061907179375283e-34,6.897408678925666e-35,3.5397205527218286e-15,1.860556799369189e-30,1.5508240515913163e-33
6.130268269638674e-15,0.488789177316934,3.76,0.0,0.7901458080143683,0.9999999865325746,6.901197086481624e-32,8.390629698780231e-24,6.854538803426117e-14,7.266147623756866e-13,6.854538806027446e-14,7.266147565735993e-13,1.1919786725425633e-26,1.6522503536886402e-25,5.798951356778374e-21,5.7945498294597586e-21,1.986015413904074e-23,1.9836735319185403e-28,1.9946311331302081e-28,5.070410556535452e-15,8.388770226940387e-24,5.459123259463215e-21,2.1675899897400076e-24,1.3467356849477762e-08,7.36007575509815e-24,1.5919523734363458e-29,8.974147909974788e-34,1.4070678535284188e-34,5.070410556535418e-15,5.445941096401479e-30,3.1620811527910044e-33
9.831562378432322e-15,0.48878917731697286,3.76,0.0,0.7901458080138851,0.999999978401445,2.903326198571904e-31,2.1502261492940855e-23,1.0993128288395048e-13,1.1653255693171112e-12,1.0993128295438917e-13,1.1653255544484011e-12,3.054646878127034e-26,4.234127971866292e-25,1.485689787143123e-20,1.4849393953827362e-20,5.089458160188338e-23,8.345283699002663e-28,8.373361662080771e-28,8.13179056416137e-15,2.1497486857523882e-23,8.764335292342834e-21,5.5547536675847866e-24,2.1598445027750277e-08,1.886128690303103e-23,4.079616597250191e-29,3.7754101428619295e-33,3.6096111345554725e-34,8.13179056416119e-15,2.2844234859931594e-29,8.103302470911444e-33
1.723415059601962e-14,0.4887891773170507,3.76,0.0,0.7901458080129188,0.9999999621395176,1.6107998343756736e-30,6.596800841253162e-23,1.9270307150758876e-13,2.042747183198839e-12,1.9270307173199528e-13,2.0427471375823985e-12,9.371655815607981e-26,1.2990031234460525e-24,4.5571895639850835e-20,4.555717733510473e-20,1.5614189047686988e-22,4.6300512704577134e-27,4.638662517345452e-27,1.4254550579408238e-14,6.595330002990751e-23,1.5395477741371188e-20,1.7041588367128797e-23,3.786028973008577e-08,5.786546129380708e-23,1.2516068952043967e-28,2.09463738762791e-32,1.1098034454127976e-33,1.4254550579407108e-14,1.2596871283249905e-28,2.486051675334617e-32
3.203932703119422e-14,0.4887891773172064,3.76,0.0,0.7901458080109861,0.9999999296169892,1.0604440536619163e-29,2.278700526840082e-22,3.582466444520632e-13,3.797590410957807e-12,3.582466452448706e-13,3.797590253388017e-12,3.2372968528427237e-25,4.487019378068144e-24,1.5739825905237287e-19,1.5736506791970699e-19,5.3934985463225375e-22,3.048104435167857e-26,3.051075019366116e-26,2.650007060988439e-14,2.2781882619144384e-22,2.874063676668388e-20,5.886483050958344e-23,7.038265256928917e-08,1.998807567527468e-22,4.323351248854703e-28,1.3789640051867515e-31,3.850236378786561e-33,2.6500070609876454e-14,8.191235362171788e-28,8.587400613885584e-32
6.164967990154342e-14,0.4887891773175175,3.76,0.0,0.7901458080071209,0.9999998645772383,7.673551250588961e-29,8.435617297006053e-22,6.893337731310533e-13,7.30727686645779e-12,6.893337761025042e-13,7.307276283149875e-12,1.1984966420702962e-24,1.6610212756931084e-23,5.826363059364285e-19,5.825499478915776e-19,1.9966162948930644e-21,2.2056374697195796e-25,2.206731391875e-25,5.0991110670784616e-14,8.433689686931945e-22,5.576245650303178e-20,2.179060488731078e-22,1.3542207239001339e-07,7.399389674290825e-22,1.6004697113783673e-27,9.9783168645256e-31,1.4377414499168747e-32,5.0991110670725155e-14,5.7846065308077446e-27,3.178971624243647e-31
9.126003277189262e-14,0.4887891773178288,3.76,0.0,0.7901458080032556,0.9999997995445613,2.367367528775719e-28,1.8484441665767665e-21,1.0204208788650524e-12,1.0816963321933847e-11,1.0204208854042445e-12,1.0816962043779284e-11,2.6263153051083904e-24,3.639605382624526e-23,1.2766547054098862e-18,1.2764934932993411e-18,4.3750134231168826e-21,6.804566102899827e-25,6.806948090750443e-25,7.548215073163922e-14,1.848016064737598e-21,8.322628544836073e-20,4.774689822413212e-22,2.0045441825820308e-07,1.6213672767510374e-21,3.506991026014376e-27,3.078390051552591e-30,3.173134111489825e-32,7.548215073145388e-14,1.7554854408209462e-26,6.965818702869141e-31
1.50480738512591e-13,0.4887891773184513,3.76,0.0,0.7901458079955251,0.9999996695004253,1.0623151211857877e-27,5.025837791094101e-21,1.6825950215103084e-12,1.783633623281416e-11,1.6825950393520894e-12,1.7836332757641082e-11,7.141591483043925e-24,9.89539178292033e-23,3.471032019141544e-18,3.470655593641292e-18,1.1895174689465442e-20,3.053375043878971e-24,3.054007466017174e-24,1.244642308533913e-13,5.024638907026654e-21,1.3948002352439637e-19,1.298125313033986e-21,3.304978920929706e-07,4.4083337518692795e-21,9.53523745495858e-27,1.3813492336896428e-29,8.76614658558073e-32,1.2446423085255138e-13,7.554905605897068e-26,1.893935810638279e-30
2.097014442532894e-13,0.4887891773190738,3.76,0.0,0.7901458079877947,0.9999995394845758,2.7943911138624705e-27,9.760130061018302e-21,2.3447690724045897e-12,2.4855709143598745e-11,2.344769107104908e-12,2.4855702394973827e-11,1.3870221467201796e-23,1.9215819878623676e-22,6.740529516899732e-18,6.7398500771842244e-18,2.3099799518706815e-20,8.031703281040661e-24,8.032895245189483e-24,1.73446310975387e-13,9.75774087257139e-21,1.9750192314881205e-19,2.520786304934038e-21,4.6051307949457437e-07,8.560779657170221e-21,1.8517134372476475e-26,3.6335496345340526e-29,1.7265787404223334e-31,1.7344631097316906e-13,1.9241702368400184e-25,3.677935682139127e-30
2.689221499939878e-13,0.48878917731969634,3.76,0.0,0.7901458079800642,0.9999994094970069,5.767724873467121e-27,1.6051409263563025e-20,3.0069430315661616e-12,3.187508205428761e-11,3.0069430886806875e-12,3.1875070955777944e-11,2.2812928300886552e-23,3.160062671231072e-22,1.1085146468605116e-17,1.1084075550568414e-17,3.798885075202639e-20,1.6577495629046903e-23,1.657938259810677e-23,2.2242839109789495e-13,1.6047382317542888e-20,2.5729206300753165e-19,4.145400165638409e-21,5.904999863714707e-07,1.40787044393023e-20,3.045274718781277e-26,7.499675286491162e-29,2.8782957453682267e-31,2.2242839109330678e-13,3.8536515883391194e-25,6.048581334785823e-30
3.281428557346862e-13,0.48878917732031885,3.76,0.0,0.7901458079723337,0.9999992795377122,1.0326326584632779e-26,2.3899768187062486e-20,3.669116899013789e-12,3.889445496488074e-11,3.669116984097906e-12,3.88944384400539e-11,3.397045491480424e-23,4.70495421103039e-22,1.650488212865734e-17,1.6503330586629647e-17,5.656229022557872e-20,2.96793346322797e-23,2.968201267029248e-23,2.714104712211912e-13,2.3893627322628486e-20,3.188505239638191e-19,6.171913682836733e-21,7.204586187937267e-07,2.0962107535519756e-20,4.5342143126355434e-26,1.3426963067144876e-28,4.343161576195665e-31,2.714104712129646e-13,6.700105546512738e-25,9.005872616957962e-30
