Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56),CH2F(45),C2H2F3O2(908),C2HF3O(401),CH3-CF2(64),CHF2-CH2(63),CFO(50),FC1(F)CO1(1321),CH2O(19),CHF2-CHF(66),HCO(14),[O]O[C](F)F(171),C2H3F2O2(1300),O[C](F)F(239),H2O2(11),CF2CH(72),C2HF2O(1089),C2HF2O3(622),CHFCF[Z](71),CHO2(135)
8.547805285695828e-05,0.28117359606577913,3.76,0.0,0.8089780972936294,0.9946074464905265,0.004326239280204027,1.8127836867142043e-05,0.0019419882944972278,3.6002613285523823e-06,0.0010965260772767404,3.2915446801300366e-10,3.277325540577406e-13,3.744060551499239e-06,9.908607381257814e-07,0.0008045845256987743,3.423692752368024e-08,5.8624245328288994e-05,4.607807159141035e-05,0.000827751372040194,4.5395342460922455e-06,0.004091950556593204,0.00017253332574903923,0.0004447064307308424,1.0922583559688683e-05,7.707228471071687e-09,5.810360040936644e-05,4.5702893469814357e-07,2.6368717320374715e-05,4.931558636532048e-05,4.538975156174965e-09,1.042034643619006e-08,1.6011350388244014e-11,0.000144900940947072,6.042778308350721e-13,5.111040943549589e-10,3.301172569333587e-08,4.241600965602095e-07,1.0541912499928812e-07,3.6047694782748626e-11,3.7183858470086893e-16,1.0886710399542275e-11,5.454036388830818e-12,1.0174537670155815e-07,2.8185171186283363e-12,1.5712109820193617e-08,7.037533202875427e-09,5.6724273997577585e-12,1.4483666267147434e-13,4.075021340046085e-13,2.2763264774797275e-10,1.5495004601492918e-06,4.5516703950915655e-12,4.4234296000826767e-10,2.0346417713637985e-11,2.6099011116705594e-13,3.846329679798621e-12
8.72474261445586e-05,0.2811749906310362,3.76,0.0,0.8087799110013257,0.9944554424947181,0.0044575770949659725,1.8181930050428786e-05,0.0019894091330264316,3.6000357513994985e-06,0.0011001431188832295,3.2908152213528436e-10,3.2766017153511665e-13,3.7499399166060735e-06,9.908104973634413e-07,0.0008212830921169242,3.424945486750531e-08,5.9337909321697236e-05,4.622339365284038e-05,0.0008472831514693096,4.553123159612768e-06,0.004220535435884427,0.00017783979132744972,0.00046204282426234644,1.1392265629760072e-05,7.731431819940279e-09,6.164097580783757e-05,4.7597838594650307e-07,2.7318975030851232e-05,5.136770368943078e-05,4.726451953918242e-09,1.07973210035833e-08,1.6589587055733787e-11,0.00014487879601359478,6.305264139736766e-13,5.321689322470161e-10,3.428505389338759e-08,4.5094638431315524e-07,1.0582692296167315e-07,3.743233210598644e-11,3.884668492686873e-16,1.160387107619979e-11,5.809075039698934e-12,1.052262736653789e-07,3.0611287553599086e-12,1.6341314551332066e-08,7.3062881787284925e-09,5.975985165653742e-12,1.4600599234348056e-13,4.342942240504646e-13,2.3083553196439989e-10,1.5983802262344743e-06,4.853315396722168e-12,4.683084055147159e-10,2.1538404387141736e-11,2.78246958609725e-13,3.8463243608150684e-12
8.901679943215893e-05,0.2811763872311965,3.76,0.0,0.8085813392540253,0.9943030653651331,0.004589279207278384,1.823163178705791e-05,0.0020370040324537114,3.599819532285701e-06,0.0011034629938807237,3.290093420408878e-10,3.2758853296867945e-13,3.7554475724169916e-06,9.907673208609282e-07,0.0008379818331316428,3.4262210287902767e-08,6.003396668322638e-05,4.6356119944268264e-05,0.0008668305713517006,4.565784006232965e-06,0.004349514478216264,0.00018309270671865483,0.0004794741040271954,1.187162586678464e-05,7.753536889333714e-09,6.528525089833737e-05,4.95019365867479e-07,2.8272885739285932e-05,5.3440909895143304e-05,4.91477680779428e-09,1.1175656933493946e-08,1.7169897439060418e-11,0.00014485659671895583,6.57090139624148e-13,5.534702091327436e-10,3.5574519562714654e-08,4.787670217160601e-07,1.0620550245208173e-07,3.883413582101008e-11,4.0526520217428757e-16,1.2349845571328162e-11,6.178081126200649e-12,1.0867025220179313e-07,3.3181297953870557e-12,1.6976668125279145e-08,7.577680241918313e-09,6.286669194392538e-12,1.4710417193966818e-13,4.621574802308475e-13,2.339647087681067e-10,1.647237386948206e-06,5.166643031330892e-12,4.950171874627223e-10,2.276424858057611e-11,2.9616985274875793e-13,3.8463509028159435e-12
9.078617271975925e-05,0.2811777861043423,3.76,0.0,0.8083824169387405,0.9941503478542054,0.00472131472540544,1.8277273569204533e-05,0.002084767033294851,3.599611966978876e-06,0.0011065078937825851,3.2893787163112777e-10,3.2751758370923933e-13,3.7606110190624707e-06,9.90730626655674e-07,0.0008546807961661772,3.427516732386654e-08,6.0712807919857545e-05,4.64771929319925e-05,0.0008863917348274371,4.577585639227211e-06,0.0044788541146989925,0.00018828904304882743,0.0004969912509089198,1.2360564351143081e-05,7.773700747875385e-09,6.903530567874941e-05,5.141406696181481e-07,2.9230048318660274e-05,5.5534302139189184e-05,5.103837950657462e-09,1.1555190186648952e-08,1.7752031150451338e-11,0.00014483434783542901,6.839560459086971e-13,5.74998384894422e-10,3.6879610393406264e-08,5.076319923259867e-07,1.065570434666136e-07,4.025253792337065e-11,4.2222482842864016e-16,1.3124936151051946e-11,6.561189043565108e-12,1.1207482637865327e-07,3.5899478251273176e-12,1.7618025366257295e-08,7.851594345299363e-09,6.6044358678167e-12,1.481360775564856e-13,4.911027290065219e-13,2.3702514493782816e-10,1.6960410119403636e-06,5.4917417386419555e-12,5.224672147400594e-10,2.4023836708404882e-11,3.1476377861759966e-13,3.846408598233794e-12
9.255554600735958e-05,0.2811791874657996,3.76,0.0,0.8081831762839001,0.9939973202269827,0.004853655092272035,1.8319164087680708e-05,0.0021326924586143998,3.599412398700884e-06,0.001109298519357532,3.288670584712556e-10,3.27447272690247e-13,3.7654559459329834e-06,9.906998740490179e-07,0.0008713800243238464,3.428830161258281e-08,6.137481780610536e-05,4.6587491659699776e-05,0.000905964887959357,4.5885923206869425e-06,0.004608523298262632,0.0001934261200816134,0.0005145858753151861,1.2858978327381336e-05,7.792069881153976e-09,7.288996192829467e-05,5.333320417768554e-07,3.0190095454670004e-05,5.76470343001666e-05,5.293533123535059e-09,1.1935770547068314e-08,1.8335758937524537e-11,0.00014481205377112557,7.111118326213162e-13,5.967445241774009e-10,3.819983683628231e-08,5.375508259513598e-07,1.0688358121960263e-07,4.1686995670916945e-11,4.3933753393463487e-16,1.3929433240525938e-11,6.9585278699689876e-12,1.1543782902340118e-07,3.877006129450417e-12,1.826526388839877e-08,8.127923585032498e-09,6.9292481529299734e-12,1.4910637531645362e-13,5.211403447550232e-13,2.4002157215000353e-10,1.7447614120746895e-06,5.828696171376481e-12,5.506566799979292e-10,2.531706833297504e-11,3.340335071644206e-13,3.8464967905130344e-12
9.43249192949599e-05,0.2811805915096828,3.76,0.0,0.8079836470443057,0.9938440104319828,0.0049862739237811786,1.835759046686836e-05,0.00218077490202772,3.5992202156899676e-06,0.0011118541560679732,3.2879685362251897e-10,3.2737755229880163e-13,3.7700063184857083e-06,9.90674561408778e-07,0.0008880795567122548,3.4301590765066006e-08,6.202037491281883e-05,4.668783496494908e-05,0.0009255484100355347,4.598863949822837e-06,0.004738493332331099,0.0001985015830087143,0.000532250182557161,1.336676276375874e-05,7.808780744593438e-09,7.684799012139132e-05,5.525841161975039e-07,3.1152691585993594e-05,5.977831423451388e-05,5.4837689668175774e-09,1.2317260780983001e-08,1.8920871356691518e-11,0.00014478971859816213,7.385458392975294e-13,6.187002715500913e-10,3.9534731548269094e-08,5.685326304791182e-07,1.0718701321838823e-07,4.313699095147447e-11,4.565960837121589e-16,1.4763616346702375e-11,7.370221840493317e-12,1.1875738799607292e-07,4.1797235556985635e-12,1.8918282787562408e-08,8.406568786324988e-09,7.261075357618797e-12,1.5001926150181386e-13,5.522802846412768e-13,2.429584501792667e-10,1.7933701235339348e-06,6.177587613311893e-12,5.795840628786094e-10,2.664385630530382e-11,3.5398362037839277e-13,3.8466148711565666e-12
9.609429258256022e-05,0.28118199841008185,3.76,0.0,0.8077838566757263,0.9936904442628234,0.0051191468561384386,1.839281949189791e-05,0.00222900921550726,3.5990348487618714e-06,0.001114192749739387,3.2872721146963674e-10,3.2730837815760984e-13,3.774284466034831e-06,9.906542239750274e-07,0.0009047794287493472,3.431501424670479e-08,6.264985123272274e-05,4.677898470583141e-05,0.0009451408043750266,4.608456292901488e-06,0.004868737708496545,0.00020351337999351406,0.0005499769386661788,1.3883810864843976e-05,7.82396028273383e-09,8.090811586913578e-05,5.71888356684715e-07,3.211753089702524e-05,6.192740102029177e-05,5.674460428194377e-09,1.2699535816416435e-08,1.9507177572454978e-11,0.00014476734607540005,7.662470224514604e-13,6.408578184451264e-10,4.088384879469896e-08,6.005861220455356e-07,1.0746910641113886e-07,4.460202955181921e-11,4.739936605725062e-16,1.562775488574364e-11,7.796390756465487e-12,1.2203190322219086e-07,4.498514408339305e-12,1.957700136274051e-08,8.687438076286405e-09,7.599892840003832e-12,1.5087884602584702e-13,5.845321195533557e-13,2.458400010366996e-10,1.8418398896371137e-06,6.5384943516893605e-12,6.092481293158806e-10,2.8004126731610298e-11,3.7461853320205237e-13,3.846762278921206e-12
9.786366587016055e-05,0.28118340832239586,3.76,0.0,0.8075838304993407,0.9935366455107479,0.0052522514020101425,1.8425098813850955e-05,0.002277390497170993,3.598855768902312e-06,0.0011163309815377268,3.286580895467136e-10,3.272397089480583e-13,3.778311169472659e-06,9.906384317016891e-07,0.000921479672451524,3.432855325897418e-08,6.326361188966157e-05,4.6861648955465636e-05,0.0009647406896350964,4.617421211684856e-06,0.004999231953134654,0.00020845974057680778,0.000567759436953676,1.4410014538051468e-05,7.837726465431463e-09,8.506902590685432e-05,5.912369993016847e-07,3.308433537564263e-05,6.409360222104721e-05,5.865530182761184e-09,1.3082481949040245e-08,2.009450413378229e-11,0.0001447449396674631,7.942049319035317e-13,6.632098742310553e-10,4.2246763801561375e-08,6.337196535278228e-07,1.0773150431134193e-07,4.6081640492303205e-11,4.915238572666652e-16,1.6522108959473657e-11,8.237150379643248e-12,1.2526002466011539e-07,4.83378837093726e-12,2.0241357875997716e-08,8.970446458412013e-09,7.945681725462706e-12,1.5168910213866257e-13,6.179050639192075e-13,2.486702248806881e-10,1.8901446407142398e-06,6.91149208872787e-12,6.396479277992548e-10,2.939781879297363e-11,3.9594251430572736e-13,3.846938497699041e-12
9.963303915776087e-05,0.2811848213845442,3.76,0.0,0.8073835918562755,0.9933826361082144,0.005385566815303411,1.845465811418849e-05,0.002325914079167816,3.598682484906547e-06,0.0011182843416719663,3.285894483639255e-10,3.2717150629807666e-13,3.7821057483138734e-06,9.906267871524786e-07,0.0009381803167042124,3.4342190622774104e-08,6.386201492168451e-05,4.693648514264664e-05,0.0009843467916124536,4.625806888354348e-06,0.005129953482810724,0.00021333915500319515,0.0005855914655032492,1.4945264815531366e-05,7.850188835326728e-09,8.932937364573412e-05,6.106229965834339e-07,3.405285294315251e-05,6.627627119057756e-05,6.056908067281295e-09,1.3465996077381365e-08,2.0682693743658038e-11,0.00014472250256980772,8.224096856226459e-13,6.857496423551087e-10,4.3623072073951875e-08,6.679412413584381e-07,1.0797573403427303e-07,4.75753752700856e-11,5.091812198821932e-16,1.7446930111918642e-11,8.692612817156962e-12,1.2844063125096998e-07,5.1859504524276495e-12,2.091130835611311e-08,9.255515392495832e-09,8.298428609792774e-12,1.5245346272324448e-13,6.524080043353213e-13,2.514528549506276e-10,1.9382594723093124e-06,7.296654244220726e-12,6.707827829707828e-10,3.0824884437995274e-11,4.179597048345773e-13,3.8471430527121324e-12
9.999999999999998e-05,0.2811862377181729,3.76,0.0,0.8073420385852534,0.9933506707001046,0.005413240502267047,1.8460467936326273e-05,0.0023359950763974452,3.5986472295747087e-06,0.001118667657407436,3.285752692231098e-10,3.271574164292656e-13,3.7828653426965407e-06,9.906248571015636e-07,0.0009416440151709562,3.434502980102693e-08,6.398423089058922e-05,4.6951082770828065e-05,0.0009884136860383145,4.627477700612038e-06,0.005157091105563575,0.00021434262274709796,0.0005892954196208884,1.5057396147667563e-05,7.85261973644345e-09,9.02252763356453e-05,6.146476510955683e-07,3.4253912625715056e-05,6.673095336580685e-05,6.09663167556071e-09,1.3545597706861975e-08,2.0804776577089074e-11,0.00014471784563999134,8.282892731788584e-13,6.904472095789524e-10,4.3910153914515976e-08,6.751756046413988e-07,1.0802424406639351e-07,4.788689846010829e-11,5.12858734574294e-16,1.7642571466159745e-11,8.788924815471356e-12,1.2909423947725237e-07,5.261138872467259e-12,2.1050950948039394e-08,9.314888738996012e-09,8.372457204066104e-12,1.5260654790041199e-13,6.597060508269128e-13,2.52024328949101e-10,1.9482123047262803e-06,7.378064962521652e-12,6.773320156874652e-10,3.112502707836722e-11,4.2261314681182615e-13,3.8471889836836905e-12
0.00010140241244536119,0.2811862377181729,3.76,0.0,0.8071831622525651,0.9932284362638077,0.00551907396428661,1.8481710232199985e-05,0.0023745755157585503,3.5985145410793565e-06,0.0011200672013075052,3.285212512366836e-10,3.271037345591475e-13,3.7856861460718974e-06,9.906189234517297e-07,0.0009548813875153935,3.435591067013958e-08,6.444541112835336e-05,4.700410311746574e-05,0.0010039579355278663,4.633658045478089e-06,0.0052608814682664476,0.00021815035451013535,0.0006034672757513246,1.5489452233325573e-05,7.861448994846876e-09,9.368778430820409e-05,6.300399639334665e-07,3.502285566194314e-05,6.847480443666699e-05,6.248530547428936e-09,1.3849984969394923e-08,2.127160420602425e-11,0.000144700037728217,8.508519447891881e-13,7.084707874382203e-10,4.501238870294261e-08,7.032585906903214e-07,1.082032131904233e-07,4.9082806998841694e-11,5.269605977060907e-16,1.8402462001157286e-11,9.162886839884374e-12,1.3157281093332227e-07,5.555400954942733e-12,2.1586825449991683e-08,9.542572379384789e-09,8.658125226709454e-12,1.5317530101163293e-13,6.880495244662377e-13,2.541913986981757e-10,1.9861606219724276e-06,7.694052187518138e-12,7.026522869457894e-10,3.2285287980749336e-11,4.406741336196834e-13,3.847375509759169e-12
