Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7)
1.0554004382605794e-08,0.2928113954512045,3.76,0.0,0.5032412916458217,0.9999999967292693,6.206413035769087e-21,1.2463157712278066e-18,3.7467627872713814e-08,3.6984273533740904e-08,2.7854487610101286e-09,1.7440460435711867e-14,2.021045619117304e-15,4.757789164097461e-10,4.6460618712550503e-10,1.4232060672786583e-11,9.7354310042192e-12,2.7850800073925814e-09,6.793242628616732e-12,2.8623483537069922e-12
1.1360745975910588e-08,0.29281139561065106,3.76,0.0,0.5032412885671789,0.999999996439646,8.960232495888547e-21,1.6711955175828143e-18,4.0332691218002854e-08,3.977228978151049e-08,2.999375500113808e-09,2.0285293870489843e-14,2.1799319337686374e-15,5.506646827761383e-10,5.367651980130712e-10,1.7712312022425357e-11,1.1810850791353487e-11,2.9980034693536437e-09,7.850833279034865e-12,3.567114189184754e-12
1.2167487569215382e-08,0.2928113957701221,3.76,0.0,0.503241285488143,0.999999996144452,1.261305138408615e-20,2.196059480275156e-18,4.319804083914603e-08,4.255481640379747e-08,3.2136215150441774e-09,2.3342394017640905e-14,2.3385782618616042e-15,6.309258122007113e-10,6.138942808120014e-10,2.1711882204509982e-11,1.4119290844726187e-11,3.210934334265219e-09,8.982068249374278e-12,4.378503131531743e-12
1.2974229162520176e-08,0.29281139592961936,3.76,0.0,0.5032412824086764,0.9999999958436981,1.7367988702833887e-20,2.8353595281123746e-18,4.606370744205536e-08,4.533186420453889e-08,3.4282253670561036e-09,2.6611180906283743e-14,2.49698494586536e-15,7.165436157614137e-10,6.959482330158644e-10,2.626517035969346e-11,1.6664444384628177e-11,3.4238731161474807e-09,1.0186463707608503e-11,5.30388669260696e-12
1.378097075582497e-08,0.29281139608914486,3.76,0.0,0.5032412793287402,0.9999999955373952,2.3456608291889058e-20,3.604486709173972e-18,4.8929722154159466e-08,4.8103443968307164e-08,3.6432259957751407e-09,3.009107583484347e-14,2.655152143284167e-15,8.074994498950255e-10,7.828821776615526e-10,3.1406269448638746e-11,1.9449276934503026e-11,3.6368203273252063e-09,1.1463554665064313e-11,6.3506120823140074e-12
1.4587712349129764e-08,0.29281139624870034,3.76,0.0,0.5032412762482957,0.9999999952255538,3.1140752981407576e-20,4.519761670040722e-18,5.179611643344113e-08,5.086956646428651e-08,3.858662631381416e-09,3.3781500881511044e-14,2.8130802891052364e-15,9.037747093839696e-10,8.746515428265174e-10,3.716898277828028e-11,2.247613380962391e-11,3.849776478625722e-09,1.2812894668780289e-11,7.526005047301287e-12
1.539445394243456e-08,0.29281139640828774,3.76,0.0,0.5032412731673043,0.9999999949081845,4.0714164018903684e-20,5.598432432223519e-18,5.466292200604488e-08,5.363024244196817e-08,4.07457472896855e-09,3.7681879227879934e-14,2.9707699417107e-15,1.0053508348813004e-09,9.712120797459536e-10,4.3586810189298314e-11,2.574678869699771e-11,4.062742079168981e-09,1.4234056039692361e-11,8.837366860524869e-12
1.6201195535739356e-08,0.29281139656790894,3.76,0.0,0.5032412700857261,0.9999999945852983,5.250407377405092e-20,6.85867296174411e-18,5.753017080724933e-08,5.638548262606869e-08,4.291001905691841e-09,4.1791635585946475e-14,3.128221525211908e-15,1.1122093217909293e-09,1.0725198843723198e-09,5.0692931578108834e-11,2.926248620501299e-11,4.275717636119944e-09,1.5726630145640133e-11,1.0291970770129128e-11
1.7814678722348944e-08,0.2928113968872598,3.76,0.0,0.503241263920653,0.9999999939230165,8.42211533988958e-20,1.0001133818834983e-17,6.326612645144056e-08,6.187969840840514e-08,4.725560361077452e-09,5.063698739176663e-14,3.4424121325455215e-15,1.3416996000264502e-09,1.2892032974861692e-09,6.710126292425567e-11,3.7031859698753876e-11,4.7017006391275416e-09,1.8924475170443728e-11,1.365987205462523e-11
1.9170436318521468e-08,0.29281139715572047,3.76,0.0,0.5032412587381764,0.9999999933495547,1.213147598070692e-19,1.3382269458732731e-17,6.80875222514559e-08,6.647959440742976e-08,5.0926541749014694e-09,5.871185485580197e-14,3.705683344166489e-15,1.5507045536669833e-09,1.4855699283179164e-09,8.33086981339136e-11,4.4321898097778886e-11,5.0596756392295736e-09,2.1829053693392527e-11,1.6997424244550008e-11
