Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56),CH2F(45),C2H2F3O2(908),C2HF3O(401),CH3-CF2(64),CHF2-CH2(63),CFO(50),FC1(F)CO1(1321),CH2O(19)
1.423131424032223e-20,0.3098445198511615,3.76,0.0,0.8983783940347305,0.9999999999996946,3.364402788839323e-45,2.8598028289151677e-32,2.2087714613813695e-15,2.2087714613811806e-15,2.329806925510317e-17,7.0935946358943756e-34,8.251843026797478e-33,1.4855227668640183e-26,1.8878492633456685e-28,5.507102859374132e-41,1.718754154561892e-20,2.329806924043675e-17,2.3128374910096305e-32,3.220518453497469e-17,1.7398250070749845e-22,3.220827997258273e-32,7.047461480664685e-32,1.4333914420385754e-35,5.472655496167346e-35,2.8937828552679066e-32,6.5225825135197314e-46,6.625616647894501e-40,3.2205184534974676e-17,9.969446046868573e-36,1.6455368621684947e-54,3.8498606316718946e-34,4.951431501594472e-33,3.0537883012133153e-13,8.550497186742144e-54,3.4527954399512327e-48,4.970913100617705e-48,1.1380777201509197e-46,1.7187541545669587e-20,2.396857956253648e-63,1.8176037027013892e-55,1.7925270344270528e-63,3.3472054056023855e-65,3.3025981924181448e-46,1.2429121292969255e-65,1.8096240967892205e-79
2.847499278493666e-20,0.30984451985116157,3.76,0.0,0.8983783940347283,0.9999999999993889,2.6935679329126912e-44,1.144666418107916e-31,4.4194619249012006e-15,4.419461924900444e-15,4.661638009947133e-17,2.8392864985486293e-33,3.3028877029864576e-32,3.0101300393969053e-26,7.556316930546531e-28,4.409030841798685e-40,3.439001579447751e-20,4.661638007012575e-17,9.257377392460484e-32,6.443834924765126e-17,3.48116159312864e-22,1.2891705709410177e-31,2.8208212137319047e-31,5.73730129406134e-35,2.1904884136502183e-34,1.1582672836459514e-31,5.222032020219652e-45,2.6519733606089988e-39,6.443834924765121e-17,3.9903765313812865e-35,1.317430053944834e-53,1.540947555974062e-33,1.981862980855978e-32,6.110229763056256e-13,6.845596817877912e-53,2.7650366844723034e-47,3.980762068421496e-47,9.113851977658165e-46,3.4390015794680306e-20,3.8391382339727697e-62,1.4551881430497598e-54,2.871158491229704e-62,5.3613457635657814e-64,2.644086675020415e-45,1.9908194664794995e-64,5.797344547481764e-78
5.696234987416552e-20,0.30984451985116185,3.76,0.0,0.8983783940347237,0.9999999999987776,2.1556729780744067e-43,4.5801566728132065e-31,8.84084285194083e-15,8.840842851937805e-15,9.325300178817868e-17,1.136084433673799e-32,1.321585302169838e-31,6.172775430385381e-26,3.023511028074721e-27,3.528564667916587e-39,6.879496429189025e-20,9.325300172947484e-17,3.704156786204443e-31,1.2890467867300402e-16,6.963834771487251e-22,5.158361506493447e-31,1.1286959144702624e-30,2.2956678357265295e-34,8.764806897891627e-34,4.634577847283956e-31,4.1792126983106834e-44,1.061134792510971e-38,1.2890467867300385e-16,1.5966703831754098e-34,1.0543444488103925e-52,6.165797406393525e-33,7.930033418928843e-32,1.2223112685656048e-12,5.4785579711517295e-52,2.213150027986694e-46,3.1862230780389404e-46,7.29477547308966e-45,6.879496429270168e-20,6.1459554776585646e-61,1.164592775862644e-53,4.596347195995583e-61,8.582809566932066e-63,2.11607293193193e-44,3.187040180024639e-63,1.8561984931568076e-76
1.1393706405262325e-19,0.3098445198511623,3.76,0.0,0.8983783940347146,0.999999999997555,1.7248659068929883e-42,1.8323609136779247e-30,1.7683604706019966e-14,1.7683604706007865e-14,1.8652624516547766e-16,4.545077508942177e-32,5.287201772778341e-31,1.2951789596051128e-25,1.2096012904414481e-26,2.823387846670668e-38,1.376048612854979e-19,1.8652624504805734e-16,1.4819039146659571e-30,2.5783733752370833e-16,1.392918115320967e-21,2.0636804951651275e-30,4.515518620516241e-30,9.18416619203615e-34,3.50649348910812e-33,1.85413292425649e-30,3.344005127173959e-43,4.245230241464892e-38,2.578373375237075e-16,6.387721222094656e-34,8.436357696631827e-52,2.46672045945817e-32,3.172529739878136e-31,2.4448878526511273e-12,4.3836787617880613e-51,1.7709684040058463e-45,2.5496239893965054e-45,5.837298295744618e-44,1.3760486128874413e-19,9.836196966612001e-60,9.318511631133583e-53,7.356150970006948e-60,1.3736221444282108e-61,1.6931798510042153e-43,5.100647910987964e-62,5.9415128791802225e-75
2.2788649240953867e-19,0.3098445198511633,3.76,0.0,0.8983783940346965,0.9999999999951096,1.380023752090475e-41,7.33004020226571e-30,3.5369128414177734e-14,3.536912841412932e-14,3.730727319196125e-16,1.8181789692577875e-31,2.115052833847356e-30,2.832471146212181e-25,4.8387989482132836e-26,2.258924745173718e-37,2.752246552678419e-19,3.7307273168475965e-16,5.928098093264678e-30,5.157026552251116e-16,2.78598740166753e-21,8.255393815069702e-30,1.806354451198269e-29,3.6739654679374404e-33,1.4027115497635934e-32,7.417135309239613e-30,2.6754581162799854e-42,1.6982303818860914e-37,5.157026552251086e-16,2.5552964415720712e-33,6.749727294218334e-51,9.867684914536613e-32,1.2691151774921408e-30,4.890041019084428e-12,3.5072759993818108e-50,1.4169540976902372e-44,2.0399574338518448e-44,4.6704298756771495e-43,2.7522465528082794e-19,1.5740050011136238e-58,7.455517150962575e-52,1.1771438144221737e-58,2.1980935643497566e-60,1.3546724967200201e-42,8.162143719499228e-61,1.9015525963907313e-73
4.557853491233696e-19,0.3098445198511653,3.76,0.0,0.8983783940346602,0.9999999999902189,1.1040714195923092e-40,2.9321354074398716e-29,7.074017583049126e-14,7.074017583029757e-14,7.461657054260295e-16,7.273011821286034e-31,8.460555594388678e-30,6.6330129333091735e-25,1.9355983393644762e-25,1.807225587843154e-36,5.50464243213045e-19,7.461657049563133e-16,2.3713357275631751e-29,1.031433290627897e-15,5.572126014368974e-21,3.3022918988385436e-29,7.225711821215082e-29,1.4696459875327643e-32,5.611074515430866e-32,2.9669748492713263e-29,2.1404681042607943e-41,6.793198597379018e-37,1.0314332906278852e-15,1.022160168693937e-32,5.400038665426549e-50,3.947234607446555e-31,5.0766672782019455e-30,9.780347345000056e-12,2.8059540032940285e-49,1.1336350322309087e-43,1.632069250355337e-43,3.736580410598105e-42,5.504642432649911e-19,2.5185788026610818e-57,5.964696875512566e-51,1.8835578394446284e-57,3.517188225999748e-59,1.0837894464809011e-41,1.306031568262437e-59,6.085397910850891e-72
9.115830625510315e-19,0.30984451985116923,3.76,0.0,0.8983783940345877,0.9999999999804375,8.832781105860571e-40,1.1728780389272758e-28,1.4148227066311024e-13,1.4148227066233547e-13,1.4923516524314535e-15,2.9092639203039187e-30,3.3842910885968375e-29,1.713792616293207e-24,7.742550880303713e-25,1.445814787852248e-35,1.1009434190255108e-18,1.4923516514920172e-15,9.485535893415532e-29,2.0628945614333854e-15,1.1144403399805133e-20,1.3209436354915967e-28,2.8903435327932577e-28,5.878703553007786e-32,2.2444754702658277e-31,1.186814084320876e-28,1.712415128978424e-40,2.7173352454167368e-36,2.0628945614333376e-15,4.088723860685882e-32,4.320134245653055e-49,1.5789259883348237e-30,2.0307082239002506e-29,1.956095996902742e-11,2.244816486683639e-48,9.06936728139768e-43,1.305696722910204e-42,2.9893589353685175e-41,1.1009434192332996e-18,4.0298627283917687e-56,4.771870767247427e-50,3.0137947355124128e-56,5.6276919850429144e-58,8.670521373608713e-41,2.0897213762787075e-58,1.9473960763683924e-70
1.823178489406355e-18,0.30984451985117706,3.76,0.0,0.8983783940344428,0.9999999999608749,7.066308900407197e-39,4.691559989795016e-28,2.8296646032831604e-13,2.829664603252169e-13,2.9847235464126612e-15,1.1637174080927017e-29,1.3537302039821952e-28,4.9763071243073366e-24,3.0970518568776524e-24,1.1566655574636082e-34,2.2019017703386824e-18,2.984723544533812e-15,3.794252953712471e-28,4.125817103044028e-15,2.2288958810810534e-20,5.283828301682109e-28,1.1561491740642144e-27,2.351505342016943e-31,8.977993210105275e-31,4.747304619477238e-28,1.3699483616112237e-39,1.0869455727693496e-35,4.125817103043837e-15,1.6355061818436924e-31,3.456149648079338e-48,6.315768376287177e-30,8.122915507473823e-29,3.912218510586657e-11,1.7958745050270797e-47,7.255608633851805e-42,1.0445739077192283e-41,2.3915249915966514e-40,2.201901771169846e-18,6.447889678089297e-55,3.817541924203093e-49,4.822153331130908e-55,9.004459831835105e-57,6.936499420444802e-40,3.3436109159720293e-57,6.231777475833366e-69
3.646369343117002e-18,0.3098445198511928,3.76,0.0,0.8983783940341526,0.9999999999217494,5.653080910757507e-38,1.876633628184432e-27,5.659348396585988e-13,5.65934839646202e-13,5.969467334256515e-15,4.6548933244813437e-29,5.41494833915917e-28,1.614746358803767e-23,1.2388270436555984e-23,9.253379368281679e-34,4.403818471717985e-18,5.969467330498945e-15,1.5177089002847041e-27,8.251662186263978e-15,4.457807219335374e-20,2.113542078523774e-27,4.624620218101612e-27,9.406069210112857e-31,3.591215549965456e-30,1.8989314983039805e-27,1.0959651926773745e-38,4.347807746070805e-35,8.251662186263213e-15,6.5420580045753225e-31,2.7649381002909757e-47,2.526320340492518e-29,3.249182714156342e-28,7.824463493468259e-11,1.4367081331926193e-46,5.804532827023834e-41,8.35665738123806e-41,1.913235130662942e-39,4.403818475042653e-18,1.031671092116049e-53,3.0540516685499754e-48,7.715510730431845e-54,1.4407257838377337e-55,5.5492324648053445e-39,5.349822898763393e-56,1.994186421468168e-67
7.292751050538296e-18,0.30984451985122424,3.76,0.0,0.8983783940335724,0.9999999998434985,4.522478539096004e-37,7.50655430056717e-27,1.1318715983186486e-12,1.1318715982690614e-12,1.1938954909469977e-14,1.8619620778755012e-28,2.1659848291387195e-27,5.707428630105769e-23,4.955320775861605e-23,7.402725457294204e-33,8.80765186948843e-18,1.193895490195539e-14,6.070851034741479e-27,1.650335235269854e-14,8.915630920057026e-20,8.454189876724362e-27,1.8498527914970627e-26,3.7624372526390544e-30,1.4364898732059106e-29,7.59574524653591e-27,8.767747554636802e-38,1.7391301939885874e-34,1.6503352352695478e-14,2.6168298588160762e-30,2.2119602027380182e-46,1.010530818462962e-28,1.2996763788782146e-27,1.5648953281286548e-10,1.1493699227810207e-45,4.643644623423766e-40,6.685352355149884e-40,1.5305941594267342e-38,8.807651882787129e-18,1.6506807376131686e-52,2.4432485943863105e-47,1.2344869478514198e-52,2.305171016936251e-54,4.439399142638521e-38,8.559753182072938e-55,6.38142490914985e-66
1.4585514465380885e-17,0.30984451985128714,3.76,0.0,0.8983783940324122,0.9999999996869968,3.617988826317774e-36,3.002626096400292e-26,2.263745115636687e-12,2.2637451154383373e-12,2.3877930057999927e-14,7.447857884881021e-28,8.663950214050964e-27,2.1326597082734344e-22,1.9821308301169648e-22,5.922189149583849e-32,1.76153186450767e-17,2.3877930042973007e-14,2.4283434973956603e-26,3.300673268554632e-14,1.7831282418352728e-19,3.3816803007240285e-26,7.399420573527542e-26,1.5049768149074174e-29,5.745966799486667e-29,3.0383019110833244e-26,7.014208448337756e-37,6.9565510034986516e-34,3.300673268553408e-14,1.046733276149924e-29,1.769575842800537e-45,4.042129312507111e-28,5.198712029751253e-27,3.1297932145143506e-10,9.19497311993319e-45,3.714923033487173e-39,5.348292467827626e-39,1.2244777493750134e-37,1.7615318698271533e-17,2.641094757332135e-51,1.954601791887835e-46,1.97518329786703e-51,3.688281418654812e-53,3.5515245814300723e-37,1.3695634958057703e-53,2.042060613508338e-64
2.917104129506606e-17,0.3098445198514129,3.76,0.0,0.8983783940300915,0.9999999993739934,2.8943942124100196e-35,1.201051648677855e-25,4.527492150264516e-12,4.5274921494711175e-12,4.77558803474719e-14,2.979145130391305e-27,3.465582193547812e-26,8.230014959449644e-22,7.9285283561887165e-22,4.737754831035454e-31,3.523065211644289e-17,4.7755880317427114e-14,9.713380130785012e-26,6.601349335115646e-14,3.5662601802356633e-19,1.3526730202998619e-25,2.9597701101327115e-25,6.019911088382453e-29,2.2983881813004342e-28,1.2153214963680863e-25,5.611370919443126e-36,2.782639276040426e-33,6.60134933511075e-14,4.1869357796467464e-29,1.4156698130509358e-44,1.6168534720285393e-27,2.0794860569886662e-26,6.259588702573921e-10,7.355984107432392e-44,2.9719413447114295e-38,4.2786382135472475e-38,9.795831680271115e-37,3.523065232922214e-17,4.2257560253184274e-50,1.563682620151411e-45,3.160296610465449e-50,5.9012564432687954e-52,2.8412217704619406e-36,2.1913041846903462e-52,6.534602031698503e-63
5.834209495443642e-17,0.30984451985166445,3.76,0.0,0.8983783940254502,0.9999999987479867,2.315517835810885e-34,4.804211694008348e-25,9.054986219487188e-12,9.054986216313591e-12,9.55117808960642e-14,1.1916584968540335e-26,1.3862332417463256e-25,3.2318811677529386e-21,3.1714123465586644e-21,3.79020526596197e-30,7.046131873993521e-17,9.551178083601085e-14,3.8853532599154644e-25,1.3202701468203512e-13,7.132530612003787e-19,5.410694121243722e-25,1.1839084195677604e-24,2.4079652019414037e-28,9.193555649592893e-28,4.861287204866587e-25,4.489098398133359e-35,1.1130697486493282e-32,1.3202701468183923e-13,1.6747748547071228e-28,1.1325492124692494e-43,6.46742169651814e-27,8.317946256049793e-26,1.2519178539845982e-09,5.884789716792773e-43,2.377554217369784e-37,3.422912275829507e-37,7.836669215010774e-36,7.046131959105054e-17,6.761213017336872e-49,1.25094660291963e-44,5.056477208106915e-49,9.442015056509568e-51,2.2729782559185328e-35,3.506089415215942e-51,2.0910743539815252e-61
1.1668420227317714e-16,0.3098445198521675,3.76,0.0,0.8983783940161676,0.9999999974959737,1.8524171835462222e-33,1.921687840711574e-24,1.810997435780059e-11,1.8109974345106195e-11,1.9102358187184216e-13,4.7666352720882094e-26,5.544933237572653e-25,1.2807274976160096e-20,1.2685651369911115e-20,3.032164767760216e-29,1.4092265070996936e-16,1.9102358175188058e-13,1.5541415289750262e-24,2.640540573424259e-13,1.4265097695428084e-18,2.1642782485249858e-24,4.735634424262356e-24,9.631862347643902e-28,3.6774228458185205e-27,1.94451493024501e-24,3.591279380768765e-34,4.452389177502146e-32,2.640540573416424e-13,6.699100567236421e-28,9.060602451908427e-43,2.586973691768841e-26,3.3271785383735617e-25,2.5038353659003433e-09,4.707833043775602e-42,1.9020437896264404e-36,2.7383305175033958e-36,6.269336915020348e-35,1.409226541144162e-16,1.0817943036260256e-47,1.0007575364820824e-43,8.09036552368749e-48,1.5107227275567645e-49,1.8183829364288527e-34,5.609747309200448e-50,6.691443301631856e-60
1.7502630959191785e-16,0.3098445198526706,3.76,0.0,0.898378394006885,0.9999999962439611,5.2967598599090695e-33,4.0835910491721916e-24,2.7164962495982033e-11,2.716496246900645e-11,2.865353827262136e-13,1.0129101199673568e-25,1.1782982782330154e-24,2.7140303224876934e-20,2.6957010370325665e-20,8.670096533146952e-29,2.113839814030631e-16,2.865353825464525e-13,3.3025508707617323e-24,3.9608110000145013e-13,2.139769099875909e-18,4.59909186865036e-24,1.0063223611021049e-23,2.0467708460714688e-27,7.814523916072237e-27,4.1320940364720344e-24,1.0268814961641982e-33,9.461512181995872e-32,3.9608109999978537e-13,1.4235589511965934e-27,2.5908044137441277e-42,5.497326110541599e-26,7.070253999859254e-25,3.755752422277588e-09,1.346146151975999e-41,5.6466904972141824e-36,8.129419327151584e-36,1.8612095262406754e-34,2.1138398863749068e-16,4.0926477385420375e-47,2.8615413507042135e-43,3.060749784212924e-47,5.715371169563945e-49,5.199438947069008e-34,2.122282044764044e-49,3.123308710001845e-59
2.3336841691065856e-16,0.30984451985317363,3.76,0.0,0.8983783939976024,0.9999999949919489,1.1172408953956815e-32,6.966132669687908e-24,3.621995063403153e-11,3.621995058801436e-11,3.820471834591785e-13,1.7279056624356867e-25,2.0100381473906844e-24,4.623096588942194e-20,4.598548932339158e-20,1.828774505728243e-28,2.8184531081922637e-16,3.820471832197266e-13,5.633763336538806e-24,5.28108142659108e-13,2.853031052201548e-18,7.845510440013373e-24,1.7166675974322327e-23,3.4915503549025884e-27,1.33306587779142e-26,7.048865867577795e-24,2.1659905339622585e-33,1.6140534551008433e-31,5.28108142656268e-13,2.4284241762051474e-27,5.464834396593956e-42,9.377802445405877e-26,1.2061020685822896e-24,5.007669023116497e-09,2.8394123563937063e-41,1.2303837487015562e-35,1.7713577591654315e-35,4.055477752345539e-34,2.8184532316027405e-16,1.0653138950961467e-46,6.035819933123891e-43,7.96711454571119e-47,1.487707892547199e-48,1.0967122858494105e-33,5.5242901867540116e-49,9.529242414462523e-59
