Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42)
6.308223747737624e-16,0.2669058973217313,3.76,0.0,0.9215436532851438,0.9999999999999136,1.4932694699727633e-32,3.8671195402536915e-24,5.416990875677973e-12,5.416990861233933e-12,8.644685329154976e-14,6.497867231355128e-26,8.184094544841735e-25,1.444193303205718e-20,1.4432124451762144e-20,1.3759064006961767e-28,1.6660620727347832e-28,8.644685329584067e-14,8.495797710056617e-24,2.3693974762003986e-14,3.95429743775043e-20,3.862326584847414e-24,1.1032466327164457e-23,1.1843334106702657e-28,4.160738504880228e-33,1.746327557348832e-24,1.1809789435543572e-33,3.64535630806057e-33,2.369397476200369e-14
1.2616618621638278e-15,0.2669058973219869,3.76,0.0,0.9215436532796165,0.9999999999998271,1.1946496989783893e-31,1.5468872881974795e-23,1.0834128700562202e-11,1.0834128642784869e-11,1.7289605163867225e-13,2.5992078251220006e-25,3.273700615417809e-24,5.775044913160777e-20,5.772967164356126e-20,1.100751235699446e-27,1.216815688677704e-27,1.7289605167429355e-13,3.398388045823526e-23,4.73885922814553e-14,7.911258882458695e-20,1.544962675362368e-23,4.4130763049234514e-23,4.737430281292853e-28,1.6650604145619087e-32,6.985446264052345e-24,9.448055784964006e-33,1.4585824462261854e-32,4.738859228145379e-14
2.5233408369439587e-15,0.2669058973224981,3.76,0.0,0.9215436532685619,0.9999999999996543,9.557403292692094e-31,6.187676102574885e-23,2.166840435014466e-11,2.166840411903296e-11,3.457944482458618e-13,1.0397001476905016e-24,1.3094905219202113e-23,2.3096722662313154e-19,2.309210301901104e-19,8.806114202417361e-27,9.270373706468672e-27,3.4579444842526165e-13,1.3593689035542905e-22,9.477782731979171e-14,1.5832852134288164e-19,6.179918438976901e-23,1.765248470677736e-22,1.8949915934778316e-27,6.666159184735848e-32,2.794202061685186e-23,7.558534298751024e-32,5.837671219479964e-32,9.477782731978306e-14
5.0466987865042205e-15,0.2669058973235205,3.76,0.0,0.9215436532464528,0.9999999999993084,7.646115646555525e-30,2.475134235066699e-22,4.333695564856557e-11,4.3336954724114084e-11,6.915912411120333e-13,4.1588732740961844e-24,5.2379643685505253e-23,9.23799740516439e-19,9.2368877538853e-19,7.044932856711919e-26,7.230632597416018e-26,6.915912419034468e-13,5.437502126723333e-22,1.8955629739421326e-13,3.1706720422079755e-19,2.4719838464324667e-22,7.061029730183378e-22,7.580006560538281e-27,2.6711578818418478e-31,1.117682615032735e-22,6.046863267505027e-31,2.3377060451083056e-31,1.8955629739415798e-13
1.0093414685624744e-14,0.26690589732556524,3.76,0.0,0.9215436532022345,0.9999999999986169,6.117146893048725e-29,9.900971760547108e-22,8.667405824243141e-11,8.667405454461614e-11,1.3831848254516565e-12,1.6635947642065454e-23,2.0951715872236736e-22,3.69506042586863e-18,3.694764149834816e-18,5.635962511768969e-25,5.710234463012461e-25,1.3831848287648145e-12,2.1750054667501475e-21,3.791132375341607e-13,6.357718681004009e-19,9.887991713446019e-22,2.8244190215005223e-21,3.032011641185048e-26,1.0722116796946014e-30,4.47071067410388e-22,4.837504881377989e-30,9.371853456527558e-31,3.7911323753377313e-13
2.018684648386579e-14,0.2669058973296548,3.76,0.0,0.921543653113798,0.9999999999972337,4.894102737955887e-28,3.960721453938726e-21,1.733482634182591e-10,1.7334824862697977e-10,2.7663719885609e-12,6.654717301530754e-23,8.380541101002229e-22,1.477996300223124e-17,1.47790726079507e-17,4.508775905478031e-24,4.5384716093033085e-24,2.7663720021075435e-12,8.700025607522425e-21,7.582271177793454e-13,1.2780906024223419e-18,3.955226659284126e-21,1.1297690024205898e-20,1.2128072435714274e-25,4.318839228242627e-30,1.78826161944888e-21,3.8700095095405215e-29,3.7655505647560384e-30,7.58227117776465e-13
4.037371008034788e-14,0.266905897337834,3.76,0.0,0.9215436529369251,0.9999999999944673,3.91588983664373e-27,1.5845517599467307e-20,3.4669667372229854e-10,3.4669661455714773e-10,5.532746292506403e-12,2.662152425881236e-22,3.35209385449007e-21,5.911928158075107e-17,5.911630574528393e-17,3.6070221315971066e-23,3.61887935752418e-23,5.532746347273024e-12,3.4800065978404684e-20,1.5164548781378586e-12,2.582367409857173e-18,1.582111624501652e-20,4.5190785407913227e-20,4.851240418096135e-25,1.7515593138336463e-29,7.15285164030936e-21,3.0960096853758136e-28,1.51966472033867e-29,1.5164548781156948e-12
8.074743727331207e-14,0.2669058973541923,3.76,0.0,0.921543652583179,0.9999999999889343,3.1336806181049817e-26,6.340306422345672e-20,6.933934941399135e-10,6.933932574792697e-10,1.1065494811361695e-11,1.065072337078263e-21,1.3407382046268e-20,2.364758812661715e-16,2.3646511997808536e-16,2.8856167462244456e-22,2.890325873269366e-22,1.106549503152443e-11,1.3919983955082607e-19,3.03291039838333e-12,5.269492080191805e-18,6.328608136767157e-20,1.8076317173114673e-19,1.940503471691715e-24,7.198945564231844e-29,2.860982069847026e-20,2.4768083169439872e-27,6.186209077802926e-29,3.0329103982095373e-12
1.2112116446627625e-13,0.2669058973705505,3.76,0.0,0.921543652229433,0.9999999999834013,8.961958215963938e-26,1.3476232914117514e-19,1.0400903143670647e-09,1.0400898114632007e-09,1.659824324123749e-11,2.2635888487633506e-21,2.848922436244763e-20,5.025103523021216e-16,5.024881652398523e-16,8.251057836444917e-22,8.2609946585486895e-22,1.659824370969665e-11,2.957989984278036e-19,4.549365918213119e-12,8.035201506271045e-18,1.344852798533143e-19,3.8412173565053916e-19,4.1235815484284275e-24,1.5623543887688445e-28,6.079353222422304e-20,7.082123881015836e-27,1.332718367349188e-28,4.549365917718765e-12
1.6149489165924044e-13,0.26690589738690873,3.76,0.0,0.921543651875687,0.9999999999778681,1.8906407336682706e-25,2.299370762984543e-19,1.386787134403752e-09,1.3867862765089633e-09,2.213099158219002e-11,3.861903221320786e-21,4.859696630953116e-20,8.57222603510659e-16,8.571853246014789e-16,1.740386516768127e-21,1.7420678518130114e-21,2.213099238179004e-11,5.045972350855737e-19,6.065821437683096e-12,1.087950938835562e-17,2.294197590118901e-19,6.552664592064028e-19,7.034364123896908e-24,2.7195516818045124e-28,1.0370293977091415e-19,1.4938250059574005e-26,2.3036693643996847e-28,6.065821436643376e-12
2.422423460451688e-13,0.26690589741962534,3.76,0.0,0.9215436511681949,0.9999999999668017,5.165309815622159e-25,4.762227456078462e-19,2.08018077403012e-09,2.0801789978681234e-09,3.319648805557199e-11,7.997262455180035e-21,1.0060589899659177e-19,1.774768143893219e-15,1.774691997361425e-15,4.7535326972359695e-21,4.756953669522767e-21,3.3196489711711306e-11,1.0447007941429248e-18,9.098732475951906e-12,1.6752633415304177e-17,4.749972162932645e-19,1.3566458170926999e-18,1.4563830110406596e-23,5.839702228291804e-28,2.146910610291585e-19,4.0800991068516605e-26,4.885264844532597e-28,9.098732473120538e-12
3.2298980043109717e-13,0.2669058974523418,3.76,0.0,0.9215436504607029,0.9999999999557351,1.0810123645507464e-24,8.102007752602144e-19,2.7735744129560846e-09,2.773571392170107e-09,4.426198420241841e-11,1.360397081536707e-20,1.7109142144154577e-19,3.0184127520724752e-15,3.0182840425460177e-15,9.945975364750053e-21,9.951676128703551e-21,4.426198701928156e-11,1.776756424757668e-18,1.2131643513361686e-11,2.2914905806735853e-17,8.078664646003113e-19,2.3072989111591706e-18,2.4769383224210846e-23,1.0287565059815206e-27,3.6511270049822537e-19,8.536931444695638e-26,8.504904100194743e-28,1.213164350744786e-11
4.844847092029539e-13,0.2669058975177749,3.76,0.0,0.9215436490457187,0.9999999999336004,3.415829369669384e-24,1.7666776419630982e-18,4.160361688508134e-09,4.16035510683357e-09,6.639297542621021e-11,2.965451083498107e-20,3.7270605383665893e-19,6.576493547493702e-15,6.5762136752392494e-15,3.1406275783431434e-20,3.1417794878869215e-20,6.639298156104417e-11,3.871158464379507e-18,1.819746558767323e-11,3.618947986024744e-17,1.760284022702327e-18,5.027132173845452e-18,5.396806755199921e-23,2.4265610061105695e-27,7.953985734789458e-19,2.695698975247089e-25,1.954413584331586e-27,1.819746556904317e-11
6.459796179748106e-13,0.2669058975832079,3.76,0.0,0.9215436476307346,0.9999999999114646,7.773999902123659e-24,3.104060367759545e-18,5.547148961028476e-09,5.547137405826441e-09,8.852396524201207e-11,5.2087157220229015e-20,6.54233840868151e-19,1.1546091144583087e-14,1.1545598344590461e-14,7.143463425331647e-20,7.145290947043951e-20,8.852397600609497e-11,6.796398781977924e-18,2.4263287663656792e-11,5.071695951295271e-17,3.09064662632579e-18,8.825949491825852e-18,9.475081035593522e-23,4.568879460469276e-27,1.3962722330109663e-18,6.131464874724738e-25,3.5989778197089994e-27,2.4263287621332846e-11
9.689694355185241e-13,0.26690589771407397,3.76,0.0,0.9215436448007664,0.9999999998671885,2.5992718774102768e-23,6.93132181187701e-18,8.320723496932144e-09,8.320697737242358e-09,1.3278594064863127e-10,1.1623229856020997e-19,1.4579190572783933e-18,2.5739314954975956e-14,2.573820170602281e-14,2.3850471269295387e-19,2.3853136683961755e-19,1.327859646048433e-10,1.515077614988726e-17,3.639493183898666e-11,8.355244475214247e-17,6.890773457269553e-18,1.9675442691261432e-17,2.1123049380379973e-22,1.1687165450869487e-26,3.111797803209418e-18,2.0471681266774213e-24,8.826724269490957e-27,3.6394931697866685e-11
1e-12,0.26690589797580616,3.76,0.0,0.9215436445288833,0.9999999998629343,2.8799213645997913e-23,7.380457996292487e-18,8.587188811312095e-09,8.587161388000876e-09,1.3703831614836e-10,1.2375386826260448e-19,1.5520041154728015e-18,2.740161264142975e-14,2.7400425161907356e-14,2.641882939189631e-19,2.6421385651623106e-19,1.370383416461173e-10,1.6129217022404945e-17,3.75604539316427e-11,8.697302215459633e-17,7.335910049058569e-18,2.094612905559611e-17,2.248729194944565e-22,1.2639672174204415e-26,3.312651874468997e-18,2.2676202224471623e-24,9.500122717959065e-27,3.75604537753426e-11
1.6149490706059511e-12,0.26690589797580616,3.76,0.0,0.9215436391408302,0.9999999997786189,1.2260912961639897e-22,1.9226180437484023e-17,1.3867872532182193e-08,1.3867801329495285e-08,2.2130987467688128e-10,3.219541183114343e-19,4.0266704563260195e-18,7.114601885412584e-14,7.114283155369259e-14,1.1215002655441325e-18,1.1214356157066785e-18,2.213099406373975e-10,4.187701764454813e-17,6.06582204015589e-11,1.6437841362959329e-16,1.905200936408584e-17,5.438513910560309e-17,5.838946416759285e-22,4.1230009018898226e-26,8.59627273464684e-18,9.62627856256679e-24,2.9034300216900266e-26,6.065821973872371e-11
2.9069083407808047e-12,0.2669058984992705,3.76,0.0,0.9215436278209577,0.9999999996014117,7.380120796556715e-22,6.26181628190267e-17,2.4962170456414982e-08,2.4961940213718208e-08,3.983576765402127e-10,1.0455657230239798e-18,1.2999580281307941e-17,2.30057192276981e-13,2.3004608205749723e-13,6.7064920862929465e-18,6.7045927718926926e-18,3.983578880476903e-10,1.3540495073463632e-16,1.0918479933228771e-10,3.869014797285569e-16,6.164118586149167e-17,1.758610558154245e-16,1.8882926226389474e-21,1.9592440355111954e-25,2.77632702626899e-17,5.756515488149671e-23,1.2460082184192123e-25,1.0918479537147424e-10
5.490826881130512e-12,0.26690589954619914,3.76,0.0,0.9215436051812133,0.9999999992467244,5.140115168795788e-21,2.2649555413177308e-16,4.7150765719811905e-08,4.71499447762027e-08,7.524530231919227e-10,3.760206677032449e-18,4.619901445511083e-17,8.20266051617957e-13,8.2022047602962e-13,4.6100405635490914e-17,4.6070249032706376e-17,7.52453764297988e-10,4.82725250527106e-16,2.0623797205654392e-10,1.0773126259666487e-15,2.200304548278577e-16,6.270425830964277e-16,6.734232678619182e-21,1.1988378431218795e-24,9.874855926580977e-17,3.957123133143609e-22,6.65039159076521e-25,2.0623794484106738e-10
1e-11,0.26690590164005645,3.76,0.0,0.9215435656727999,0.9999999986268915,3.2872201044388464e-20,7.707098362852419e-16,8.587188285924884e-08,8.586916044580512e-08,1.3703808718129054e-09,1.2663389532317343e-17,1.522913864224585e-16,2.7200686849324728e-12,2.7198810268996252e-12,2.8768149805968833e-16,2.8730369656501063e-16,1.3703832498172228e-09,1.6003950836448745e-15,3.756046914257028e-10,3.077724833169036e-15,7.3114535560968e-16,2.079397783937579e-15,2.2340663585232704e-20,7.621217521965986e-24,3.2600348914720437e-16,2.4694875739271885e-21,3.545723451286372e-24,3.7560452162582453e-10
1.0658663961829928e-11,0.26690590164005645,3.76,0.0,0.921543559901727,0.9999999985362584,3.9056888492777094e-20,8.776865717221046e-16,9.15279539065646e-08,9.152486108416193e-08,1.4606427499544431e-09,1.44072463616555e-17,1.7291350969789245e-16,3.0901480660142807e-12,3.0899309336120024e-12,3.413635660897593e-16,3.409032335319032e-16,1.4606454429123237e-09,1.8180981578748896e-15,4.003444380795294e-10,3.4545981922272226e-15,8.307838773944107e-16,2.3623185388918843e-15,2.538124030068196e-20,9.056582837399328e-24,3.702011105210575e-16,2.9303072379526522e-21,4.1727150651055665e-24,4.003442365964889e-10
1.5826501042529344e-11,0.26690590373391343,3.76,0.0,0.9215435146222435,0.9999999978243371,1.2342752448553126e-19,1.979782352776316e-15,1.3590513897378732e-07,1.358983203335406e-07,2.1688312688111466e-09,3.2202322734763944e-17,3.79145597411306e-16,6.812520621443752e-12,6.811958370214969e-12,1.060468252682545e-15,1.0585468146065215e-15,2.1688370235286144e-09,4.007343436754561e-15,5.944511446579744e-10,7.180066527166374e-15,1.8349623437840373e-15,5.208120709694222e-15,5.597679169435561e-20,2.985919588862953e-23,8.12839809439528e-16,9.103491776847933e-21,1.2260141443180403e-23,5.944505187735277e-10
2.099433812322876e-11,0.2669059058277703,3.76,0.0,0.9215434693427628,0.9999999971109605,2.8294414673472174e-19,3.560243847913817e-15,1.8028232092244063e-07,1.802703225671915e-07,2.877018692894083e-09,5.740946753966637e-17,6.636467168074316e-16,1.1987204270662546e-11,1.198607204938747e-11,2.392301969440392e-15,2.3869166257450365e-15,2.8770285068690657e-09,7.049850466720454e-15,7.885582032618082e-10,1.2281050339311553e-14,3.234587467166091e-15,9.164415212019472e-15,9.853258745125751e-20,7.205841641837743e-23,1.4246460115481174e-15,2.053714182709971e-20,2.680501995249679e-23,7.885567913721416e-10
2.6162175203928176e-11,0.26690590792162705,3.76,0.0,0.9215434240632847,0.9999999963961287,5.445396215759919e-19,5.647457268227161e-15,2.2465949975384695e-07,2.2464086783123605e-07,3.585205139479264e-09,9.029757990773049e-17,1.0251449613074248e-15,1.8614011659826293e-11,1.8612031628081758e-11,4.532114728417471e-15,4.519932514557201e-15,3.5852198936803394e-09,1.0944987447584013e-14,9.826657291195437e-10,1.878580120698751e-14,5.031725722848906e-15,1.4231165622658955e-14,1.530607091881802e-19,1.461892714606491e-22,2.2035556873179394e-15,3.890796694365476e-20,4.9748425578706213e-23,9.826630543922988e-10
3.649784936532701e-11,0.2669059121093401,3.76,0.0,0.9215433335043364,0.9999999949620991,1.481960439657591e-18,1.1447374565640779e-14,3.134138480717057e-07,3.133775876242282e-07,5.001575536828016e-09,1.8009072258029322e-16,1.9745243818043237e-15,3.6223300136509413e-11,3.6218594682929854e-11,1.1959492498408314e-14,1.1916907507028693e-14,5.00160238048352e-09,2.1290810151055402e-14,1.3708826097846021e-09,3.611133252267829e-14,9.826071828556633e-15,2.7695897009721867e-14,2.980787068350754e-19,4.401359719889073e-22,4.2551637546150994e-15,1.0267807463919122e-19,1.2802734841311682e-22,1.3708755516971417e-09
4.683352352672584e-11,0.2669059162970526,3.76,0.0,0.9215432429453974,0.9999999935222487,3.1775907864859203e-18,1.960714459716551e-14,4.021681839439575e-07,4.0210848008820375e-07,6.41794340725798e-09,3.036656499726231e-16,3.217423011609187e-15,5.963887722743882e-11,5.962971434757073e-11,2.49080987868905e-14,2.4798324985859622e-14,6.417984489925292e-09,3.503975084053939e-14,1.7591027106151911e-09,5.93831702841481e-14,1.6234157173237433e-14,4.560201821108367e-14,4.911276399127167e-19,1.0302317171187233e-21,6.951526386338388e-15,2.138612477347474e-19,2.6266262147210443e-22,1.7590880106878391e-09
5.716919768812467e-11,0.26690592048476475,3.76,0.0,0.9215431523864668,0.9999999920765774,5.909952935905252e-18,3.036633760033333e-14,4.909225073935644e-07,4.908335456193681e-07,7.834309752441966e-09,4.63150793608541e-16,4.743766001849179e-15,8.885915342072268e-11,8.884335492532262e-11,4.502560458115156e-14,4.4788842610990465e-14,7.834366228307176e-09,5.2186490507447333e-14,2.1473270041371295e-09,8.88397098605627e-14,2.4272614405581083e-14,6.794921626676917e-14,7.323094729240854e-19,2.070336388718158e-21,1.0276031946847031e-14,3.866142151745581e-19,4.700391988500162e-22,2.147300431364165e-09
6.75048718495235e-11,0.26690592467247654,3.76,0.0,0.9215430618275436,0.9999999906250855,9.986281947534411e-18,4.3962428341395884e-14,5.79676818450427e-07,5.795527846112232e-07,9.250675572492276e-09,6.60573356847449e-16,6.5439533851131845e-15,1.2388255154417976e-10,1.2385749757414138e-10,7.394515666919245e-14,7.349165681810613e-14,9.250747601875306e-09,7.27257667381254e-14,2.5355564543874276e-09,1.2471724009426814e-13,3.395745384980737e-14,9.473718022257145e-14,1.0217253067568605e-18,3.7504704103509024e-21,1.42126925236316e-14,6.349733874226047e-19,7.664004760262488e-22,2.5355128137259002e-09
8.817622017232116e-11,0.26690593304789934,3.76,0.0,0.9215428807097155,0.9999999877046404,2.3567374233944763e-17,8.057592914683409e-14,7.571854035502472e-07,7.569737844870655e-07,1.2083409522344739e-08,1.1764624159544443e-15,1.0931586310587574e-14,2.1133265926081713e-10,2.112795452559201e-10,1.644521073835511e-13,1.631313641475847e-13,1.2083509278519726e-08,1.2396182263851451e-13,3.3120345219100974e-09,2.1664120413378332e-13,5.83244943249631e-14,1.6163421158517083e-13,1.7456468961103294e-18,1.0028578906143832e-20,2.3864362600923194e-14,1.4123592235026739e-18,1.6883769639849664e-21,3.311937463504761e-09
