Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54)
9.999999999999999e-11,0.14419021185263564,3.76,0.0,0.5264274631792694,0.999999999999849,1.3297684031470683e-22,7.956999577686254e-19,3.880893089431657e-13,3.8802064070093114e-13,1.5090750692995916e-13,3.651667697643112e-21,6.016420931228027e-21,6.783711219897181e-17,6.783334808621103e-17,1.2187545572788289e-20,1.1942171556481532e-20,1.5094518056633386e-13,3.6871470862748184e-17,1.695657644143195e-17,8.234754341906997e-19,7.944638504691259e-19,8.127930924474497e-19,9.837439194177117e-29,2.465928534053229e-31,9.00460032382093e-21,2.3851432590375778e-26,2.7020704523616192e-33,1.6952586972994048e-17,2.6212006328844514e-30
1.31071e-10,0.14419021185263564,3.76,0.0,0.5264274631791018,0.999999999999802,2.2726872311228325e-22,1.2349526225269343e-18,5.08673178077423e-13,5.085666213253985e-13,1.9778714817692279e-13,6.014050617566661e-21,8.947706154261395e-21,1.0526568713116068e-16,1.0525926054134853e-16,2.0827483313849833e-20,2.0386033987201462e-20,1.9784560771968972e-13,5.721500265909659e-17,2.2226770914620965e-17,1.2780706536458541e-18,1.2328398798479737e-18,1.2612607122451948e-18,1.661061210086237e-28,4.438826047458603e-31,1.3943438482986857e-20,4.0760454721987876e-26,4.608450918901599e-33,2.2219953227162537e-17,4.435479928784952e-30
2.62143e-10,0.14419021185264952,3.76,0.0,0.5264274631783953,0.9999999999996038,1.8210982030014494e-21,4.948381209103433e-18,1.0173523023638267e-12,1.016926142989807e-12,3.9545980265076757e-13,3.3085601645666256e-20,2.5690411851993364e-20,4.209340445372597e-16,4.2088292890760027e-16,1.6656330187626636e-19,1.5964447801124654e-19,3.9569355786860983e-13,2.2879037963212236e-16,4.449469224221671e-17,5.121571322937236e-18,4.931432923069599e-18,5.044186320875823e-18,1.2489773163229818e-27,7.097394693895844e-30,5.451936753886851e-20,3.260326473126949e-25,3.649420083185995e-32,4.444016601771369e-17,3.3732782006644196e-29
3.93215e-10,0.1441902118526634,3.76,0.0,0.5264274631776887,0.999999999999405,5.212026573843622e-21,1.0527855358571895e-17,1.5260314384692844e-12,1.5251259493192512e-12,5.930449467251788e-13,7.92406014833922e-20,4.4592995222872394e-20,8.942922002218622e-16,8.94146328029173e-16,4.761723120838922e-19,4.509564912956294e-19,5.935415501056869e-13,4.8607564770154035e-16,6.68162639808751e-17,1.0896937105369767e-17,1.0479319963133806e-17,1.0717598409955812e-17,3.639965322979198e-27,2.7051757077695994e-29,1.1405820571762666e-19,9.321626756705348e-25,1.080171700979332e-31,6.666037887095963e-17,9.865186231366896e-29
5.24287e-10,0.14419021185267725,3.76,0.0,0.5264274631769822,0.9999999999992062,1.1002889556877449e-20,1.7978960689890263e-17,2.03471059444968e-12,2.033166090492762e-12,7.905426548085296e-13,1.4545273066079186e-19,6.455985368783722e-20,1.525252707236053e-15,1.5249454455303503e-15,1.004203167013918e-18,9.408149504726477e-19,7.913895984709794e-13,8.290238834992397e-16,8.92093487803413e-17,1.8610222879541167e-17,1.787644726031173e-17,1.8280903487650182e-17,7.84913499830468e-27,7.275851060015762e-29,1.9181162481430096e-19,1.966032776558348e-24,2.34954349080928e-31,8.888059178687289e-17,2.131459360005583e-28
7.864310000000001e-10,0.14419021185270497,3.76,0.0,0.5264274631755691,0.9999999999988078,3.0094178910106305e-20,3.7291084814047125e-17,3.0520689850844724e-12,3.0488718040898563e-12,1.185333101732304e-12,3.2623149464763955e-19,1.0553561670096819e-19,3.156785356446349e-15,3.1559477149350885e-15,2.74195859775694e-18,2.52355084136516e-18,1.1870858704523795e-12,1.7158206868548461e-15,1.3421872696347245e-16,3.8603739433850817e-17,3.701047818743613e-17,3.784113547722603e-17,2.2529500026528497e-26,2.940398332028258e-28,3.8785903617252974e-19,5.369074262864578e-24,6.806341953117818e-31,1.3332101776569112e-16,6.130546655906872e-28
9.999999999999999e-10,0.1441902118527327,3.76,0.0,0.5264274631744178,0.9999999999984829,5.58929194968571e-20,5.814673916986231e-17,3.88091208749962e-12,3.875934624667489e-12,1.5067320970676074e-12,5.300036813045612e-19,1.3956504988083737e-19,4.913881477044886e-15,4.912329335806607e-15,5.086046614338989e-18,4.6188536171876584e-18,1.509460289423167e-12,2.670871218079445e-15,1.711918992859387e-16,6.019760495648117e-17,5.762529135551737e-17,5.891066806241193e-17,4.317004137797378e-26,6.818096861707214e-28,5.928038993708321e-19,9.960272250194796e-24,1.3100924065950853e-30,1.6952668099080138e-16,1.175878299062435e-27
1.0485750000000002e-09,0.1441902118527327,3.76,0.0,0.526427463174156,0.9999999999984088,6.304474417102362e-20,6.353220121854983e-17,4.069427541421155e-12,4.0639907885763465e-12,1.579802658466439e-12,5.834307737714457e-19,1.4738586261990268e-19,5.367151124630399e-15,5.3654010804642034e-15,5.735547828064134e-18,5.196417841454343e-18,1.5827824653528307e-12,2.9172415341132807e-15,1.7963932712641504e-16,6.577391493103383e-17,6.294397495220826e-17,6.434624742858569e-17,4.895256463301657e-26,7.960114380940982e-28,6.450856067564969e-19,1.123246277387516e-23,1.4866432422529715e-30,1.777614439747325e-16,1.3335955897728387e-27
1.3107190000000003e-09,0.14419021185276043,3.76,0.0,0.5264274631727429,0.9999999999980087,1.1491423397217307e-19,9.723447536511717e-17,5.086786367775936e-12,5.078481469781494e-12,1.9739289392161853e-12,9.231383131978332e-19,1.8941915565859963e-19,8.197110251789689e-15,8.1939287113982e-15,1.0438478222591426e-17,9.308607770205343e-18,1.978479499903975e-12,4.4554467988673835e-15,2.2561969677139773e-16,1.006737444695741e-16,9.616164777884264e-17,9.828833600948877e-17,9.143592410232551e-26,1.787129066639332e-27,9.634823101920087e-19,2.044560303751168e-23,2.786562107017544e-30,2.2220187043025894e-16,2.492837382954899e-27
1.8350070000000003e-09,0.1441902118528158,3.76,0.0,0.5264274631699167,0.9999999999972055,3.0444175014663e-19,1.877428906345872e-16,7.1215056916673375e-12,7.105540724326867e-12,2.761133945540295e-12,1.8555875338174504e-18,2.733367006430561e-19,1.5750764888922068e-14,1.5742392073417596e-14,2.7539969241978754e-17,2.355744046679292e-17,2.7698755491770023e-12,8.561251819768714e-15,3.20101098125662e-16,1.9442092741931244e-16,1.848971217642205e-16,1.8892373687424426e-16,2.485597656402351e-25,6.918147656626858e-27,1.7614701192498603e-18,5.396315487182205e-23,7.612066622289395e-30,3.110827240950153e-16,6.78327469468752e-27
2.3592950000000004e-09,0.14419021185287118,3.76,0.0,0.5264274631670905,0.9999999999963982,6.33119476642613e-19,3.091150670180938e-16,9.156228202929842e-12,9.130053156505483e-12,3.5469534715640552e-12,3.1232350674895183e-18,3.571314059217918e-19,2.5812091454202063e-14,2.579477995228141e-14,5.705848064424368e-17,4.703593271315188e-17,3.5612747941927104e-12,1.4030215685791292e-14,4.1865024520839305e-16,3.2016985656686774e-16,3.031920514736226e-16,3.0970485334574177e-16,5.219120597046368e-25,1.8382516678531756e-26,2.7530468865228084e-18,1.1184300448576713e-22,1.6028184065329247e-29,3.999635787581338e-16,1.4250636293805005e-26
3.4078710000000005e-09,0.14419021185298175,3.76,0.0,0.5264274631614381,0.999999999994772,1.9160128216331373e-18,6.462602749498178e-16,1.3225692250100345e-11,1.3171455115874106e-11,5.1144677790502895e-12,6.661702969748406e-18,5.243955572257592e-19,5.342787053841418e-14,5.33761540693526e-14,1.7116989850618185e-16,1.3004273284712004e-16,5.144087465377298e-12,2.904176923157415e-14,6.337976400574839e-16,6.696377026899961e-16,6.283238283081197e-16,6.414963226327408e-16,1.5824947800265756e-24,8.211131555615359e-26,5.18017018390009e-18,3.3580000544366643e-22,4.8782546368388435e-29,5.777252910701355e-16,4.3235157151831987e-26
4.4564470000000005e-09,0.14419021185309222,3.76,0.0,0.5264274631557856,0.9999999999931302,4.252394301598536e-18,1.1111474595671187e-15,1.7295193477892447e-11,1.7202710209513876e-11,6.6765164862605384e-12,1.1535374851692404e-17,6.91278643078274e-19,9.100473348963727e-14,9.089117724747327e-14,3.77058624273827e-16,2.6764634370832733e-16,6.726923776254819e-12,4.9469146158787406e-14,8.790317782131111e-16,1.1517674406406216e-15,1.071352071669414e-15,1.0933920924068269e-15,3.497213278513395e-24,2.3273128613571405e-25,8.09137284615226e-18,7.402465110746328e-22,1.0805754728185784e-28,7.554870073540406e-16,9.557498445121892e-26
6.553599000000001e-09,0.14419021185331263,3.76,0.0,0.5264274631444802,0.9999999999897994,1.383690187717902e-17,2.4385811245452916e-15,2.5434413604564264e-11,2.523491188452514e-11,9.784494576516949e-12,2.5270337287274967e-17,1.0239400081951594e-18,1.958110415093526e-13,1.9545022181469828e-13,1.205613443156874e-15,7.419604989794456e-16,9.892703835115435e-12,1.0645077476213422e-13,1.506235597858298e-15,2.5296960583730434e-15,2.309638308093677e-15,2.355932818755419e-15,1.1187689557962013e-23,1.1195266169624376e-24,1.4771611093871124e-17,2.3709298805262016e-21,3.470044261258419e-28,1.1110104517675945e-15,3.0584642688027497e-25
8.4410358e-09,0.1441902118535106,3.76,0.0,0.5264274631343048,0.9999999999867483,2.9476838459076014e-17,4.097768861149444e-15,3.276005320971997e-11,3.2429444021566066e-11,1.2563524136699429e-11,4.216377472892859e-17,1.3220742850291625e-18,3.2376173923128606e-13,3.230058236029777e-13,2.535926940268851e-15,1.4119672108824664e-15,1.2742056670146429e-11,1.760263066466314e-13,2.262620768711937e-15,4.253555783184124e-15,3.8243488009894826e-15,3.899982047821551e-15,2.3504004440261378e-23,2.953367375842014e-24,2.147850672407516e-17,4.993367833217159e-21,7.308117228323917e-28,1.430981565190515e-15,6.426388113652258e-25
9.999999999999999e-09,0.14419021185370806,3.76,0.0,0.5264274631258995,0.9999999999841903,4.9109725004540904e-17,5.813087107793668e-15,3.881116257490765e-11,3.8347413359546676e-11,1.4846217583293876e-11,5.933857718320597e-17,1.5674272463981744e-18,4.532572910798689e-13,4.520149198737969e-13,4.180334075886015e-15,2.1525014332494537e-15,1.5095674481507158e-11,2.464538549054583e-13,3.0666086454723815e-15,6.037172048822245e-15,5.359816078422111e-15,5.465206288783451e-15,3.868716759824028e-23,5.7087234607916216e-24,2.726912024089852e-17,8.240046603331428e-21,1.2052108383807578e-27,1.6952677806974337e-15,1.0578562000657293e-24
1.03284726e-08,0.14419021185370806,3.76,0.0,0.5264274631241286,0.9999999999836469,5.402118118608766e-17,6.214299304103028e-15,4.008616819275212e-11,3.959149909887708e-11,1.5325714091379277e-11,6.332900784901218e-17,1.6190194632385055e-18,4.832896121641347e-13,4.819262689818792e-13,4.589767527012653e-15,2.3301243866993713e-15,1.5591596258094492e-11,2.6278838323088306e-13,3.2566905446331158e-15,6.454491707251163e-15,5.7161507001537524e-15,5.82844810616025e-15,4.246438571924652e-23,6.432435239843664e-24,2.851815265275855e-17,9.04881330969799e-21,1.323327234405131e-27,1.7509526912740755e-15,1.1611549863699213e-24
1.22159094e-08,0.14419021185390507,3.76,0.0,0.5264274631139514,0.9999999999804954,8.952847567492889e-17,8.803257708946561e-15,4.741289836636621e-11,4.6721216759102393e-11,1.8071381560052677e-11,8.87470438059586e-17,1.914780472637777e-18,6.74150925156487e-13,6.719254278507853e-13,7.515294540212616e-15,3.504778954274224e-15,1.8441360990034267e-11,3.6661326897329005e-13,4.5373089692963256e-15,9.148924323899625e-15,7.983121875320628e-15,8.139677803631988e-15,6.939390179840813e-23,1.2288659376574394e-23,3.5720380910718065e-17,1.4834680989983955e-20,2.167102943458735e-27,2.0709238299474787e-15,1.8976450614228682e-24
1.4103346199999998e-08,0.1441902118541017,3.76,0.0,0.5264274631037733,0.999999999977294,1.382120770307992e-16,1.1880210294449171e-14,5.474039291551531e-11,5.3818741912783484e-11,2.080085805092875e-11,1.1839817318802434e-16,2.2093625893530847e-18,8.960930403062374e-13,8.927071036838263e-13,1.1465528914821017e-14,4.9397672029446276e-15,2.129139057152416e-11,4.873741296937887e-13,6.15501398281136e-15,1.2353807601901191e-14,1.0623223772537568e-14,1.0831955584800196e-14,1.0565117339222325e-22,2.1411223299950392e-23,4.298496795272199e-17,2.2659619854052545e-20,3.3060679256558686e-27,2.3908949811385345e-15,2.8892773872483568e-24
1.7878219799999997e-08,0.14419021185449354,3.76,0.0,0.5264274630834129,0.9999999999707423,2.8341118532057235e-16,1.9553123078685428e-14,6.939821639173659e-11,6.791773134074811e-11,2.621242034658558e-11,1.9032944390845263e-16,2.7950090061685525e-18,1.4323207401958916e-12,1.4255659065603838e-12,2.298176470248464e-14,8.59113947484707e-15,2.6992385122066367e-11,7.792600487038042e-13,1.0580948312462231e-14,2.035490802187859e-14,1.701551671917675e-14,1.7353539038391036e-14,2.1089354901238143e-22,5.339530966481209e-23,5.755439176521582e-17,4.5527150906222513e-20,6.62473995430122e-27,3.030837320823354e-15,5.767769843970442e-24
2.1653093399999995e-08,0.14419021185488373,3.76,0.0,0.5264274630630456,0.9999999999639934,5.084868446863379e-16,2.935473515325163e-14,8.406084107201525e-11,8.188961467673737e-11,3.156301740475187e-11,2.789667769697011e-16,3.3760005288151665e-18,2.0899784805918672e-12,2.0781704059365295e-12,4.033718864630749e-14,1.328050679040025e-14,3.2694891908964436e-11,1.1374696364688125e-12,1.6931617514359972e-14,3.059050627615156e-14,2.4876922620715288e-14,2.537961597314236e-14,3.6864157008164094e-22,1.1183940472377235e-22,7.197383787891249e-17,8.009512978678643e-20,1.1622736933859572e-26,3.670779709780168e-15,1.0082525121355207e-23
2.5427966999999994e-08,0.1441902118552723,3.76,0.0,0.5264274630426699,0.9999999999570491,8.34446449977925e-16,4.1411009732177606e-14,9.87295273378259e-11,9.573559305847393e-11,3.685536240674874e-11,3.8414680752866915e-16,3.952380975318252e-18,2.8669843307338153e-12,2.8480908390520945e-12,6.477480647771525e-14,1.8990495949256565e-14,3.839923536155984e-11,1.5610063526488195e-12,2.561996933185867e-14,4.3198123626282805e-14,3.419089996287259e-14,3.489596645373646e-14,5.896056889762661e-22,2.086221755663677e-22,8.619334116815302e-17,1.289219736501007e-19,1.865646176179789e-26,4.3107221474564596e-15,1.6126564746024974e-23
2.9202840599999992e-08,0.14419021185565928,3.76,0.0,0.5264274630222838,0.9999999999499113,1.2832754197017205e-15,5.584254797301558e-14,1.1340549114739033e-10,1.0945683380932002e-10,4.209204889737854e-11,5.057107717595332e-16,4.524192848336217e-18,3.761322540368591e-12,3.732980836625757e-12,9.748763996324228e-14,2.5698172964710504e-14,4.410572799874787e-11,2.0489338340107846e-12,3.704379238486997e-14,5.830962686242608e-14,4.494194396377058e-14,4.588877086358692e-14,8.839199784115369e-22,3.577367967704001e-22,1.0026199284073063e-16,1.9449408021682662e-19,2.806861381925833e-26,4.950664633342487e-15,2.4177147246555216e-23
3.297771419999999e-08,0.14419021185604466,3.76,0.0,0.5264274630018859,0.9999999999425809,1.8776387974048063e-15,7.276350145267018e-14,1.280898855514318e-10,1.230544590719682e-10,4.727552106060351e-11,6.435060524933713e-16,5.091477134189731e-18,4.77106290746093e-12,4.730599481607868e-12,1.396078983772148e-13,3.33826987586866e-14,4.9814667523249724e-11,2.6003829452676625e-12,5.1582016341597746e-14,7.605003325789483e-14,5.711581416611764e-14,5.834474446761652e-14,1.2610706341684232e-21,5.750082988358269e-22,1.1420979616050923e-16,2.792016099091918e-19,4.0185243553840736e-26,5.590607166974995e-15,3.4493811313141323e-23
