Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81)
2.1180266579502642e-14,0.45217961827335557,3.76,0.0,0.8688614318047477,1.0,0.0,0.0,2.5024028152900488e-11,2.5024028152900488e-11,0.0
4.23606049781866e-14,0.45217961827536585,3.76,0.0,0.8688614317797236,1.0,0.0,0.0,5.0048141157254276e-11,5.0048141157254276e-11,0.0
8.472128177555451e-14,0.4521796182793863,3.76,0.0,0.8688614317296754,1.0,0.0,0.0,1.0009636716188052e-10,1.0009636716188052e-10,0.0
1.6944263537029032e-13,0.4521796182874273,3.76,0.0,0.868861431629579,1.0,0.0,0.0,2.0019281915480756e-10,2.0019281915480756e-10,0.0
3.3888534255976194e-13,0.4521796183035093,3.76,0.0,0.8688614314293861,1.0,0.0,0.0,4.003857230753602e-10,4.003857230753602e-10,0.0
6.777707569387053e-13,0.45217961833567316,3.76,0.0,0.8688614310290003,1.0,0.0,0.0,8.007715306552591e-10,8.007715306552591e-10,0.0
1e-12,0.45217961840000115,3.76,0.0,0.8688614306482935,1.0,0.0,0.0,1.1814784305879693e-09,1.1814784305879693e-09,0.0
1.3555415856965918e-12,0.45217961840000115,3.76,0.0,0.8688614302282287,1.0,0.0,0.0,1.6015431447702314e-09,1.6015431447702314e-09,0.0
2.7110832432123648e-12,0.45217961852865673,3.76,0.0,0.8688614286266855,1.0,0.0,0.0,3.203086368820875e-09,3.203086368820875e-09,0.0
5.422166558243911e-12,0.4521796187859683,3.76,0.0,0.868861425423599,1.0,0.0,0.0,6.406172800204948e-09,6.406172800204948e-09,0.0
1e-11,0.45217961930059103,3.76,0.0,0.8688614200149877,1.0,0.0,0.0,1.1814784165288435e-08,1.1814784165288435e-08,0.0
1.0844333188307003e-11,0.45217961930059103,3.76,0.0,0.8688614190174262,1.0,0.0,0.0,1.2812345596104195e-08,1.2812345596104195e-08,0.0
1.6266499818370096e-11,0.452179619815214,3.76,0.0,0.8688614126112535,1.0,0.0,0.0,1.921851832513447e-08,1.921851832513447e-08,0.0
2.711083307849628e-11,0.4521796208444597,3.76,0.0,0.8688613997989083,1.0,0.0,0.0,3.203086351571875e-08,3.203086351571875e-08,0.0
3.795516633862247e-11,0.45217962187370525,3.76,0.0,0.8688613869865633,1.0,0.0,0.0,4.484320843882623e-08,4.484320843882623e-08,0.0
4.8799499598748654e-11,0.45217962290295094,3.76,0.0,0.8688613741742186,1.0,0.0,0.0,5.7655553094456366e-08,5.7655553094456366e-08,0.0
7.048816611900103e-11,0.45217962496144215,3.76,0.0,0.8688613485495301,1.0,0.0,0.0,8.328024177796165e-08,8.328024177796165e-08,0.0
9.21768326392534e-11,0.45217962701993336,3.76,0.0,0.8688613229248423,1.0,0.0,0.0,1.0890492947785206e-07,1.0890492947785206e-07,0.0
9.999999999999999e-11,0.45217963113691545,3.76,0.0,0.8688613136819405,1.0,0.0,0.0,1.1814783127292488e-07,1.1814783127292488e-07,0.0
1.3555416567975814e-10,0.45217963113691545,3.76,0.0,0.8688612716754701,1.0,0.0,0.0,1.601543016477634e-07,1.601543016477634e-07,0.0
1.7893149872026289e-10,0.45217963525389715,3.76,0.0,0.8688612204261023,1.0,0.0,0.0,2.1140366956002877e-07,2.1140366956002877e-07,0.0
2.6568616480127236e-10,0.45217964348785955,3.76,0.0,0.8688611179273793,1.0,0.0,0.0,3.1390239255260336e-07,3.1390239255260336e-07,0.0
4.3919549696329135e-10,0.45217965995578024,3.76,0.0,0.8688609129299846,1.0,0.0,0.0,5.188997871957235e-07,5.188997871957235e-07,0.0
7.862141612873292e-10,0.45217969289160515,3.76,0.0,0.8688605029354008,1.0,0.0,0.0,9.288943710495143e-07,9.288943710495143e-07,0.0
9.999999999999999e-10,0.4521797587631889,3.76,0.0,0.8688602503524776,1.0,0.0,0.0,1.181477294291426e-06,1.181477294291426e-06,0.0
1.480251489935405e-09,0.4521797587631889,3.76,0.0,0.868859682947055,1.0,0.0,0.0,1.7488827169306597e-06,1.7488827169306597e-06,0.0
2.8683261472315565e-09,0.45217989050609214,3.76,0.0,0.8688580429736511,1.0,0.0,0.0,3.388856120750807e-06,3.388856120750807e-06,0.0
5.64447546182386e-09,0.45218015399084205,3.76,0.0,0.86885476304,1.0,0.0,0.0,6.668789771933379e-06,6.668789771933379e-06,0.0
9.999999999999999e-09,0.45218068095611125,3.76,0.0,0.8688496171592582,1.0,0.0,0.0,1.1814670513559444e-05,1.1814670513559444e-05,0.0
1.1196774091008467e-08,0.45218068095611125,3.76,0.0,0.8688482032253606,1.0,0.0,0.0,1.3228604411166525e-05,1.3228604411166525e-05,0.0
1.6749072720193075e-08,0.4521812079157397,3.76,0.0,0.8688416434809875,1.0,0.0,0.0,1.9788348784259176e-05,1.9788348784259176e-05,0.0
2.2301371349377683e-08,0.4521817348697156,3.76,0.0,0.8688350838069484,1.0,0.0,0.0,2.6348022823270067e-05,2.6348022823270067e-05,0.0
3.34059686077469e-08,0.4521827887606784,3.76,0.0,0.8688219646702486,1.0,0.0,0.0,3.946715952296317e-05,3.946715952296317e-05,0.0
4.4510565866116114e-08,0.4521838426290061,3.76,0.0,0.8688088458157674,1.0,0.0,0.0,5.2586014004256604e-05,5.2586014004256604e-05,0.0
5.561516312448533e-08,0.45218489647460136,3.76,0.0,0.8687957272440537,1.0,0.0,0.0,6.570458571790464e-05,6.570458571790464e-05,0.0
