Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56),CH2F(45),C2H2F3O2(908),C2HF3O(401),CH3-CF2(64),CHF2-CH2(63),CFO(50),FC1(F)CO1(1321),CH2O(19),CHF2-CHF(66),HCO(14),[O]O[C](F)F(171),C2H3F2O2(1300),O[C](F)F(239),H2O2(11),CF2CH(72),C2HF2O(1089)
5.346114096961138e-18,0.48215506148098686,3.76,0.0,0.7950982567386657,0.999999999999668,4.838113032656439e-45,1.2287385979475256e-33,6.340471141932927e-20,6.340471141914043e-20,1.377350289152024e-20,6.26484849992825e-37,7.83285253846086e-36,1.8793313692734489e-31,1.871426137568343e-31,1.274037100416881e-42,6.727984254619724e-29,1.377350289154049e-20,1.9793924801859933e-32,1.0742342316051067e-23,1.734864098140752e-31,1.228756549634782e-33,1.6800371111558884e-33,3.14527834090633e-43,7.446540838986554e-41,2.0503409919722483e-35,1.6357239746472714e-48,2.4367464300865618e-48,1.0742342316051039e-23,2.0109324448725706e-44,9.132329788371141e-60,2.2907046871680958e-41,3.5715621975863167e-40,3.319991581274013e-13,7.386305061947668e-65,6.719790458631923e-54,2.8400038539313204e-53,1.518760241599507e-41,6.727984257002132e-29,1.0948299870219507e-65,1.3572852756928926e-69,6.6629457215101325e-62,6.50440713819656e-64,2.6068744578811204e-46,8.063047994729855e-64,3.0081212844059256e-71,2.0768344662711935e-50,5.17835348358823e-61,1.544734586479558e-42,4.746783145638884e-73,7.852422325020386e-52,1.6721975325621415e-36,2.1807388011149165e-57,6.5182829973599485e-68
1.0696872949870983e-17,0.4821550614809868,3.76,0.0,0.7950982567386657,0.9999999999993358,3.873432206195728e-44,4.918156577295559e-33,1.268645094689099e-19,1.268645094681541e-19,2.755897233632981e-20,2.5075722115485183e-36,3.135182297894655e-35,7.506401689408636e-31,7.490581627469037e-31,1.020004349423958e-41,1.3461813842653975e-28,2.755897233641244e-20,7.922728366388006e-32,2.1494017683636493e-23,3.50527617674114e-31,4.918228430556831e-33,6.724526747674684e-33,1.2589310402158248e-42,2.9805569601394795e-40,8.20670730663267e-35,1.3095737699270045e-47,9.753339687977448e-48,2.1494017683636382e-23,8.048970586497909e-44,7.3114192128766745e-59,9.168790279922758e-41,1.4295556362535663e-39,6.642867537135743e-13,5.91353667974727e-64,5.381282356741233e-53,2.2743064276031677e-52,6.078998969946403e-41,1.3461813852189308e-28,1.7536306862391472e-64,1.0866645155931092e-68,5.3344079334501275e-61,5.207480668656397e-63,2.087084646537768e-45,6.455341146371199e-63,4.8185951809545515e-70,8.498567049666054e-50,4.145831447375251e-60,6.18296394075823e-42,7.601042900475805e-72,6.286712465510392e-51,6.693148002785943e-36,1.7463596978240884e-56,1.0440580931913148e-66
2.139839065569067e-17,0.4821550614809868,3.76,0.0,0.7950982567386657,0.9999999999986712,3.099922980436252e-43,1.9679032507217796e-32,2.5378410556807117e-19,2.5378410556504693e-19,5.512991122580421e-20,1.0033556270147213e-35,1.2544812813402183e-34,3.0003741361036927e-30,2.9972083443702e-30,8.163134796693817e-41,2.6929473004398294e-28,5.512991122613801e-20,3.1701233296885917e-31,4.2997368418807355e-23,7.148266824023283e-31,1.9679320011685772e-32,2.6906866092259256e-32,5.0373641598275884e-42,1.1926110195749926e-39,3.283751892508742e-34,1.0480570221543438e-46,3.902609205991303e-47,4.2997368418806885e-23,3.220636794261172e-43,5.85136151693058e-58,3.668711828711861e-40,5.7200844773966504e-39,1.3288619249561194e-12,4.732628893989864e-63,4.307206946688451e-52,1.8203669301378457e-51,2.432391414367151e-40,2.692947304254797e-28,2.8073321313207637e-63,8.69679490670264e-68,4.269147582227024e-60,4.167567194769866e-62,1.6703020071909217e-44,5.1662349426525665e-62,7.714236128231476e-69,3.549235648659131e-49,3.317925160548344e-59,2.47399086488668e-41,1.2166623007451369e-70,5.031280627148924e-50,2.6781310240137914e-35,1.3977955667118242e-55,1.6713997166952468e-65
4.280142606733005e-17,0.48215506148098686,3.76,0.0,0.7950982567386657,0.999999999997342,2.480409371605713e-42,7.87289442647308e-32,5.076232977663937e-19,5.076232977542947e-19,1.1027178900417407e-19,4.0140767820703214e-35,5.01874188070891e-34,1.1997121682815502e-29,1.1990785041887022e-29,6.531748102708181e-40,5.386479127061165e-28,1.102717890055158e-19,1.2682557578887967e-30,8.600406988914907e-23,1.4842914079037224e-30,7.873009445244905e-32,1.0764498506681918e-31,2.015273809684413e-41,4.7712206599298143e-39,1.3137145794659827e-33,8.386048542441301e-46,1.561300125003358e-46,8.600406988914721e-23,1.2884645391487563e-42,4.6819847324879107e-57,1.4677247650402258e-39,2.2884061404199925e-38,2.6580121877220123e-12,3.786825856766134e-62,3.44663819489408e-51,1.456662349388594e-50,9.731149536472094e-40,5.3864791423202525e-28,4.492950183163514e-62,6.959039224752828e-67,3.4159666985568357e-59,3.334686955242341e-61,1.3364953547489965e-43,4.1337730708306035e-61,1.2346366053660375e-67,1.538906207594927e-48,2.654844237013521e-58,9.897573787423525e-41,1.9470561293570795e-69,4.025788920325685e-49,1.0714267990240582e-34,1.1185196457920924e-54,2.6749651672486932e-64
8.56074968906088e-17,0.48215506148098686,3.76,0.0,0.7950982567386657,0.9999999999946837,1.9845159130006827e-41,3.1494140747254183e-31,1.0153016821630387e-18,1.0153016821146391e-18,2.2055554455859793e-19,1.6057621338652086e-34,2.007660046693931e-33,4.797973522452759e-29,4.796704377158236e-29,5.225894641028042e-39,1.0773542757410872e-27,2.20555544563978e-19,5.07343591285838e-30,1.7201747282983252e-22,3.1866872431857186e-30,3.1494600845892514e-31,4.306149841511254e-31,8.061752370882915e-41,1.908643591342008e-38,5.2552859775255076e-33,6.709475848266672e-45,6.2457273434287776e-46,1.720174728298251e-22,5.1542784664821826e-42,3.745953824092711e-56,5.8713860107389926e-39,9.154368593110997e-38,5.3163123943770465e-12,3.0297542413425105e-61,2.757659653448704e-50,1.165477419630562e-49,3.892776613450083e-39,1.0773542818426058e-27,7.189695447702315e-61,5.568211162848465e-66,2.7330328396659347e-58,2.6680028713317814e-60,1.0692977603022713e-42,3.307332758922563e-60,1.9757056761908436e-66,7.108049974439756e-48,2.124077054267261e-57,3.9593512204915654e-40,3.1156070047840516e-68,3.2209369257698535e-48,4.286055999767694e-34,8.949290072557304e-54,4.280524845887884e-63
1.7121963853716633e-16,0.48215506148098686,3.76,0.0,0.7950982567386657,0.9999999999893671,1.5876881018105272e-40,1.2598168934761909e-30,2.0306584509563293e-18,2.030658450762722e-18,4.411230556581827e-19,6.42331584227086e-34,8.030966240876711e-33,1.9190143609105652e-28,1.918759825502661e-28,4.180914186517462e-38,2.154766992667562e-27,4.411230556797291e-19,2.0294569442434708e-29,3.4404427871119944e-22,7.245344451661308e-30,1.2598352970591e-30,1.722530026809467e-30,3.2248330145884596e-40,7.63488503103207e-38,2.1021999134123818e-32,5.367835498241218e-44,2.4984074472786667e-45,3.440442787111697e-22,2.0617959612595205e-41,2.9969219501669747e-55,2.3486572773643214e-38,3.661895672400433e-37,1.063291153218041e-11,2.4239279073067063e-60,2.2062673701319434e-49,9.324409553488173e-49,1.5571740078086703e-38,2.154767017053725e-27,1.1504292886978531e-59,4.455502305608269e-65,2.186530069591476e-57,2.1345036258256064e-59,8.554787467075114e-42,2.645992290000172e-59,3.161358789055173e-65,3.604905995617986e-47,1.6993423130792322e-56,1.58380452519649e-39,4.9852249808143446e-67,2.576871845992536e-47,1.7144921631213825e-33,7.159885245350569e-53,6.8493042464689015e-62
3.4244392183028133e-16,0.48215506148098686,3.76,0.0,0.7950982567386657,0.9999999999787339,1.2701806325744946e-39,5.039370110370693e-30,4.06137198854291e-18,4.061371987768465e-18,8.822580778202996e-19,2.5693833635438053e-33,3.212451271250624e-32,7.675707328761402e-28,7.675195452299758e-28,3.344810740092304e-37,4.3095923900564e-27,8.822580779065381e-19,8.117992937308266e-29,6.880978904739333e-22,1.797812102661697e-29,5.0394437173077306e-30,6.890260289676939e-30,1.2899601276569798e-39,3.0540161465418303e-37,8.408970600893381e-32,4.294370329634604e-43,9.993951913384394e-45,6.880978904738148e-22,8.247357074975456e-41,2.3976210668960186e-54,9.394878695370821e-38,1.4647874553738535e-36,2.1266104705762775e-11,1.9392034699120802e-59,1.765069756496743e-48,7.45976372847756e-48,6.228822761551005e-38,4.309592487435793e-27,1.8407492750342462e-58,3.565641517855876e-64,1.7492655759043407e-56,1.707643434036058e-58,6.843991262988906e-41,2.1168448348867392e-58,5.058357842934746e-64,2.0512603787756952e-46,1.3595061183822076e-55,6.33534372588908e-39,7.976562991226313e-66,2.0615463731146467e-46,6.858108181366761e-33,5.728089472181991e-52,1.0959258393503978e-60
6.848924884165113e-16,0.4821550614809868,3.76,0.0,0.7950982567386657,0.9999999999574675,1.0161565694822386e-38,2.015768557598928e-29,8.12279906371607e-18,8.122799060618261e-18,1.7645281219963236e-18,1.027767602310271e-32,1.2849931139297797e-31,3.0702129060112676e-27,3.0701094098401237e-27,2.675880347697624e-36,8.619243039855667e-27,1.7645281223413813e-18,3.24723020663933e-28,1.3762051139994012e-21,4.9905522859411073e-29,2.0157979935593264e-29,2.7561321522350023e-29,5.159898419596945e-39,1.2216188854651979e-36,3.3636223496257807e-31,3.435537037418429e-42,3.99771647123827e-44,1.3762051139989274e-21,3.298980738369953e-40,1.9181621747426336e-53,3.7580364647219346e-37,5.8592045056739176e-36,4.253247064484963e-11,1.5514053732336354e-58,1.412078149274378e-47,5.967905418345221e-47,2.491554453471705e-37,8.619243428039253e-27,2.945248762615342e-57,2.854395196593768e-63,1.39942906900397e-55,1.3661309620581754e-57,5.475256136795987e-40,1.6934971787715164e-57,8.093519599145852e-63,1.3079323706485552e-45,1.0876178007511606e-54,2.534160654656064e-38,1.2762663196640215e-64,1.6492566138625517e-45,2.7432711785462943e-32,4.582544081928257e-51,1.753511068697063e-59
1.3697896215889715e-15,0.48215506148098686,3.76,0.0,0.7950982567386657,0.9999999999149349,8.129300854849684e-38,8.063115305279096e-29,1.6245653214062395e-17,1.6245653201671094e-17,3.529068209755532e-18,4.111121734873378e-32,5.139994869363371e-31,1.2280711565396214e-26,1.2280500086154223e-26,2.1407169786499156e-35,1.7238543766564902e-26,3.529068211135973e-18,1.2988986885124368e-27,2.752419561050341e-21,1.5560772166344903e-28,8.063232992807858e-29,1.1024584678932865e-28,2.063974201566205e-38,4.886500394964757e-36,1.3454556973465372e-30,2.7484459407274516e-41,1.5991707542432236e-43,2.7524195610484435e-21,1.3196024867286758e-39,1.5346069374918203e-52,1.5032596384010748e-36,2.3436897878229053e-35,8.506512089086854e-11,1.2411703606486737e-57,1.1296714564457676e-46,4.7743621089454284e-46,9.96626853231451e-37,1.7238545308603465e-26,4.71243793035644e-56,2.2864867269231464e-62,1.1195498985057793e-54,1.0929112576417753e-56,4.3802279358639963e-39,1.3548077225152015e-56,1.2949749074047513e-61,9.131134901010418e-45,8.700994009823967e-54,1.0136673259910247e-37,2.042039101412247e-63,1.3194130278206535e-44,1.0973140526232366e-31,3.6660642557818645e-50,2.8056414819957545e-58
2.7395838879338916e-15,0.48215506148098686,3.76,0.0,0.7950982567386657,0.99999999982987,6.503460075507535e-37,3.225254375346217e-28,3.2491361514755044e-17,3.2491361465189706e-17,7.058148382902593e-18,1.6444772084448395e-31,2.056000192626207e-30,4.912256609546367e-26,4.912212514788469e-26,1.7125786601856214e-34,3.447714298462076e-26,7.058148388424778e-18,5.195607961665347e-27,5.504848455152246e-21,5.344017030806731e-28,3.2253014049479545e-28,4.409845083208546e-28,8.255952488861559e-38,1.9546051280548955e-35,5.381835789305828e-30,2.1987632788400703e-40,6.397307544782373e-43,5.504848455144638e-21,5.278451207104899e-39,1.227798139717787e-51,6.013353098740103e-36,9.374751511897545e-35,1.7013009485554053e-10,9.930011503012493e-57,9.03740738904409e-46,3.819504796530942e-45,3.9865175730334915e-36,3.4477149067161074e-26,7.539932526507265e-55,1.8339260412104603e-61,8.956425760482237e-54,8.743316045525234e-56,3.504188000411734e-38,1.0838524979711898e-55,2.0719692927607347e-60,6.771974221922258e-44,6.960815816315466e-53,4.054662882293382e-37,3.2672729446416367e-62,1.0555334058072625e-43,4.389267372766918e-31,2.9328629821172833e-49,4.489045361037006e-57
4.1093781542788116e-15,0.4821550614809868,3.76,0.0,0.7950982567386657,0.9999999997448054,1.859584548120551e-36,6.853670748855049e-28,4.87370698154477e-17,4.8737069710121285e-17,1.0587228553678299e-17,3.4945524199647834e-31,4.368999294764899e-30,1.0438527779488406e-25,1.0438459383866105e-25,4.8969083314962796e-34,5.171574002350858e-26,1.0587228565413202e-17,1.1040675168579979e-26,8.257277349254192e-21,1.0805852715552755e-27,6.853770619962035e-28,9.370927806339549e-28,1.7543970695184629e-37,4.153539002779333e-35,1.1436408597655438e-29,6.287093545453645e-40,1.3595315141985003e-42,8.257277349237993e-21,1.1216764179040066e-38,3.5109392805964126e-51,1.2778824419223829e-35,1.9921315626289308e-34,2.5519474229410007e-10,2.8394825685335994e-56,2.6829833328313306e-45,1.1339167600492673e-44,8.471356216572e-36,5.17157528231479e-26,2.8525125585242664e-54,5.252905512513408e-61,2.560979943310577e-53,2.500043845711905e-55,1.0019787404542037e-37,3.0991490151514763e-55,7.899387714369943e-60,1.9654634214980324e-43,1.99035978189683e-52,8.616140492665477e-37,1.2026597367770932e-61,3.018167888666036e-43,9.327200143376971e-31,8.706946726181458e-49,1.698298794906686e-56
5.479172420623732e-15,0.4821550614809868,3.76,0.0,0.7950982567386657,0.9999999996597411,3.9224040644249636e-36,1.1691560684462662e-27,6.498277811614036e-17,6.49827779364658e-17,1.411630872208265e-17,5.9613537761241714e-31,7.452994835203051e-30,1.7806884662171267e-25,1.780679060784269e-25,1.0329002244800218e-33,6.895433493942294e-26,1.411630874210125e-17,1.8834100305562155e-26,1.1009706243356192e-20,1.794158430335486e-27,1.1691730947852474e-27,1.5985706635126352e-27,2.9928059171480724e-37,7.085451663177301e-35,1.9509173671594426e-29,1.3261306739933204e-39,2.319372577621257e-42,1.1009706243328511e-20,1.9134565759500226e-38,7.405997882819332e-51,2.179986998236139e-35,3.398336147187311e-34,3.402590632078005e-10,5.989564651464185e-56,5.84608306200519e-45,2.4707464565934545e-44,1.4451142803549962e-35,6.895435657656392e-26,7.425078446495326e-54,1.1100871894908554e-60,5.401850685984532e-53,5.27331877110678e-55,2.1134627541463285e-37,6.537019352562684e-55,2.125388477651674e-59,4.229067249281265e-43,4.1982469795648946e-52,1.4698089176004843e-36,3.050588274851462e-61,6.366192410261605e-43,1.5911112364313298e-30,1.897199023665358e-48,4.420664789095113e-56
