Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13)
1.18598127032223e-15,0.2786656873787819,3.76,0.0,0.553075530402932,1.0,0.0,0.0,2.437266107751764e-13,2.4372660999399714e-13,2.4277658326361453e-25,3.328264722061808e-27,4.3538738187832325e-26,7.813751305055187e-22,7.811323539222551e-22,1.1524469268158079e-49
2.3724775129719987e-15,0.2786656873787947,3.76,0.0,0.5530755304026882,1.0,0.0,0.0,4.875590516026078e-13,4.875590484768733e-13,4.856585840621551e-25,1.331750731549887e-26,1.742113539730502e-25,3.126032537889174e-21,3.125546879305112e-21,3.690029569332609e-48
4.7454699982715365e-15,0.27866568737882025,3.76,0.0,0.5530755304022006,1.0,0.0,0.0,9.752239332569074e-13,9.752239207519342e-13,9.714225856588085e-25,5.327960653834298e-26,6.969563702329638e-25,1.2505194106554974e-20,1.2504222683969313e-20,1.1811614538194795e-46
9.491454968870612e-15,0.27866568737887143,3.76,0.0,0.5530755304012253,1.0,0.0,0.0,1.9505536965632545e-12,1.950553646539292e-12,1.9429505888504014e-24,2.1314301537124587e-25,2.7880324918601432e-24,5.0022903906868116e-20,5.002096095627926e-20,3.780279862481865e-45
1.8983424910068765e-14,0.27866568737897374,3.76,0.0,0.5530755303992746,1.0,0.0,0.0,3.9012132231669394e-12,3.901213023062953e-12,3.8860065952267346e-24,8.526647075806006e-25,1.1152424696942227e-23,2.000958673385199e-19,2.0009198133192463e-19,1.2097796420768476e-43
3.796736479246507e-14,0.2786656873791784,3.76,0.0,0.5530755303953733,1.0,0.0,0.0,7.802532276338272e-12,7.802531475906076e-12,7.77211860795199e-24,3.411191838899993e-24,4.4609333839246094e-23,8.00391946958695e-19,8.003841748400869e-19,3.871438781845045e-42
7.593524455725768e-14,0.2786656873795876,3.76,0.0,0.5530755303875706,1.0,0.0,0.0,1.560517038253679e-11,1.5605167180775722e-11,1.5544342633292852e-23,1.36486148352811e-23,1.784289707972535e-22,3.2015845366882935e-18,3.201568992345661e-18,1.4352780587792043e-40
1.518710040868429e-13,0.27866568738040604,3.76,0.0,0.5530755303719653,1.0,0.0,0.0,3.121044659435726e-11,3.121043378725009e-11,3.108879068353601e-23,5.462440183414991e-23,7.136380880228351e-22,1.2806369993792292e-17,1.2806338905001608e-17,4.612564629226456e-39
3.037425231460133e-13,0.27866568738204306,3.76,0.0,0.5530755303407547,1.0,0.0,0.0,6.242099901569184e-11,6.242094778715094e-11,6.217768678226821e-23,2.187354060826112e-22,2.8539084150878717e-21,5.122553046398105e-17,5.122546828629426e-17,1.4762219846627882e-37
6.074855612643542e-13,0.27866568738531694,3.76,0.0,0.5530755302783337,0.9999999999999998,0.0,0.0,1.248421038491358e-10,1.2484189893485572e-10,1.2435547897271703e-22,8.768394687031846e-22,1.141044191967003e-20,2.0490211718988243e-16,2.0490199283440348e-16,4.7239330501428174e-36
