Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46)
6.237966445028169e-16,0.06341893443027016,3.76,0.0,0.8162192959384803,0.999999999999994,5.479852896662555e-33,7.03726068663637e-25,1.4906594066043694e-13,1.4906593978344747e-13,6.0001779010658694e-15,1.7976814624099095e-26,2.372987424621362e-25,8.749093449929309e-22,8.748815804662253e-22,6.042173815413188e-30,6.047477327081453e-30,6.000177914944928e-15,1.320313989770419e-23,6.0052563823283414e-30,4.9376993097837576e-23,7.037073162362525e-25,1.8526053891272908e-24
1.2481352496003365e-15,0.06341893443027186,3.76,0.0,0.8162192959383251,0.999999999999988,4.3872244284273886e-32,2.816745203254548e-24,2.982613912605779e-13,2.9826138775033465e-13,1.200556878723833e-14,7.195740295394621e-26,9.498080552992992e-25,3.5018765187446624e-21,3.501806289237478e-21,4.837412901330633e-29,4.83953266835742e-29,1.20055688428316e-14,5.284696659079902e-23,4.8077910197374114e-29,1.0250535813782668e-22,2.8166631782244787e-24,7.415249550966445e-24
2.4968124597953758e-15,0.06341893443027526,3.76,0.0,0.8162192959380147,0.999999999999976,3.5111291174668825e-31,1.1270705535989809e-23,5.96652292460701e-13,5.966522784151555e-13,2.4016350476028334e-14,2.8794971305714587e-25,3.8004267269000625e-24,1.401198530131156e-20,1.4011786152147106e-20,3.8714004274082377e-28,3.872243777599455e-28,2.4016350698555427e-14,2.1145669171635479e-22,3.847667704058241e-28,2.1989237927149725e-22,1.1270321579277095e-23,2.96706567374086e-23
4.994166880185454e-15,0.06341893443028203,3.76,0.0,0.8162192959373938,0.999999999999952,2.8094626944223235e-30,4.509060719872047e-23,1.1934340948603117e-12,1.1934340386689845e-12,4.803791351938973e-14,1.1521973605933372e-24,1.5203840139365443e-23,5.60568985238271e-20,5.605626598558772e-20,3.0977084114780877e-27,3.0980380732374727e-27,4.803791440980514e-14,8.459643711112277e-22,3.0787081163236873e-27,4.991878754073562e-22,4.508862505128958e-23,1.1870194511037327e-22
9.98887572096561e-15,0.06341893443029561,3.76,0.0,0.8162192959361523,0.999999999999904,2.247825069026629e-29,1.8038067645702113e-22,2.3869976996569896e-12,2.386997474873397e-12,9.608103826924668e-14,4.610852626229261e-24,6.081757846668273e-23,2.2424549093535896e-19,2.2424329269212567e-19,2.4784018242712392e-26,2.4785213258811605e-26,9.60810418315138e-14,3.3841321839667784e-21,2.4631959030089766e-26,1.2358670003824591e-21,1.8036917836777556e-22,4.748464062487482e-22
1.9978293402525925e-14,0.06341893443032276,3.76,0.0,0.816219295933669,0.9999999999998079,1.798411833974152e-28,7.215806142462181e-22,4.774124909240172e-12,4.774124010069288e-12,1.9216728242156568e-13,1.8457664534700922e-23,2.4325836118701783e-22,8.970176063194001e-19,8.970095071363688e-19,1.9828152498892118e-25,1.9828432539482935e-25,1.9216729667177576e-13,1.3537073925873275e-20,1.9706481787941924e-25,3.421596318969925e-21,7.215060680334315e-22,1.8994627732310675e-21
3.995712876564655e-14,0.06341893443037706,3.76,0.0,0.8162192959287026,0.9999999999996158,1.4388698735987943e-27,2.8866095710984513e-21,9.548379328365841e-12,9.54837573160971e-12,3.843397493371722e-13,7.394016350687205e-23,9.728784673844828e-22,3.588140492878162e-18,3.588109723116572e-18,1.586289312955241e-24,1.586268837198299e-24,3.8433980633974137e-13,5.4149352274023023e-20,1.5765546267274862e-24,1.0642687533111099e-20,2.8860829598411397e-21,7.598004543085004e-21
7.99147994918878e-14,0.06341893443048566,3.76,0.0,0.8162192959187697,0.9999999999992314,1.151279571814478e-26,1.1548382881022726e-20,1.9096888166454415e-11,1.9096873779288178e-11,7.686845976166444e-13,2.966272624576435e-22,3.890155951112382e-21,1.4352692357324294e-17,1.4352574446968e-17,1.2690456491240148e-23,1.2689867757678299e-23,7.686848256259426e-13,2.1659925162567544e-19,1.261257335319267e-23,3.648458668583527e-20,1.1544449036174467e-20,3.0392318282577973e-20
1.5983014094437032e-13,0.06341893443070284,3.76,0.0,0.8162192958989041,0.9999999999984627,9.213011422384464e-26,4.6208383617253444e-20,3.8193905841980475e-11,3.819384829305997e-11,1.5373739520037093e-12,1.1934169660622417e-21,1.5549534080429033e-20,5.741095219352992e-17,5.741050620703686e-17,1.0152411641314703e-22,1.0151365266294716e-22,1.5373748640034512e-12,8.663985265594698e-19,1.0090100422423096e-22,1.3377674317749744e-19,4.61780291029641e-20,1.2156981900560148e-19
3.1966082384933537e-13,0.06341893443113723,3.76,0.0,0.8162192958591726,0.9999999999969251,7.374783303298236e-25,1.8495094120734003e-19,7.638794119042835e-11,7.638771099445807e-11,3.074751292371037e-12,4.8287842157868806e-21,6.210912259046728e-20,2.29643550178078e-16,2.2964194008093374e-16,8.12193133522647e-22,8.120215533182837e-22,3.0747549400110986e-12,3.465579826622174e-18,8.072076558142165e-22,5.108704185067138e-19,1.8471257085109188e-19,4.86279932908361e-19
4.794915067543003e-13,0.06341893443157162,3.76,0.0,0.8162192958194412,0.9999999999953875,2.1094436038142717e-24,3.9319279396691236e-19,1.1458197653627216e-10,1.1458148736990583e-10,4.612127264612333e-12,1.0341974362226649e-20,1.3185122957883766e-19,4.879916803043171e-16,4.879885053585441e-16,2.3223628844909202e-21,2.3217292209046736e-21,4.612135015303582e-12,7.364328722548276e-18,2.3081066335682013e-21,1.0705493850757116e-18,3.925144841835826e-19,1.0333447786692145e-18
6.393221896592653e-13,0.063418934432006,3.76,0.0,0.8162192957797098,0.9999999999938497,4.450797178127984e-24,6.710106803478935e-19,1.527760118795121e-10,1.5277517741959834e-10,6.14950186900842e-12,1.7768931921732265e-20,2.247176875277893e-19,8.324547963489737e-16,8.324497630359825e-16,4.89853104733322e-21,4.8969215557304964e-21,6.149515089913108e-12,1.2562630060406678e-17,4.868458793767234e-21,1.8128895710721512e-18,6.695837590823015e-19,1.7627639756113265e-18
9.589835554691955e-13,0.06341893443287477,3.76,0.0,0.8162192957002469,0.999999999990774,1.2162734821987707e-23,1.3901751877205723e-18,2.2916408255988175e-10,2.291623549183263e-10,9.22424786842295e-12,3.722548966071404e-20,4.645421726850726e-19,1.7234859334283298e-15,1.723476827105696e-15,1.3379381730939104e-20,1.3373746494719874e-20,9.224275237629205e-12,2.6009155746342705e-17,1.3297237471868247e-20,3.726500171289461e-18,1.3862885345864242e-18,3.649575685982728e-18
1e-12,0.06341893443374355,3.76,0.0,0.8162192956900508,0.9999999999903794,1.3556586143145673e-23,1.5010198135192295e-18,2.389656019137033e-10,2.3896373668723763e-10,9.618774845656869e-12,4.025296175085393e-20,5.014353773785773e-19,1.860739283395474e-15,1.8607296407960796e-15,1.491159639838704e-20,1.490512412054916e-20,9.618804394047154e-12,2.80804363169119e-17,1.482004373271262e-20,4.0207092024896435e-18,1.4966892284414138e-18,3.940218519520813e-18
1.2786449212791254e-12,0.06341893443374355,3.76,0.0,0.816219295620784,0.9999999999876981,2.5460063973199863e-23,2.3658330503499346e-18,3.055521532306786e-10,3.0554921496808433e-10,1.2298988840116348e-11,6.401693989854393e-20,7.889220525876846e-19,2.931188048944581e-15,2.9311746809066605e-15,2.79940904065943e-20,2.798000204602284e-20,1.2299035383101354e-11,4.423447337631049e-17,2.782220310685666e-20,6.31245195510816e-18,2.357714020206626e-18,6.2069662201413506e-18
1.5983062870890554e-12,0.06341893443461231,3.76,0.0,0.8162192955413211,0.9999999999846217,4.6370463910306925e-23,3.616818140777572e-18,3.8194022389122136e-10,3.8193573489525004e-10,1.537372442684388e-11,9.890544465873386e-20,1.2035114568060536e-18,4.478176846279728e-15,4.4781597309907e-15,5.096207228488106e-20,5.093217367604359e-20,1.5373795526384546e-11,6.75798239497127e-17,5.064913213947661e-20,9.619276793072187e-18,3.602054485686957e-18,9.482831519252355e-18
2.2376290187089157e-12,0.06341893443634984,3.76,0.0,0.8162192953823955,0.9999999999784681,1.2258589183752849e-22,6.965540433918154e-18,5.34716365180926e-10,5.347077330261179e-10,2.1523179119885312e-11,1.9508369877955124e-19,2.3063936056714204e-18,8.611301745146044e-15,8.611283567659118e-15,1.3455415101498545e-19,1.3444458774823012e-19,2.1523315807705376e-11,1.299515483071209e-16,1.337277108688799e-19,1.8444265924385874e-17,6.926622838983077e-18,1.823509955428709e-17
3.516274481948636e-12,0.06341893443982492,3.76,0.0,0.8162192950645442,0.9999999999661563,4.753861389459187e-22,1.7049103233461533e-17,8.402686476358132e-10,8.402475879296389e-10,3.38220230602293e-11,5.013858351732116e-19,5.585731846843668e-18,2.1008577248520535e-14,2.1008610217672287e-14,5.2029276425659435e-19,5.19598097752274e-19,3.382235635781363e-11,3.1703154765246065e-16,5.170954085569463e-19,4.490511813717952e-17,1.6898857129725362e-17,4.448785173406609e-17
4.794919945188356e-12,0.06341893444329999,3.76,0.0,0.8162192947466929,0.9999999999538389,1.1825058240606903e-21,3.1678304434527766e-17,1.145820929924941e-09,1.1457819163431144e-09,4.6120779763463286e-11,9.71798892706232e-19,1.0278226595225098e-17,3.8918430695079945e-14,3.8918623528881496e-14,1.2912232574866797e-18,1.2889608082284054e-18,4.6121396902499746e-11,5.87293092615317e-16,1.2832849543584283e-18,8.315055015708784e-17,3.1305694295867664e-17,8.24147867384999e-17
7.352210871667797e-12,0.06341893445025014,3.76,0.0,0.8162192941109903,0.9999999999291876,4.318741098772952e-21,7.47714384181527e-17,1.756925494010653e-09,1.7568339992098738e-09,7.071803228048804e-11,2.4928104846430882e-18,2.3758980646570824e-17,9.126944604863572e-14,9.127056678646405e-14,4.6896166933508245e-18,4.6766749108558764e-18,7.071947806035939e-11,1.3772457615635858e-15,4.66075602536094e-18,1.9518428489097175e-16,7.341914250697676e-17,1.932796430294131e-16
1e-11,0.06341893446415044,3.76,0.0,0.8162192934527912,0.9999999999036402,1.1517579180025107e-20,1.3928346466433464e-16,2.3896560146497526e-09,2.3894868981351867e-09,9.618537513437994e-11,5.070343383116618e-18,4.316739317300266e-17,1.6869499174320096e-13,1.686985663925147e-13,1.2404517928432148e-17,1.2351806769441124e-17,9.618804400645604e-11,2.5454922574877784e-15,1.2328063169454775e-17,3.615699690736776e-16,1.3570799434564403e-16,3.572532079130174e-16
1.2466792724626677e-11,0.06341893446415044,3.76,0.0,0.8162192928395849,0.9999999998798175,2.1841807773937556e-20,2.1759736525546556e-16,2.979134620263428e-09,2.9788718735233385e-09,1.19911498586038e-10,8.389594224687292e-18,6.623881296703445e-17,2.620862899980718e-13,2.6209351773008344e-13,2.3433475884570656e-17,2.3317429536693368e-17,1.1991564119635416e-10,3.954595918018298e-15,2.3288941769105295e-17,5.627086747449673e-16,2.1084408449826597e-16,5.550444299852083e-16
2.269595643054444e-11,0.06341893449195096,3.76,0.0,0.8162192902967743,0.9999999997808079,1.3874038295034684e-19,7.403232190282731e-16,5.423552865819009e-09,5.422682487917365e-09,2.1829431555449372e-10,3.549615952567434e-17,2.0696596601708162e-16,8.68099022349225e-13,8.681501639339074e-13,1.4524995452178594e-16,1.4387560713578352e-16,2.1830797516483972e-10,1.3096931423086686e-14,1.4434996069485358e-16,1.8819819386293845e-15,6.98481176168749e-16,1.838651281896803e-15
3.2925120136462206e-11,0.0634189345197514,3.76,0.0,0.8162192877539634,0.9999999996814392,4.14842119771879e-19,1.5928328093466277e-15,7.867971103458294e-09,7.866139625069463e-09,3.1667169640996596e-10,8.75781078351744e-17,4.146682848115636e-16,1.8265183101881534e-12,1.8266747488802445e-12,4.270492336301679e-16,4.2166265928789664e-16,3.167003251400167e-10,2.755341479351539e-14,4.2439466616330283e-16,3.993758957879722e-15,1.4698328659247394e-15,3.86895775084569e-15
4.3154283842379964e-11,0.06341893454755182,3.76,0.0,0.8162192852111523,0.9999999995817113,9.228739087326317e-19,2.7942457441387575e-15,1.0312389335596247e-08,1.0309243334244784e-08,4.1504371351728914e-10,1.7040605015416786e-16,6.79998124373536e-16,3.1372054232619783e-12,3.1375552491284068e-12,9.352645247344532e-16,9.20695713350118e-16,4.1509269914845974e-10,4.73202741753023e-14,9.294332748851168e-16,6.916952340106013e-15,2.5248967286334553e-15,6.64586482400458e-15
5.338344754829772e-11,0.06341893457535218,3.76,0.0,0.8162192826683409,0.9999999994816243,1.741962860013138e-18,4.3643180791743595e-15,1.27568075654795e-08,1.2751993665941656e-08,5.134104424009033e-10,2.8916419864407953e-16,9.945543722631257e-16,4.800016934216482e-12,4.8006758300972094e-12,1.7385499449689933e-15,1.7063810895552094e-15,5.134851054844802e-10,7.23936228571718e-14,1.7276779045624e-15,1.0671103621207e-14,3.863670781726567e-15,1.0169270371304965e-14
7.384177496013325e-11,0.06341893463095268,3.76,0.0,0.816219277582717,0.9999999992803733,4.629512414884873e-18,8.683641910647666e-15,1.764564403479503e-08,1.7636434383472616e-08,7.101283196475919e-10,6.498914741168996e-16,1.7463378763236184e-15,9.181479878995203e-12,9.18320618572457e-12,4.484771178403959e-15,4.375831306755443e-15,7.102700458754873e-10,1.3844542143060402e-13,4.456559016900339e-15,2.0744680575045526e-14,7.392343698979441e-15,1.945519629202904e-14
9.430010237196877e-11,0.06341893468655299,3.76,0.0,0.8162192724970913,0.9999999990776862,9.784745207572272e-18,1.4709090847198063e-14,2.2534480550974996e-08,2.2519462181214503e-08,9.068259469234319e-10,1.2000588489261795e-15,2.6208616132355985e-15,1.4969751988384688e-11,1.4973331685433206e-11,9.215965820924843e-15,8.940686670972544e-15,9.070552127798316e-10,2.2567777010275105e-13,9.15765881294067e-15,3.4371040198771704e-14,1.2055840270483186e-14,3.1725909621270365e-14
9.999999999999999e-11,0.06341893474215306,3.76,0.0,0.8162192710801837,0.99999999902096,1.173473998280092e-17,1.6714255854573684e-14,2.389656003193092e-08,2.3879671671203112e-08,9.61624384835783e-10,1.3902793063522073e-15,2.8811822501307947e-15,1.6832834700430447e-11,1.683710221297243e-11,1.096600706678711e-14,1.062113822593871e-14,9.618816070607642e-10,2.537497945541649e-13,1.0896515335460365e-14,3.8822567767378144e-14,1.3557267832222257e-14,3.5676177369907045e-14
1.1475842978380429e-10,0.06341893474215306,3.76,0.0,0.8162192674114627,0.9999999988735636,1.801913977537597e-17,2.2607157007838916e-14,2.7423317167911886e-08,2.7401077483755703e-08,1.1035039874703716e-09,1.963288550603292e-15,3.5797428499853914e-15,2.2163612902597223e-11,2.2170064409288764e-11,1.6511092176708474e-14,1.5926003059817693e-14,1.1038406761216732e-09,3.3405809610339014e-13,1.6406031566959004e-14,5.171483276580115e-14,1.7854151934067477e-14,4.6980534198089137e-14
1.352167571956398e-10,0.06341893479775292,3.76,0.0,0.8162192623258309,0.9999999986680054,3.022439249308326e-17,3.2542730629626915e-14,3.231215395467779e-08,3.228128071181036e-08,1.3001631140035854e-09,2.9544774788688885e-15,4.598695792323709e-15,3.0761848393143816e-11,3.07724202750138e-11,2.6943773019449033e-14,2.5836321309843274e-14,1.3006265051676802e-09,4.63554240266118e-13,2.677132459362253e-14,7.293910578323455e-14,2.4787274625382842e-14,6.521819441694809e-14
1.7613341201931086e-10,0.06341893490895205,3.76,0.0,0.8162192521545548,0.9999999982525829,7.057811100946111e-17,5.91576707443551e-14,4.2089828406729955e-08,4.203745255760245e-08,1.693427306155053e-09,5.647180641051464e-15,6.773244808308043e-15,5.2166772017076856e-11,5.219021104276913e-11,5.941951574250945e-14,5.6260609833873544e-14,1.6941995256615282e-09,7.857715717533707e-13,5.903440586599566e-14,1.2765320134654863e-13,4.2057968946954385e-14,1.1063923763724695e-13
2.129584013606148e-10,0.06341893500903056,3.76,0.0,0.8162192430003885,0.9999999978737952,1.3080588949683878e-16,9.167589714835915e-14,5.088973694693792e-08,5.0813182004637484e-08,2.0473071932997816e-09,8.922748504692443e-15,8.816498063956182e-15,7.622235330902283e-11,7.626387008220772e-11,1.0493658267496029e-13,9.825179658711468e-14,2.0484171657633267e-09,1.1476738505093218e-12,1.042489190607721e-13,1.917455074685813e-13,6.148269515627971e-14,1.617116028904961e-13
2.4978339070191873e-10,0.06341893510910851,3.76,0.0,0.8162192338462014,0.9999999974903597,2.208223637810982e-16,1.3327137109222898e-13,5.968964765801424e-08,5.95843426621134e-08,2.4011364891608026e-09,1.3030268172167668e-14,1.0900233625590836e-14,1.0480977518922875e-10,1.0487686825947621e-10,1.6924132065278544e-13,1.5672121305989435e-13,2.4026370313532498e-09,1.5775126341344254e-12,1.6812018569472317e-13,2.708580445547542e-13,8.458433110763618e-14,2.2243571132292445e-13
2.866083800432227e-10,0.0634189352091859,3.76,0.0,0.8162192246919896,0.9999999971022776,3.482604773030485e-16,1.8487129818548493e-13,6.848956134808199e-08,6.835093690692201e-08,2.7549194007624604e-09,1.7981026574434218e-14,1.3004968963893409e-14,1.3792214893766477e-10,1.3802360929576144e-10,2.555662670722452e-13,2.3409321782688714e-13,2.756859512381e-09,2.075110174999701e-12,2.5385514910052733e-13,3.659072436005169e-13,1.113629924788157e-13,2.9280655235333265e-13
3.2343336938452666e-10,0.06341893530926276,3.76,0.0,0.8162192155377485,0.9999999967095501,5.215169835320161e-16,2.4740132024550533e-13,7.728947893748014e-08,7.711296711518417e-08,3.108660242896836e-09,2.3779907805075072e-14,1.5121565315682102e-14,1.755525887550748e-10,1.756984971433908e-10,3.671405621407752e-13,3.326765562729836e-13,3.1110849982714675e-09,2.6402899846244757e-12,3.646564386266968e-13,4.778078785388103e-13,1.4181883844235603e-13,3.728191114316371e-13
3.602583587258306e-10,0.0634189354093391,3.76,0.0,0.8162192063834741,0.9999999963121782,7.497446211832976e-16,3.2178561821005395e-13,8.60894014523159e-08,8.587043566247916e-08,3.4623634320131936e-09,3.0428985203804565e-14,1.724542490297412e-14,2.1769421326244985e-10,2.178959376331752e-10,5.071902802315265e-13,4.5467113969471986e-13,3.4653138779660313e-09,3.272876823564268e-12,5.037227092694114e-13,6.074731711387542e-13,1.759520724229036e-13,4.624683726947175e-13
4.339083374084385e-10,0.06341893560949047,3.76,0.0,0.816219188074808,0.9999999955035072,1.4112154817991055e-15,5.098060658909245e-13,1.0368926581817499e-07,1.0337169727158777e-07,4.1696749498066375e-09,4.628249891543254e-14,2.1502237172064104e-14,3.1548352411810254e-10,3.1583612006961464e-10,8.856027937108645e-13,7.772207514908484e-13,4.1737833718973835e-09,4.739576719882836e-12,8.794231482615758e-13,9.237425062313148e-13,2.552517306200083e-13,6.706569455870853e-13
5.075583160910464e-10,0.0634189358096403,3.76,0.0,0.8162191697659557,0.999999994676274,2.420579649635347e-15,7.562937034438399e-13,1.2128916454461398e-07,1.2085474071827398e-07,4.876891080537095e-09,6.554133083223557e-14,2.576581523284839e-14,4.3123516928530364e-10,4.317994870437381e-10,1.4165388209220742e-12,1.2173776645345328e-12,4.882271094618364e-09,6.473833653150037e-12,1.406454560302515e-12,1.321986904107419e-12,3.492644942496279e-13,9.17332172951149e-13
5.812082947736543e-10,0.06341893600978882,3.76,0.0,0.81621915145688,0.9999999938304889,3.878105257870773e-15,1.0685814284043804e-12,1.3888910919166552e-07,1.3831958496690305e-07,5.584050327532405e-09,8.820002370532433e-14,3.003501524668067e-14,5.648943657323627e-10,5.657414505724328e-10,2.125668194080761e-12,1.7892512307212704e-12,5.59078013684793e-09,8.474293726105713e-12,2.110235100139533e-12,1.8094483854761792e-12,4.579936789140244e-13,1.20245399367664e-12
6.548582734562622e-10,0.06341893620993634,3.76,0.0,0.8162191331475424,0.9999999929661618,5.895850729019887e-15,1.4539743272666197e-12,1.564891125404831e-07,1.557662489606491e-07,6.291192330700162e-09,1.1425613686809513e-13,3.4303834746565024e-14,7.164064657905688e-10,7.176175112612312e-10,3.03859514225446e-12,2.5056640774305818e-12,6.299313579616452e-09,1.0739625161784136e-11,3.0161032757302194e-12,2.393339738382778e-12,5.814433932994134e-13,1.5259823940575146e-12
7.285082521388701e-10,0.0634189364100831,3.76,0.0,0.8162191148379038,0.9999999920833021,8.59715788576416e-15,1.9197508908515253e-12,1.740891884075123e-07,1.7319475162240678e-07,6.998357683784143e-09,1.437070667605338e-13,3.8566548157532484e-14,8.857169495091233e-10,8.87383252669897e-10,4.1808610626115064e-12,3.378340707614769e-12,7.0078744946779666e-09,1.326851783293558e-11,4.1493213371931e-12,3.080845763877631e-12,7.196185367541648e-13,1.8878774030880946e-12
8.021582308214781e-10,0.06341893661022939,3.76,0.0,0.8162190965279236,0.9999999911819202,1.2116744313677408e-14,2.4731634838275438e-12,1.9168935159197006e-07,1.906051118563299e-07,7.705587883422772e-09,1.7654562316060751e-13,4.282485217727691e-14,1.0727714180058679e-09,1.0749943352483066e-09,5.5779463312600265e-12,4.417961831405785e-12,7.716465944716589e-09,1.605968350143291e-11,5.53507697474869e-12,3.8791237107680105e-12,8.725248202454276e-13,2.2880990853470567e-12
8.75808209504086e-10,0.06341893681037546,3.76,0.0,0.8162190782175613,0.9999999902620254,1.6601144827437244e-14,3.1214377033051697e-12,2.0928961787950266e-07,2.0799734854803391e-07,8.41292533093069e-09,2.1276262324678104e-13,4.708367533792705e-14,1.277515597167307e-09,1.2804064988391277e-09,7.255269192830533e-12,5.63415959749018e-12,8.425090983147476e-09,1.911185669395102e-11,7.198481682966529e-12,4.7953025706751514e-12,1.0401688062090581e-12,2.726607542839317e-12
9.752574513010581e-10,0.06341893708063195,3.76,0.0,0.8162190534924781,0.9999999889905372,2.4470068203665164e-14,4.16007673689949e-12,2.3305537318234573e-07,2.314532841897357e-07,9.368286809792722e-09,2.6701789622103694e-13,5.2832644587443124e-14,1.5819548185641694e-09,1.5859420743223232e-09,1.0009749058963736e-11,7.571836674542373e-12,9.382002941450125e-09,2.3645161511395023e-11,9.929489534570344e-12,6.232076606080577e-12,1.2899368278804758e-12,3.3794063034804157e-12
9.999999999999999e-10,0.06341893735088924,3.76,0.0,0.81621904734085,0.9999999886689582,2.6794678905896955e-14,4.449449613949021e-12,2.389682310110268e-07,2.3728389863533223e-07,9.606031870634488e-09,2.8147024980894324e-13,5.426241151422557e-14,1.6626777027911584e-09,1.6669749398135191e-09,1.078885980682277e-11,8.108658086743818e-12,9.620089815666599e-09,2.4846256209199664e-11,1.0701840581886033e-11,6.626973195019804e-12,1.356256924670342e-12,3.5526416926818397e-12
1.0747066930980303e-09,0.06341893735088924,3.76,0.0,0.8162190287665159,0.9999999876853367,3.481179761403714e-14,5.402441726320363e-12,2.568213901367731e-07,2.548762559934087e-07,1.03240309380712e-08,3.2740985505621705e-13,5.857773022389876e-14,1.9184160371010945e-09,1.9237452850913353e-09,1.3383642203458102e-11,9.866256340724025e-12,1.0338989156869478e-08,2.8649107930608007e-11,1.327377472021129e-11,7.914159141146631e-12,1.5666106493383053e-12,4.101842621561929e-12
