Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176)
3.853209529226335e-20,0.07328638616924275,3.76,0.0,0.6355548362934756,0.9999999999997395,3.3977216032808973e-45,8.427391126046488e-33,3.577598760659059e-17,3.5775987606576446e-17,1.138042222344168e-18,2.3237985556675335e-34,3.0405488799834588e-33,2.708302007979835e-29,1.4116464201701894e-29,7.62739692435442e-42,8.109450397231243e-36,1.1380422223313077e-18,9.605981169997404e-32,2.6089132864659632e-20,5.486481788662763e-26,8.440391065316033e-33,2.0420856620952856e-32,6.98307798134885e-39,1.458257733357673e-44,1.802251907491582e-33,1.0880694376220724e-46,9.274844025629932e-44,2.6089132864659602e-20,4.525939990764127e-40,1.7920343867910784e-56,7.283180513935291e-37,1.2215686914231046e-35,2.6044156462818475e-13
7.709766764385969e-20,0.07328638616924275,3.76,0.0,0.6355548362934756,0.9999999999994789,2.720243243496554e-44,3.373152692830477e-32,7.158305773933808e-17,7.158305773928148e-17,2.277073186844412e-18,9.301250232919911e-34,1.2170119415673188e-32,8.244747892690503e-29,5.650264537417963e-29,6.106555323342371e-41,3.2458965962087763e-35,2.277073186818892e-18,3.844895858927785e-31,5.2200932221816797e-20,1.0977734737466996e-25,3.3783560555813427e-32,8.17366447720079e-32,2.795051035504203e-38,5.836834129366458e-44,7.213704433356973e-33,8.711171428964069e-46,3.7123551007233864e-43,5.220093222181667e-20,1.81155549075118e-39,1.4347172859921377e-55,2.915170280603956e-36,4.889458263170163e-35,5.211094032237349e-13
1.5422881234705235e-19,0.07328638616924275,3.76,0.0,0.6355548362934755,0.9999999999989575,2.1770213333368426e-43,1.3497004513380078e-31,1.4319719800483307e-16,1.431971980046066e-16,4.555135115843075e-18,3.72171165026975e-33,4.8696329950711095e-32,2.7798693807638283e-28,2.2608417960007278e-28,4.887100165490246e-40,1.2987838797301572e-34,4.555135115792873e-18,1.5384591644393236e-30,1.0442453093613114e-19,2.1960253995003854e-25,1.3517824735364004e-31,3.270530459978434e-31,1.1183844867163408e-37,2.3354962286302475e-43,2.88642140135359e-32,6.971584645997172e-45,1.4854259141259284e-42,1.0442453093613058e-19,7.248581626854239e-39,1.1482100974469776e-54,1.16644784948894e-35,1.9564201847727522e-34,1.0424450798198147e-12
3.084911017534377e-19,0.07328638616924275,3.76,0.0,0.6355548362934754,0.9999999999979148,1.7419478340626254e-42,5.3996806832721065e-31,2.86425478535823e-16,2.8642547853491695e-16,9.111258973833091e-18,1.4889270139414352e-32,1.9481702873560871e-31,1.0083080221936785e-27,9.044839355730611e-28,3.910422653761786e-39,5.196000788462199e-34,9.111258973736078e-18,6.154838442124536e-30,2.088717283647598e-19,4.39253459497912e-25,5.408010122425531e-31,1.3084251481425348e-30,4.4742661971689186e-37,9.343524053568744e-43,1.1547565126118041e-31,5.578326944245047e-44,5.942673445718166e-42,2.0887172836475758e-19,2.899904652871692e-38,9.187428973355545e-54,4.6665510930774024e-35,7.826954667987885e-34,2.085116430631891e-12
6.170156805662084e-19,0.07328638616924275,3.76,0.0,0.6355548362934751,0.9999999999958294,1.393690590426267e-41,2.160048064871704e-30,5.728820395978026e-16,5.728820395941784e-16,1.8223506689783903e-17,5.956192861109958e-32,7.793315360461952e-31,3.825918853679889e-27,3.618230197583459e-27,3.1286351632692977e-38,2.0785851146099244e-33,1.8223506689603454e-17,2.4621357479450527e-29,4.1776612322201694e-19,8.785574361822063e-25,2.1633801074008802e-30,5.234126551188946e-30,1.7898521405377083e-36,3.737728485835477e-42,4.619401978935689e-31,4.463085291626194e-43,2.377264872923495e-41,4.177661232220081e-19,1.1600562700020803e-37,7.3506469250060405e-53,1.8667724770264093e-34,3.13103666186597e-33,4.170459122735712e-12
1.2340648381917496e-18,0.07328638616924277,3.76,0.0,0.6355548362934745,0.9999999999916588,1.1150054077728539e-40,8.640543882815398e-30,1.145795161721761e-15,1.1457951617072635e-15,3.6448002121568634e-17,2.382574159491713e-31,3.1174529806825634e-30,1.4889015169484847e-26,1.447350972169883e-26,2.5030269530354537e-37,8.314803935101706e-33,3.644800212126209e-17,9.848943747862126e-29,8.355549129365309e-19,1.7571739399050102e-24,8.653872560899233e-30,2.0937358152189467e-29,7.159699905756602e-36,1.4951639813371495e-41,1.8478359780103666e-30,3.570637736824082e-42,9.509462678873453e-41,8.355549129364953e-19,4.640413918073698e-37,5.880806084258067e-52,7.467394718135056e-34,1.2524656180918472e-32,8.341144468862027e-12
2.4681631534428323e-18,0.07328638616924278,3.76,0.0,0.6355548362934733,0.9999999999833173,8.9202550629145e-40,3.456287901191372e-29,2.291621405969676e-15,2.291621405911683e-15,7.289699298467052e-17,9.530491075730563e-31,1.2470065518432327e-29,5.87267064110334e-26,5.789521676900306e-26,2.0024690926174594e-36,3.3260893635103497e-32,7.289699298427489e-17,3.9396576514860957e-28,1.6711324923655573e-18,3.514441148767671e-24,3.461619453390027e-29,8.375113653285796e-29,2.863938239975187e-35,5.980871597251411e-41,7.391494272081018e-30,2.8565779926440585e-41,3.803875457666915e-40,1.6711324923654154e-18,1.856203346423344e-36,4.7047715373929346e-51,2.9870194260376723e-33,5.009964321646822e-32,1.6682515008789345e-11
4.936359783944998e-18,0.0732863861692428,3.76,0.0,0.635554836293471,0.9999999999666346,7.136288857115634e-39,1.3825292479329093e-28,4.583273894465493e-15,4.5832738942335216e-15,1.4579497470900392e-16,3.812235641563279e-30,4.988076861516999e-29,2.332480833227531e-25,2.315832228494667e-25,1.6019942863464293e-35,1.3305293777645405e-31,1.457949747090826e-16,1.575879090963749e-27,3.3422876512236043e-18,7.029112372162738e-24,1.3846618685014e-28,3.3500795400115817e-28,1.145586957959599e-34,2.392448170224633e-40,2.956627768700237e-29,2.285289515695207e-40,1.5215760582711877e-39,3.3422876512230357e-18,7.424889032021356e-36,3.763885897390364e-50,1.1948205388366832e-32,2.0040060513152447e-31,3.3365255479342775e-11
9.872753044949328e-18,0.07328638616924288,3.76,0.0,0.6355548362934662,0.9999999999332689,5.7090651452092e-38,5.530145308514625e-28,9.166578871457082e-15,9.166578870529191e-15,2.9159093815018946e-16,1.524902357612529e-29,1.9952408231223805e-28,9.296748147716265e-25,9.263376028703048e-25,1.28160303390566e-34,5.322785370665449e-31,2.915909381538264e-16,6.3035484228032775e-27,6.684597968939673e-18,1.405900204164418e-23,5.538675658133323e-28,1.3400386317039568e-27,4.582371206531458e-34,9.570442919854958e-40,1.182657109554198e-28,1.8282424611708483e-39,6.086418366376497e-39,6.684597968937397e-18,2.969970811955728e-35,3.0111649832378457e-49,4.779311376751346e-32,8.016064471708892e-31,6.673073398324497e-11
1.9745539566957988e-17,0.07328638616924299,3.76,0.0,0.6355548362934568,0.9999999998665376,4.5672659585423385e-37,2.212063900171031e-27,1.8333188825440082e-14,1.8333188821728504e-14,5.83182865002635e-16,6.099627702046735e-29,7.9809830306987235e-28,3.7120641874586584e-24,3.705359833683546e-24,1.0252854688689088e-33,2.129632196009261e-30,5.831828650238276e-16,2.5214257793788137e-26,1.336921860437171e-17,2.812097027147075e-23,2.215475907860666e-27,5.360168157681119e-27,1.8329531980817996e-33,3.8286681602707443e-39,4.730640362981903e-28,1.4625983082534797e-38,2.434640079418821e-38,1.3369218604362607e-17,1.1879914204699409e-34,2.4090005698892312e-48,1.9117333425542285e-31,3.206433538754093e-30,1.3346168124223212e-10
3.949111261097531e-17,0.07328638616924325,3.76,0.0,0.6355548362934378,0.9999999997330752,3.6538186534298274e-36,8.848268061395533e-27,3.6666408733405334e-14,3.6666408718559e-14,1.1663667185878248e-15,2.4398563908112222e-28,3.1923968248322196e-27,1.4834986566290265e-23,1.482145817305166e-23,8.202295914794232e-33,8.522640685959964e-30,1.1663667186858842e-15,1.0085715925673154e-25,2.673845987523538e-17,5.625366229536651e-23,8.861914982823917e-27,2.144069988797585e-26,7.331822547437841e-33,1.5318542240168217e-38,1.8922584666205716e-27,1.170080382102709e-37,9.73910503299406e-38,2.6738459875198976e-17,4.751972320073698e-34,1.927301612665895e-47,7.646974534420936e-31,1.2825747229279046e-29,2.6692353676494894e-10
7.898225869900996e-17,0.07328638616924375,3.76,0.0,0.6355548362933999,0.9999999994661504,2.923057836803119e-35,3.5393104424365665e-26,7.333284854933292e-14,7.333284848994758e-14,2.3327344252793987e-15,9.75944942858536e-28,1.2769591843691074e-26,5.931340581218687e-23,5.92858703199974e-23,6.561841592328838e-32,3.412339299826474e-29,2.3327344256982144e-15,4.0342889220051656e-25,5.3476942416961165e-17,1.1255406860643127e-22,3.5447683131302973e-26,8.576285403036024e-26,2.932731229327775e-32,6.130501000658621e-38,7.569038001117552e-27,9.360649995152102e-37,3.896070355917264e-37,5.347694241681551e-17,1.9007906131184695e-33,1.5419997103184582e-46,3.0588169109832903e-30,5.130299565850337e-29,5.338470918294436e-10
1.184734047870446e-16,0.07328638616924425,3.76,0.0,0.6355548362933621,0.9999999991992259,8.358121319416906e-35,7.521037517626537e-26,1.0999928836525757e-13,1.0999928823906369e-13,3.4991021314921667e-15,2.073885985210859e-27,2.713538249159197e-26,1.2602439949775286e-22,1.2598249788942845e-22,1.876276936609141e-31,7.256041128462942e-29,3.4991021323987627e-15,8.57286554276012e-25,8.02154249586854e-17,1.6888949718706733e-22,7.532634171163862e-26,1.822460988186804e-25,6.232055611176401e-32,1.3032515035687209e-37,1.6084207764392848e-26,2.6765613670365867e-36,8.279869703672189e-37,8.021542495837585e-17,4.0391816124447365e-33,4.409446862793894e-46,6.500024093849044e-30,1.090188481520898e-28,8.007704909130905e-10
1.5796455087507924e-16,0.07328638616924472,3.76,0.0,0.6355548362933242,0.9999999989323014,1.7629702723168476e-34,1.2830008666550308e-25,1.4666572818117927e-13,1.4666572796590736e-13,4.6654698372261305e-15,3.5378099250563286e-27,4.6289766422243944e-26,2.1496796757442417e-22,2.1491134083562057e-22,3.957611876958792e-31,1.2385522618592882e-28,4.66546983878753e-15,1.4624301445970308e-24,1.0695390750040813e-16,2.252599480435728e-22,1.2849789115713485e-25,3.1089043421707724e-25,1.0631155702841515e-31,2.2240591826642665e-37,2.743776731137263e-26,5.645643695598908e-36,1.4125681179797893e-36,1.0695390749987996e-16,6.890370647010992e-33,9.301389008127024e-46,1.1088335508181407e-29,1.8597328772624098e-28,1.0676937340159808e-09
2.3694684305114853e-16,0.07328638616924572,3.76,0.0,0.6355548362932485,0.999999998398453,4.815220167985038e-34,2.6562913514333676e-25,2.1999860781301588e-13,2.1999860736732262e-13,6.998205247570332e-15,7.324600852897456e-27,9.583706225861132e-26,4.450335944853309e-22,4.449466749096923e-22,1.0809466608169994e-30,2.566881063498989e-28,6.99820525083333e-15,3.027776133612619e-24,1.6043087258385001e-16,3.380830449133499e-22,2.6603859239653144e-25,6.436592155041048e-25,2.2010463329415566e-31,4.6079496290654465e-37,5.680641206684638e-26,1.542000553189518e-35,2.925001720102762e-36,1.604308725827563e-16,1.4265643698213043e-32,2.540788828360134e-45,2.295719293939598e-29,3.8503390018719293e-28,1.6015398541447582e-09
3.159291352272178e-16,0.07328638616924672,3.76,0.0,0.6355548362931728,0.9999999978646053,1.0075053873130241e-33,4.517657346458622e-25,2.933314874448417e-13,2.9333148668683423e-13,9.330940656153799e-15,1.245725105208086e-26,1.6299370398571474e-25,7.568563264117142e-22,7.567377937990419e-22,2.261702126562934e-30,4.369825475303797e-28,9.330940661732597e-15,5.1494544304713225e-24,2.1390783766728644e-16,4.510349312347253e-22,4.524619979369538e-25,1.0946957971149713e-24,3.7434041489750286e-31,7.842540057949166e-37,9.66128246887031e-26,3.226381150964696e-35,4.975439568820426e-36,2.1390783766542596e-16,2.4262133492866694e-32,5.3167497151456317e-45,3.904449886927619e-29,6.548415178166278e-28,2.1353854006774193e-09
4.738937195793564e-16,0.07328638616924875,3.76,0.0,0.6355548362930213,0.9999999967969113,3.1813933973013666e-33,9.843061337179977e-25,4.3999724670845793e-13,4.399972450569141e-13,1.3996411467539102e-14,2.714193083594015e-26,3.5512982701659534e-25,1.6489635435863528e-21,1.6487774499411765e-21,7.141758477858661e-30,9.543098558072083e-28,1.3996411479766323e-14,1.1219611824977358e-23,3.2086176783414193e-16,6.773616036799135e-22,9.858225413225065e-25,2.385119075557178e-24,8.156118118424528e-31,1.7116335851522315e-36,2.1049961274420595e-25,1.0187917627452787e-34,1.0844482933141622e-35,3.208617678300866e-16,5.286228998650773e-32,1.6793918412257765e-44,8.507170433391761e-29,1.4267644859697778e-27,3.2030746102573634e-09
6.31858303931495e-16,0.07328638616925073,3.76,0.0,0.6355548362928699,0.9999999957292202,7.236200044000231e-33,1.728111495510511e-24,5.866630059720275e-13,5.866630030724722e-13,1.8661882271303047e-14,4.7652298156064944e-26,6.234880896775063e-25,2.894957835131074e-21,2.8946984662173973e-21,1.624419280977901e-29,1.679152626414318e-27,1.8661882292837286e-14,1.9697863395266924e-23,4.278156980009754e-16,9.04245744158112e-22,1.730772779034666e-24,4.1874666217697185e-24,1.4319404697179787e-30,3.009856900642174e-36,3.6956642118724375e-25,2.317279405935362e-34,1.904590336488348e-35,4.2781569799385267e-16,9.280847011208894e-32,3.820868140449968e-44,1.4936013142751904e-28,2.5049154821520465e-27,4.270761337025139e-09
9.47787472635772e-16,0.0732863861692547,3.76,0.0,0.635554836292567,0.9999999935938447,2.416020620481522e-32,3.85243901368855e-24,8.799945244990262e-13,8.799945180351233e-13,2.799282385586161e-14,1.0623099042188364e-25,1.3899237058039508e-24,6.453498583614105e-21,6.4530754434121895e-21,5.423600523912649e-29,3.761313871820764e-27,2.7992823904022372e-14,4.3911930259320145e-23,6.417235583345814e-16,1.3596941358635581e-21,3.858366791927626e-24,9.335009644630015e-24,3.192189971933107e-30,6.732823572208502e-36,8.238643716415017e-25,7.73691741806275e-34,4.2490355046499463e-35,6.417235583186885e-16,2.0689584799629712e-31,1.2765299528237287e-43,3.329784462968011e-28,5.5841282665881054e-27,6.406127307839935e-09
1.5796458100443264e-15,0.07328638616926268,3.76,0.0,0.6355548362919613,0.9999999893231241,1.1360758325738197e-31,1.064862353835423e-23,1.4666575615524613e-12,1.4666575436854772e-12,4.6654706933078437e-14,2.93640554804666e-25,3.8419004247529165e-24,1.783787551878279e-20,1.7837055941470525e-20,2.5503115621793503e-28,1.0501826370712537e-26,4.665470706655035e-14,1.213777128883014e-22,1.0695392790015858e-15,2.2773130877539104e-21,1.0664979733479571e-23,2.5803059589136934e-23,8.823601785964167e-30,1.8743221119414745e-35,2.277255422805716e-24,3.6380905933873136e-33,1.176319013252402e-34,1.0695392789575725e-15,5.718864054164218e-31,6.0110057352099965e-43,9.204719997514802e-28,1.5435101501242773e-26,1.06768293111544e-08
2.843362484861435e-15,0.07328638616927863,3.76,0.0,0.6355548362907498,0.9999999807818025,6.793792209618689e-31,3.443395897823032e-23,2.6399836356570815e-12,2.6399835778817925e-12,8.397847271981542e-14,9.495638180575574e-25,1.2423223995315767e-23,5.768039935646371e-20,5.767851130138612e-20,1.5250911459107794e-27,3.465946343693241e-26,8.397847315217632e-14,3.9249108562929583e-22,1.925170720335058e-15,4.139447002431543e-21,3.4486656508237084e-23,8.343765286037046e-23,2.8532398595507605e-29,6.148994335705689e-35,7.363796369062501e-24,2.1755850907951678e-32,3.8159478071217077e-34,1.9251707201921783e-15,1.8492850078574855e-30,3.605060281109071e-42,2.977006605155073e-27,4.991091847010597e-26,1.921811353388965e-08
5.3707958344956524e-15,0.07328638616931055,3.76,0.0,0.6355548362883268,0.9999999636996386,4.6702442793445434e-30,1.2277854920759167e-22,4.986635783857324e-12,4.986635577854868e-12,1.5862600282248738e-13,3.386018065859672e-24,4.4295458527633684e-23,2.056625061629173e-19,2.0565737909444408e-19,1.0483790267661303e-26,1.286269607657598e-25,1.5862600436570548e-13,1.3994584533161644e-21,3.636433603002199e-15,7.97130286506359e-21,1.2296506025914926e-22,2.97503680786292e-22,1.0173528110081173e-28,2.255916347406486e-34,2.6256106304145537e-23,1.4955419784574415e-31,1.369349200974812e-33,3.6364336024887354e-15,6.593872869075827e-30,2.492707772043321e-41,1.0618625552877487e-26,1.7795743027424367e-25,3.630020284231802e-08
1.0425662533764087e-14,0.07328638616937432,3.76,0.0,0.6355548362834808,0.9999999295372272,3.4585027888797655e-29,4.625730521666852e-22,9.679940080221816e-12,9.679939304118304e-12,3.079210571447449e-13,1.2758699845690704e-23,1.6687668370034522e-22,7.748194236277188e-19,7.74803413335309e-19,7.76349367687929e-26,5.227322763231539e-25,3.0792106296201003e-13,5.272385468248354e-21,7.058959368356004e-15,1.6065380735791346e-20,4.632652454715151e-22,1.1208296021295487e-21,3.8328774834903495e-28,8.979736366954684e-34,9.891772847476462e-23,1.1074841162152432e-30,5.2249764111834204e-33,7.058959366391219e-15,2.4842812461204974e-29,1.8674456609278996e-40,4.0034353910417865e-26,6.704152962070446e-25,7.046246497901756e-08
2.0535395932300956e-14,0.07328638616950191,3.76,0.0,0.6355548362737887,0.9999998612200693,2.661167014411313e-28,1.7946405712314163e-21,1.906654867280682e-11,1.9066545661911762e-11,6.065111422586045e-13,4.9513344771888404e-23,6.473662207479416e-22,3.0059064186888808e-18,3.0058510459729284e-18,5.973403958354689e-25,2.3240880312756735e-24,6.065111648331686e-13,2.0454219707153256e-20,1.3904010899291623e-14,3.3975060551469805e-20,1.7972445754612294e-21,4.348260599649678e-21,1.4870073453050375e-27,3.859283198919544e-33,3.8374543997576526e-22,8.521228786742306e-30,2.0782900875479305e-32,1.3904010891433666e-14,9.638348628486691e-29,1.4700080268842534e-39,1.555403539053169e-25,2.6006441758635327e-24,1.38779324110055e-07
3.0645129330837826e-14,0.0732863861696295,3.76,0.0,0.6355548362640967,0.9999997929131309,8.362211880335079e-28,3.996752590140201e-21,2.8453157265199852e-11,2.8453150560059948e-11,9.0510119600052e-13,1.1029362203412927e-22,1.4415986167010005e-21,6.694024743542735e-18,6.693906579539287e-18,1.8769725616793342e-24,5.722351133531838e-24,9.051012462778063e-13,4.555069093369833e-20,2.0749062430726976e-14,5.418017935617286e-20,4.0024014035685606e-21,9.68339818038955e-21,3.311581564635738e-27,9.292743501807904e-33,8.545741500808403e-22,2.677554318166953e-29,4.72289024976703e-32,2.074906241279274e-14,2.146526842453646e-28,4.689165060529865e-39,3.468010067487657e-25,5.7910974557705654e-24,2.0708596408556463e-07
5.0864596127911565e-14,0.07328638616988467,3.76,0.0,0.6355548362447127,0.9999996563299034,3.819611872825675e-27,1.1011659125614741e-20,4.722637444941e-11,4.7226355977420126e-11,1.502281209385701e-12,3.040310144250655e-22,3.971090288886888e-21,1.8441353765704803e-17,1.844103997738935e-17,8.572776954115186e-24,1.9166269695436625e-23,1.5022813479032788e-12,1.2548748542586176e-19,3.4439165496573824e-14,1.014772811065663e-19,1.1026286452984196e-20,2.6676793718426222e-20,9.123556051892942e-27,3.0000257238713053e-32,2.3541965179589787e-21,1.2229310109376388e-28,1.3599861043462998e-31,3.44391654444608e-14,5.914126977306106e-28,2.2265866896313983e-38,9.58008741376311e-25,1.5951215942850934e-23,3.4366859440842773e-07
7.10840629249853e-14,0.07328638617013986,3.76,0.0,0.6355548362253286,0.999999519787534,1.011933308102544e-26,2.1508043702454096e-20,6.599959163285224e-11,6.599955555620097e-11,2.099461097323897e-12,5.941078219528061e-22,7.755074660762623e-21,3.6016801606835333e-17,3.601619905933024e-17,2.2710529252895603e-23,4.3399815128900405e-23,2.099461367860067e-12,2.450826700204338e-19,4.8129268567921304e-14,1.5795743192114968e-19,2.1534972124157923e-20,5.210101321825381e-20,1.7819569322330684e-26,6.641271782943353e-32,4.597732333234441e-21,3.2397219737341366e-28,2.759395181963915e-31,4.8129268461395377e-14,1.1551721826669578e-27,6.074230359301546e-38,1.875606936601646e-24,3.1148765753841037e-23,4.80210366710098e-07
