Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934)
2.5578574430961374e-08,0.4492042767735391,3.76,0.0,0.6059894033686903,0.9999975723586433,6.61788714732589e-10,2.6396295354818907e-08,3.7421037585964634e-05,3.570385996986916e-05,9.995451947854566e-07,1.3317815636977203e-11,2.33489134496152e-12,1.4969883374602595e-06,1.3484087814970763e-06,2.4278353132188036e-07,1.1821314804829875e-07,8.075880589517686e-07,6.586706475437823e-10,2.907164572001098e-07,2.6969202166619053e-08,9.304933320648653e-10,1.39693905075347e-09,1.584037447960124e-14,6.250294672271735e-13,1.713405952010258e-11,1.4714055298475249e-12,1.004059291625598e-15,2.2251198110598972e-07,1.0463613382013537e-14,3.3506421685514604e-19,1.2168386847314601e-18
2.6412704159475798e-08,0.449204381136997,3.76,0.0,0.6059881323506362,0.9999974393705828,7.503777219526819e-10,2.8978023774424523e-08,3.865159170942013e-05,3.681609770865149e-05,1.0469937282716153e-06,1.4175745140702681e-11,2.409910773874923e-12,1.59156012803937e-06,1.428979370901849e-06,2.6608552829996253e-07,1.2716362911710478e-07,8.339512230670679e-07,6.990066751623816e-10,3.0470071769361403e-07,2.9559118238697287e-08,1.000225853421205e-09,1.4880814123791288e-09,1.7373486378975118e-14,7.140321728381578e-13,1.795982369150523e-11,1.618930149511337e-12,1.113961328483609e-15,2.2976796504185952e-07,1.1487546862227903e-14,3.7348057239265653e-19,1.2974949324938173e-18
2.724683388799022e-08,0.4492044856143667,3.76,0.0,0.605986859838315,0.9999973030325541,8.474841095002341e-10,3.1718545699993624e-08,3.9883207366884715e-05,3.792514766653111e-05,1.0959352555204419e-06,1.505791985354035e-11,2.484744158820808e-12,1.6887355591926635e-06,1.5113641046926498e-06,2.9075493989407907e-07,1.3641658937442106e-07,8.603170060197253e-07,7.406969811740788e-10,3.1910272752728255e-07,3.230442576586441e-08,1.0732581561901026e-09,1.5820108382212788e-09,1.9024107731182847e-14,8.126856942936835e-13,1.8811515543125278e-11,1.7759232240731833e-12,1.2325366106266294e-15,2.3702393374982156e-07,1.258423682002906e-14,4.1504941715631455e-19,1.3807391035772313e-18
2.8080963616504646e-08,0.4492045902081613,3.76,0.0,0.6059855857844442,0.9999971633491905,9.536229522680864e-10,3.462209031499067e-08,4.111591965219691e-05,3.903101896892314e-05,1.146416919815105e-06,1.5964119841008318e-11,2.5593918681664892e-12,1.7884898888501486e-06,1.5955237430418354e-06,3.168218845708736e-07,1.459670488473885e-07,8.866854830447966e-07,7.83779214846878e-10,3.339337760479151e-07,3.5209033984388354e-08,1.149694071987127e-09,1.6787190819062545e-09,2.080039708205312e-14,9.217536914207752e-13,1.9689990475558486e-11,1.942670005456513e-12,1.360263331124127e-15,2.442798872240619e-07,1.375763655111242e-14,4.599488209675033e-19,1.4665711903398768e-18
2.891509334501907e-08,0.4492046949208394,3.76,0.0,0.6059843101424129,0.9999970203251363,1.0693227935064716e-09,3.76928446076326e-08,4.2349763072358966e-05,4.0133720715020104e-05,1.1984851883678273e-06,1.6894126646141844e-11,2.6338542702339652e-12,1.8907985506701549e-06,1.6814197247436658e-06,3.4431582825295983e-07,1.5580996169703425e-07,9.130567286131293e-07,8.282924292421704e-10,3.4920504507350934e-07,3.8276802727802236e-08,1.2296406743777541e-09,1.7781979256631822e-09,2.2711083029228697e-14,1.0420421023921583e-12,2.0596091955389792e-11,2.1194549591175376e-12,1.4976389625280764e-15,2.515358254593565e-07,1.501191626628636e-14,5.083641929945246e-19,1.5549911851099047e-18
2.9749223073533493e-08,0.44920479975480626,3.76,0.0,0.6059830328662883,0.9999968739650463,1.195125510125326e-09,4.0934953638564153e-08,4.358477154093933e-05,4.1233261977868465e-05,1.2521858464048862e-06,1.78477232805099e-11,2.7081317331861605e-12,1.995637152893841e-06,1.7690141558451203e-06,3.73265595613267e-07,1.6594023411077088e-07,9.394308164369843e-07,8.742769466601892e-10,3.649276096562485e-07,4.151154282485646e-08,1.3132082326565245e-09,1.880439180573889e-09,2.4765496581054667e-14,1.1744006382809888e-12,2.1530651368752516e-11,2.3065617695185334e-12,1.6451807251413569e-15,2.5879174845114043e-07,1.6351475615074454e-14,5.604884806859301e-19,1.6459990801856678e-18
3.058335280204792e-08,0.44920490471241403,3.76,0.0,0.6059817539108187,0.9999967242735865,1.3315861788525587e-09,4.435252080649502e-08,4.4820978373423545e-05,4.232965180444527e-05,1.3075639931898808e-06,1.882469421526995e-11,2.7822246249831822e-12,2.102981477206885e-06,1.8582697984661766e-06,4.036993811801406e-07,1.763527400572424e-07,9.6580781947562e-07,9.217742315821332e-10,3.811124388404977e-07,4.491701649451315e-08,1.4005101652258505e-09,1.9854346868365783e-09,2.6973604632593257e-14,1.31972428063858e-12,2.2494487913940482e-11,2.5042733456371054e-12,1.803426039102078e-15,2.660476561955809e-07,1.7780956641144172e-14,6.16522362094292e-19,1.739594867835975e-18
3.1417482530562344e-08,0.44920500979596306,3.76,0.0,0.6059804732314371,0.9999965712554331,1.4792729432394989e-09,4.7949608111909546e-08,4.605841628426806e-05,4.3422899215734356e-05,1.3646640397399105e-06,1.9824825372255822e-11,2.856133313431578e-12,2.2128074776083337e-06,1.949150059805827e-06,4.356447602569248e-07,1.8704233515283543e-07,9.92187809940838e-07,9.70826770783511e-10,3.977703964158549e-07,4.8496937738045235e-08,1.4916629927097538e-09,2.0931763140433787e-09,2.93460445675218e-14,1.4789547795748363e-12,2.3488408528164056e-11,2.7128718265102587e-12,1.9729329605866445e-15,2.733035486896517e-07,1.9305257172961276e-14,6.766744316982146e-19,1.835778540300367e-18
3.225161225907677e-08,0.44920511500770305,3.76,0.0,0.6059791907842612,0.9999964149152722,1.638766881510451e-09,5.1730236418925777e-08,4.729711738547394e-05,4.451301320680239e-05,1.4235297080520243e-06,2.0847904115120848e-11,2.9298581662165988e-12,2.3250912792865976e-06,2.0416189813314256e-06,4.691286996584317e-07,1.9800386882506483e-07,1.0185708593024936e-06,1.0214779603497004e-09,4.1491224166527384e-07,5.22549727282768e-08,1.5867862909044427e-09,2.2036559614718914e-09,3.189415999748956e-14,1.6530821501702466e-12,2.4513207845300583e-11,2.932638586812587e-12,2.154280602338517e-15,2.8055942593121145e-07,2.0929544654158645e-14,7.411613797951744e-19,1.9345500897894315e-18
3.30857419875912e-08,0.4492052203498333,3.76,0.0,0.6059779065260936,0.9999962552578018,1.8106618752514735e-09,5.5698385715379914e-08,4.853711318650442e-05,4.560000274687478e-05,1.4842040316638896e-06,2.1893719240544878e-11,3.003399550875058e-12,2.439809177502588e-06,2.1356412281485437e-06,5.041775682671272e-07,2.0923219495193122e-07,1.0449570382939634e-06,1.0737719993086765e-09,4.3254863010828485e-07,5.619474019600609e-08,1.686002643662236e-09,2.316865558390848e-09,3.4630037647163835e-14,1.8431461651184714e-12,2.55696681812585e-11,3.1638542424678324e-12,2.3480695387868932e-15,2.8781528791908427e-07,2.2659270416815807e-14,8.102081655566553e-19,2.035909508485136e-18
3.3919871716105626e-08,0.44920532582450434,3.76,0.0,0.6059766204144202,0.999996092287729,1.995564478932839e-09,5.985799537121177e-08,4.97784345953753e-05,4.668387677941127e-05,1.5467293573779552e-06,2.2962060969493706e-11,3.07675783476291e-12,2.5569376364799663e-06,2.2311820785483127e-06,5.408171474120379e-07,2.2072218115118657e-07,1.0713464169175796e-06,1.1277537895907982e-09,4.506901142393476e-07,6.031981181365379e-08,1.789437595801764e-09,2.43279706437995e-09,3.756654539089209e-14,2.050237841572166e-12,2.6658559543259714e-11,3.406798656293164e-12,2.5549221960374977e-15,2.9507113465314254e-07,2.450018439995548e-14,8.840481838468294e-19,2.1398567885411977e-18
3.475400144462005e-08,0.44920543143381814,3.76,0.0,0.6059753324074074,0.9999959260097719,2.1940937902588934e-09,6.421296439522197e-08,5.102111192075958e-05,4.776464422218129e-05,1.6111473479908217e-06,2.4052720938522616e-11,3.1499333850567597e-12,2.6764532883024654e-06,2.3282074137290816e-06,5.790726410735685e-07,2.324687168812314e-07,1.0977390644500253e-06,1.1834688420196293e-09,4.6934714426137146e-07,6.463371257618024e-08,1.8972196061289878e-09,2.55144246966395e-09,4.0717371444652653e-14,2.275500920247158e-12,2.7780639659654357e-11,3.66175094367555e-12,2.775483227044229e-15,3.02326966134393e-07,2.645835031469233e-14,9.629234259204526e-19,2.2463919220834907e-18
3.558813117313448e-08,0.4492055371798294,3.76,0.0,0.6059740424638983,0.9999957564286587,2.4068813213398328e-09,6.876715169026135e-08,5.226517487497188e-05,4.884231396733927e-05,1.677498985893475e-06,2.5165492191128227e-11,3.222926568767424e-12,2.7983329318182763e-06,2.4266837076893885e-06,6.189686859172181e-07,2.4446672049120137e-07,1.1241350494476924e-06,1.2409631880487864e-09,4.885300688144379e-07,6.913992117930936e-08,2.0094800006394656e-09,2.672793795461023e-09,4.409706471600334e-14,2.520133334980304e-12,2.893665402763324e-11,3.9289894782797036e-12,3.010419872262592e-15,3.095827823650659e-07,2.8540161257097424e-14,1.0470846341161956e-18,2.3555149012104673e-18
3.642226090164891e-08,0.449205643064546,3.76,0.0,0.605972750543409,0.9999955835491279,2.634570870680619e-09,7.352437630690273e-08,5.351065257771924e-05,4.9916894881499416e-05,1.7458245774293021e-06,2.63001691691542e-11,3.2957377527365434e-12,2.922553531551427e-06,2.526578017289418e-06,6.605293611590248e-07,2.5671114533638976e-07,1.150534439752002e-06,1.30028329697193e-09,5.082491356997572e-07,7.384187039509231e-08,2.1263529259599364e-09,2.7968430943454597e-09,4.7721076313753925e-14,2.7853886710750673e-12,3.0127335976693666e-11,4.208791897787196e-12,3.260422306080061e-15,3.1683858334870554e-07,3.0752355769461144e-14,1.1367914506604367e-18,2.467225717993636e-18
3.7256390630163335e-08,0.44920574908993044,3.76,0.0,0.6059714566061237,0.9999954073759281,2.877818395982569e-09,7.848841769563924e-08,5.475757356051873e-05,5.098839580581057e-05,1.8161637579105985e-06,2.7456547704249568e-11,3.3683673036217035e-12,3.0490922166201606e-06,2.6278579724782317e-06,7.037781982654556e-07,2.691969850612515e-07,1.1769373024946892e-06,1.3614759983430616e-09,5.285144925988868e-07,7.874294744484087e-08,2.2479753030793768e-09,2.9235824506247248e-09,5.160580221787161e-14,3.072577610885441e-12,3.13534067458569e-11,4.501435109666478e-12,3.5262039693155212e-15,3.240943690902654e-07,3.310203435016787e-14,1.2323125606956306e-18,2.5815243644780538e-18
3.809052035867776e-08,0.4492058552578996,3.76,0.0,0.6059701606128892,0.9999952279138176,3.137291887753075e-09,8.366301595765021e-08,5.600596577169108e-05,5.205682555603062e-05,1.8885554972027446e-06,2.863442500937546e-11,3.4408155878886583e-12,3.1779262796622474e-06,2.7304917666840193e-06,7.48738190490493e-07,2.819192781437795e-07,1.2033437041030504e-06,1.424588409350444e-09,5.493361877882448e-07,8.384649436945956e-08,2.3744867814145064e-09,3.0530039807308836e-09,5.576862710866907e-14,3.3830693651832936e-12,3.2615575572721e-11,4.807195296973521e-12,3.8085018880843175e-15,3.313501395962038e-07,3.5596676411831184e-14,1.333925829649708e-18,2.698410832682867e-18
3.892465008719219e-08,0.4492059615703269,3.76,0.0,0.6059688625252087,0.9999950451675647,3.413671243718829e-09,8.905187209417243e-08,5.725585658184711e-05,5.312219292260078e-05,1.9630381057935082e-06,2.98335996703597e-11,3.5130829718122934e-12,3.3090331757672176e-06,2.8344481473646216e-06,7.954318022526484e-07,2.9487311178677105e-07,1.229753710305155e-06,1.4896678668938705e-09,5.707241708489482e-07,8.91558083972052e-08,2.5060296932496216e-09,3.1850998336264164e-09,6.022796935297132e-14,3.7182930889449885e-12,3.391453979264678e-11,5.12634792418296e-12,4.108076979328209e-15,3.386058948745842e-07,3.824415768681568e-14,1.441918435065264e-18,2.817885114601882e-18
4.059290954422104e-08,0.4492061746358309,3.76,0.0,0.605966259915764,0.9999946698417557,4.01992592930781e-09,1.0048696797936614e-07,5.976024062967413e-05,5.5243775540416425e-05,2.1184259160274116e-06,3.2295042217348706e-11,3.657076502759895e-12,3.577976093441306e-06,3.046206372922801e-06,8.941071526594487e-07,3.21456011299279e-07,1.2825847959376488e-06,1.6259180017549002e-09,6.152383096473081e-07,1.004047047942838e-07,2.78479229153124e-09,3.4572832688592205e-09,7.011532869649031e-14,4.468961118098488e-12,3.6625584914880334e-11,5.805928798579972e-12,4.762223511107812e-15,3.5311735978956984e-07,4.40312310831716e-14,1.6782376658350477e-18,3.0645970874348373e-18
4.2261169001249884e-08,0.44920638830057197,3.76,0.0,0.6059636484826946,0.9999942814368439,4.70225505796157e-09,1.1282254075185984e-07,6.227093334755927e-05,5.7353213479261054e-05,2.282620739488671e-06,3.4839291171451035e-11,3.80035082271781e-12,3.855743819259382e-06,3.2628933603693184e-06,9.999737344243605e-07,3.4890746917976315e-07,1.3354310714278542e-06,1.7706071886148627e-09,6.621345584128504e-07,1.1251513202101302e-07,3.085453709766843e-09,3.740070614977543e-09,8.143768456421789e-14,5.337266491360356e-12,3.949188702661282e-11,6.5423673005781215e-12,5.495219498783323e-15,3.676287639357764e-07,5.053487688786554e-14,1.943758580885838e-18,3.3216602184447583e-18
4.392942845827873e-08,0.44920660257802114,3.76,0.0,0.6059610279409698,0.9999938799913253,5.4665138443729905e-09,1.2608681595270666e-07,6.478813354508754e-05,5.94505761587862e-05,2.4559060224558957e-06,3.746478379245401e-11,3.942908854607871e-12,4.14216173485897e-06,3.484278106225493e-06,1.1131931456862528e-06,3.7719021584608246e-07,1.388293037951359e-06,1.9241160764284766e-09,7.114890321061917e-07,1.255118915794823e-07,3.4092446423911174e-09,4.0334002794702555e-09,9.438444944483567e-14,6.3369407108715975e-12,4.2518608167759456e-11,7.33784187883152e-12,6.3140405805304745e-15,3.8214010744624054e-07,5.78342460239948e-14,2.2411260639075544e-18,3.589074442737007e-18
4.559768791530758e-08,0.44920681748101177,3.76,0.0,0.605958398015382,0.9999934655438448,6.318736233667086e-09,1.4030741701255193e-07,6.731203142578447e-05,6.153593260062697e-05,2.638555351895406e-06,4.0169978512103926e-11,4.084753517886513e-12,4.4370577209288e-06,3.7101376167910567e-06,1.2339193710296267e-06,4.062679719119098e-07,1.4411711859840958e-06,2.0868237048325442e-09,7.63376333135014e-07,1.394191024159638e-07,3.757434490135568e-09,4.337211234178523e-09,1.0916628538732662e-13,7.482803876730562e-12,4.5710731775076427e-11,8.19452005492145e-12,7.226069685889672e-15,3.9665139049013303e-07,6.601665302062554e-14,2.57314486084214e-18,3.866839695079727e-18
4.726594737233643e-08,0.44920703302176596,3.76,0.0,0.605955758440294,0.9999930381331935,7.265131072825505e-09,1.555113729209737e-07,6.984280882354803e-05,6.360935143072257e-05,2.830832708842407e-06,4.2953354675617383e-11,4.22588772843451e-12,4.74026212467107e-06,3.94025664190386e-06,1.3622990454574468e-06,4.3610547575782826e-07,1.4940659954605179e-06,2.2591062401832117e-09,8.17869572968546e-07,1.5426021209062573e-07,4.131330017982408e-09,4.651443031734992e-09,1.2601681790093748e-13,8.790805100280344e-12,4.907306713942231e-11,9.114558617389044e-12,8.239103883935815e-15,4.1116261327657853e-07,7.517823909185054e-14,2.9427825784345354e-18,4.154955909931882e-18
