Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125)
6.31790275245897e-08,0.08377054570510843,3.76,0.0,0.5035464341766658,0.9977266568460754,4.101751842934781e-05,0.00010256324303435614,0.0016654490822211798,0.0007320476465800617,0.0006340457846801582,1.19707460234655e-08,2.745002934609621e-10,0.00026656428420745196,0.00031014648707443343,0.00032023566508858017,1.715018143863884e-05,3.252813158528851e-05,2.1412183044502745e-06,0.00025215597622560806,8.228705297649837e-05,6.6237292014811835e-06,9.010716440837802e-07,4.820653839555967e-08,1.024344107089627e-06,1.7077363314868627e-08,1.8159965759565318e-08,2.235969365902805e-10,4.539986241647553e-06,6.879082800446015e-09,2.5898760191153727e-13,6.507315069869491e-09,1.4735181627702235e-10,0.001491558825392014,1.1069617311067178e-15,9.13510264811556e-11,1.5366783990273456e-09
6.39850979450327e-08,0.08377096524254651,3.76,0.0,0.5035100093443259,0.9977096253322768,4.27389933506823e-05,0.00010525011126692354,0.001691825652876376,0.0007362452130183177,0.0006526072394443727,1.2086601055623679e-08,2.761850273102789e-10,0.00026959361721763073,0.00031399126413024736,0.0003295203161537495,1.73728071351916e-05,3.3037474625095853e-05,2.2066381165716748e-06,0.0002590901668323067,8.424704988152512e-05,6.914826466410818e-06,9.451674832508752e-07,5.181314953631281e-08,1.0835087739386112e-06,1.7578324608240222e-08,1.9115564760859492e-08,2.362150708885328e-10,4.60644119564543e-06,7.387908063389699e-09,2.7364858580673265e-13,6.660244485468272e-09,1.5067930229292227e-10,0.0014915333795447337,1.1901236692202363e-15,9.516615487386016e-11,1.6148551785848732e-09
6.559723878591866e-08,0.08377180955953652,3.76,0.0,0.5034363782073914,0.9976752059900353,4.6316750456285786e-05,0.00011068667782203055,0.001744928547165221,0.0007444143389513255,0.0006904712442441228,1.2312884859555954e-08,2.794652218942046e-10,0.0002755411235860302,0.0003215533778782735,0.0003484380018338338,1.7810899192427522e-05,3.406149148350941e-05,2.3402513582582186e-06,0.0002731854846232222,8.819290795346834e-05,7.522798307974503e-06,1.03952119755983e-06,5.967249465086464e-08,1.2091007863342645e-06,1.8600266973430807e-08,2.116728157235832e-08,2.631882110098358e-10,4.741162354066422e-06,8.496015753228525e-09,3.0499186159391367e-13,6.971153088999519e-09,1.5744281843656645e-10,0.0014914819545167471,1.3715946682431121e-15,1.0309671638414192e-10,1.7794220894694642e-09
6.704816554271604e-08,0.08377257531768237,3.76,0.0,0.5033692291329829,0.9976438315821176,4.969230694146513e-05,0.00011564759599764926,0.0017931135352185965,0.0007515161380342667,0.0007253823768588394,1.2510455346744514e-08,2.8231830718509645e-10,0.00028076799090420663,0.00032821321568059236,0.0003658545711130628,1.81969565639394e-05,3.49890152138713e-05,2.4636247085464822e-06,0.00028612456424454005,9.177089544781884e-05,8.099998154926929e-06,1.1318750895316363e-06,6.753251664542777e-08,1.33069421293268e-06,1.9542528230601745e-08,2.318552372193207e-08,2.895670258135176e-10,4.86460660311546e-06,9.603409821407591e-09,3.3564808425204917e-13,7.256798940219931e-09,1.6365560866064677e-10,0.0014914350777605078,1.5533976548772079e-15,1.1058168603858342e-10,1.937150793598437e-09
6.849909229951342e-08,0.08377334652500756,3.76,0.0,0.5033012564274376,0.9976120909931223,5.321723787973778e-05,0.00012066897825485029,0.0018416632106224124,0.0007583884653675158,0.0007610704578009359,1.2702376182753714e-08,2.8508041136623574e-10,0.00028587668996111516,0.0003347340881487122,0.00038363399861206037,1.8575168015195453e-05,3.592195171231336e-05,2.5899095398237742e-06,0.0002992976671022276,9.537121762659927e-05,8.706340819951962e-06,1.2317399547352643e-06,7.619521770053894e-08,1.460705058729613e-06,2.050577030744925e-08,2.537987551706943e-08,3.180825656196783e-10,4.990279032762887e-06,1.0823119932822122e-08,3.6879072287167004e-13,7.54805506715804e-09,1.6998971494357555e-10,0.0014913876529033887,1.7541022336417064e-15,1.1840137936069428e-10,2.104270558949632e-09
6.99500190563108e-08,0.08377412307053653,3.76,0.0,0.5032324709206142,0.9975799935338303,5.6893345439901665e-05,0.00012574704328654668,0.0018905707509174199,0.0007650385628442879,0.0007975230447668562,1.288876123404188e-08,2.8775424937926906e-10,0.0002908684437383832,0.0003411157053436741,0.00040176927647641675,1.8945499368865804e-05,3.6860124562188156e-05,2.7190609468368274e-06,0.00031269912261089084,9.89911015284522e-05,9.342489972299993e-06,1.3395791426796868e-06,8.571835886114222e-08,1.5994255625723227e-06,2.1489653114054e-08,2.776411960578541e-08,3.488838293112998e-10,5.1183275055395125e-06,1.2163201193238152e-08,4.045930529444202e-13,7.845018246370057e-09,1.7644759703844865e-10,0.0014913396938827429,1.975114660865881e-15,1.2656103410765876e-10,2.2810464856146296e-09
7.140094581310817e-08,0.08377490484321747,3.76,0.0,0.5031628835867131,0.9975475482674274,6.072232176892202e-05,0.0001308780554285723,0.0019398293196132759,0.0007714734429518269,0.0008347275419553783,1.3069726561859611e-08,2.9034246401038694e-10,0.0002957446192948745,0.00034735802578292265,0.00042025337865761654,1.9307931949037954e-05,3.7803359300007515e-05,2.851033292269734e-06,0.00032632332250193976,0.0001026278675907021,1.0009100034257423e-05,1.4558683598320407e-06,9.616197767433928e-08,1.7471434563044936e-06,2.2493832365236837e-08,3.0352852367253885e-08,3.8212985561156743e-10,5.248904288361211e-06,1.3632027171821147e-08,4.432400352440617e-13,8.147796193032342e-09,1.8303195149274165e-10,0.0014912912142650723,2.217900680677503e-15,1.3506578656007284e-10,2.4677398677376635e-09
7.285187256990555e-08,0.08377569173191872,3.76,0.0,0.503092505520045,0.9975147640138136,6.470575034086955e-05,0.00013605832902508183,0.0019894320798960075,0.0007776998960683537,0.0008726712254542467,1.3245389826295239e-08,2.92847626947823e-10,0.00030050671048715725,0.00035346123659660484,0.00043907927347013276,1.9662461370485015e-05,3.875148359577742e-05,2.985780312192128e-06,0.00034016472732104655,0.00010627892999562499,1.0706816012449115e-05,1.581095125163087e-06,1.0758838001511093e-07,1.9041415308693008e-06,2.3517960275807043e-08,3.316150464037436e-08,4.179902812321402e-10,5.3821659235491925e-06,1.5238289016128804e-08,4.84928969999088e-13,8.456507739010247e-09,1.8974571482506842e-10,0.0014912422272528008,2.4839855938410745e-15,1.4392067786735212e-10,2.664608062864858e-09
7.430279932670292e-08,0.0837764836257515,3.76,0.0,0.5030213479125718,0.9974816493540333,6.884510742723133e-05,0.00014128423236692912,0.002039372207199435,0.0007837244975240428,0.000911341266851833,1.3415869757763571e-08,2.9527223991704615e-10,0.0003051563220976519,0.00035942573492276226,0.00045823993514352256,2.000909640263593e-05,3.970432741106237e-05,3.1232552142304745e-06,0.0003542178721305742,0.0001099417966760921,1.1436273348726873e-05,1.715758204660561e-06,1.200621287195864e-07,2.0706972333864803e-06,2.456168620717667e-08,3.6206361498814334e-08,4.5664590272839306e-10,5.51827309280648e-06,1.6990994135919014e-08,5.298701556440787e-13,8.771282996387867e-09,1.9659206638317762e-10,0.00149119274569148,2.7749542493182e-15,1.5313066026563167e-10,2.8719043809376357e-09
7.57537260835003e-08,0.08377728041415175,3.76,0.0,0.502949422033071,0.9974482126348029,7.314176367471108e-05,0.00014655219123862809,0.0020896429007310974,0.0007895536144386022,0.0009507247552151465,1.3581285688368265e-08,2.976187358807716e-10,0.00030969515524608565,0.00036525211044836063,0.000477728354450263,2.034785790269024e-05,4.06617231369605e-05,3.2634107690401476e-06,0.0003684773714944762,0.00011361406902145981,1.219809778912442e-05,1.8603670278917344e-06,1.3365002923517148e-07,2.247082294310699e-06,2.5624657269274953e-08,3.9504581061619275e-08,4.982892398475452e-10,5.657390474998427e-06,1.8899464484345673e-08,5.782875495559708e-13,9.092263506505775e-09,2.0357443088695513e-10,0.0014911427820756898,3.0924509640739315e-15,1.6270060313446957e-10,3.0898779913925e-09
