Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56),CH2F(45),C2H2F3O2(908)
3.412991486626879e-16,0.20819398810112824,3.76,0.0,0.5813311680633809,0.9999999997091269,1.8530661414205543e-36,2.5004035719573957e-27,1.97514477195263e-15,1.975144770412843e-15,1.4006154952102668e-16,9.703157152157561e-30,1.2791150620436795e-28,1.5350360194184347e-24,1.5348105454982078e-24,2.9310027057646632e-33,5.2086335769622714e-23,1.4006154955146419e-16,2.797628981208579e-26,9.902963778203908e-19,2.762130664435953e-25,2.5013298464714525e-27,4.835691782643038e-27,6.976466206989011e-35,4.072590961758546e-33,1.9002161265784515e-28,1.1708718160661267e-38,9.008435778141118e-40,9.902963778187432e-19,5.1403087315651956e-36,4.25316592400764e-49,7.463759814225887e-33,1.2585910447907206e-31,2.9087287333776664e-10,1.2420657578787383e-52,6.763837787956218e-43,2.2009843285105277e-42,1.8206092529217183e-41,5.208633830196527e-23,1.3136119539127634e-52
5.119488676555911e-16,0.20819398810112832,3.76,0.0,0.5813311680633798,0.9999999995636905,5.298613202753216e-36,5.3133598177580814e-27,2.9627179951051356e-15,2.962717991833089e-15,2.1009238361127363e-16,2.0619260421680148e-29,2.7181198201831943e-28,3.261816346682508e-24,3.2614736257401827e-24,8.380839048580938e-33,7.81295241445225e-23,2.1009238367608982e-16,5.944963801822236e-26,1.485444986473262e-18,4.17461377880138e-25,5.315327932781011e-27,1.0275848877834608e-26,1.4825000430766229e-34,8.654259029292212e-33,4.0379605567588704e-28,3.3479628738193367e-38,1.914391201612468e-39,1.4854449864697605e-18,1.0923163830812305e-35,1.2161873114004585e-48,1.5860645559164785e-32,2.674505382425878e-31,4.3630916700550443e-10,3.551540653488396e-52,2.0080154691673477e-42,6.534175898984247e-42,5.404936756373876e-41,7.81295295235999e-23,4.969663380512859e-52
6.825985866484942e-16,0.20819398810112835,3.76,0.0,0.5813311680633787,0.9999999994182543,1.117631252770092e-35,9.063968901924976e-27,3.950291218257642e-15,3.950291212675913e-15,2.801232176798366e-16,3.5174108116244257e-29,4.636792438779565e-28,5.5641540630929234e-24,5.563691388281307e-24,1.7677620506130862e-32,1.0417271156867972e-22,2.8012321779052733e-16,1.0141410815919093e-25,1.9805935951261333e-18,5.6059468743923055e-25,9.067325931195632e-27,1.7529392692989126e-26,2.5289718559587856e-34,1.4763150648108792e-32,6.888286656577087e-28,7.061824816852608e-38,3.265889732484267e-39,1.9805935951201594e-18,1.8633642213643333e-35,2.5653872729231273e-48,2.705663631098996e-32,4.562389934751716e-31,5.817453008998526e-10,7.49124662467809e-52,4.3753613613047156e-42,1.4237629756471177e-41,1.1777076337937494e-40,1.041727207413737e-22,1.293600939202784e-51
1.0238980246343005e-15,0.2081939881011284,3.76,0.0,0.5813311680633766,0.9999999991273822,3.0525983944990857e-35,1.876580120717712e-26,5.925437664562649e-15,5.925437653006387e-15,4.201848857660714e-16,7.282377454418268e-29,9.599887802210357e-28,1.1519627447159101e-23,1.1518918510031267e-23,4.828307451213076e-32,1.5625908418864303e-22,4.201848859954916e-16,2.0996506921327066e-25,2.9708908124318776e-18,8.512852820703397e-25,1.8772750322143413e-26,3.6292387926079e-26,5.235918679410901e-34,3.0565234055669554e-32,1.4261324098926896e-27,1.9288037887656928e-37,6.762235755737806e-39,2.970890812419505e-18,3.8578620307479327e-35,7.007342180314401e-48,5.601815382389659e-32,9.445842035995758e-31,8.726171937107305e-10,2.0461024884532843e-51,1.2700328290928443e-41,4.1327460166099894e-41,3.4185230356592977e-40,1.562591031678601e-22,4.7473344358331855e-51
1.3651974626201069e-15,0.20819398810112852,3.76,0.0,0.5813311680633745,0.999999998836511,6.387058027459046e-35,3.1915718310310227e-26,7.900584110867654e-15,7.900584091213475e-15,5.602465537725665e-16,1.2385456443377217e-28,1.6326890354942867e-27,1.9591630620056385e-23,1.959066546182179e-23,1.0102435498942303e-31,2.0834545332037634e-22,5.602465541629909e-16,3.5709562709970143e-25,3.961188029737625e-18,1.1489076879726682e-24,3.192753501183068e-26,6.172385287155959e-26,8.904931794781342e-34,5.198346315230148e-32,2.4254777661768898e-27,4.03570320993435e-37,1.1501852083091416e-38,3.961188029716577e-18,6.561217573151098e-35,1.4662630558219452e-47,9.527353559750744e-32,1.6064891053633563e-30,1.1634884989793286e-09,4.28115088822189e-51,2.777419037040181e-41,9.037851007070752e-41,7.475925624509809e-40,2.0834548558014887e-22,1.23101957639255e-50
2.0477963385917197e-15,0.20819398810112869,3.76,0.0,0.5813311680633703,0.99999999825477,2.016836586158996e-34,6.953786218368117e-26,1.1850877003477644e-14,1.1850876960655194e-14,8.403698895237194e-16,2.698558857834631e-28,3.557293710362324e-27,4.2685580939907714e-23,4.2684070614613005e-23,3.190038141144016e-31,3.1251818016952743e-22,8.403698903749673e-16,7.780386524438986e-25,5.9417824643491396e-18,1.766914149407394e-24,6.956359830576192e-26,1.3448370632321098e-25,1.940205649551136e-33,1.1326138069065556e-31,5.2846211267652575e-27,1.2743508426817161e-36,2.506566069834127e-38,5.941782464303253e-18,1.4295577637563451e-34,4.630862157531133e-47,2.075885259320414e-31,3.500205332732598e-30,1.7452291802403157e-09,1.3518717967799765e-50,9.239013283498949e-41,3.0064180053021067e-40,2.486847520675764e-39,3.125182503581064e-22,6.084035585033457e-50
2.7303952145633324e-15,0.20819398810112885,3.76,0.0,0.581331168063366,0.9999999976730315,4.587369871577185e-34,1.2208511260906343e-25,1.580116989608762e-14,1.58011698209058e-14,1.1204932249297184e-15,4.737795238094053e-28,6.24540570894561e-27,7.494096790319843e-23,7.49388692488985e-23,7.255859605476808e-31,4.166908920126048e-22,1.1204932264247767e-15,1.3659741440162818e-24,7.922376898960692e-18,2.4149250890633996e-24,1.2213027973681334e-25,2.3610814904194967e-25,3.406352331982165e-33,1.988488844040348e-31,9.278015293642081e-27,2.898558076466738e-36,4.4015912207867505e-38,7.922376898880086e-18,2.509825954432464e-34,1.0534739823799059e-46,3.644671573057272e-31,6.145170917953585e-30,2.3269673183310596e-09,3.0749139578467045e-50,2.149356006267221e-40,6.994104708264856e-40,5.785380442551026e-39,4.166910150746093e-22,1.8137424458064806e-49
4.095592966506557e-15,0.2081939881011291,3.76,0.0,0.5813311680633576,0.9999999965095623,1.5316285813010823e-33,2.7216124334854847e-25,2.3701755681307504e-14,2.3701755513706643e-14,1.6807398947014885e-15,1.0562006880840298e-27,1.392269355854824e-26,1.670626687084018e-22,1.6705926312627652e-22,2.422581798111278e-30,6.250362707885748e-22,1.6807398980356559e-15,3.0451304646213833e-24,1.1883565768184e-17,3.801375119835402e-24,2.722618513167835e-25,5.263497298713715e-25,7.593710885965006e-33,4.432886250903824e-31,2.0683228898325974e-26,9.677687341484849e-36,9.816686580763005e-38,1.188356576800408e-17,5.595105805362802e-34,3.51866618265076e-46,8.125532262084844e-31,1.3699209664864932e-29,3.4904359299110537e-09,1.0266744269206664e-49,7.318534541378273e-40,2.3814853099289512e-39,1.9699159601372014e-38,6.250365443224035e-22,9.483989946975559e-49
6.825988470393008e-15,0.20819398810112974,3.76,0.0,0.5813311680633407,0.9999999941826546,7.202102558397642e-33,7.522860907567563e-25,3.9502927251747047e-14,3.9502926788478616e-14,2.8012332300830802e-15,2.9195579203779362e-27,3.848380297724998e-26,4.617779131264311e-22,4.617713712649941e-22,1.1391581249068341e-29,1.0417268506928793e-21,2.8012332393019825e-15,8.417097269687426e-24,1.9805943506632003e-17,6.936080162852118e-24,7.525637051303809e-25,1.4548923204625665e-24,2.0990013881457527e-32,1.2253016995936061e-30,5.717081969913612e-26,4.5506889690694387e-35,2.715947691064806e-37,1.9805943506133366e-17,1.546562234145688e-33,1.6559363876751527e-45,2.2463195708248926e-30,3.786587431310591e-29,5.81734248722647e-09,4.8279153003178196e-49,3.480824106200878e-39,1.1326764483143539e-38,9.369267943615991e-38,1.0417276020769636e-21,7.986133463381597e-48
1.2286779478165909e-14,0.208193988101131,3.76,0.0,0.5813311680633069,0.999999989528962,4.3068768077076683e-32,2.432621510857285e-24,7.110527039262523e-14,7.110526889458458e-14,5.042219884194191e-15,9.441418354430163e-27,1.2444151876979225e-25,1.493214559423864e-21,1.4931996449495483e-21,6.812187312289315e-29,1.875107316206869e-21,5.042219914010996e-15,2.721781250477863e-23,3.565069898353815e-17,1.4653101071072524e-23,2.4335160302400753e-24,4.704589493398145e-24,6.787473667597261e-32,3.9621774487818655e-30,1.8486919370724552e-25,2.721320733845725e-34,8.798947116706186e-37,3.5650698981917e-17,5.0010789795369955e-33,9.919538771250225e-45,7.265956191971049e-30,1.224420775949127e-28,1.0471032908509686e-08,2.8873884833425146e-48,2.091429480982297e-38,6.805609778507574e-38,5.629461147529319e-37,1.8751097146212337e-21,9.146756941387935e-47
