Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56),CH2F(45)
1.0515146867855755e-09,0.08584565488946037,3.76,0.0,0.6098707499537801,0.9999780874145393,1.4775125254689586e-18,7.69128534627085e-16,4.57339006597224e-11,4.5621652055985365e-11,1.1301471563575173e-11,2.1397296406274667e-17,3.233206053485746e-18,1.1100755547415656e-13,1.1101854746882188e-13,1.7574827984307908e-16,1.5062900117419057e-16,1.1341421030648156e-11,3.924224483763721e-14,1.9614117157466846e-15,1.0481696498730645e-15,7.419780911539323e-16,1.0045179428388877e-15,3.743327056416645e-24,3.8091922159718514e-23,1.1166560750548026e-17,5.98028547773361e-22,1.7941146379703265e-28,1.872711997886879e-15,7.834058878476723e-26,8.367767836972641e-31,2.3777946283294378e-22,1.9235231595734947e-23,2.1912573967372497e-05,1.551074122853145e-35,1.2050749156833386e-26,4.8471997182648933e-26,1.201662008740278e-25,3.910607509489545e-20
1.0829779479713475e-09,0.08584565488948219,3.76,0.0,0.6098707499520722,0.9999780873486298,1.6154787653932485e-18,8.167305841940998e-16,4.7102345714440316e-11,4.6983283557136293e-11,1.1638411173693561e-11,2.2777086898890725e-17,3.336883537332753e-18,1.177383490954219e-13,1.1775037093738175e-13,1.9198732586278095e-16,1.6382298063051162e-16,1.1680781020110735e-11,4.1621895981102474e-14,2.0256420626324883e-15,1.1127294801466257e-15,7.870605532572455e-16,1.065479179955614e-15,4.08726779162201e-24,4.041336126417117e-23,1.1776054878501337e-17,6.5330919570190975e-22,1.9595089314116495e-28,1.9287468815789298e-15,8.554458020634744e-26,9.411033687614366e-31,2.527779278918007e-22,1.9836545433942714e-23,2.1912639528279366e-05,1.745116422844776e-35,1.3163298296111934e-26,5.294803215904281e-26,1.3126137694129333e-25,4.0278554180090927e-20
1.1144412091571194e-09,0.08584565488950403,3.76,0.0,0.6098707499503644,0.9999780873017794,1.7618576813699795e-18,8.65814124848108e-16,4.847079103172224e-11,4.834471479431703e-11,1.1975280393247803e-11,2.4200134135510372e-17,3.4405485287898282e-18,1.24666538059569e-13,1.2467965268516926e-13,2.09196238748694e-16,1.7772426404424547e-16,1.2020141396155124e-11,4.407135906710673e-14,2.090361837767475e-15,1.179271549510808e-15,8.3347281945334345e-16,1.1282329911483121e-15,4.4516165850783995e-24,4.28042546415476e-23,1.2398089729054341e-17,7.118942142877958e-22,2.134740884792759e-28,1.984781758460533e-15,9.317639998128951e-26,1.0548713539085137e-30,2.682358437284612e-22,2.0437938909575975e-23,2.191268602992786e-05,1.9568126413523382e-35,1.4342182563921035e-26,5.769106838033462e-26,1.4301823973820585e-25,4.145136231267872e-20
1.1459044703428914e-09,0.08584565488952589,3.76,0.0,0.6098707499486565,0.9999780872684423,1.916907473969525e-18,9.163836106873718e-16,4.9839236625415613e-11,4.97059457969816e-11,1.2312079270314768e-11,2.5666431386604046e-17,3.5442010245704444e-18,1.3179206322868643e-13,1.318063354956113e-13,2.2740305142479427e-16,1.923470370076603e-16,1.2359502169963151e-11,4.659061464105339e-14,2.1555851851502394e-15,1.2478003610053977e-15,8.812148672343625e-16,1.1927791126780968e-15,4.8369571627353696e-24,4.526469801632748e-23,1.3032421445431952e-17,7.7387935407063345e-22,2.320091631235104e-28,2.040816628533057e-15,1.0124829848358882e-25,1.1786306118884451e-30,2.841532085829575e-22,2.1039412022190607e-23,2.1912719017790287e-05,2.1872013095100092e-35,1.558930967858922e-26,6.270879496502343e-26,1.5545583107993646e-25,4.262451569588709e-20
1.1773677315286633e-09,0.08584565488954772,3.76,0.0,0.6098707499469487,0.9999780872446783,2.080887118717791e-18,9.684434939886813e-16,5.1207682509640105e-11,5.1066976594579696e-11,1.264880785322719e-11,2.7175971922063882e-17,3.647841023170289e-18,1.391148654735667e-13,1.391303621645255e-13,2.4663578869179303e-16,2.07705204762289e-16,1.2698863352711674e-11,4.917964325969815e-14,2.221326244541635e-15,1.3183204160233593e-15,9.302866696330075e-16,1.2591172808446398e-15,5.243872885207977e-24,4.779479022257959e-23,1.3678810818259412e-17,8.393603515023892e-22,2.5158420519614067e-28,2.0968514917978675e-15,1.0977251865425444e-25,1.3129462149472487e-30,3.0053002069523993e-22,2.1640964771386347e-23,2.1912742432465962e-05,2.43735050657024e-35,1.6906586267882742e-26,6.800889723209556e-26,1.6859318260966986e-25,4.379803052355841e-20
1.2088309927144353e-09,0.08584565488956956,3.76,0.0,0.6098707499452408,0.9999780872277061,2.254056365779369e-18,1.0219982252088456e-15,5.2576128698782215e-11,5.242780721655675e-11,1.2985466190568687e-11,2.872874901169244e-17,3.75146852431255e-18,1.4663488567379818e-13,1.4665167550012397e-13,2.6692246722889617e-16,2.238123975814597e-16,1.3038224955573023e-11,5.1838425491203115e-14,2.2875991514654015e-15,1.3908362143112051e-15,9.806881953120766e-16,1.3272472319862255e-15,5.6729467482069924e-24,5.0394633201511935e-23,1.4337023197090336e-17,9.084329289494422e-22,2.722272776690346e-28,2.152886348256331e-15,1.1876129601018205e-25,1.4583984054114678e-30,3.1736627830520314e-22,2.224259715679414e-23,2.1912759054767286e-05,2.7083578471575746e-35,1.8295917869840764e-26,7.359905670421833e-26,1.8244931580695334e-25,4.497192298015284e-20
1.2402942539002072e-09,0.0858456548895914,3.76,0.0,0.609870749943533,0.9999780872155624,2.4366757396409465e-18,1.0770522529861466e-15,5.394457520749006e-11,5.378843769235384e-11,1.3322054331168754e-11,3.032475592561485e-17,3.855083528479975e-18,1.5435206471785446e-13,1.5437021832301587e-13,2.882910955955646e-16,2.4068197605011595e-16,1.3377586989715345e-11,5.4566941915189226e-14,2.3544180372087996e-15,1.4653522539693588e-15,1.0324194086522844e-15,1.3971687024797868e-15,6.124761382970811e-24,5.30643319990234e-23,1.5006828403609143e-17,9.81192794694649e-22,2.9396641840312343e-28,2.2089211979098142e-15,1.2822685865306209e-25,1.6155825663241146e-30,3.346619796527097e-22,2.2844309178064364e-23,2.191277084869173e-05,3.001350468392544e-35,1.9759208933613274e-26,7.948695111094567e-26,1.9704324199607447e-25,4.614620924075212e-20
1.2717575150859792e-09,0.08584565488961322,3.76,0.0,0.6098707499418251,0.9999780872068481,2.6290065387949675e-18,1.1336100241417719e-15,5.531302205066809e-11,5.514886805140773e-11,1.3658572324097785e-11,3.1963985934560874e-17,3.9586860365947145e-18,1.6226634350318055e-13,1.6228593346620902e-13,3.107696742332745e-16,2.583270362438275e-16,1.3716949466302835e-11,5.736517312278734e-14,2.4217970288232493e-15,1.5418730314525033e-15,1.0854802698384113e-15,1.468881428740936e-15,6.59989905669899e-24,5.580399476325727e-23,1.5688000646477097e-17,1.0577356429394079e-21,3.1682964018786516e-28,2.2649560407596805e-15,1.38181427278322e-25,1.785109192132077e-30,3.5241712297760317e-22,2.344610083486121e-23,2.1912779212768023e-05,3.317485016887969e-35,2.129836282030177e-26,8.568025439193411e-26,2.1239396235446494e-25,4.732090547106326e-20
1.3032207762717511e-09,0.08584565488963507,3.76,0.0,0.6098707499401173,0.999978087200564,2.8313108354235375e-18,1.191675983681227e-15,5.668146924347211e-11,5.6509098323150853e-11,1.3995020218662099e-11,3.364643230999971e-17,4.062276049865423e-18,1.7037766293627635e-13,1.7039876377510997e-13,3.343861954672777e-16,2.7676041480829744e-16,1.405631239649594e-11,6.0233099716688e-14,2.489750249124976e-15,1.6204030415699258e-15,1.1398707349438049e-15,1.5423851472239806e-15,7.098941672987355e-24,5.861373274215653e-23,1.6380318437800946e-17,1.1381571538057259e-21,3.408449307807029e-28,2.3209908768072943e-15,1.4863721518410228e-25,1.967603859425182e-30,3.7063170651971657e-22,2.4047972126861057e-23,2.1912785146373274e-05,3.657947635619446e-35,2.2915281803802447e-26,9.218663670016984e-26,2.2852046792113095e-25,4.849602782742242e-20
1.334684037457523e-09,0.08584565488965688,3.76,0.0,0.6098707499384094,0.9999780871960009,3.0438514750825767e-18,1.251254574795717e-15,5.804991680130424e-11,5.786912853701136e-11,1.4331398064399045e-11,3.5372088324201445e-17,4.165853569717626e-18,1.7868596393277796e-13,1.7870865210752325e-13,3.5916864350836227e-16,2.9599469394104904e-16,1.4395675791451423e-11,6.317070231118966e-14,2.558291816695665e-15,1.7009467774858559e-15,1.1955907560132605e-15,1.6176795944219363e-15,7.622470772264692e-24,6.149366028102072e-23,1.7083564511197015e-17,1.2225529933382866e-21,3.6604025294651764e-28,2.377025706054018e-15,1.5960642828026386e-25,2.163707197726989e-30,3.893057285188789e-22,2.4649923053750225e-23,2.1912789358679765e-05,4.023953950673704e-35,2.4611867071652063e-26,9.901376440520602e-26,2.4544173960510897e-25,4.967159245679852e-20
