Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68)
1.0921740991080442e-12,0.5731220290154821,3.76,0.0,0.5527235091005047,0.9999999999869531,5.452562990727985e-25,3.929949965044999e-19,5.102268563662391e-10,5.102260070717094e-10,1.3046064433781908e-11,1.7063342223196136e-21,2.1909919594279162e-20,8.484148341747944e-16,8.483827888347389e-16,7.732856123255895e-21,7.732863967509419e-21,1.304606553241294e-11,6.1197160690858725e-19,1.4778540496459999e-21,3.754654691908755e-18,3.923022362926254e-19,8.803917027088672e-19,9.391712727359994e-29,3.102098500399586e-31,1.22319223728868e-19,3.23082209879018e-26,2.62766313866745e-33
1.4562322350160273e-12,0.5731220290338295,3.76,0.0,0.5527235089260804,0.9999999999826038,1.150432428927921e-24,6.706540903325728e-19,6.803025230648458e-10,6.803010742686174e-10,1.7394753385399385e-11,2.9121725086911204e-21,3.736962697087121e-20,1.4472944901162859e-15,1.4472377910827e-15,1.6310804031292714e-20,1.6310499917438607e-20,1.7394755259195025e-11,1.0439454592727381e-18,3.1172198137836246e-21,5.380315201798814e-18,6.6924578365976275e-19,1.5018443252598471e-18,2.0464050166555188e-28,8.339710418659538e-31,2.0863797932510755e-19,6.814738523883767e-26,5.725540244224981e-33
2.1843485068319937e-12,0.5731220290705241,3.76,0.0,0.5527235085772316,0.9999999999739049,3.143684070403241e-24,1.3893709444671906e-18,1.0204538562970275e-09,1.0204508567497816e-09,2.6092130820584667e-11,6.034005652837803e-21,7.734792412206755e-20,2.996434717390828e-15,2.9963099355694223e-15,4.454972904816938e-20,4.454771577994831e-20,2.609213469849974e-11,2.1613352242357608e-18,8.51408369455094e-21,9.047888996377021e-18,1.3856723247084237e-18,3.109376509078489e-18,5.940082988708025e-28,3.3698667598379926e-30,4.3187470462074777e-19,1.8613158694865803e-25,1.6619477958836018e-32
2.91246477864796e-12,0.5731220291072187,3.76,0.0,0.5527235082283829,0.9999999999652054,6.580415494186495e-24,2.364358756140233e-18,1.3606051892706263e-09,1.36060008782872e-09,3.478950752298712e-11,1.026990230336456e-20,1.3151435357291728e-19,5.096143200687707e-15,5.0959186698366044e-15,9.32126804918466e-20,9.320654992427676e-20,3.478951411546599e-11,3.675830603530067e-18,1.7814292193194772e-20,1.3367923139199911e-17,2.3568014044105333e-18,5.2882325740143356e-18,1.2990291888205027e-27,9.123695186159168e-30,7.343702636972574e-19,3.89449420748394e-25,3.634492375174434e-32
3.640581050463926e-12,0.5731220291439133,3.76,0.0,0.5527235078795342,0.9999999999565053,1.198453639302603e-23,3.614399447957819e-18,1.7007565219671733e-09,1.7007487281204433e-09,4.34868834414132e-11,1.5702031896028595e-20,2.0087073692906539e-19,7.785743798286897e-15,7.785381231519273e-15,1.6968964832586972e-19,1.6967524941301726e-19,4.348689350850652e-11,5.615784481484087e-18,3.243020386249353e-20,1.8387496733202797e-17,3.600872115115125e-18,8.079220434614957e-18,2.43715553383197e-27,2.0489331165818084e-29,1.1217399667742752e-18,7.089775524700417e-25,6.818802074103571e-32
5.096813594095859e-12,0.5731220292173025,3.76,0.0,0.5527235071818367,0.9999999999391034,3.1679777664728916e-23,6.960148319155325e-18,2.381059186511726e-09,2.38104419923841e-09,6.088163288487667e-11,3.0247680542719983e-20,3.8602889994966724e-19,1.4971658355787454e-14,1.4970872913203937e-14,4.480272677239195e-19,4.479682794349794e-19,6.088165222136423e-11,1.079871258333243e-17,8.562505882893915e-20,3.0572420923602174e-17,6.925294822121364e-18,1.5536035774273685e-17,6.668500986018716e-27,7.941544379867995e-29,2.156121447927406e-18,1.871908015491413e-24,1.865748149713174e-31
6.553046137727792e-12,0.5731220292906917,3.76,0.0,0.5527235064841393,0.999999999921699,6.574956528489864e-23,1.1430231259099833e-17,3.0613618499310632e-09,3.061337270869694e-09,7.827637916154364e-11,4.969093074798213e-20,6.327065358192489e-19,2.4553400527576327e-14,2.455197090922053e-14,9.288662274563111e-19,9.287064665722578e-19,7.827641083717313e-11,1.7709474999621117e-17,1.7752173353951763e-19,4.5605712997116894e-17,1.1358972319942786e-17,2.5479028682293356e-17,1.405800990148751e-26,2.112640184955526e-28,3.534527939158003e-18,3.880930547654747e-24,3.9332233584729517e-31
9.465511224991657e-12,0.5731220294374701,3.76,0.0,0.5527235050887445,0.999999999886883,1.9805040467227553e-22,2.3766480545268695e-17,4.421967173394777e-09,4.4219162167273965e-09,1.1306586227266323e-10,1.0339558707208695e-19,1.3100235615924869e-18,5.090323688538904e-14,5.0899639822096055e-14,2.790928433275209e-18,2.7901936682988477e-18,1.130659277780982e-10,3.671319148431577e-17,5.3339829142264825e-19,8.423965322195667e-17,2.3555890319024297e-17,5.282245296509847e-17,4.288127926893105e-26,9.466364603236752e-28,7.32100560788231e-18,1.1661049099989937e-23,1.1997545758611096e-30
1e-11,0.5731220297310267,3.76,0.0,0.5527235048326649,0.9999999998804926,2.36575435485756e-22,2.652761917380587e-17,4.671662276819383e-09,4.67160543773548e-09,1.1945034542036442e-10,1.1542642556761537e-19,1.4608282028393223e-18,5.677942742203051e-14,5.6775255241541353e-14,3.3311530254353695e-18,3.3301807773825796e-18,1.194504184461206e-10,4.095093653460304e-17,6.366474033547599e-19,9.257564077792181e-17,2.6276874113980376e-17,5.892025416149277e-17,5.126726783018556e-26,1.2427327323062165e-27,8.164458143789372e-18,1.3918277893682717e-23,1.4343820065463613e-30
1.529044139951939e-11,0.5731220297310267,3.76,0.0,0.5527235022979547,0.9999999998172223,8.561804598711526e-22,6.217453992129164e-17,7.143177806824619e-09,7.143045319328451e-09,1.8264479109235377e-10,2.7089113821241063e-19,3.39685227373423e-18,1.3234731689064104e-13,1.3233448560812068e-13,1.1998660416624036e-17,1.199313028808882e-17,1.826449604998389e-10,9.544548509926142e-17,2.2932207342598866e-18,1.959273677019761e-16,6.128237760889089e-17,1.3733852601092037e-16,1.8606541746333965e-25,6.868904023835618e-27,1.8998090421773656e-17,5.0134364503186026e-23,5.2058321381872456e-30
2.6940301748574856e-11,0.5731220303181402,3.76,0.0,0.5527234967163754,0.9999999996777857,4.8768796834145046e-21,1.951557297038401e-16,1.2585599019723621e-08,1.2585188371288328e-08,3.21802502093224e-10,8.527424526103511e-19,1.0470068676729045e-17,4.1020588200795535e-13,4.1014380815418263e-13,6.756069125186502e-17,6.750181059487155e-17,3.218030213243599e-10,2.9577857714480197e-16,1.2913043706713964e-17,5.581989649509081e-16,1.9018195907707024e-16,4.256841898569646e-16,1.0519308460831687e-24,7.044431734862357e-26,5.865225245187075e-17,2.8230977252768365e-22,2.94314259629756e-29
5.024002244668579e-11,0.5731220314923671,3.76,0.0,0.552723485553217,0.9999999993984515,3.313412281003684e-20,6.955330829234319e-16,2.3470441230101724e-08,2.3469013880721817e-08,6.001173614192622e-10,3.0548557932578466e-18,3.598636018316998e-17,1.4257541542374345e-12,1.4253814042964184e-12,4.485576358354211e-16,4.477946708676228e-16,6.001191246685307e-10,1.0276773932488917e-15,8.574253833615457e-17,1.84803866858905e-15,6.626832821000396e-16,1.4796100462864462e-15,6.994565138906401e-24,8.882993943507239e-25,2.0224499311980922e-16,1.8746021374684465e-21,1.9569694843118472e-28
