Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144)
4.1068206876412566e-14,0.14484061187641623,3.76,0.0,0.5817461166794973,0.9999999999999747,9.995841579116843e-30,7.744315506763417e-23,3.617896181939659e-13,3.617895691038898e-13,2.5351854525097598e-14,4.445315847436124e-25,5.853391775327191e-24,4.893154373533015e-20,4.893126450140138e-20,1.2914791177247199e-26,2.610105802329726e-26,2.5351855729265513e-14,1.1209665347857819e-21,1.3703276647721704e-16,2.1000035013562723e-22,7.746312238548683e-23,1.525139460875541e-22,1.9276691766752122e-30,4.414404505888744e-37,6.050432478022825e-24,6.569115162650354e-32,2.2733393866864147e-35,1.3703276643325522e-16,1.0938120164592111e-31,2.334723297017761e-42,2.506476276679852e-28,4.215834889272387e-27
8.215424623518572e-14,0.14484061187642605,3.76,0.0,0.5817461166791098,0.9999999999999494,7.99988786341228e-29,3.0988082643737046e-22,7.237363313150771e-13,7.237361348908527e-13,5.071471482717753e-14,1.7808023288100165e-24,2.3417953125784932e-23,1.9578979097257671e-19,1.9578872060797844e-19,1.0335754397887601e-25,1.5611804239376017e-25,5.0714719645470884e-14,4.485324253733115e-21,2.741250348343449e-16,7.374137756978039e-22,3.0995401360531286e-22,6.102543739451165e-22,7.714461147845466e-30,2.142221443093102e-36,2.4208979840120188e-23,5.257288063367494e-31,9.33773187858796e-35,2.74125034640134e-16,4.37753821196963e-31,1.9148448356298778e-41,1.0076717105441726e-27,1.6863861260375824e-26
1.6432632495273203e-13,0.1448406118764457,3.76,0.0,0.5817461166783349,0.9999999999998986,6.40140846252428e-28,1.2397837518107882e-21,1.447629757556024e-12,1.4476289717314057e-12,1.0144042820001445e-13,7.141140821300575e-24,9.366116019298552e-23,7.832861205924827e-19,7.832817857224756e-19,8.270168099490207e-25,1.0380689112352704e-24,1.0144044747632274e-13,1.7944201584595488e-20,5.483095717404918e-16,2.7444563599533116e-21,1.2400228741891152e-21,2.4414143173117875e-21,3.0873057888654183e-29,1.2276511595613558e-35,9.684663384571655e-23,4.206628328453528e-30,3.928862672108982e-34,5.48309570817047e-16,1.751992757463347e-30,1.6063505057658528e-40,4.069355509835766e-27,6.742669507658612e-26
3.286704823878246e-13,0.14484061187648495,3.76,0.0,0.5817461166767851,0.9999999999997972,5.122065405282599e-27,4.960007967286985e-21,2.895416610032817e-12,2.8954134664799808e-12,2.028918260212541e-13,2.870097044648328e-23,3.7446806627912106e-22,3.1333960660509614e-18,3.133377447001354e-18,6.6167534402177984e-24,7.460671963893814e-24,2.0289190313188497e-13,7.178251929001946e-20,1.0966786470894667e-15,1.0567708397461874e-20,4.9605351030321425e-21,9.766447654746498e-21,1.2358380842418206e-28,8.994180834429045e-35,3.873776708220831e-22,3.365620782032614e-29,1.726214913371774e-33,1.0966786422234945e-15,7.014081236034824e-30,1.4039044731797392e-39,1.6582369980580654e-26,2.6941138114073083e-25
6.573587972580098e-13,0.14484061187656352,3.76,0.0,0.5817461166736856,0.9999999999995942,4.09857068993256e-26,1.9844594119867937e-20,5.790990314966005e-12,5.790977740254686e-12,4.0579450597285866e-13,1.1587959633077437e-22,1.4962791810843037e-21,1.2534068666170284e-17,1.2533982248681687e-17,5.293639247261675e-23,5.630670185361294e-23,4.0579481441919577e-13,2.8714073065779403e-19,2.193416810087051e-15,4.14533114279469e-20,1.9843267074908654e-20,3.906734493177526e-20,4.950075840217704e-28,8.653276212547399e-34,1.54925067262654e-21,2.692622174517924e-28,8.141524159346313e-33,2.1934167812468773e-15,2.8101787116392964e-29,1.3130991113253394e-38,6.875326573995904e-26,1.07515883122357e-24
1e-12,0.14484061187672057,3.76,0.0,0.5817461166704544,0.9999999999993826,1.9058958507983577e-25,5.0891595326306153e-20,8.809481730653442e-12,8.8094494926918e-12,6.173102060492026e-13,3.0153491042629233e-22,3.829161603054977e-21,3.2133709073242204e-17,3.21334359579927e-17,2.460828343524586e-22,2.546784577461401e-22,6.173109967803049e-13,7.361434864750453e-19,3.336711789321636e-15,1.0543215726611682e-19,5.0873866115694254e-20,1.0015749755221414e-19,1.2717794600227237e-27,5.818310857178196e-33,3.970495070120166e-21,1.2517105638693259e-27,2.6028128700439355e-32,3.3367116762890502e-15,7.222986098789828e-29,7.687915736300307e-38,1.8629341893689885e-25,2.7459208679734857e-24
1.3147354269983802e-12,0.14484061187672057,3.76,0.0,0.5817461166674864,0.9999999999991883,3.2800925353463086e-25,7.941003123982235e-20,1.158213772475087e-11,1.1582087424975769e-11,8.115994031675011e-13,4.720698726222164e-22,5.97204675329431e-21,5.013709320559228e-17,5.0136648597833895e-17,4.2349882335727457e-22,4.368941947784036e-22,8.116006369045826e-13,1.148578047598169e-18,4.386893234503692e-15,1.6420036494983409e-19,7.93772357074457e-20,1.5627227626686924e-19,1.9852885947008006e-27,1.0367907581679624e-32,6.194545719062171e-21,2.154145231209704e-27,4.2457991988162957e-32,4.38689304413559e-15,1.1276400592265822e-28,1.3543547272851619e-37,2.9426073287885495e-25,4.280610796800093e-24
2.629488686479121e-12,0.14484061187703476,3.76,0.0,0.5817461166550881,0.9999999999983765,2.6259582160301423e-24,3.1788367339023763e-19,2.316443254399563e-11,2.3164231343596102e-11,1.6232073471625185e-12,1.9562154032973643e-21,2.3783543468758257e-20,2.005488074656672e-16,2.005462307538284e-16,3.38799289516646e-21,3.440212138462166e-21,1.6232122815665715e-12,4.594292983237555e-18,8.773846870800817e-15,6.537534718048383e-19,3.1753256903966017e-19,6.250932006843175e-19,7.982979199302952e-27,1.4251748722398851e-31,2.4757794373696273e-20,1.7233308140096917e-26,2.4896377522478287e-31,8.773845509280802e-15,4.53897192304492e-28,1.569560035668442e-36,1.328990679300678e-24,1.696381225018458e-23
3.944241945959862e-12,0.14484061187734895,3.76,0.0,0.5817461166426898,0.9999999999975646,7.5116659044926e-24,6.758577893272163e-19,3.47467273629171e-11,3.4746299811886126e-11,2.4348134412038153e-12,4.2562170533616106e-21,5.0386909020316506e-20,4.2616513453832775e-16,4.261584846834734e-16,9.687509454349261e-21,9.795658670504342e-21,2.4348239259679287e-12,9.762804947495847e-18,1.3160801688334237e-14,1.3875211852970544e-18,6.747886560367046e-19,1.3283237011185253e-18,1.703432461693568e-26,5.248808894559942e-31,5.25801836909068e-20,4.9276544993375427e-26,6.625814132419766e-31,1.3160797913793805e-14,9.693211478534073e-28,5.385956823639852e-36,3.0448772137935656e-24,3.581746389363545e-23
6.573748464921343e-12,0.1448406118779773,3.76,0.0,0.5817461166178932,0.9999999999959407,3.456321106539042e-23,1.8710695189439945e-18,5.7911316999489127e-11,5.791013495107699e-11,4.058018233004634e-12,1.2466989497963291e-20,1.3822467805935327e-19,1.178207817943305e-15,1.178181055675912e-15,4.451948552433518e-20,4.478575069946943e-20,4.058047214113339e-12,2.6990670836202483e-17,2.1934719198437667e-14,3.833159843293993e-18,1.865810391000753e-18,3.672411114649082e-18,4.757078817303643e-26,4.100224554353878e-30,1.4515369623163725e-19,2.264561572674203e-25,2.7336862802662778e-30,2.1934702480290963e-14,2.7122239846702608e-27,3.686966611176985e-35,9.955862189131486e-24,9.741786190482404e-23
8.927585623003863e-12,0.14484061187853975,3.76,0.0,0.5817461165956962,0.9999999999944867,7.748153288057761e-23,3.324735476879417e-18,7.864740243700192e-11,7.86453038988354e-11,5.511045330048822e-12,2.2943219310733018e-20,2.441459864250102e-19,2.0917092759445414e-15,2.0916519871330984e-15,9.973285393681046e-20,1.0015658020546447e-19,5.511096774281095e-12,4.7917027544111484e-17,2.9788814745570324e-14,6.804655492957697e-18,3.3127107644759445e-18,6.5197800049077975e-18,8.506000140196657e-26,1.1712856174849367e-29,2.5744729349956416e-19,5.073123961266258e-25,6.000639082632805e-30,2.9788777734223595e-14,4.856272444141629e-27,9.846711851322962e-35,1.943910923532656e-23,1.7110685317175935e-22
1e-11,0.14484061187910222,3.76,0.0,0.5817461165855832,0.9999999999938242,1.0882528100646251e-22,4.173171347690024e-18,8.809481729675722e-11,8.809218457517363e-11,6.1730454271007916e-12,2.936138840032044e-20,3.0540166277945125e-19,2.6241468077644633e-15,2.6240678987026205e-15,1.4001616928083352e-19,1.4050397854341321e-19,6.1731099613571794e-12,6.011388851177803e-17,3.336716661557562e-14,8.537386179619902e-18,4.156150687365378e-18,8.179392045455408e-18,1.0715308139755914e-25,1.845464289937298e-29,3.2280098306283543e-19,7.1222548907441005e-25,8.363634988840242e-30,3.336711490626928e-14,6.1224040254610164e-27,1.5290965145459828e-34,2.5633796988968868e-23,2.133599213296628e-22
1.1281422781086382e-11,0.14484061187910222,3.76,0.0,0.5817461165734992,0.9999999999930325,1.4627777488820687e-22,5.186963289003667e-18,9.938348787349277e-11,9.938021685871334e-11,6.964066159049489e-12,3.703042777603126e-20,3.785957758342393e-19,3.260353853673837e-15,3.2602491106787784e-15,1.8815050903493751e-19,1.8871489075873935e-19,6.964146334512734e-12,7.468785901885891e-17,3.7642922054263074e-14,1.0607817743206076e-17,5.163972994536997e-18,1.0162454490477653e-17,1.3355199642331146e-25,2.651037143056687e-29,4.0089179239065996e-19,9.570751582681941e-25,1.1187167431877396e-29,3.7642852782435484e-14,7.635298562272541e-27,2.179627722142493e-34,3.3035799591235996e-23,2.6384790924716175e-22
1.3635259939168902e-11,0.14484061187966465,3.76,0.0,0.5817461165513022,0.999999999991578,2.443249646648236e-22,7.434787977856478e-18,1.2011957330905474e-10,1.2011488877519546e-10,8.417081088354412e-12,5.47502027263193e-20,5.395499970622239e-19,4.6692432276329435e-15,4.6690721529223805e-15,3.1405367607046966e-19,3.1470953151145517e-19,8.417195895073949e-12,1.0696178756230737e-16,4.549704264114977e-14,1.519497369152565e-17,7.396068808801758e-18,1.4554005119244548e-17,1.9262641547967153e-25,5.19990334252738e-29,5.735941617318388e-19,1.597525166838207e-24,1.8601783008062704e-29,4.549692763693432e-14,1.1027315306297425e-26,4.150729776756016e-34,5.0986141998378496e-23,3.7402695288857842e-22
