Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245)
2.0692104224516586e-17,0.1858651862263125,3.76,0.0,0.8445810234287046,0.9999999997289318,2.6847412754841994e-36,1.4654217474881057e-26,4.3293985826252254e-13,4.3293985820244204e-13,6.5323972344779215e-15,3.794294900644726e-28,4.716130182885448e-27,6.096125324336998e-23,6.00360916104806e-23,2.2283194799897179e-32,2.4397423038939556e-28,6.532397233611135e-15,3.6132171331807576e-26,1.962083933836112e-15,5.772236946019321e-21,1.5075168726370323e-26,3.9543789287522703e-26,7.157516715261011e-31,3.6584562563409466e-35,7.897286873974681e-27,2.7142087014556206e-37,1.9671506175882323e-35,1.962083933834962e-15,1.8814725914774635e-31,2.6217098082961095e-46,2.836540091138116e-29,4.235750737902608e-28,2.710615194274663e-10,6.137231757606271e-47
4.138422598996213e-17,0.18586518622632697,3.76,0.0,0.8445810234282631,0.9999999994578636,2.1477952358237014e-35,5.861692536351017e-26,8.658800835325965e-13,8.658800832922744e-13,1.3064800004058797e-14,1.5177191469343127e-27,1.88645316414087e-26,2.4200055235145946e-22,2.4014451894895235e-22,1.7826569050746557e-31,9.759866696075842e-28,1.3064800002436265e-14,1.4452877674186057e-25,3.924169530951423e-15,1.154457463218312e-20,6.030071463320621e-26,1.5817525765884e-25,2.86300851326185e-30,1.4634161952755923e-34,3.1589166163238586e-26,2.1713685710474428e-36,7.868746940467537e-35,3.924169530946823e-15,7.525895268656928e-31,2.0974040490207572e-45,1.134618302944768e-28,1.6943012098038108e-27,5.421232034333492e-10,4.9097893330433714e-46
8.276846952085322e-17,0.1858651862263558,3.76,0.0,0.8445810234273803,0.9999999989157274,1.7182378216146486e-34,2.344679215602448e-25,1.7317605340714686e-12,1.73176053311018e-12,2.612960553577009e-14,6.070880291511034e-27,7.545814188208686e-26,9.643132847971634e-22,9.605783797734197e-22,1.4261260510568694e-30,3.904660940403867e-27,2.6129605532969192e-14,5.781152869509594e-25,7.848340725177936e-15,2.3089537545604555e-20,2.4120294632566536e-25,6.327012313146382e-25,1.1452037748796418e-29,5.853928741505344e-34,1.2635669348855971e-25,1.7370954999245732e-35,3.1476113506962154e-34,7.848340725159537e-15,3.0103591587593478e-30,1.6779792961979707e-44,4.538487015478363e-28,6.777205693110404e-27,1.0842463758346872e-09,3.9278333793855056e-45
1.2415271305174432e-16,0.18586518622638468,3.76,0.0,0.8445810234264974,0.9999999983735914,4.91308837454635e-34,4.9824459368362695e-25,2.597640984609066e-12,2.597640982566327e-12,3.919441106003093e-14,1.2900624430425093e-26,1.6034855374834803e-25,2.0468601504829478e-21,2.0412292457407725e-21,4.077829562388288e-30,8.298452523290539e-27,3.9194411056384776e-14,1.228495094000198e-24,1.177251191940034e-14,3.46347880002148e-20,5.125563251676077e-25,1.3444902415232756e-24,2.4335582584740353e-29,1.2440042032737002e-33,2.6850798211112777e-25,4.967007916159412e-35,6.688863027158385e-34,1.1772511919361236e-14,6.39701396964825e-30,4.798074947722637e-44,9.644303964298872e-28,1.4401561533540605e-26,1.626369352625668e-09,1.123115050742058e-44
1.655369565826354e-16,0.18586518622641351,3.76,0.0,0.8445810234256146,0.9999999978314557,1.036312997337824e-33,8.499470372408273e-25,3.463521435145388e-12,3.4635214316607158e-12,5.2259216576841314e-14,2.2006952727176555e-26,2.735357615421448e-25,3.489641148419371e-21,3.482097115846372e-21,8.601324004844505e-30,1.4157829337987426e-26,5.225921657268303e-14,2.095668195340725e-24,1.5696683113618635e-14,4.6180325996108844e-20,8.743608584297282e-25,2.2935422879244283e-24,4.1513643069439976e-29,2.1221985408392603e-33,4.580430245813977e-25,1.0476858775719207e-34,1.1410727351172125e-33,1.569668311355193e-14,1.091255404206989e-29,1.0120737331770142e-43,1.6452077260818756e-27,2.4567367876938835e-26,2.168492133806362e-09,2.368975237552971e-44
2.483054436444176e-16,0.18586518622647122,3.76,0.0,0.8445810234238489,0.9999999967471843,2.830493774419893e-33,1.7597086228894473e-24,5.1952823362150385e-12,5.195282329000468e-12,7.838882759297633e-14,4.5562616563628444e-26,5.663210070141463e-25,7.220650594145296e-21,7.209240107232389e-21,2.3492884714584637e-29,2.931767328146445e-26,7.838882758857562e-14,4.3388149785660085e-24,2.3545025502045583e-14,6.927207682997982e-20,1.8102532690263305e-24,4.748488199034423e-24,8.59487295263967e-29,4.394024957126406e-33,9.483198556055984e-25,2.8615552139998145e-34,2.362566414317763e-33,2.354502550190747e-14,2.2593059103717147e-29,2.7643899035656814e-43,3.406203636091466e-27,5.086360664331639e-26,3.2527372370826024e-09,6.470407596792899e-44
3.310739307061998e-16,0.18586518622652887,3.76,0.0,0.8445810234220832,0.9999999956629139,5.9223425900813846e-33,2.9928054226697928e-24,6.927043237280001e-12,6.927043225009905e-12,1.045184385817134e-13,7.74901019692868e-26,9.631636159763957e-25,1.227636941530745e-20,1.2261029487750274e-20,4.9154974567736337e-29,4.9870883883946454e-26,1.0451843857829526e-13,7.379188004178625e-24,3.1393367890457417e-14,9.236488505649339e-20,3.0787668946973556e-24,8.075934912322399e-24,1.4617628217307438e-28,7.473564281460382e-33,1.6128435873050923e-24,5.987330868497262e-34,4.0183104731952896e-33,3.1393367890222525e-14,3.842487871687105e-29,5.78422924623724e-43,5.793076334527955e-27,8.650565823505227e-26,4.3369816210306396e-09,1.3538259651273619e-43
4.966109048297641e-16,0.1858651862266443,3.76,0.0,0.8445810234185517,0.9999999934943751,1.870095638033677e-32,6.520722799674215e-24,1.0390565039394527e-11,1.0390565012660488e-11,1.5677766046922232e-13,1.6883525667314025e-25,2.0985366073176836e-24,2.6737689564057533e-20,2.671428392957567e-20,1.5521625812946036e-28,1.087066052764008e-25,1.5677766047179184e-13,1.6077746265849395e-23,4.7090052667231505e-14,1.3855397362128739e-19,6.708006252229221e-24,1.7595815982670023e-23,3.1848832831506726e-28,1.628584363051117e-32,3.514056657543838e-24,1.890614537294944e-33,8.75613108143924e-33,4.709005266671967e-14,8.371998730454388e-29,1.8266667985561246e-42,1.2622015911083723e-26,1.884781086257421e-25,6.50546802690725e-09,4.2749669542313834e-43
6.621478789533285e-16,0.18586518622675968,3.76,0.0,0.8445810234150202,0.9999999913258395,4.253606054862468e-32,1.1448211599938004e-23,1.3854086841488757e-11,1.385408679455278e-11,2.0903688223813904e-13,2.9641810176945528e-25,3.6843231922769275e-24,4.6933037643078483e-20,4.69012936628704e-20,3.530450904552599e-28,1.9093275431474607e-25,2.0903688225199863e-13,2.8227112210852174e-23,6.278673744394025e-14,1.8474763913805171e-19,1.1777003139825686e-23,3.0892332214569447e-23,5.591583491381474e-28,2.8596548270413444e-32,6.169499808957795e-24,4.300272337716502e-33,1.537455956858039e-32,6.278673744304158e-14,1.4698414256371288e-28,4.155183845855792e-42,2.2160152524379444e-26,3.3090399317417847e-25,8.673951319165786e-09,9.723573283221805e-43
9.932218272004572e-16,0.18586518622699044,3.76,0.0,0.8445810234079573,0.9999999869887777,1.4201949944298826e-31,2.5521277814968868e-23,2.0781130445616043e-11,2.07811303409829e-11,3.135553254185577e-13,6.607980740645268e-25,8.213360294132678e-24,1.0460506540326922e-19,1.0455582304216828e-19,1.1787446196410145e-27,4.2603306850961325e-25,3.1355532547097784e-13,6.29259588060198e-23,9.418010699716088e-14,2.771487643152065e-19,2.6254170310492462e-23,6.886746569159918e-23,1.2465170840611999e-27,6.376912045561748e-32,1.3753497880864314e-23,1.4357720965322408e-32,3.4282439461247356e-32,9.418010699515717e-14,3.2766796457096805e-28,1.387619510715373e-41,4.9401725818120323e-26,7.376748783733587e-25,1.3010908519819463e-08,3.246503025022646e-42
