Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56)
7.538572408268125e-21,0.15401036957389955,3.76,0.0,0.9476313925906564,0.9999999999997237,4.4854192896595185e-45,3.394135403548762e-32,2.5443385309794964e-15,2.5443385309792644e-15,2.6091355412400965e-17,1.7656561116617297e-33,2.0542613493997244e-32,1.443631310233195e-26,2.315536231884241e-28,4.11323917919562e-41,1.4088238505254237e-33,2.609135539819632e-17,5.045284105087654e-32,2.423615297115991e-17,1.8559059795656115e-22,3.614740821376901e-32,8.648509318413174e-32,1.8419561421046078e-35,7.105186899964338e-39,3.443018746273309e-32,8.586812578027416e-46,5.545528825538587e-40,2.4236152971159905e-17,7.456038316462774e-36,2.682041256228771e-54,5.0139415347182174e-34,6.591541210771203e-33,2.762165594934469e-13,6.783800629087664e-54,9.188692628236898e-48,1.3044411772007263e-47,1.5150824082446615e-46
1.5083694401599907e-20,0.15401036957389963,3.76,0.0,0.9476313925906539,0.9999999999994472,3.591062760019454e-44,1.3585386991763355e-31,5.09088760803281e-15,5.090887608031883e-15,5.220537924826059e-17,7.067225879567247e-33,8.222398956934886e-32,2.9348728698820807e-26,9.26817938910807e-28,3.2930923688669817e-40,5.63896706767381e-33,5.2205379219839154e-17,2.0194284810125783e-31,4.8493362547855056e-17,3.7134243907949167e-22,1.4468383572405594e-31,3.4616575939394153e-31,7.372624844664053e-35,2.843926440852738e-38,1.3781047750446473e-31,6.874671212075573e-45,2.21965676100031e-39,4.8493362547855025e-17,2.9843584262691647e-35,2.147263822747064e-53,2.0068832857323532e-33,2.6383342894228404e-32,5.526730985919036e-13,5.431165344598356e-53,7.3584064536626915e-47,1.0446108901082532e-46,1.2132947124968528e-45
3.017393838826347e-20,0.15401036957389974,3.76,0.0,0.9476313925906487,0.9999999999988942,2.8739416074424986e-43,5.435924379651896e-31,1.01839857621394e-14,1.0183985762135692e-14,1.0443342691994994e-16,2.82781090086359e-32,3.2900305996395397e-31,6.056484408433153e-26,3.7084789919106625e-27,2.635474733089488e-39,2.2563214683133434e-32,1.0443342686309544e-16,8.080344351405135e-31,9.700778170124509e-17,7.428461220725096e-22,5.789238023553338e-31,1.385113939357192e-30,2.9500102667254525e-34,1.1379410274959272e-37,5.5142141644114135e-31,5.501826322582673e-44,8.881518474998008e-39,9.700778170124492e-17,1.1941321012108748e-34,1.7184636904982703e-52,8.03014723723016e-33,1.0556773746437321e-31,1.1055861766998278e-12,4.346582917903811e-52,5.8897075601493075e-46,8.36112098242693e-46,9.71127524569014e-45
6.035442636159058e-20,0.15401036957390002,3.76,0.0,0.9476313925906382,0.9999999999977883,2.2995899415978987e-42,2.1747237214746074e-30,2.0370182070352415e-14,2.0370182070337575e-14,2.0888952226320894e-16,1.1313084965221707e-31,1.3162264736258021e-30,1.2856221162545992e-25,1.4836330784111527e-26,2.1087802072250828e-38,9.02675615588293e-32,2.088895221494905e-16,3.232663900944833e-30,1.940366200080241e-16,1.4858534910471717e-21,2.316072182248455e-30,5.5413576894534686e-30,1.1801961998243411e-33,4.552505193348376e-37,2.2060447295362093e-30,4.402296977842273e-43,3.553185875116777e-38,1.9403662000802337e-16,4.7773059771031575e-34,1.3750321031100263e-51,3.2125817928916885e-32,4.223396913750273e-31,2.2114123325597202e-12,3.477926732562319e-51,4.7129592983127714e-45,6.690590744246115e-45,7.770987695275345e-44
1.2071540230824483e-19,0.15401036957390057,3.76,0.0,0.9476313925906175,0.9999999999955764,1.8398466383133255e-41,8.699602896400653e-30,4.0742574686777807e-14,4.0742574686718434e-14,4.178017129492482e-16,4.525602285804624e-31,5.2653343916162936e-30,2.8681749378794444e-25,5.935015311316421e-26,1.6871843511883468e-37,3.6109971725032944e-31,4.178017127218106e-16,1.2931707999231397e-29,3.880942966215778e-16,2.971868240951002e-21,9.265042730058958e-30,2.2167234750287135e-29,4.7211690129368664e-33,1.8211503649766427e-36,8.824897095084099e-30,3.522171985899948e-42,1.4213901485424636e-37,3.880942966215749e-16,1.911077916447995e-33,1.1001302211349258e-50,1.2851373079332787e-31,1.6894962579373377e-30,4.42306464285568e-12,2.782605573953773e-50,3.7708447968864496e-44,5.353150261502326e-44,6.217577251790346e-43
2.414373542015533e-19,0.1540103695739017,3.76,0.0,0.9476313925905759,0.9999999999911527,1.471947194984775e-40,3.479982782388148e-29,8.1487359919626e-14,8.148735991938847e-14,8.356260943194118e-16,1.8103145777957422e-30,2.106219458367442e-29,6.923702464322236e-25,2.3741027274864405e-25,1.3498115585288382e-36,1.4444583192817774e-30,8.356260938645708e-16,5.172893686071373e-29,7.762096498486682e-16,5.9438977885766845e-21,3.7061678989792977e-29,8.867254711421497e-29,1.8885444506469544e-32,7.284898529016383e-36,3.530102477137805e-29,2.8178713573045174e-41,5.685792945276919e-37,7.762096498486563e-16,7.644622728716047e-33,8.801461021258088e-50,5.140758450564843e-31,6.75826002330232e-30,8.846369257752303e-12,2.226190140587774e-49,3.016866792270014e-43,4.282791292274226e-43,4.9743766588627706e-42
4.828812579881702e-19,0.1540103695739039,3.76,0.0,0.9476313925904928,0.9999999999823053,1.1775857210088961e-39,1.3920214515735736e-28,1.6297693038531214e-13,1.6297693038436205e-13,1.6712748570520788e-15,7.241405648017135e-30,8.425049233937894e-29,1.8596445049852145e-24,9.496604119192688e-25,1.0798748785268706e-35,5.777956229042585e-30,1.6712748561425705e-15,2.0691995722889545e-28,1.5524403563027807e-15,1.1887957075100149e-20,1.48249732261841e-28,3.546974048086818e-28,7.554331496334065e-32,2.914019213108736e-35,1.4120697180689586e-28,2.254350594689837e-40,2.2743642458583974e-36,1.5524403563027337e-15,3.0579113056869414e-32,7.04133824278244e-49,2.0563452486016136e-30,2.703359006120456e-29,1.7692978464764354e-11,1.7809943871592562e-48,2.413569817748772e-42,3.4263414704916615e-42,3.9796272738807086e-41
9.657690655614042e-19,0.15401036957390835,3.76,0.0,0.9476313925903266,0.9999999999646104,9.420797798304864e-39,5.568142590823597e-28,3.259560713166433e-13,3.259560713128429e-13,3.342572382486773e-15,2.8965917326468623e-29,3.3700539691537855e-28,5.618868035046476e-24,3.798680289780509e-24,8.639101556208295e-35,2.3112103216188803e-29,3.3425723806684888e-15,8.276882484307686e-28,3.1049017692107333e-15,2.3776076413235465e-20,5.930049625852794e-28,1.4188040520446105e-27,3.021763337609074e-31,1.1656199549493152e-34,5.648336318267489e-28,1.8035018795497642e-39,9.097555893372344e-36,3.104901769210546e-15,1.2231769656321687e-31,5.633141118135284e-48,8.225464922818958e-30,1.0813545999138478e-28,3.5386196787663695e-11,1.4248124214132398e-47,1.93088640775402e-41,2.741116551938551e-41,3.18375219854887e-40
1.931544680707872e-18,0.15401036957391723,3.76,0.0,0.9476313925899942,0.9999999999292206,7.536683320886499e-38,2.2272684787165172e-27,6.519143531791412e-13,6.519143531639394e-13,6.685167433233601e-15,1.1586425924216933e-28,1.348028438951639e-27,1.8836015146170472e-23,1.5194798442953605e-23,6.911322256132485e-34,9.244922861964296e-29,6.6851674295999996e-15,3.310769831773683e-27,6.209824595025548e-15,4.7552318149859736e-20,2.372031924501709e-27,5.675245073748855e-27,1.2087114829281522e-30,4.6625068337132466e-34,2.2593460093985067e-27,1.442810065173931e-38,3.6390459583148617e-35,6.2098245950247974e-15,4.892732752606481e-31,4.506545508580603e-47,3.2902029076176515e-29,4.325440378747408e-28,7.077263306896331e-11,1.139856704385198e-46,1.5447213469435361e-40,2.192910592244418e-40,2.5470219107055484e-39
3.863095911000808e-18,0.154010369573935,3.76,0.0,0.9476313925893294,0.999999999858441,6.0293651214268665e-37,8.909097483137046e-27,1.303830916903479e-12,1.3038309168426716e-12,1.3370357534237017e-14,4.6345822056286535e-28,5.392127427568404e-27,6.806510956586719e-23,6.077934833406744e-23,5.52907420893866e-33,3.698006192125021e-28,1.3370357526981717e-14,1.3243112994833238e-26,1.2419670246650809e-14,9.51048138645234e-20,9.488151902630233e-27,2.270103802484214e-26,4.83485822784559e-30,1.8650101157981982e-33,9.037406944564486e-27,1.154251476696714e-37,1.4556261586440033e-34,1.2419670246647813e-14,1.957098081671044e-30,3.605256499457262e-46,1.3160846729389917e-28,1.7301805345773797e-27,1.4154550417356628e-10,9.118880744752219e-46,1.2357819646297265e-39,1.754335414648426e-39,2.037625589237744e-38
7.72619837158668e-18,0.1540103695739705,3.76,0.0,0.9476313925879998,0.9999999997168819,4.823500173857969e-36,3.5636442536711785e-26,2.6076640443495237e-12,2.6076640441062934e-12,2.67407377342829e-14,1.8538352791942647e-27,2.1568536807036497e-26,2.577024991425986e-22,2.4311770241508723e-22,4.423265927993466e-32,1.479226472096412e-27,2.674073771981994e-14,5.297251924738371e-26,2.483936154988388e-14,1.9020985425951615e-19,3.79526564698096e-26,9.080426754780992e-26,1.9339457506368286e-29,7.460071063984065e-33,3.6149673134140416e-26,9.234025510746708e-37,5.822544626153443e-34,2.483936154987189e-14,7.82840230876668e-30,2.884224511694837e-45,5.264346689039002e-28,6.920730802477913e-27,2.830912405507875e-10,7.295115504587136e-45,9.886275245536617e-39,1.403471108943571e-38,1.6301036954992279e-37
1.5452403292758423e-17,0.15401036957404154,3.76,0.0,0.9476313925853406,0.9999999994337637,3.8588044750832943e-35,1.4254591909579453e-25,5.215330299231087e-12,5.215330298258166e-12,5.348149812653083e-14,7.415346148679707e-27,8.627419944737173e-26,1.0016940808257564e-21,9.724714274500689e-22,3.5386153654836127e-31,5.917086565091383e-27,5.348149809779551e-14,2.1189021098570133e-25,4.9678744156280207e-14,3.8042013091220102e-19,1.5181072719777464e-25,3.632173009972066e-25,7.73578792370132e-29,2.9840472146796336e-32,1.44598779583501e-25,7.387225885742899e-36,2.3290454015241203e-33,4.967874415623224e-14,3.131362936575898e-29,2.307405374343823e-44,2.1057410570662788e-27,2.7682939722272464e-26,5.661826899772932e-10,5.836096871025923e-44,7.909027976095346e-38,1.1227779994512526e-37,1.3040842457779212e-36
3.090481313510191e-17,0.1540103695741836,3.76,0.0,0.947631392580022,0.9999999988675274,3.0870470829585814e-34,5.7018432420568e-25,1.0430662808952118e-11,1.0430662805060426e-11,1.0696301887965137e-13,2.9661396562641903e-26,3.450968864333261e-25,3.948544450953598e-21,3.889886942433982e-21,2.830893339622276e-30,2.3669769103453515e-26,1.0696301882294322e-13,8.475611076151335e-25,9.935750936879358e-14,7.608414676686739e-19,6.072431402274626e-25,1.4528696648725332e-24,3.094316155434871e-28,1.193632778834938e-31,5.7839526310892365e-25,5.909782896688267e-35,9.31639313019381e-33,9.935750936860169e-14,1.2525455905656088e-28,1.8459634696840717e-43,8.422975247112982e-27,1.1073178538593607e-25,1.1323654955185723e-09,4.668879449905458e-43,6.327225441958696e-37,8.982228467284196e-37,1.0432679119479117e-35
6.180963281978888e-17,0.15401036957446776,3.76,0.0,0.9476313925693851,0.9999999977350552,2.4696418971120446e-33,2.2807413918642148e-24,2.0861327828225765e-11,2.0861327812658995e-11,2.1392606026039128e-13,1.1864562541933454e-25,1.3803875966638956e-24,1.567771399139737e-20,1.555955021143507e-20,2.2647150873911217e-29,9.469041401719154e-26,2.1392606015002484e-13,3.3902449232446335e-24,1.987150397927032e-13,1.5216872749884704e-18,2.4289732541764873e-24,5.811479575430835e-24,1.2377266607434578e-27,4.774639982502954e-31,2.313581107433554e-24,4.72782718816409e-34,3.726724694473173e-32,1.987150397919356e-13,5.010183300703398e-28,1.47683262656518e-42,3.3691973073700924e-26,4.429271423143783e-25,2.264730733354324e-09,3.7351046069847436e-42,5.0617814967434424e-36,7.185784598475812e-36,8.3461453500687e-35
9.271445250447586e-17,0.1540103695747519,3.76,0.0,0.9476313925587482,0.9999999966025833,7.06163883266459e-33,4.846581165962746e-24,3.129199284733101e-11,3.1291992814251627e-11,3.2088910151563015e-13,2.521219956083615e-25,2.933323532297088e-24,3.324235230186198e-20,3.306404569553764e-20,6.475670003986467e-29,2.0123376918445833e-25,3.208891013538928e-13,7.204270730283166e-24,2.9807257021549574e-13,2.282536216117556e-18,5.1615688570979945e-24,1.2349394662462293e-23,2.6301692801445666e-27,1.0146292870409949e-30,4.916359623306936e-24,1.3518631499423021e-33,7.919571907118338e-32,2.980725702138646e-13,1.0646640251489932e-27,4.222932293617279e-42,7.159554413121172e-26,9.412201190545628e-25,3.3970955979433945e-09,1.0680065924632889e-41,1.5027162762085846e-35,2.1332799603469503e-35,2.477762073380857e-34
1.2361927218916283e-16,0.154010369575036,3.76,0.0,0.9476313925481112,0.999999995470112,1.489505372110434e-32,8.267706095502489e-24,4.172265786626786e-11,4.172265780983832e-11,4.2785214264536806e-13,4.300905204332859e-25,5.0039045824768916e-24,5.664245935218019e-20,5.640337337080989e-20,1.365906385105423e-28,3.4330726502158085e-25,4.278521424345471e-13,1.2289638497769134e-23,3.9743010063717117e-13,3.0433882910583696e-18,8.805030150074774e-24,2.106661491963242e-23,4.4867594753609294e-27,1.730868603801241e-30,8.386730605004089e-24,2.8514709794827687e-33,1.3510326946425348e-31,3.974301006343886e-13,1.81619165672522e-27,8.907617581807029e-42,1.2213373220406093e-25,1.6056106698171299e-24,4.529460089285905e-09,2.252735431627572e-41,3.2743394137577055e-35,4.6483049491536684e-35,5.398913353261883e-34
1.8542891155853677e-16,0.15401036957560427,3.76,0.0,0.9476313925268373,0.99999999320517,4.06830663057e-32,1.711726544537007e-23,6.258398790374632e-11,6.258398778691611e-11,6.417782246103007e-13,8.904479741899062e-25,1.0359947729280925e-23,1.1713816120727101e-19,1.1677602255436253e-19,3.7307140544560764e-28,7.1086437095188095e-25,6.417782243066809e-13,2.5444135678249727e-23,5.961451614779003e-13,4.565099795811811e-18,1.8229699365396762e-23,4.3615751217755166e-23,9.28926581537227e-27,3.583660083402341e-30,1.7363658328006877e-23,7.788251801812983e-33,2.797321317590268e-31,5.961451614721393e-13,3.7601943705764096e-27,2.433060569454698e-41,2.528629167343739e-25,3.324212465985557e-24,6.794188195984483e-09,6.152920216458704e-41,9.504395602311538e-35,1.3492595920256835e-34,1.567138056252888e-33
2.472385509279107e-16,0.15401036957617256,3.76,0.0,0.9476313925055633,0.9999999909402294,8.512268442747237e-32,2.9112033696205987e-23,8.344531794060548e-11,8.344531774190792e-11,8.557043061137215e-13,1.5144190593283353e-24,1.7619555661196056e-23,1.9909296260711539e-19,1.986054305179267e-19,7.805901816393506e-28,1.2091402012923723e-24,8.557043057257145e-13,4.3273810418341036e-23,7.948602223145216e-13,6.086822824728913e-18,3.100394825670849e-23,7.417896983013577e-23,1.5798608349179967e-26,6.095064620983942e-30,2.953103126854313e-23,1.6295628136782246e-32,4.757815565608733e-31,7.948602223047234e-13,6.395106097854393e-27,5.090999632722001e-41,4.300544579284334e-25,5.653613900698112e-24,9.058914930123363e-09,1.2873969179447886e-40,2.0785038587890653e-34,2.9506786270069843e-34,3.427154248012731e-33
3.090481902972847e-16,0.15401036957674083,3.76,0.0,0.9476313924842893,0.99999998867529,1.5496278104291495e-31,4.44766849958391e-23,1.0430664797680113e-10,1.0430664767323617e-10,1.0696303871226659e-12,2.3136905527100275e-24,2.691869655026265e-23,3.0403965617240623e-19,3.0342422272639248e-19,1.4210346082169213e-27,1.8475214738618627e-24,1.0696303866592838e-12,6.611260376484988e-23,9.935752831467417e-13,7.608558200980515e-18,4.7367033858866323e-23,1.1332870516459666e-22,2.4136703958840662e-26,9.312190872197437e-30,4.5116736995284444e-23,2.9665568567499117e-32,7.269344523179343e-31,9.935752831317719e-13,9.770277567627901e-27,9.268393059471383e-41,6.570273882047033e-25,8.637443213436831e-24,1.1323640193663388e-08,2.3436572476421217e-40,3.899555759003916e-34,5.53587477347493e-34,6.429807862335128e-33
4.326674690360326e-16,0.15401036957787734,3.76,0.0,0.9476313924417413,0.9999999841454162,4.09148783622791e-31,8.55274241465309e-23,1.460293080471602e-10,1.4602930746341556e-10,1.4974825476260676e-12,4.449146719693812e-24,5.17636837854967e-23,5.843529354772959e-19,5.834740183054615e-19,3.751950474159278e-27,3.553737543441038e-24,1.4974825470395372e-12,1.2713218859410283e-22,1.3910054047977022e-12,1.065206677118546e-17,9.108515416953104e-23,2.179270807912804e-22,4.64140261192648e-26,1.7908367466910095e-29,8.675785728772482e-23,7.832585044790153e-32,1.39807824129062e-30,1.3910054047689143e-12,1.8787899114227138e-26,2.4474336856788398e-40,1.263446376926052e-24,1.660949075477606e-23,1.585308621657797e-08,6.187948576697525e-40,1.0669893603135294e-33,1.5147162383088602e-33,1.759312595313345e-32
6.799060265135284e-16,0.1540103695801504,3.76,0.0,0.9476313923566454,0.9999999750856863,1.5821253451075144e-30,2.0866277275047153e-22,2.2947462817979912e-10,2.29474626755639e-10,2.353186862611987e-12,1.0854579905837326e-23,1.2628762899241802e-22,1.4249362683927647e-18,1.42349984924371e-18,1.450819773470426e-26,8.675397239112421e-24,2.35318686188889e-12,3.1016400867077038e-22,2.185865648046038e-12,1.673923425784152e-17,2.2222033076502875e-22,5.316760609979868e-22,1.1323616582245765e-25,4.369797359682055e-29,2.1166274401001426e-22,3.0287364862807923e-31,3.411964920556321e-30,2.1858656479757955e-12,4.5836792041772183e-26,9.466493494140408e-40,3.0824580027242746e-24,4.0522093321909245e-23,2.4911960355969165e-08,2.3927834358691292e-39,4.2375292989051275e-33,6.015669916220958e-33,6.987079941662619e-32
1.17438314146852e-15,0.15401036958469658,3.76,0.0,0.9476313921864536,0.9999999569662983,8.326652103511482e-30,6.192062511953651e-22,3.963652684127342e-10,3.963652641866177e-10,4.064595468481023e-12,3.2210427152009595e-23,3.7475108086762924e-22,4.2268308737255704e-18,4.22415722763158e-18,7.635474099467601e-26,2.5777062493327132e-23,4.064595467924041e-12,9.203944597692295e-22,3.775586134328219e-12,2.891417110518448e-17,6.594274832180114e-22,1.5777193749817655e-21,3.3602208750216534e-25,1.297141473483336e-28,6.280966033863229e-22,1.5939842820504467e-30,1.0131426326637151e-29,3.775586134119727e-12,1.3601821001295164e-25,4.985044873201414e-39,9.147220427370484e-24,1.2024687302456597e-22,4.302963695164019e-08,1.259292457196589e-38,2.2598710889665805e-32,3.208153166209516e-32,3.7262052454991926e-31
2.163337371378503e-15,0.15401036959378883,3.76,0.0,0.9476313918460701,0.999999920727809,5.325883263274401e-29,2.097231078353307e-21,7.301465487492714e-10,7.301465344360723e-10,7.487412583837387e-12,1.0909212309823306e-22,1.2692202529399384e-21,1.4312200162527117e-17,1.4306563422342516e-17,4.883631977015056e-25,8.753264564664068e-23,7.48741258536892e-12,3.1172320630942426e-21,6.955027106035069e-12,5.326645162278329e-17,2.23338463820168e-21,5.3434901743919844e-21,1.1380546480040135e-24,4.396151503546213e-28,2.1272592385732445e-21,1.0195087581947345e-29,3.435886123948699e-29,6.955027105328588e-12,4.606729279844191e-25,3.1922556688781133e-38,3.09815680074424e-23,4.07256058713761e-22,7.926470349778269e-08,8.054430749934896e-38,1.4524310831625604e-31,2.061898256483725e-31,2.394852868430934e-30
