Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136)
1.1921857966689835e-09,0.20524731125727555,3.76,0.0,0.526979649336033,0.9999989641924928,0.0,0.0,0.0001284179799654346,0.00012738217245846856,1.8148496780279345e-15,9.804802363378953e-12,1.8817023942869262e-11,1.0357788869545686e-06,1.0357788851397192e-06
1.2520790794259988e-09,0.20524756165846467,3.76,0.0,0.5269731989189874,0.9999988578204578,0.0,0.0,0.0001348683970109847,0.00013372621746910086,1.906042685414959e-15,1.0868820105314438e-11,1.995760538021574e-11,1.142148717364371e-06,1.142148715458328e-06
1.3718656449400295e-09,0.20524806244888594,3.76,0.0,0.5269602983927464,0.9999986295807612,0.0,0.0,0.00014776892325183883,0.00014639850401341922,2.0884387021938217e-15,1.3157325617791046e-11,2.2238923547311294e-11,1.3703838442588561e-06,1.3703838421704176e-06
1.4916522104540602e-09,0.20524856322336513,3.76,0.0,0.5269473982769688,0.9999983807089171,0.0,0.0,0.00016066903902931296,0.0001590497479468941,2.2708494378246387e-15,1.5657265171727838e-11,2.4519172919536194e-11,1.6192509082516e-06,1.6192509059807509e-06
1.6114387759680908e-09,0.2052490639819025,3.76,0.0,0.52693449857165,0.9999981112393034,0.0,0.0,0.00017356874434777548,0.00017167998365146686,2.4532765491845546e-15,1.8365584289848023e-11,2.67973839294711e-11,1.8887155357936622e-06,1.8887155333403856e-06
1.7312253414821215e-09,0.20524956472449837,3.76,0.0,0.5269215992767862,0.9999978212062423,0.0,0.0,0.00018646803921162968,0.00018428924545411333,2.6357216902549565e-15,2.12792258261934e-11,2.9073001105944437e-11,2.17874340792512e-06,2.178743405289398e-06
1.8510119069961522e-09,0.20525006545115318,3.76,0.0,0.5269087003923721,0.9999975106440013,0.0,0.0,0.00019936692362531347,0.00019687756762692672,2.818186512126183e-15,2.4395146165767554e-11,3.134572713532979e-11,2.489300260331683e-06,2.4893002575134972e-06
1.970798472510183e-09,0.20525056616186702,3.76,0.0,0.5268958019184039,0.9999971795867935,0.0,0.0,0.0002122653975932995,0.0002094449843872003,3.0006726630022147e-15,2.7710327514258215e-11,3.361540340240494e-11,2.8203518833690063e-06,2.8203518803683336e-06
2.0905850380242135e-09,0.2052510668566404,3.76,0.0,0.5268829038548771,0.999996828068777,0.0,0.0,0.00022516346112009503,0.00022199152989751044,3.1831817882053736e-15,3.122178568694522e-11,3.588193251184804e-11,3.171864122049591e-06,3.1718641188664094e-06
2.210371603538244e-09,0.2052515675354734,3.76,0.0,0.5268700062017867,0.9999964561240552,0.0,0.0,0.00023806111421024187,0.00023451723826579919,3.3657155301810197e-15,3.492657269122181e-11,3.8145249362888706e-11,3.543802875986341e-06,3.543802872620625e-06
2.330158169052275e-09,0.20525206819836642,3.76,0.0,0.5268571089591285,0.9999960637866767,0.0,0.0,0.00025095835686831617,0.0002470221435454567,3.5482755285022475e-15,3.882177673679729e-11,4.040531624562797e-11,3.93613409931475e-06,3.936134095766475e-06
2.4499447345663055e-09,0.20525256884531975,3.76,0.0,0.5268442121268976,0.999995651090636,0.0,0.0,0.0002638551890989283,0.0002595062797354038,3.730863419874573e-15,4.290452248220084e-11,4.2662115799895424e-11,4.348823800617159e-06,4.348823796886296e-06
2.689517865594367e-09,0.20525357009140846,3.76,0.0,0.5268184196936998,0.9999947647582731,0.0,0.0,0.0002896476222963804,0.00028441238056999793,4.096129414284726e-15,5.162132441653124e-11,4.716587575465661e-11,5.2351429432784745e-06,5.235142939182344e-06
2.929090996622428e-09,0.205254571273742,3.76,0.0,0.5267926289021557,0.9999937973978342,0.0,0.0,0.00031543841384016653,0.0003092358116746894,4.461526549881618e-15,6.105471876688087e-11,5.1656490295562014e-11,6.202489458729601e-06,6.2024894542680745e-06
3.1686641276504895e-09,0.20525557239232234,3.76,0.0,0.526766839752227,0.9999927492793196,0.0,0.0,0.0003412275637684,0.0003339768430883371,4.82706781755285e-15,7.11830323553885e-11,5.613392104796138e-11,7.250593367936496e-06,7.250593363109427e-06
3.408237258678551e-09,0.2052565734471522,3.76,0.0,0.5267410522438754,0.9999916206718662,0.0,0.0,0.00036701507211973645,0.00035863574398617117,5.192766162752195e-15,8.198516133271051e-11,6.059814932649344e-11,8.379185555447378e-06,8.379185550254608e-06
3.647810389706612e-09,0.20525757443823361,3.76,0.0,0.5267152663770613,0.9999904118437487,0.0,0.0,0.0003928009389333709,0.000383212782682405,5.5586344856478585e-15,9.344055561538813e-11,6.50491835435683e-11,9.587997766785377e-06,9.587997761226745e-06
3.8873835207346735e-09,0.20525857536556907,3.76,0.0,0.5266894821517453,0.9999891230623836,0.0,0.0,0.0004185851642490359,0.0004077082266328427,5.9246856412702755e-15,1.0552920725861016e-10,6.948703340998e-11,1.087676260587718e-05,1.0876762599952493e-05
4.126956651762735e-09,0.20525957622916072,3.76,0.0,0.5266636995678868,0.9999877545943302,0.0,0.0,0.0004443677481069984,0.0004321223424374781,6.290932439659458e-15,1.1823163805760847e-10,7.391169468908378e-11,1.2245213532478507e-05,1.2245213526187573e-05
4.6061029138188575e-09,0.20526157776512233,3.76,0.0,0.5266121393243797,0.999984779660132,0.0,0.0,0.0004959279916135445,0.0004807076517458002,7.024063980825884e-15,1.4540248255825818e-10,8.272145522820744e-11,1.5220111750830577e-05,1.5220111743806516e-05
5.037334549669368e-09,0.20526337892950763,3.76,0.0,0.5265657407185936,0.9999818323475659,0.0,0.0,0.0005423265973989166,0.0005241589449651166,7.684679060491828e-15,1.7177029944583437e-10,9.060511622907298e-11,1.8167390066068927e-05,1.8167390058384247e-05
5.468566185519879e-09,0.20526517988739937,3.76,0.0,0.52651934743048,0.9999786309568014,0.0,0.0,0.000588719885511751,0.0005673508423132499,8.3461252036342e-15,1.9984656219016345e-10,9.8446069081789e-11,2.1368744914216244e-05,2.136874490587012e-05
5.89979782137039e-09,0.2052669806388112,3.76,0.0,0.5264729594597852,0.9999751770117907,0.0,0.0,0.0006351078562059007,0.0006102848679967987,9.008475510880944e-15,2.2953504340581577e-10,1.0624438094098043e-10,2.4822652438686333e-05,2.482265242967786e-05
6.3310294572209005e-09,0.20526878118375688,3.76,0.0,0.5264265768062499,0.9999714720277028,0.0,0.0,0.0006814905097406384,0.0006529625374434546,9.671802622167366e-15,2.6074406363636426e-10,1.1400009443816929e-10,2.8527597562697573e-05,2.8527597553025778e-05
6.946850422199908e-09,0.20527135209666436,3.76,0.0,0.5263603492081734,0.9999657488780347,0.0,0.0,0.000747718107816349,0.0007134669858512341,1.0620904245342765e-14,3.0777614540690993e-10,1.250018944897656e-10,3.425068919769607e-05,3.425068918707517e-05
7.562671387178916e-09,0.2052739225885866,3.76,0.0,0.5262941324522143,0.9999595212036367,0.0,0.0,0.0008139348637744495,0.0007734560674113514,1.1572353623299007e-14,3.5749182666956277e-10,1.359170994413068e-10,4.047830296574469e-05,4.0478302954172336e-05
8.178492352157923e-09,0.2052764926595638,3.76,0.0,0.5262279265375615,0.9999527933251098,0.0,0.0,0.000880140778426387,0.0008329341035363669,1.2526357484018447e-14,4.0966728658332274e-10,1.4674595844523414e-10,4.720611848930171e-05,4.720611847677536e-05
8.79431331713693e-09,0.20527906230963636,3.76,0.0,0.5261617314633815,0.999945569527483,0.0,0.0,0.0009463358526052544,0.0008919053800884658,1.3483120693622457e-14,4.6409373285416516e-10,1.5748875084113182e-10,5.4429850947788453e-05,5.442985093430533e-05
9.410134282115938e-09,0.20528163153884504,3.76,0.0,0.5260955472288202,0.9999378540604918,0.0,0.0,0.0010125200871655352,0.0009503741476575751,1.4442846272005426e-14,5.2057642698246e-10,1.6814575596524044e-10,6.214525080022038e-05,6.214525078577752e-05
9.999999999999999e-09,0.2052842003472308,3.76,0.0,0.5260321626502262,0.9999300066549309,0.0,0.0,0.0010759046657586552,0.0010059113206898312,1.5365085652644222e-14,5.764385912742521e-10,1.7827344473404105e-10,6.999259037215323e-05,6.999259035678812e-05
1.0025955247094945e-08,0.2052842003472308,3.76,0.0,0.526029373833002,0.9999296511388543,0.0,0.0,0.0010786934829828479,0.0010083446218373546,1.5405735408329123e-14,5.789337704633995e-10,1.7871728652302674e-10,7.034810350984234e-05,7.034810349443658e-05
1.0641776212073952e-08,0.20528676873483506,3.76,0.0,0.5259632112750302,0.9999209649425458,0.0,0.0,0.0011448560409536939,0.0010658209834996264,1.637198747641572e-14,6.389964437195016e-10,1.892037048898354e-10,7.903422927029115e-05,7.903422925391914e-05
1.1257597177052959e-08,0.2052893367016996,3.76,0.0,0.5258970595539878,0.9999117996170712,0.0,0.0,0.00121100776199521,0.0011228073790666355,1.7341800049998638e-14,7.006066114354255e-10,1.9960538322140107e-10,8.819948273392225e-05,8.819948271658043e-05
1.1873418142031966e-08,0.20529190424786636,3.76,0.0,0.5258309186689369,0.999902159273737,0.0,0.0,0.0012771486470449195,0.0011793079207818285,1.8315368917878483e-14,7.636171690614616e-10,2.0992269353754858e-10,9.783975274154413e-05,9.783975272322875e-05
