Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56),CH2F(45),C2H2F3O2(908),C2HF3O(401),CH3-CF2(64),CHF2-CH2(63),CFO(50),FC1(F)CO1(1321),CH2O(19),CHF2-CHF(66),HCO(14),[O]O[C](F)F(171),C2H3F2O2(1300),O[C](F)F(239),H2O2(11),CF2CH(72),C2HF2O(1089),C2HF2O3(622),CHFCF[Z](71)
9.198239073328719e-19,0.04722064077690323,3.76,0.0,0.7410376794518441,0.9999999999996617,2.0173411563704398e-44,3.105112535243179e-33,1.0943791846646556e-19,1.0943791846588863e-19,2.412668216904487e-20,1.9299632093420542e-35,2.416000646730908e-34,5.721228858678451e-31,5.716329194693687e-31,1.667030722132819e-42,7.730757152153912e-29,2.4126682169292286e-20,2.4474910958147507e-31,2.434345021802793e-24,3.4834976461927065e-31,3.1051172338750905e-33,5.05598337127382e-33,1.9985003589017517e-43,2.2615551263838015e-40,6.367511759600712e-35,8.941750429755811e-48,8.705086510430923e-49,2.434345021802783e-24,2.1744730436266407e-45,1.963035935876693e-59,7.643422874203284e-41,1.1986438201826124e-39,3.3832351991847246e-13,1.4779781718079222e-65,2.765226284139042e-52,1.0518013336842137e-51,4.2732743730050405e-41,7.730757158185243e-29,3.1262236972592293e-63,2.8317032049285894e-70,3.2978965244610186e-61,3.2312467398574953e-63,1.138419102601439e-44,4.2211512521481126e-63,1.1900001252953848e-70,2.772319416349995e-50,9.568801698328279e-61,5.372645706652874e-42,1.442198579834637e-71,3.7192236252734295e-50,4.951871228633907e-36,1.2240397885770137e-57,6.32670862333892e-68,2.5063182999561598e-79,7.408828485562255e-60
1.8404469666269367e-18,0.04722064077690324,3.76,0.0,0.7410376794518441,0.9999999999993231,1.6150995550841653e-43,1.2428542299435522e-32,2.1897091766139896e-19,2.189709176590897e-19,4.8274325833819806e-20,7.724883785834821e-35,9.670298718579085e-34,2.2890026413055653e-30,2.2880213962429303e-30,1.3346382037434302e-41,1.546823084910054e-28,4.8274325834811106e-20,9.796342729026925e-31,4.870805026248334e-24,7.072503998170354e-31,1.2428561104573784e-32,2.0237109757939098e-32,7.999211750125775e-43,9.052114288208423e-40,2.548664123958095e-34,7.158837311562067e-47,3.484310083424178e-48,4.870805026248293e-24,8.703561693560792e-45,1.5716252499947653e-58,3.059362145535445e-40,4.797698929363229e-39,6.769409718879303e-13,1.1833758297482318e-64,2.2144237244769052e-51,8.422941153496249e-51,1.7104233966949243e-40,1.5468230873240918e-28,5.007390985426877e-62,2.275777974273262e-69,2.640322481740154e-60,2.5869621283084425e-62,9.114274766389788e-44,3.379487680042472e-62,1.9062159843167196e-69,1.9039933047760854e-49,7.660859599424996e-60,2.1504583806036672e-41,2.309397833516011e-70,2.9776403455644374e-49,1.9820389863392184e-35,9.802245707495651e-57,1.0133728995685527e-66,8.029220330215256e-78,5.933071612730331e-59
3.681693085215066e-18,0.04722064077690324,3.76,0.0,0.7410376794518441,0.9999999999986459,1.2925705061151968e-42,4.973035813702283e-32,4.380369160512659e-19,4.380369160420256e-19,9.656961316184755e-20,3.090960782737011e-34,3.8693789839393606e-33,9.157032333954874e-30,9.155065870724487e-30,1.0681161867769951e-40,3.0943178206242305e-28,9.656961316581599e-20,3.9198131242565745e-30,9.743725035139417e-24,1.4558096846071875e-30,4.973043336899146e-32,8.097479908719245e-32,3.2007283039900993e-42,3.622024807706532e-39,1.0197976273882817e-33,5.729245567162701e-46,1.394183382152226e-47,9.743725035139252e-24,3.482560512537946e-44,1.2577824769990913e-57,1.2241442087569546e-39,1.9197044150908976e-38,1.3541758556723963e-12,9.472117626609772e-64,1.772436496826315e-50,6.741766783836304e-50,6.843921516837062e-40,3.0943178302829916e-28,8.016174510276559e-61,1.8352291000241146e-68,2.1130604331338235e-59,2.0703559333653805e-61,7.294189619308443e-43,2.7046172995969097e-61,3.0517193645453676e-68,1.397526677186858e-48,6.131015970656892e-59,8.60463419253288e-41,3.696541368917236e-69,2.3830172391927824e-48,7.930737670690098e-35,7.845769465548861e-56,1.6222767566226095e-65,2.5707916687174704e-76,4.748861994520627e-58
7.364185322391324e-18,0.04722064077690324,3.76,0.0,0.7410376794518441,0.9999999999972914,1.0342527920590533e-41,1.9895381511857217e-31,8.761689128309995e-19,8.761689127940328e-19,1.9316018781181453e-19,1.2365864290658646e-33,1.5480034578031537e-32,3.6630172445320237e-29,3.662622490274632e-29,8.546552335929151e-40,6.189307277354791e-28,1.931601878276948e-19,1.568180492535748e-29,1.948956505292158e-23,3.0759603118344618e-30,1.9895411599078386e-31,3.239519239655766e-31,1.2805010674090612e-41,1.44904577512184e-38,4.0798545533219805e-33,4.584266928220513e-45,5.577685344479516e-47,1.948956505292092e-23,1.393252690978764e-43,1.0064244889490975e-56,4.897380752326345e-39,7.680067009658893e-38,2.7086455426235345e-12,7.581556855953326e-63,1.4183082919834252e-49,5.3947793047510445e-49,2.7380142564689956e-39,6.1893073159918515e-28,1.2829359352311243e-59,1.4907304465116683e-67,1.690769394007843e-58,1.6565993063308295e-60,5.836459605065304e-42,2.1641048620518162e-60,4.884170481798199e-67,1.0677295317843686e-47,4.905744291398074e-58,3.442413631776331e-40,5.915670358044211e-68,1.9067758502748057e-47,3.1728114868972603e-34,6.2782051193310326e-55,2.596347104629744e-64,8.22883990336303e-75,3.8000517122551674e-57
1.472916979674384e-17,0.04722064077690324,3.76,0.0,0.7410376794518441,0.9999999999945824,8.274807975235634e-41,7.958800308636848e-31,1.752432906390467e-18,1.7524329062425877e-18,3.8634133708739462e-19,4.946755045850815e-33,6.192517027859012e-32,1.4652477556408824e-28,1.4651682329359274e-28,6.837891074508551e-39,1.2379286132047184e-27,3.8634133715092865e-19,6.273232491751068e-29,3.8981245088485914e-23,6.808389797424723e-30,7.95881233613205e-31,1.2959131585713451e-30,5.122431753659031e-41,5.796654837846352e-38,1.6320746344002696e-32,3.66776177170073e-44,2.2312909050951173e-46,3.8981245088483275e-23,5.573478061267749e-43,8.0522789141150595e-56,1.9591171778832405e-38,3.0722762791711735e-37,5.417584594054671e-12,6.069699531008083e-62,1.1347902888330096e-48,4.31636986115404e-48,1.095294839079137e-38,1.237928628657381e-27,2.052975946107012e-58,1.228330302457863e-66,1.3527439476153598e-57,1.3254052825849007e-59,4.66961049580542e-41,1.7314484319059155e-59,7.815808561666277e-66,8.34061975885699e-47,3.9249680778964174e-57,1.377077244390161e-39,9.466036024604139e-67,1.5255655135993874e-46,1.2692278858373137e-33,5.023199990124563e-54,4.154718881405666e-63,2.6335978746106622e-73,3.0404262633923475e-56
2.9459138745448873e-17,0.04722064077690324,3.76,0.0,0.7410376794518441,0.9999999999891646,6.620160662353593e-40,3.183649673934081e-30,3.5049608935094015e-18,3.50496089291786e-18,7.727036355411387e-19,1.9787879423046386e-32,2.4771069999047803e-31,5.861072733199352e-28,5.860911413390392e-28,5.470572555350306e-38,2.475924360653657e-27,7.727036357953009e-19,2.509395104326531e-28,7.796460515961463e-23,1.6241761697530763e-29,3.1836544784294545e-30,5.183863566934805e-30,2.0490645714051835e-40,2.318756285719146e-37,6.528564132076374e-32,2.9343487198572055e-43,8.925808297505202e-46,7.796460515960401e-23,2.2294929217079296e-42,6.442318574967363e-55,7.836831133887057e-38,1.2289600786255464e-36,1.0835461407032698e-11,4.8621954682390825e-61,9.07889696511707e-48,3.4533144685219135e-47,4.38135763722381e-38,2.4759244224394694e-27,3.284984286889759e-57,1.0397259153891255e-65,1.0822465333024782e-56,1.0603745641204398e-58,3.7358648916917035e-40,1.3852247511494083e-58,1.250620242476502e-64,6.5919993558167705e-46,3.1401235266243736e-56,5.5085309108722264e-39,1.514642844038337e-65,1.2205103382680687e-45,5.0771181328499e-33,4.018814362723687e-53,6.648001048781741e-62,8.428103806605241e-72,2.4324949774572985e-55
5.891907664285894e-17,0.04722064077690324,3.76,0.0,0.7410376794518441,0.9999999999783288,5.296254261906005e-39,1.273485784201249e-29,7.01001686774727e-18,7.010016865381053e-18,1.5454282320589637e-18,7.915356061428263e-32,9.908624747477998e-31,2.3444454343781675e-27,2.3444122621372886e-27,4.376561924659357e-37,4.9519157617369905e-27,1.545428233075664e-18,1.003778463354526e-27,1.559313253018723e-22,4.2982557248506177e-29,1.2734877006796076e-29,2.0735876138316807e-29,8.196492989819556e-40,9.275213845392633e-37,2.6114787397705537e-31,2.347534703823822e-42,3.57062115938969e-45,1.5593132530182961e-22,8.918240960465761e-42,5.154280602843604e-54,3.1348310648064284e-37,4.915936811120365e-36,2.167120987345421e-11,3.899777454645975e-60,7.263347438317121e-47,2.7627390082303766e-46,1.7525787129669773e-37,4.9519160086664314e-27,5.256153075750579e-56,9.230266258158315e-65,8.658177764790602e-56,8.483197876245873e-58,2.988761490666212e-39,1.1082065002024974e-57,2.001065095085871e-63,5.2413989315718426e-45,2.5121584461100624e-55,2.203455425388334e-38,2.4234902137679727e-64,9.764314276964036e-45,2.0308885717662007e-32,3.2151532371076255e-52,1.0637162346451399e-60,2.697087715091994e-70,1.9460575703992204e-54
1.1783895243767908e-16,0.04722064077690324,3.76,0.0,0.7410376794518441,0.9999999999566572,4.237053728285697e-38,5.09399499908552e-29,1.402012881622301e-17,1.4020128806758042e-17,3.0908774235359594e-18,3.1662092363898907e-31,3.963486342324684e-30,9.377814414467157e-27,9.377744439781955e-27,3.5012910913262865e-36,9.903898189794379e-27,3.0908774276028648e-18,4.015154694910575e-27,3.1186476558638974e-22,1.2796035563400076e-28,5.094002622205375e-29,8.294434828408023e-29,3.278684906142002e-39,3.710123277392572e-36,1.0446020870700852e-30,1.8780500632542003e-41,1.4284431548978885e-44,3.1186476558621746e-22,3.5674029400383084e-41,4.1239588794867637e-53,1.2539730487538782e-36,1.966391912693594e-35,4.3342686168178745e-11,3.1357451805924488e-59,5.810769894429382e-46,2.210226178731127e-45,7.010386178747485e-37,9.9038991757715e-27,8.409987471157218e-55,8.843934717279992e-64,6.92662439954585e-55,6.786638856497607e-57,2.391035387678756e-38,8.865763541442958e-57,3.201762338504879e-62,4.1802385265071313e-44,2.0097506031233414e-54,8.813897213090616e-38,3.877633664812506e-63,7.81154381925891e-44,8.123636924977229e-32,2.57216328199661e-51,1.7019748245322757e-59,8.630831861492974e-69,1.5568706918389355e-53
2.3567870402731937e-16,0.04722064077690323,3.76,0.0,0.7410376794518441,0.9999999999133145,3.3896631507155942e-37,2.0376083981876747e-28,2.804035271317449e-17,2.8040352675314414e-17,6.1817758002553335e-18,1.2665178193539867e-30,1.5853995003621487e-29,3.751132297282614e-26,3.751116851701385e-26,2.801049492039277e-35,1.9807861558663288e-26,6.181775816523166e-18,1.606070044603949e-26,6.237316461554418e-22,4.239007837830879e-28,2.0376114131537057e-28,3.3177908046263757e-28,1.3115241197912223e-38,1.4840568575548228e-35,4.1784293201329055e-30,1.5024489846966204e-40,5.715242985478539e-44,6.237316461547393e-22,1.4270246478602614e-40,3.2999634216550193e-52,5.016140643749192e-36,7.865585137472403e-35,8.668555620531113e-11,2.534029086319164e-58,4.648652686747578e-45,1.768194929147185e-44,2.8041687450103074e-36,1.980786548858622e-26,1.3456093911748394e-53,9.410612858289598e-63,5.541332374569533e-54,5.429343322193745e-56,1.9128361704320194e-37,7.092663035406252e-56,5.1228663534669734e-61,3.3390384894096842e-43,1.6078100146446585e-53,3.525565498596309e-37,6.204253294617025e-62,6.2492716437251685e-43,3.249471297586438e-31,2.0577468913144618e-50,2.723182783102956e-58,2.76189036771575e-67,1.2455064073866177e-52
4.713582072065999e-16,0.04722064077690323,3.76,0.0,0.7410376794518441,0.999999999826629,2.7117386525515788e-36,8.150454598313623e-28,5.608080050707746e-17,5.608080035563678e-17,1.2363572528755625e-17,5.06630562522465e-30,6.341589326305352e-29,1.5004542221259537e-25,1.5004505538124704e-25,2.240846238409337e-34,3.961578242094751e-26,1.2363572593827362e-17,6.424296498170552e-26,1.2474654072936822e-21,1.5197209835450365e-27,8.150466383828395e-28,1.327119695368136e-27,5.246457715956321e-38,5.936242513185269e-35,1.6713757539805735e-29,1.2019627837354552e-39,2.287256054148169e-43,1.2474654072907685e-21,5.708562820308859e-40,2.641221359034626e-51,2.0066397083724851e-35,3.146224040496017e-34,1.7337096607156683e-10,2.0678982938637786e-57,3.718936847396923e-44,1.4145615333189183e-43,1.1216703591702714e-35,3.96157980286341e-26,2.1529841159653825e-52,1.126518378517278e-61,4.433079009077457e-53,4.343487575924875e-55,1.530267891950143e-36,5.674163446896792e-55,8.196623654545401e-60,2.6691698342836502e-42,1.286251814327952e-52,1.4102207309680138e-36,9.926836727867688e-61,4.999431356749654e-42,1.2997918245126433e-30,1.6462040012332914e-49,4.3571108540985136e-57,8.838087750346951e-66,9.964090669024581e-52
7.070377103858804e-16,0.04722064077690324,3.76,0.0,0.7410376794518441,0.9999999997399439,7.75388375989957e-36,1.7319729384233395e-27,8.412124830098046e-17,8.412124797916877e-17,1.8545369232317455e-17,1.0766232780237115e-29,1.3475850969167335e-28,3.1884660330330426e-25,3.188459807748099e-25,6.407424589251147e-34,5.942369748130798e-26,1.8545369370595163e-17,1.3651640243107643e-25,1.8711991684321275e-21,3.1194805447002995e-27,1.7319754025475248e-27,2.8201314598007096e-27,1.1149318059039906e-37,1.2614524755834817e-34,3.551675803879457e-29,3.436865002565087e-39,4.862368520018713e-43,1.8711991684257828e-21,1.2131463956836778e-39,7.554544332479293e-51,4.264374516981826e-35,6.685704626251892e-34,2.6005604573107137e-10,5.990417959248832e-57,1.1040606155550504e-43,4.199484263009572e-43,2.3835513108994012e-35,5.942373048310046e-26,8.145184602183352e-52,3.933441002942437e-61,1.2675844887349747e-52,1.241966931650895e-54,4.375603914534496e-36,1.6224604317891154e-54,3.1249649897558828e-59,7.922358997510502e-42,3.6778790617613e-52,2.996707995523433e-36,3.653909680916427e-60,1.4295258628752773e-41,2.7620596929606453e-30,4.8871735793717725e-49,1.6483852332411718e-56,4.1229522989359784e-65,2.9580927418957207e-51
