Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56),CH2F(45),C2H2F3O2(908),C2HF3O(401),CH3-CF2(64)
0.00013761231800990206,0.6176356764186178,3.76,0.0,0.7651564365830541,0.9179978023489762,0.04880518525264666,0.00012193564455870898,0.08165855802682467,9.463451931839225e-05,0.008689235830003415,7.712544775703777e-10,4.212404997051313e-12,7.569533872828507e-05,1.2775195518528993e-05,0.024536260540089755,1.1902581316113178e-06,7.721908802992476e-05,2.418877487377895e-05,0.02476906729101599,6.870216599131391e-05,0.04915698753672043,0.004093962561492724,0.008715224909521934,0.0008116891962987212,8.95523251504123e-08,0.011598274970691214,2.5928181602920073e-05,0.00546637032519679,0.005193085817938877,1.9852139010387757e-08,7.607326522780025e-07,4.431384926442553e-09,0.0004283988057036308,1.6847854031425618e-10,1.7891116302558253e-07,4.432080427590616e-06,0.0003642167079256239,7.479013745782097e-05,5.283540668715501e-10,7.219034062077617e-13,3.61737517407062e-08
0.00013992311608496022,0.6177546688704821,3.76,0.0,0.7630123957963251,0.916590381680812,0.04964574207462363,0.00012189075409176355,0.08316768774992384,9.453567186489178e-05,0.008677217399502212,7.691197231056697e-10,4.200744884567836e-12,7.594036301579273e-05,1.2758530088652783e-05,0.024929828960240225,1.1905392502620732e-06,7.634997174033399e-05,2.411363848792691e-05,0.02514773866253932,6.884871608563496e-05,0.05004271082312484,0.004102468345757196,0.008812750186911402,0.0008255974916021744,8.92748918111624e-08,0.011894295419921309,2.6304607871636464e-05,0.005588678973310695,0.005297895804035957,2.010561354265554e-08,7.76475831704431e-07,4.5230360284269296e-09,0.00042774200966710533,1.7180012815535622e-10,1.8317686908704516e-07,4.543034985114947e-06,0.00037952327132702356,7.471879787827948e-05,5.406470572442932e-10,7.378774344522826e-13,3.781490722165156e-08
0.00014223391416001837,0.61787373068005,3.76,0.0,0.760873784853089,0.915184835822961,0.050484527297655894,0.00012184657438292767,0.08467695090976518,9.44369131054865e-05,0.008665233922527878,7.669904693338964e-10,4.189114795736701e-12,7.618561534390278e-05,1.2741908692796268e-05,0.025322895773408932,1.190824920622479e-06,7.549825093011184e-05,2.4038777162997198e-05,0.02552478164123527,6.899530145213355e-05,0.05092731332254223,0.004110514253991297,0.008908216527574096,0.0008394426108844445,8.899847527680158e-08,0.012190883880528896,2.6676801783134826e-05,0.005711128628122201,0.005402405542902385,2.035491692729328e-08,7.921823192395202e-07,4.614473094270032e-09,0.0004270860885419778,1.751057587793389e-10,1.8745891288444934e-07,4.654626172024094e-06,0.00039517795115274183,7.4647930101515e-05,5.529714777287252e-10,7.538648733210484e-13,3.950075002248166e-08
0.00014454471223507653,0.6179928550701208,3.76,0.0,0.7587405740984675,0.9137811586327429,0.051321541822610825,0.00012180308670957817,0.08618630637382695,9.433823967632248e-05,0.0086532840374485,7.648666814363779e-10,4.177514540904695e-12,7.6431088089147e-05,1.2725328146361349e-05,0.025715462430263385,1.1911146159151557e-06,7.466368034988511e-05,2.3964186442614717e-05,0.025900199930086465,6.914190121497322e-05,0.05181080036313333,0.0041181360652438395,0.009001659563070799,0.0008532252987362937,8.872305910687647e-08,0.01248800828497968,2.7044805586711922e-05,0.005833699540224909,0.005506598174295068,2.060010038337024e-08,8.078493872034797e-07,4.705680259004197e-09,0.0004264310394616397,1.7839498550705323e-10,1.9175663803889345e-07,4.766839140658696e-06,0.00041118172678689466,7.457752299543175e-05,5.653252805316158e-10,7.698628905911059e-13,4.1231724608824114e-08
0.0001468555103101347,0.6181120355948623,3.76,0.0,0.7566127346594397,0.9123793443546588,0.052156786531708174,0.00012176027313884809,0.08769571537640403,9.423964830923459e-05,0.008641366436660233,7.627483254197064e-10,4.165943934879483e-12,7.66767739062033e-05,1.2708785373691082e-05,0.02610753027938736,1.1914078278390823e-06,7.384599979368555e-05,2.3889862042209084e-05,0.02627399719567855,6.928849581550664e-05,0.05269317695442366,0.004125366853044155,0.009093114230843259,0.0008669462778127456,8.844862749543292e-08,0.012785639065030985,2.7408660977305017e-05,0.005956372536585424,0.005610457207613783,2.084121443521783e-08,8.234744077184864e-07,4.796642238203283e-09,0.00042577685974016773,1.8166737782959105e-10,1.960693919907067e-07,4.879659092472325e-06,0.0004275355208939063,7.450756497838268e-05,5.77706437076357e-10,7.858686858392529e-13,4.300827122892004e-08
0.00014916630838519284,0.6182312661179219,3.76,0.0,0.7544902384141482,0.9109793876037072,0.052990262292190934,0.000121718116534972,0.08920514133827151,9.414113582426014e-05,0.008629479868847953,7.606353680577382e-10,4.154402796645504e-12,7.692266572959327e-05,1.269227740395885e-05,0.026499100570965044,1.1917040658801329e-06,7.304493681419101e-05,2.381579985440072e-05,0.026646177071211204,6.943506697613963e-05,0.053574447799719156,0.004132237179004614,0.00918261479067452,0.0008806062487223626,8.817516529085805e-08,0.013083748962659082,2.7768409116722175e-05,0.006079129003078142,0.005713966517585685,2.1078308933115586e-08,8.390548495129711e-07,4.887344309394103e-09,0.0004251235468645384,1.8492252067229275e-10,2.0039652608401716e-07,4.993071281213614e-06,0.0004442401998424788,7.443804422196704e-05,5.901129382206785e-10,8.018794915428764e-13,4.48308258370706e-08
0.000151477106460251,0.6183505407924959,3.76,0.0,0.7523730579622866,0.9095812833491239,0.05382196996003621,0.00012167660055700193,0.09071454969925498,9.404269912326555e-05,0.008617623140153149,7.585277768503252e-10,4.142890949135042e-12,7.716875676901908e-05,1.2675801367386901e-05,0.026890174460330027,1.19200285666244e-06,7.226020915188852e-05,2.3741995951351377e-05,0.027016743159398695,6.958159766062247e-05,0.05445461730837229,0.004138775273419254,0.009270194840800643,0.0008942058900634183,8.790265800440222e-08,0.013382312854112925,2.8124090651045183e-05,0.006201950867585008,0.005817110340047361,2.1311433071229393e-08,8.545882748330139e-07,4.977772294090295e-09,0.00042447109848704046,1.8816001370776572e-10,2.0473739564071583e-07,5.107061013279393e-06,0.0004612965741405865,7.436894881039964e-05,6.02542794311628e-10,8.178925739244997e-13,4.669982002868227e-08
0.00015378790453530916,0.6184698540426733,3.76,0.0,0.7502611665965817,0.9081850268985892,0.054651910383670614,0.00012163570964713981,0.09222390776308871,9.394433518404467e-05,0.008605795114417971,7.564255199858354e-10,4.1314082190141574e-12,7.741504050752586e-05,1.265935449165093e-05,0.02728075301138288,1.1923037433284924e-06,7.149152689480274e-05,2.3668446584494812e-05,0.027385699035247818,6.972807202934468e-05,0.05533368960784786,0.004145007203416819,0.009355887333647547,0.0009077458585861446,8.763109180906321e-08,0.013681307586494969,2.847574572635183e-05,0.006324820583651387,0.005919873267812161,2.1540635403656572e-08,8.700723364565094e-07,5.067912540425714e-09,0.00042381951241790366,1.9137947072327758e-10,2.0909136006986946e-07,5.221613646399012e-06,0.0004787053988811996,7.430026686261076e-05,6.149940349411002e-10,8.339052336688908e-13,4.8615681012168155e-08
0.00015609870261036732,0.6185892005458399,3.76,0.0,0.7481545382753815,0.9067906138829316,0.05548008440765705,0.00012159542901470769,0.09373318455398098,9.384604105535635e-05,0.008593994712643289,7.543285663040283e-10,4.119954436494763e-12,7.76615106984713e-05,1.2642934098516725e-05,0.02767083719987986,1.1926062849522217e-06,7.073859438572187e-05,2.3595148182007748e-05,0.027753048248712806,6.987447539439325e-05,0.0562116685555499,0.0041509570292014705,0.009439724591174791,0.0009212267894595657,8.736045353018857e-08,0.013980711826303598,2.8823414004305673e-05,0.006447721114691688,0.006022240246610161,2.1765963860133876e-08,8.855047748107159e-07,5.157751906388793e-09,0.0004231687866181618,1.9458051904319848e-10,2.1345778296128603e-07,5.336714591132938e-06,0.0004964673741951425,7.423198662192275e-05,6.274647089343145e-10,8.499148067268447e-13,5.0578831559712385e-08
0.00015840950068542547,0.618708575216244,3.76,0.0,0.7460531475963331,0.9053980402413637,0.05630649287630557,0.00012155574461674882,0.09524235068399291,9.374781385291192e-05,0.008582220911886932,7.522368852670711e-10,4.108529435185975e-12,7.79081613584102e-05,1.2626537600725674e-05,0.02806042791659998,1.1929100559853106e-06,7.000111190174753e-05,2.3522097344699016e-05,0.0281187943272288,7.002079417504202e-05,0.057088557750352105,0.004156646949207512,0.009521738319808756,0.0009346492966208302,8.709073063024361e-08,0.01428050591906675,2.916713467601435e-05,0.006570635918723704,0.006124196571080029,2.198746576071744e-08,9.008834151896212e-07,5.247277743636625e-09,0.0004225189191927617,1.9776279899683277e-10,2.1783603216074436e-07,5.4523493127656225e-06,0.0005145831457113026,7.416409652066999e-05,6.399528845070024e-10,8.659186650132877e-13,5.258968994711445e-08
