Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56),CH2F(45),C2H2F3O2(908),C2HF3O(401),CH3-CF2(64),CHF2-CH2(63),CFO(50),FC1(F)CO1(1321),CH2O(19),CHF2-CHF(66),HCO(14),[O]O[C](F)F(171),C2H3F2O2(1300),O[C](F)F(239),H2O2(11),CF2CH(72),C2HF2O(1089),C2HF2O3(622)
2.0943031143533704e-20,0.19025959169187961,3.76,0.0,0.8456483693424749,0.9999999999996648,5.090046804091739e-45,2.564283505819807e-32,7.855103613218347e-16,7.855103613217163e-16,1.0837510267110876e-17,7.263890177558787e-34,8.904763215148908e-33,2.3017781682915774e-27,1.184521619711787e-28,4.732556704175563e-41,1.953110714505058e-21,1.083751026492762e-17,5.282183316482219e-32,4.4965741108096774e-18,1.6404719619451534e-23,2.662652332692276e-32,6.795337981227172e-32,2.2240542549638256e-36,1.2764804631451236e-35,1.619336590960503e-32,6.1937785701305375e-46,6.547568978515494e-41,4.496574110809676e-18,6.8383623803804334e-37,7.751729085304678e-55,8.208992219985691e-35,1.1915296177888143e-33,3.351744179443661e-13,3.4730279310612924e-55,1.9373898408638273e-48,3.393543248560322e-48,5.190796913535887e-35,1.953110714517514e-21,7.034465780620271e-63,3.160185337144764e-57,3.674463004222672e-52,6.384362556379031e-54,1.0597450746947401e-44,2.718496702941926e-54,9.595578050308739e-65,5.432069176217316e-40,7.907436699236403e-52,1.48410355718491e-35,6.310487439206547e-66,1.2113390040129398e-47,4.86465881038415e-33,5.352569259421888e-49,8.48542660028131e-62,1.285433226750697e-75
4.1904257796314616e-20,0.19025959169187967,3.76,0.0,0.8456483693424741,0.9999999999993293,4.0751324111546306e-44,1.0263816743048575e-31,1.5717031816891258e-15,1.5717031816886513e-15,2.168443626859302e-17,2.907449095802665e-33,3.564225934115108e-32,4.8426801541833625e-27,4.741173431274122e-28,3.788922960418235e-40,3.907918310579002e-21,2.1684436264224744e-17,2.11424990328481e-31,8.997054888961495e-18,3.282369198971324e-23,1.0657548403333196e-31,2.7199061086765032e-31,8.902013072534422e-36,5.109248456673794e-35,6.481566476464023e-32,4.9587889386468934e-45,2.620733984497156e-40,8.997054888961486e-18,2.7371270808602865e-36,6.206096755903849e-54,3.285736217482044e-34,4.769223686484362e-33,6.706400386031172e-13,2.7805340946679686e-54,1.5514831441490392e-47,2.7175864086215003e-47,2.077671526132332e-34,3.907918310628857e-21,1.1267368350619317e-61,2.5300697977781754e-56,2.9418046341856686e-51,5.111372010817937e-53,8.484404300826384e-44,2.176450325210569e-53,1.5370696509586884e-63,2.174243834472566e-39,6.3307574194208e-51,5.940281913423789e-35,1.0105019908042269e-64,9.698077491308844e-47,1.9471312908271263e-32,4.2863965319553725e-48,1.3591429411115978e-60,4.118003131214229e-74
8.382671110187643e-20,0.1902595916918797,3.76,0.0,0.8456483693424726,0.9999999999986584,3.261344447281525e-43,4.106863624533899e-31,3.1440888224237033e-15,3.144088822421805e-15,4.337828827154225e-17,1.1633583513963723e-32,1.4261546354032803e-31,1.0636165088192556e-26,1.8970869389447434e-27,3.032289899367304e-39,7.817533502652002e-21,4.337828826280432e-17,8.459753551101453e-31,1.7998016445265115e-17,6.566163724278684e-23,4.264407571557255e-31,1.088316727646806e-30,3.5619647699260654e-35,2.0443648931000654e-34,2.5934708534542413e-31,3.9685382281260317e-44,1.0486349981167794e-39,1.7998016445265066e-17,1.0952073596882061e-35,4.966763731515863e-53,1.314722477455065e-33,1.9083106943693015e-32,1.3415712796763247e-12,2.225272337055561e-53,1.2418153310680942e-46,2.175170388758065e-46,8.313392397028881e-34,7.817533502851486e-21,1.80375734177476e-60,2.0248247782244284e-55,2.3543377818236976e-50,4.090651058892691e-52,6.790102023580652e-43,1.7418217286231226e-52,2.4607341024406727e-62,8.699811630227386e-39,5.066529981948589e-50,2.3768865222740664e-34,1.61746271533644e-63,7.761409435942789e-46,7.791061419262261e-32,3.4308545239621065e-47,2.1758091265679463e-59,1.3185001422155163e-72
1.6767161771300006e-19,0.1902595916918798,3.76,0.0,0.8456483693424693,0.9999999999973165,2.6095710739563798e-42,1.6430128753310507e-30,6.288860103892844e-15,6.288860103885248e-15,8.676599227738047e-17,4.6541909413935116e-32,5.705547196380444e-31,2.506985880509693e-26,7.589583064582646e-27,2.426292630341649e-38,1.5636763886498463e-20,8.676599225990474e-17,3.3844522864549516e-30,3.5999939557872285e-17,1.3133752979913476e-22,1.706040710374362e-30,4.3539755798738555e-30,1.4250178491971785e-34,8.178790782873652e-34,1.0375572178523884e-30,3.1754335422404136e-43,4.1952231258853576e-39,3.5999939557872094e-17,4.3815425952086855e-35,3.9741658779988614e-52,5.259746033692317e-33,7.63448539175519e-32,2.6834337608455586e-12,1.78055596670959e-52,9.937038525957947e-46,1.740576923406923e-45,3.325898294423924e-33,1.5636763887296532e-20,2.8867946943415644e-59,1.6201674644819965e-54,1.8838279316692303e-49,3.2731423599330155e-51,5.433113271561192e-42,1.3937220277503666e-51,3.938313068906712e-61,3.480494517225309e-38,4.0539937685936124e-49,9.509093819478102e-34,2.5884681003022015e-62,6.210306776874043e-45,3.116931891154492e-31,2.7453787082593338e-46,3.4822392082428375e-58,4.2203834404538976e-71
3.3536143093524733e-19,0.19025959169188,3.76,0.0,0.8456483693424629,0.9999999999946326,2.0878550914515533e-41,6.572586406162096e-30,1.2578402666831058e-14,1.2578402666800671e-14,1.7354140028881586e-16,1.8618278959150973e-31,2.282404621916303e-30,6.532414163431758e-26,3.036080305174167e-26,1.9412184082915676e-37,3.127522465299321e-20,1.7354140025387077e-16,1.3538910955983214e-29,7.200378578308635e-17,2.6268932311263364e-22,6.824718245791435e-30,1.7417319758964066e-29,5.700535312339682e-34,3.271782574205695e-33,4.1505666471482474e-30,2.5405880434895028e-42,1.6782260687821765e-38,7.200378578308559e-17,1.7527596796835833e-34,3.1796350130865444e-51,2.10406966725239e-32,3.0540426954440695e-31,5.367158719275307e-12,1.4245800271146135e-51,7.950637294714346e-45,1.392637805315413e-44,1.3304675926081703e-32,3.127522465618575e-20,4.6194979579084406e-58,1.296257041761782e-53,1.5072054430880658e-48,2.618762519513062e-50,4.346903320966222e-41,1.115083492927909e-50,6.302211877322264e-60,1.3923138087679666e-37,3.2435029609688655e-48,3.8039470928088915e-33,4.14197121738534e-61,4.968717161532489e-44,1.2468742283761222e-30,2.1965810361856688e-45,5.572338525391773e-57,1.3507120074278263e-69
6.707410573797418e-19,0.19025959169188045,3.76,0.0,0.84564836934245,0.999999999989265,1.6703633777649487e-40,2.629141559811354e-29,2.5157487792707216e-14,2.5157487792585674e-14,3.4709221631072265e-16,7.44761464441464e-31,9.129989981087141e-30,1.9138028887335003e-25,1.2144815396855472e-25,1.553048452163984e-36,6.255214618119002e-20,3.4709221624086344e-16,5.41578475200962e-29,1.4401147823351337e-16,5.253929425428434e-22,2.729998384122e-29,6.967211401537819e-29,2.2803069113983464e-33,1.308766283789943e-32,1.6602942154070435e-29,2.0325669238790484e-41,6.713179377858315e-38,1.4401147823351033e-16,7.011324013300835e-34,2.543829455313678e-50,8.416621323211894e-32,1.2216667862456321e-30,1.0734608620499926e-11,1.1397181268364094e-50,6.360912450101987e-44,1.114180755371073e-43,5.322086927865055e-32,6.255214619396072e-20,7.391697925081309e-57,1.0370548645387956e-52,1.2058215966005814e-47,2.0951094733561246e-49,3.477687744760395e-40,8.921091472593997e-50,1.0084267882715492e-58,5.569503413152749e-37,2.5949255537666247e-47,1.5216407498484228e-32,6.627491772978261e-60,3.975162432745495e-43,4.9876998645457456e-30,1.757376063561183e-44,8.916346317345172e-56,4.322581336837135e-68
1.3415003102687309e-18,0.19025959169188134,3.76,0.0,0.8456483693424244,0.9999999999785297,1.3363224368270052e-39,1.0516780338306556e-28,5.031565804445847e-14,5.03156580439723e-14,6.941938483506799e-16,2.9791064799948153e-30,3.6520702872150195e-29,6.256829096653275e-25,4.858024995638579e-25,1.2424682527083465e-35,1.2510598921841298e-19,6.941938482110909e-16,2.1663579753016306e-28,2.8802686313436303e-16,1.0508003126161117e-21,1.092021571998565e-28,2.786941261186554e-28,9.121413222210888e-33,5.235171645273615e-32,6.641311969085869e-29,1.6260921358572436e-40,2.685327937579929e-37,2.8802686313435085e-16,2.804586666216139e-33,2.035112966070413e-49,3.3667171689106524e-31,4.886766551285874e-30,2.146950836040964e-11,9.11796145315037e-50,5.088891011011287e-43,8.913728098918138e-43,2.1288780834392505e-31,1.2510598926949673e-19,1.182711764569107e-55,8.296635852959403e-52,9.646801746988804e-47,1.676127362536899e-48,2.782216229059871e-39,7.137042632094059e-49,1.6135411886033025e-57,2.2278639346891738e-36,2.0759897182854037e-46,6.086686807182421e-32,1.0604257100667564e-58,3.1802054255040816e-42,1.9951205367383652e-29,1.4059453460388107e-43,1.4266637866017215e-54,1.383274495461575e-66
2.683018816046709e-18,0.190259591691883,3.76,0.0,0.8456483693423731,0.9999999999570592,1.0690706625595204e-38,4.206755035963006e-28,1.0063199854795678e-13,1.0063199854601207e-13,1.3883971124151704e-15,1.191654723750907e-29,1.4608429697927488e-28,2.22304945643732e-24,1.9432297657347497e-24,9.93986398678805e-35,2.502136752161761e-19,1.3883971121365171e-15,8.665520049305812e-28,5.760576329360449e-16,2.1016155776140526e-21,4.368130731434611e-28,1.114787844667119e-27,3.6486024048493343e-32,2.094089960323744e-31,2.656551802931868e-28,1.300889147734902e-39,1.0741433443510222e-36,5.760576329359962e-16,1.1218460795405697e-32,1.6281114499889375e-48,1.3467006816642124e-30,1.9547264926699397e-29,4.2939307590070967e-11,7.294455758421327e-49,4.071177230615947e-42,7.131095307823587e-42,8.515598959400107e-31,2.502136754205132e-19,1.8923709002763073e-54,6.6373874690755e-51,7.717532987766311e-46,1.3409178032889482e-47,2.2257993909702191e-38,5.709701948710544e-48,2.581712611551984e-56,8.911684342459767e-36,1.6608114849357907e-45,2.4346994687587463e-31,1.6967027560633223e-57,2.5441945259441527e-41,7.980563329429866e-29,1.1247740751575956e-42,2.2827007598060713e-53,4.42655593353066e-65
5.366055827602665e-18,0.19025959169188644,3.76,0.0,0.8456483693422705,0.9999999999141183,8.552616458526566e-38,1.6827106589091658e-27,2.0126467955493658e-13,2.012646795471577e-13,2.776803640482452e-15,4.7666432162118027e-29,5.8434015556642205e-28,8.332827770192543e-24,7.772958597466285e-24,7.951938375214133e-34,5.004290469049715e-19,2.7768036399272483e-15,3.466225648075917e-27,1.1521191725393387e-15,4.2032482070156044e-21,1.7472611863777048e-27,4.459174058972587e-27,1.459448385414654e-31,8.376402445928515e-31,1.0626261191086566e-27,1.0407174940749847e-38,4.296605171615209e-36,1.1521191725391437e-15,4.4874071505590793e-32,1.3024996967307112e-47,5.386831043401342e-30,7.818945640911344e-29,8.58789050487613e-11,5.835599276307107e-48,3.256967554135385e-41,5.704921385419274e-41,3.406256909194241e-30,5.004290477223239e-19,3.027819099522551e-53,5.309941507748532e-50,6.174063025373664e-45,1.0727406071872693e-46,1.7806500664460565e-37,4.567788793200318e-47,4.1307776968998625e-55,3.564802229037201e-35,1.3286570720209877e-44,9.738847239887623e-31,2.714741701023143e-56,2.0353676845157737e-40,3.1922415682704166e-28,8.998263794774379e-42,3.652352176618036e-52,1.416510305446502e-63
1.0732129850714578e-17,0.19025959169189333,3.76,0.0,0.8456483693420653,0.9999999998282363,6.842114118621069e-37,6.730860439585056e-27,4.0253004156882855e-13,4.02530041537713e-13,5.553616696370222e-15,1.9066621968125946e-28,2.337366530815536e-27,3.221256527422064e-23,3.109191345423724e-23,6.361569573620058e-33,1.0008597890556416e-18,5.553616695268231e-15,1.3864937838331492e-26,2.3042422517456464e-15,8.406521863441835e-21,6.989062573768006e-27,1.783674159514493e-26,5.837808390632592e-31,3.350569499329342e-30,4.250515231149313e-27,8.32576465984968e-38,1.718654391878638e-35,2.304242251744865e-15,1.7949674316627414e-31,1.0420073414265435e-46,2.1547386314597246e-29,3.1275861310232863e-28,1.7175809596361279e-10,4.668493338485469e-47,2.6055843523618997e-40,4.5639551758132145e-40,1.3625062289550238e-29,1.0008597923250554e-18,4.844531077886097e-52,4.247965847387492e-49,4.939265072565579e-44,8.581950303165085e-46,1.4245242594555665e-36,3.6542420832280906e-46,6.60927481059792e-54,1.4260128070191565e-34,1.0629288110910345e-43,3.895548667236129e-30,4.3436005394572446e-55,1.628298956274476e-39,1.2768998745598284e-27,7.198639512796384e-41,5.843788250347036e-51,4.532852821292324e-62
2.1464277896938403e-17,0.19025959169190704,3.76,0.0,0.845648369341655,0.9999999996564723,5.473700457249374e-36,2.6923481485174115e-26,8.050607655963426e-13,8.0506076547188e-13,1.1107242807158583e-14,7.62665897652049e-28,9.349477726278888e-27,1.2661276375372912e-22,1.2436781190700185e-22,5.089263206803788e-32,2.001721268449314e-18,1.1107242804988285e-14,5.545982175939747e-26,4.6084884101571414e-15,1.681310276679039e-20,2.7956286276505275e-26,7.134705708755314e-26,2.3351263276440177e-30,1.340229503935034e-29,1.700208210460121e-26,6.660621616586705e-37,6.874689929034203e-35,4.6084884101540176e-15,7.17987890913609e-31,8.33614297697281e-46,8.618971359953874e-29,1.251035979818626e-27,3.435164617832007e-10,3.7348003170783886e-46,2.0844716073703704e-39,3.651171386447104e-39,5.450031847844684e-29,2.0017212815269616e-18,7.751266111716018e-51,3.398377779436027e-48,3.95141791601449e-43,6.865570400587844e-45,1.139621065793423e-35,2.923398333959055e-45,1.057486563158903e-52,5.7047647947769305e-34,8.503443100002718e-43,1.5582213397836887e-29,6.94977186847813e-54,1.302641061514032e-38,5.107605992307798e-27,5.758923000190081e-40,9.350081011304124e-50,1.450516073373648e-60
4.2928573989386054e-17,0.19025959169193454,3.76,0.0,0.8456483693408342,0.9999999993129446,4.3789652813336765e-35,1.0769403834559431e-25,1.6101222136502902e-12,1.6101222131524402e-12,2.2214495024786605e-14,3.050665923346127e-27,3.7397932398392997e-26,5.019760543216087e-22,4.974715634973506e-22,4.071413582233673e-31,4.003444207606124e-18,2.221449502058072e-14,2.2183942716131077e-25,9.21698072697565e-15,3.3626398935500556e-20,1.1182521966796148e-25,2.8538840967116697e-25,9.340511266104388e-30,5.360921424227138e-29,6.800836814284124e-26,5.3285012580203267e-36,2.749928615954384e-34,9.216980726963158e-15,2.871953431829873e-30,6.669034334797216e-45,3.4475954355286857e-28,5.004146593901291e-27,6.870331293819282e-10,2.98784263906831e-45,1.667578939052692e-38,2.920940037545679e-38,2.1800141267133406e-28,4.003444259916542e-18,1.240203879929233e-49,2.718704336228348e-47,3.161136671271294e-42,5.492460351331205e-44,9.116974770575499e-35,2.338720930762778e-44,1.6919810680284676e-51,2.2824724199574552e-33,6.802759520286424e-42,6.232888453962107e-29,1.111964363727057e-52,1.0421135646520267e-37,2.0430436953838865e-26,4.6071429547623847e-39,1.4960145455497065e-48,4.6416564791176884e-59
