Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56),CH2F(45),C2H2F3O2(908),C2HF3O(401),CH3-CF2(64),CHF2-CH2(63),CFO(50),FC1(F)CO1(1321)
1.0320403271421957e-09,0.1566304439679632,3.76,0.0,0.5845494104189242,0.9993739218897875,2.1498034305183665e-14,8.615531244611466e-12,1.053334103858868e-06,1.0489047128965359e-06,2.9159061885072505e-08,1.3956716957043966e-13,1.3143256905534892e-13,4.398334224626555e-09,4.385504942794293e-09,3.514469626641669e-11,3.231229553441672e-11,2.9154363021561933e-08,1.125707231712799e-11,1.997630431468307e-09,1.2169510820344987e-11,2.57919136678378e-12,5.210566029589192e-12,8.107552882734261e-18,9.298868010914963e-17,3.034097328178212e-13,3.2368277706002793e-16,8.217163532060916e-20,1.98171516576015e-09,1.5488909882197607e-18,3.72629413320363e-23,6.1525941865920066e-15,1.297386999390234e-15,0.0006260445092144808,5.227072540802681e-27,2.3775625006956264e-19,5.880433032030812e-19,5.06648824622327e-18,4.267897389279541e-13,4.339738381119984e-23,7.363761027754632e-30,3.550060151401407e-26,9.153975063197779e-28,1.4716392722923825e-19,8.47091425030171e-28
1.0572184193050214e-09,0.15663044472254534,3.76,0.0,0.5845493839603775,0.9993739092092191,2.349073814753372e-14,9.202665593556706e-12,1.079031895629797e-06,1.0743839085936453e-06,2.987109073935939e-08,1.4735536192267604e-13,1.3535310039446486e-13,4.614666437923371e-09,4.6008850621031734e-09,3.77726875197333e-11,3.4631563167187036e-11,2.986559785217575e-08,1.1803096267205975e-11,2.047166665828569e-09,1.2930938287478498e-11,2.7109178346183765e-12,5.467520679191456e-12,8.568150435919777e-18,9.796357048945186e-17,3.1410907035959677e-13,3.479368844290416e-16,8.832633804930655e-20,2.0300611673008017e-09,1.6447664607409121e-18,4.085309634788049e-23,6.482669294802897e-15,1.3335636689589048e-15,0.0006260562591068046,5.715301321973393e-27,2.5533022428111863e-19,6.323156298844517e-19,5.446051976250156e-18,4.373215418793829e-13,4.760273095590096e-23,7.994056518274366e-30,3.910621540639256e-26,1.0285119910331194e-27,1.5816929621013147e-19,9.329170151170306e-28
1.0823965114678472e-09,0.1566304454771308,3.76,0.0,0.5845493575017517,0.9993738989052122,2.561767219743628e-14,9.81558260054919e-12,1.1047297085106067e-06,1.099857864715588e-06,3.058318430951908e-08,1.5536238448047087e-13,1.3927533676217905e-13,4.836148504950255e-09,4.8213693606997476e-09,4.0528155820181284e-11,3.7055676338263664e-11,3.057683424336549e-08,1.236158337412224e-11,2.0967606510581736e-09,1.372225692263609e-11,2.84603068926518e-12,5.73064098956868e-12,9.044206305878462e-18,1.0309556254628572e-16,3.248610316552755e-13,3.733723998546352e-16,9.478079621959683e-20,2.0784071332321184e-09,1.7443541544619923e-18,4.468835193651106e-23,6.8214443543084e-15,1.369804898279776e-15,0.000626065627158955,6.2366782692430105e-27,2.737372454593002e-19,6.787648888482507e-19,5.8441001546819074e-18,4.4786210208096506e-13,5.2097898121823473e-23,8.661381719803545e-30,4.298095298993307e-26,1.1530553273755866e-27,1.697087081393066e-19,1.0250932058134135e-27
1.1075746036306729e-09,0.1566304462317196,3.76,0.0,0.5845493310430446,0.9993738904947094,2.788466535396306e-14,1.0454824719027647e-11,1.1304275435118583e-06,1.125326582339124e-06,3.129534500661038e-08,1.6358822337670497e-13,1.4319900443591566e-13,5.062777411197305e-09,5.046953778853949e-09,4.341408561209071e-11,3.958660908882003e-11,3.1288072237343554e-08,1.293250269067296e-11,2.146413745411776e-09,1.4544004206725402e-11,2.9845335113541594e-12,5.99992566553259e-12,9.535926406333944e-18,1.0838730085328222e-16,3.356624852977656e-13,4.0001733238178296e-16,1.0154212855961553e-19,2.1267530635935934e-09,1.847720108192577e-18,4.877872612765007e-23,7.168918288451659e-15,1.406110638355013e-15,0.0006260730964291405,6.792652115749158e-27,2.9299549115935214e-19,7.274441598901321e-19,6.2610711763915495e-18,4.584116316565012e-13,5.689496742698756e-23,9.366936844135937e-30,4.7138068809022394e-26,1.2899474338457923e-27,1.8179469296665687e-19,1.1239254272117955e-27
1.1327526957934986e-09,0.1566304469863119,3.76,0.0,0.5845493045842535,0.9993738835931544,3.029766783723718e-14,1.11209340540539e-11,1.1561254016628572e-06,1.1507900625408604e-06,3.2007575259397505e-08,1.7203285278880286e-13,1.471238628959146e-13,5.294550143233814e-09,5.277634259341592e-09,4.6433458966006155e-11,4.222631434098053e-11,3.199931187598883e-08,1.3515823396667309e-11,2.1961273063487038e-09,1.5396717222988527e-11,3.1264296999664696e-12,6.27537341207184e-12,1.0043516739148147e-17,1.1384149112051038e-16,3.465104926688819e-13,4.278996851733232e-16,1.0861745379134482e-19,2.1750989584247143e-09,1.9549303695313646e-18,5.313436747158153e-23,7.525090011809602e-15,1.4424808494381241e-15,0.0006260790514737403,7.384701389338085e-27,3.1312306817575744e-19,7.784065812827586e-19,6.697403395468369e-18,4.689703426180025e-13,6.200619317351496e-23,1.0111927951274939e-29,5.159115896155627e-26,1.4401645785988755e-27,1.9443977318494154e-19,1.229726279166547e-27
1.1579307879563243e-09,0.15663044774090776,3.76,0.0,0.5845492781253762,0.9993738778938455,3.286275111050034e-14,1.1814452362533404e-11,1.1818232840114542e-06,1.1762483063972372e-06,3.271987751421434e-08,1.8069623640294472e-13,1.5104970077408808e-13,5.5314636887342755e-09,5.513406747457593e-09,4.958925558015799e-11,4.4976724099978605e-11,3.2710553200911445e-08,1.411151479897457e-11,2.245902690533246e-09,1.628093265722829e-11,3.271722484450347e-12,6.556982934368372e-12,1.0567183397345769e-17,1.194609001566498e-16,3.5740229621732056e-13,4.570474555108231e-16,1.1601389068664014e-19,2.223444817764969e-09,2.0660509952448606e-18,5.776555183888027e-23,7.88995843230058e-15,1.4789154988403948e-15,0.0006260837989954893,8.014334335656775e-27,3.3413801298202873e-19,8.317053498900357e-19,7.153535128463262e-18,4.795384468660258e-13,6.744399832659454e-23,1.0897566622877844e-29,5.635416332260626e-26,1.604741744771797e-27,2.076564639239028e-19,1.3428155297828013e-27
1.18310888011915e-09,0.15663044849550728,3.76,0.0,0.5845492516664101,0.9993738731519054,3.5586107802229614e-14,1.2535921053434955e-11,1.207521191623845e-06,1.2017013149845189e-06,3.343225423481602e-08,1.8957832869509383e-13,1.5497633230961676e-13,5.773515036501082e-09,5.754267191026636e-09,5.2884452781941285e-11,4.783974965438667e-11,3.342179625350322e-08,1.4719546331562474e-11,2.2957412538349493e-09,1.7197186798031993e-11,3.4204149355123197e-12,6.8447529378109036e-12,1.1107132568163168e-17,1.2524835583199497e-16,3.683353084591912e-13,4.87488634795514e-16,1.2373855812357755e-19,2.271790641653839e-09,2.181148051649563e-18,6.268267930231132e-23,8.263522452747788e-15,1.5154145593052524e-15,0.0006260875838714781,8.683088841127849e-27,3.5605829216990745e-19,8.87393721285594e-19,7.629904657657898e-18,4.901161561900121e-13,7.322097107739853e-23,1.1725069653118135e-29,6.144136782544429e-26,1.7847750454606435e-27,2.214572730447357e-19,1.4635201139585376e-27
1.2082869722819757e-09,0.15663044925011047,3.76,0.0,0.584549225207353,0.9993738691720152,3.8474051628303706e-14,1.3285881188009622e-11,1.2332191255843745e-06,1.2271490893787874e-06,3.4144707902220706e-08,1.9867907604912082e-13,1.589035942551984e-13,6.02070117648439e-09,6.000211540411671e-09,5.632202552940086e-11,5.0817281774427834e-11,3.413304107497621e-08,1.5339887555527677e-11,2.345644351328914e-09,1.8146015536992923e-11,3.572509975623305e-12,7.138682128005977e-12,1.1663570536121383e-17,1.3120674704229522e-16,3.793071016617186e-13,5.192512085492905e-16,1.3179857514311951e-19,2.3201364301308064e-09,2.300287614997618e-18,6.789627109926564e-23,8.64578097201286e-15,1.5519780078311173e-15,0.0006260906014219778,9.392532355858747e-27,3.7890180288794817e-19,9.455250098754822e-19,8.126950234357357e-18,5.007036822686266e-13,7.934986148839146e-23,1.259565875625575e-29,6.686740680003425e-26,1.981424188316031e-27,2.358547012348995e-19,1.5921741320146125e-27
1.2334650644448015e-09,0.15663045000471754,3.76,0.0,0.5845491987482022,0.9993738657986021,4.153301731421837e-14,1.4064873480008576e-11,1.2589170869953404e-06,1.2525916306559336e-06,3.485724101454543e-08,2.0799841773925652e-13,1.6283134315862826e-13,6.273019099799687e-09,6.251235748520738e-09,5.990494641272065e-11,5.391119090840565e-11,3.484428770639347e-08,1.5972508159119304e-11,2.395613337296103e-09,1.912795436892996e-11,3.728010388795168e-12,7.438769210787147e-12,1.223670368612262e-17,1.3733902367342755e-16,3.903153981547725e-13,5.52363156415753e-16,1.4020106100608883e-19,2.368482183235352e-09,2.4235357718658578e-18,7.341696667175477e-23,9.036732885881018e-15,1.5886058247528204e-15,0.0006260930072195756,1.0144261816586657e-26,4.026863732794759e-19,1.0061525890249832e-18,8.645110082205545e-18,5.113012366701046e-13,8.58435782181184e-23,1.3510560289928472e-29,7.264726536835217e-26,2.195914989056189e-27,2.50861242103254e-19,1.7291188485089626e-27
1.2586431566076272e-09,0.15663045075932847,3.76,0.0,0.5845491722889554,0.9993738629077381,4.47695605173499e-14,1.4873438295899996e-11,1.2846150769768024e-06,1.278028939891652e-06,3.556985608683863e-08,2.1753628679739418e-13,1.6675945296295724e-13,6.530465798743492e-09,6.507335770812514e-09,6.363618565571643e-11,5.7123327377280865e-11,3.555553618869463e-08,1.6617377957756172e-11,2.445649565223653e-09,2.0143538392105555e-11,3.886918829774149e-12,7.745012892222713e-12,1.2826738506569826e-17,1.436481965668991e-16,4.0135806122400874e-13,5.868524521612891e-16,1.489531352504466e-19,2.41682790100695e-09,2.55095861954816e-18,7.92555207814686e-23,9.436377087791959e-15,1.6252979929832291e-15,0.0006260949251931519,1.0939903569690396e-26,4.2742976291990103e-19,1.0693298911894719e-18,9.184822400522846e-18,5.219090308525949e-13,9.271518532303741e-23,1.4471004993241534e-29,7.879628189610696e-26,2.429541933388896e-27,2.664893822755066e-19,1.87470269123086e-27
1.3089993409332788e-09,0.15663045226856231,3.76,0.0,0.5845491193701631,0.9993738582015352,5.180220629821956e-14,1.65814452301167e-11,1.3360111472191114e-06,1.328887866540584e-06,3.699534225514928e-08,2.37267312187992e-13,1.7461632625044893e-13,7.060733498687226e-09,7.034747092555742e-09,7.155548829313994e-11,6.390958411666136e-11,3.697803886919848e-08,1.7943745037740414e-11,2.5459291569411242e-09,2.227778042374218e-11,4.2149698177957105e-12,8.375964876539852e-12,1.405833964885374e-17,1.5680957908612042e-16,4.2353859553354476e-13,6.60074952975837e-16,1.6753452876740335e-19,2.51351923070921e-09,2.8185928325013263e-18,9.192978364844914e-23,1.0261737920790543e-14,1.6988753247856432e-15,0.0006260976697927659,1.266957592461321e-26,4.79863698027029e-19,1.2035476906590782e-18,1.0330657144464641e-17,5.431561838448886e-13,1.0764508540512453e-22,1.653346733243529e-29,9.226492376490435e-26,2.95974138161405e-27,2.996603726943604e-19,2.1932172768863623e-27
1.3543199068263652e-09,0.1566304536268871,3.76,0.0,0.5845490717428963,0.9993738548177074,5.880714222642821e-14,1.8225203356265324e-11,1.3822677197416356e-06,1.3746430177301604e-06,3.8278585681266295e-08,2.5577182403701553e-13,1.816877687811525e-13,7.555484692650733e-09,7.526736044150804e-09,7.921985834519517e-11,7.04397097658557e-11,3.825829802049164e-08,1.917906744907509e-11,2.6364243189322162e-09,2.431902480042705e-11,4.521895442020897e-12,8.964864254115426e-12,1.5226658112232743e-17,1.692912601915326e-16,4.435997694238543e-13,7.309662459872608e-16,1.8552480611871245e-19,2.6005413069985764e-09,3.0744043882839758e-18,1.0453385149777004e-22,1.103427916419132e-14,1.7653148679784321e-15,0.0006260992701422626,1.4393376014463656e-26,5.305101770530162e-19,1.3336010119788371e-18,1.1440013499871597e-17,5.623157606956398e-13,1.2250851210185336e-22,1.8557869090937825e-29,1.0581041857892577e-25,3.516852146399553e-27,3.317652599363291e-19,2.5130682741172963e-27
1.3996404727194516e-09,0.1566304549852258,3.76,0.0,0.5845490241152786,0.9993738519536373,6.649490194888916e-14,1.9973164389179487e-11,1.4285244030434611e-06,1.4203812338253705e-06,3.956213452732392e-08,2.7498310931413047e-13,1.8875901725718245e-13,8.06680639916061e-09,8.035107849943187e-09,8.74108648054555e-11,7.738076842195295e-11,3.953856380146677e-08,2.0453613634764895e-11,2.727158358057889e-09,2.6477583342915836e-11,4.839899314631149e-12,9.573690899417883e-12,1.6452954360745384e-17,1.8239569234012169e-16,4.637446523313784e-13,8.067549256404867e-16,2.0475849166664478e-19,2.6875632694230945e-09,3.3447704194304378e-18,1.1834002019561116e-22,1.1834966152740537e-14,1.831962711443851e-15,0.0006261003336516024,1.6286080925630722e-26,5.845363395208133e-19,1.4727491328504302e-18,1.262601398124851e-17,5.815117980396615e-13,1.388062560826643e-22,2.074914662577634e-29,1.2080694397686747e-25,4.159515666135346e-27,3.6607801191258186e-19,2.8666561007001484e-27
1.444961038612538e-09,0.156630456343579,3.76,0.0,0.5845489764872951,0.9993738494270044,7.490808053450059e-14,2.1828467217281778e-11,1.4747812042741882e-06,1.466102521092146e-06,4.084600405042185e-08,2.9490063334417124e-13,1.958297397116774e-13,8.594681121533857e-09,8.55983901478303e-09,9.614574465266781e-11,8.474284836369296e-11,4.0818836448317536e-08,2.1767212156886826e-11,2.818139139193599e-09,2.8756562433844882e-11,5.168993268978804e-12,1.0202437275366254e-11,1.7738436796557684e-17,1.9614263457944532e-16,4.839648656862666e-13,8.876039225825437e-16,2.2527712423462813e-19,2.774585118212967e-09,3.6300768457679194e-18,1.3341482712820825e-22,1.2663792399077055e-14,1.8988187960314863e-15,0.0006261010426439941,1.835822879420376e-26,6.4204333735892725e-19,1.6213058266547594e-18,1.3891213735297306e-17,6.007455251669142e-13,1.5661973119626322e-22,2.3114606354021325e-29,1.3735706982386627e-25,4.8981196574869105e-27,4.0267121081211755e-19,3.2562717000263034e-27
1.4902816045056243e-09,0.15663045770194717,3.76,0.0,0.5845489288589303,0.9993738471190916,8.409053636150398e-14,2.379424710045912e-11,1.5210381307550864e-06,1.5118068857941626e-06,4.213020967147598e-08,3.155238368569481e-13,2.0289967351162494e-13,9.139091376281229e-09,9.10090607045092e-09,1.054417101441083e-10,9.253584147521138e-11,4.209911619678632e-08,2.3119692912074802e-11,2.9093745189072945e-09,3.1159064310079214e-11,5.509188345781452e-12,1.0851095847642948e-11,1.9084315164961884e-17,2.1055248338765002e-16,5.042529527351442e-13,9.736761058581252e-16,2.4712225022654713e-19,2.8616068535983997e-09,3.9307097320458305e-18,1.4982581442606689e-22,1.3520751413160277e-14,1.9658830669547474e-15,0.0006261015158394239,2.0620660378394737e-26,7.031316373460559e-19,1.779585498885267e-18,1.5238167927035044e-17,6.200181702401742e-13,1.7603175252326397e-22,2.566158421938804e-29,1.5556728942462097e-25,5.743993805262616e-27,4.416173732322584e-19,3.684281167566885e-27
1.5356021703987107e-09,0.1566304590603309,3.76,0.0,0.5845488812301692,0.9993738449520861,9.408738965672756e-14,2.5873635674078362e-11,1.5672951899757483e-06,1.5574943341928187e-06,4.3414766971945174e-08,3.3685214125383134e-13,2.0996861078305597e-13,9.700019693225972e-09,9.658285575658683e-09,1.153159488439798e-10,1.0076944662158456e-10,4.337940328223586e-08,2.451088713105243e-11,3.0008723454657174e-09,3.368818706674369e-11,5.860494893043182e-12,1.1519659084725218e-11,2.0491800617000322e-17,2.2564627216634646e-16,5.246022800593526e-13,1.0651342829329912e-15,2.703354247572308e-19,2.948628475809611e-09,4.247055295881099e-18,1.67641485778026e-22,1.44058367039729e-14,2.03315547203754e-15,0.0006261018310541608,2.3084517625094244e-26,7.679010292529386e-19,1.947903190273661e-18,1.6669431806340143e-17,6.393309603019468e-13,1.9712648765163264e-22,2.839744271135055e-29,1.7554807537073686e-25,6.709466235436526e-27,4.829889520283861e-19,4.153125746926975e-27
1.580922736291797e-09,0.15663046041873058,3.76,0.0,0.5845488336009957,0.9993738428738775,1.0494502103646444e-13,2.8069760952975332e-11,1.6135523895908003e-06,1.6031648725472216e-06,4.469969169059314e-08,3.588849527830223e-13,2.1703638685578636e-13,1.0277448615602273e-08,1.0231954116040521e-08,1.2578562365180325e-10,1.0945317296602592e-10,4.465969793969723e-08,2.5940627378031983e-11,3.0926404588407396e-09,3.634702466123562e-11,6.2229226553312075e-12,1.2208119457905977e-11,2.1962105772792188e-17,2.4144567076366967e-16,5.450069497042559e-13,1.1621411997175923e-15,2.9495821279210914e-19,3.0356499850768345e-09,4.579499915805443e-18,1.8693126526599726e-22,1.5319041780602258e-14,2.1006359606004147e-15,0.0006261020404013351,2.576124224650078e-26,8.3645063395713595e-19,2.1265745800416863e-18,1.8187560775148452e-17,6.586851212814449e-13,2.1998941005735194e-22,3.1329568191114464e-29,1.9741393731240632e-25,7.80792159511985e-27,5.268583381718371e-19,4.6653218322133434e-27
