Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56),CH2F(45),C2H2F3O2(908),C2HF3O(401),CH3-CF2(64),CHF2-CH2(63),CFO(50),FC1(F)CO1(1321),CH2O(19),CHF2-CHF(66),HCO(14),[O]O[C](F)F(171)
8.858500660537339e-19,0.11840434584117636,3.76,0.0,0.8475204466148362,0.9999999999996844,8.015106806641936e-45,2.4096907943668518e-33,2.806594594373705e-19,2.806594594367054e-19,3.9510507330982086e-20,8.634418679215313e-36,1.1044355007346393e-34,6.646925970534424e-31,6.606684111136407e-31,1.9555202253100816e-42,6.266315912421463e-28,3.951050733106205e-20,8.150113845833732e-32,2.232605096619385e-23,2.0011241409805823e-30,2.4097246606102673e-33,4.355161829497015e-33,1.6178901502021603e-42,4.987822013936177e-40,6.833317242051255e-35,6.972056138919269e-48,1.0721056864784967e-47,2.232605096619379e-23,4.345439690385437e-44,5.159381097247567e-59,2.491102075984179e-40,4.0253479976945114e-39,3.156343360616982e-13,3.389595937968808e-64,2.1334695498160673e-52,8.169596110351221e-52,1.7248407935175048e-40,6.266315914550542e-28,4.8091833530709196e-64,1.3569622430239052e-68,2.368487543048712e-60,2.491720663517608e-62,5.677354260788487e-54,2.4715368473822014e-62,3.2584229359336376e-70,1.991881554409466e-49,8.154898420893579e-60,1.990151637202713e-41
1.7724697672647688e-18,0.11840434584117636,3.76,0.0,0.8475204466148362,0.9999999999993685,6.41695897405504e-44,9.645043013993317e-33,5.615627585441046e-19,5.615627585414423e-19,7.905534177501225e-20,3.4560178365153384e-35,4.420620224242073e-34,2.6524489126113286e-30,2.6443953960103534e-30,1.5656052202549434e-41,1.2538076056794857e-27,7.905534177534035e-20,3.262169519286091e-31,4.4671499022714537e-23,4.012841621626169e-30,9.645178566219259e-33,1.743199719723587e-32,6.475777091677586e-42,1.9964286695015544e-39,2.735107709750349e-34,5.581884219735528e-47,4.291219163445514e-47,4.46714990227143e-23,1.7393083772693546e-43,4.1306441849385535e-58,9.970901655588306e-40,1.611188221172292e-38,6.315428948218538e-13,2.7137415933315826e-63,1.708505959785877e-51,6.542302722199451e-51,6.903858239009235e-40,1.2538076065316642e-27,7.703051253420494e-63,1.0864364690391454e-67,1.896230176274255e-59,1.9948916036793024e-61,4.545335483063282e-53,1.978732291002485e-61,5.219543862274649e-69,8.567746644575329e-49,6.528877263959996e-59,7.965792969997668e-41
3.5457091696868386e-18,0.11840434584117636,3.76,0.0,0.8475204466148362,0.9999999999987367,5.1355174251487266e-43,3.8592735314921875e-32,1.1233693567575726e-18,1.1233693567469198e-18,1.581450106625181e-19,1.3828574381248228e-34,1.7688238855985462e-33,1.0597143193933172e-29,1.0581026068446156e-29,1.2529599955797296e-40,2.5081596332671846e-27,1.5814501066384696e-19,1.3052927249605223e-30,8.936239513575592e-23,8.062852349727633e-30,3.85932776923424e-32,6.975069501647951e-32,2.591154463700139e-41,7.988315146740827e-39,1.094399347426891e-33,4.4672038243365655e-46,1.7170485667738514e-46,8.936239513575495e-23,6.959499438068575e-43,3.30577422846065e-57,3.9896605144980046e-39,6.446851443545728e-38,1.2633600018854867e-12,2.171824156083507e-62,1.3674972340465922e-50,5.23649380656745e-50,2.762442564865924e-39,2.5081596366769462e-27,1.2331572128190851e-61,8.695459243011492e-67,1.5175604441005487e-58,1.5965195712736902e-60,3.6376498066792865e-52,1.583587230564325e-60,8.356127094480831e-68,3.904393196904771e-48,5.225086070073427e-58,3.1873547296365717e-40
7.092187974530978e-18,0.11840434584117636,3.76,0.0,0.8475204466148362,0.999999999997473,4.109194206487541e-42,1.5439607140882403e-31,2.2469825531845086e-18,2.246982553141891e-18,3.1632434843531177e-19,5.5323313061536605e-34,7.07644719893507e-33,4.236325835688475e-29,4.23309942233175e-29,1.0025583648757878e-39,5.01686368329499e-27,3.1632434844066027e-19,5.222020855330959e-30,1.7874418736183868e-22,1.6269176873215962e-29,1.54398241207285e-31,2.790481989883947e-31,1.0366306057421169e-40,3.195846226514491e-38,4.3783100137598385e-33,3.574441783889447e-45,6.869327898227894e-46,1.7874418736183482e-22,2.7842532505960324e-42,2.645127235982647e-56,1.5961248627731464e-38,2.5791602823684846e-37,2.526994174186042e-12,1.7377990946668756e-61,1.0942748413621072e-49,4.1902559558042526e-49,1.1051569054695941e-38,5.0168636969357576e-27,1.97358690256744e-60,6.958753682474182e-66,1.2142789258025524e-57,1.2774582242366561e-59,2.9106725315080776e-51,1.2671104197240603e-59,1.3373690160431061e-66,1.9430163578489698e-47,4.1808627290319707e-57,1.2751493991665234e-39
1.4185145584219257e-17,0.11840434584117636,3.76,0.0,0.8475204466148362,0.9999999999949457,3.287667507140829e-41,6.176345499275486e-31,4.49420894603838e-18,4.494208945867897e-18,6.32683023972027e-19,2.213113500705319e-33,2.8308091478331043e-32,1.694023950798881e-28,1.6933775776850094e-28,8.02122847377587e-39,1.0034271762762871e-26,6.326830239934874e-19,2.0889783452827356e-29,3.5750777181400423e-22,3.3107038189687954e-29,6.17643229312561e-31,1.11628364025285e-30,4.146860654114495e-40,1.2784425315631092e-37,1.7514665368606622e-32,2.8598249458484185e-44,2.7479672367132576e-45,3.5750777181398857e-22,1.1137921817846027e-41,2.116311661442226e-55,6.385025998186697e-38,1.0317480066250256e-36,5.05426235148032e-12,1.3903869525179418e-60,8.755307082448382e-49,3.352629180618929e-48,4.4209874069423233e-38,1.0034271817326366e-26,3.1581673938616427e-59,5.569235932843825e-65,9.715153787417908e-57,1.0220636167321662e-58,2.328759123259615e-50,1.0137846397831147e-58,2.1401014227113434e-65,1.0820984767911991e-46,3.3450077659943815e-56,5.101012396229333e-39
2.8371060803595816e-17,0.11840434584117639,3.76,0.0,0.8475204466148362,0.9999999999898912,2.63025887245711e-40,2.470638735190603e-30,8.988661731746123e-18,8.988661731064159e-18,1.2654003750099694e-18,8.852821209631629e-33,1.1323696508618767e-31,6.7750829408124465e-28,6.773785937641644e-28,6.41728741683036e-38,2.0069087839368767e-26,1.2654003750959425e-18,8.356253399107483e-29,7.150349407183354e-22,6.848360990344323e-29,2.4706734500215224e-30,4.465316255959566e-30,1.6588123635497274e-39,5.11397821545319e-37,7.006151191473525e-32,2.287968569917157e-43,1.0992415799784681e-44,7.150349407182728e-22,4.455351936826722e-41,1.6931440183598975e-54,2.5541198693070994e-37,4.127159393500685e-36,1.010879803684164e-11,1.1123874431696815e-59,7.004689033228382e-48,2.6822731211547647e-47,1.768466922668842e-37,2.0069088057599537e-26,5.05341053149888e-58,4.4583274163778046e-64,7.772492002643254e-56,8.176897105399035e-58,1.8630957425027974e-49,8.11066298865124e-58,3.424411098724998e-64,6.7672986977061064e-46,2.67613325213481e-55,2.0404877256624105e-38
5.674289124234894e-17,0.11840434584117636,3.76,0.0,0.8475204466148362,0.9999999999797822,2.104257051269839e-39,9.882756041834519e-30,1.797756730316161e-17,1.7977567300433693e-17,2.5308350769439026e-18,3.5412061164937534e-32,4.529570080035558e-31,2.709830594040953e-27,2.709569501084952e-27,5.13395179125262e-37,4.0138719663429534e-26,2.53083507728806e-18,3.3425693641044957e-28,1.4300892785269977e-21,1.460401496768388e-28,9.882894871007855e-30,1.7861628419246682e-29,6.635389286581762e-39,2.0456329046640003e-36,2.802517463344251e-31,1.830418302297721e-42,4.3971354378224065e-44,1.4300892785267472e-21,1.7821785694267146e-40,1.3545702685904164e-53,1.0216731676284632e-36,1.6508968903312497e-35,2.021786673065604e-11,8.899711997560997e-59,5.603928578241777e-47,2.1458864095107045e-46,7.074011615557319e-37,4.013872053611368e-26,8.085731011976872e-57,3.57111014515343e-63,6.218141196105229e-55,6.541672959384161e-57,1.490511972425284e-48,6.488685757279323e-57,5.479256837933333e-63,4.657997173434437e-45,2.1409574179153542e-54,8.162114874362318e-38
1.134865521198552e-16,0.11840434584117636,3.76,0.0,0.8475204466148362,0.999999999959564,1.6834256310404806e-38,3.9531426585316645e-29,3.595537844599259e-17,3.59553784350808e-17,5.061704480243961e-18,1.4165013252495018e-31,1.8118459206882648e-30,1.08389171996731e-26,1.0838388254710549e-26,4.1072101758248775e-36,8.027798199629479e-26,5.061704481621122e-18,1.3370413463796059e-27,2.8601979541443236e-21,3.283668147882887e-28,3.9531981643852304e-29,7.14472404666153e-29,2.6541865822869857e-38,8.182614855575702e-36,1.1210183643370745e-30,1.4643520204693275e-41,1.7589357954536222e-43,2.8601979541433208e-21,7.128799084647434e-40,1.0837057203833578e-52,4.086769714904015e-36,6.603651099250722e-35,4.043599341065752e-11,7.120496055166497e-58,4.483213803281463e-46,1.716736292818571e-45,2.8296334334843276e-36,8.027798548501319e-26,1.2937388922764457e-55,2.863903785781616e-62,4.9745719968139506e-54,5.233400482045648e-56,1.1924237293708217e-47,5.191012375734142e-56,8.766970252675236e-62,3.424051796359384e-44,1.7127862596703298e-53,3.264877491916207e-37
2.269738738748677e-16,0.11840434584117636,3.76,0.0,0.8475204466148362,0.9999999999191278,1.3467485143934987e-37,1.5812651287884279e-28,7.191100073165456e-17,7.191100068800717e-17,1.0123443284572843e-17,5.666069874368217e-31,7.24741620580739e-30,4.335485841686634e-26,4.335377349922728e-26,3.285787636409798e-35,1.6055650141178203e-25,1.0123443290082544e-17,5.3481925849106466e-27,5.720415305378989e-21,8.018744887187721e-28,1.581287310138136e-28,2.8579041539092733e-28,1.0616831272195887e-37,3.2730625890589933e-35,4.484096067823775e-30,1.1714885676399572e-40,7.036288795292068e-43,5.7204153053749656e-21,2.8515439688340808e-39,8.670283525904314e-52,1.6347445782054322e-35,2.641470964521824e-34,8.087220394019663e-11,5.697457787383095e-57,3.586599417423942e-45,1.3733999000389332e-44,1.1318591324946707e-35,1.605565153502971e-25,2.06999976262542e-54,2.3023075038645556e-61,3.9796812160531434e-53,4.1867452375106486e-55,9.539446439025735e-47,4.152838004784682e-55,1.402727999824722e-60,2.6183012133129e-43,1.3702371356595916e-52,1.3059563032584737e-36
4.539485173848927e-16,0.11840434584117636,3.76,0.0,0.847520446614836,0.9999999998382556,1.077402036946587e-36,6.325076781784197e-28,1.4382224530297848e-16,1.4382224512838852e-16,2.0246920884145675e-17,2.266462317142547e-30,2.898970383389072e-29,1.734178127395929e-25,1.7341553478795858e-25,2.628637905038822e-34,3.2111351932803893e-25,2.0246920906186597e-17,2.1392824720912468e-26,1.144085000784841e-20,2.1843072230016634e-27,6.325165338571073e-28,1.143164568129029e-27,4.246768063511186e-37,1.309228364493294e-34,1.7936428311349518e-29,9.371936342520496e-40,2.814930538962536e-42,1.144085000783225e-20,1.1406283533530782e-38,6.937185510636977e-51,6.539221963363661e-35,1.056588744526582e-33,1.617444536777823e-10,4.559623183548145e-56,2.869290881193246e-44,1.0987242657488302e-43,4.527448061190491e-35,3.211135749508046e-25,3.3120136179737923e-53,1.8597249001149667e-60,3.1837544242707214e-52,3.3494061402201067e-54,7.631579789654123e-46,3.322285799239445e-54,2.24437505307277e-59,2.046264510013133e-42,1.0961929560819867e-51,5.223827810299614e-36
6.809231608949176e-16,0.11840434584117636,3.76,0.0,0.8475204466148359,0.9999999997573834,3.080698844211545e-36,1.344079848067207e-27,2.1573348987430245e-16,2.1573348950329839e-16,3.037039847463358e-17,4.816278037771141e-30,6.160311573827347e-29,3.6851183881265415e-25,3.685082867243937e-25,7.516267231890531e-34,4.8167051641583385e-25,3.0370398521471855e-17,4.545978650009844e-26,1.7161284710317976e-20,4.002157355280461e-27,1.3440986416004624e-27,2.429226523310452e-27,9.024430658445532e-37,2.7821123545273133e-34,3.8114936357782534e-29,2.6797900891409078e-39,5.98242013979094e-42,1.7161284710283523e-20,2.423850336173008e-38,1.9837763251960926e-50,1.3896190502264654e-34,2.2452493417758094e-33,2.426165320942384e-10,1.3040813547707036e-55,8.518216874838159e-44,3.2618413259993398e-43,9.620834355953263e-35,4.816706344212518e-25,1.2530033155838912e-52,5.351725987875963e-60,9.103554755371615e-52,9.577215505485106e-54,2.1821565082090686e-45,9.49967875300443e-54,8.556681325520993e-59,6.034029992473839e-42,3.134429114328214e-51,1.1100626702418092e-35
1.1348724479149675e-15,0.11840434584117639,3.76,0.0,0.8475204466148358,0.9999999995956399,1.415776024129567e-35,3.715988301291842e-27,3.595559790169504e-16,3.595559779912326e-16,5.0617353619269656e-17,1.3315901210692337e-29,1.70314254404152e-28,1.0188241768771097e-24,1.0188177519931647e-24,3.4542001538284354e-33,8.027844279676184e-25,5.0617353748767225e-17,1.256830285077576e-25,2.860215411525805e-20,9.379527304554404e-27,3.71604008313767e-27,6.716101640016012e-27,2.4950196444878608e-36,7.691727868857698e-34,1.0537664739529538e-28,1.231533028785087e-38,1.654429239394229e-41,2.860215411516204e-20,6.701327698940035e-38,9.119046750608976e-50,3.8421284042752207e-34,6.207434109354294e-33,4.043600036455356e-10,5.997616598393197e-55,3.9901167358592506e-43,1.5279169171457907e-42,2.6598796500636758e-34,8.027847528419062e-25,9.888841969152196e-52,2.508894771984409e-59,4.183659181665949e-51,4.401336273161768e-53,1.0028389255362936e-44,4.3657185131814285e-53,7.036467271192481e-58,2.8067340761053127e-41,1.4404684047459676e-50,3.0689877917359264e-35
1.532811593976467e-15,0.11840434584117636,3.76,0.0,0.8475204466148357,0.9999999994538535,3.1137305990202433e-35,6.521172119617082e-27,4.856330544752421e-16,4.856330526752145e-16,6.83661556514759e-17,2.3368351917817357e-29,2.9888334802607512e-28,1.7879280856252172e-24,1.787918894026454e-24,7.596857311182195e-33,1.0842779139433026e-24,6.836615587873271e-17,2.2056060658755966e-25,3.863140172370808e-20,1.5426024937170443e-26,6.521262794157287e-27,1.1786057911705189e-26,4.378533710024655e-36,1.3498180189934091e-33,1.8492500748145425e-28,2.708523039471116e-38,2.903918424513802e-41,3.863140172353875e-20,1.1760240658694273e-37,2.0058504344177543e-49,6.742799785342408e-34,1.0893372260645916e-32,5.461463722362559e-10,1.3197050785571712e-54,8.998960225670528e-43,3.4459301492064196e-42,4.667811397190159e-34,1.0842784825286474e-24,2.685483994908391e-51,5.5880515912712675e-59,9.201163954721316e-51,9.679903410901923e-53,2.205553786301099e-44,9.601590612114758e-53,1.9884223810143115e-57,6.315837649559481e-41,3.1680367127487696e-50,5.385741010214011e-35
1.9307507400379666e-15,0.11840434584117639,3.76,0.0,0.8475204466148356,0.9999999993120677,5.832041583541311e-35,1.0106733778058419e-26,6.117101299335341e-16,6.117101271437901e-16,8.611495765379201e-17,3.6217597648147686e-29,4.632188882708209e-28,2.7709894845001032e-24,2.770977259086624e-24,1.4228972320574248e-32,1.3657713330298422e-24,8.611495800600433e-17,3.418322986008109e-25,4.8660649332159475e-20,2.2905081292276782e-26,1.0106873993149123e-26,1.8266431763215786e-26,6.786055226747144e-36,2.091993686396847e-33,2.8660301106260305e-28,5.073084540911146e-38,4.5015034410709116e-41,4.8660649331895677e-20,1.8226595247245925e-37,3.757572534991168e-49,1.0450643563951243e-33,1.6882873824090661e-32,6.879321771734778e-10,2.472951297805629e-54,1.715589165890174e-42,6.56942611336925e-42,7.234332253758754e-34,1.365772211787482e-24,6.087667501252972e-51,1.0589901917754734e-58,1.7233851097418406e-50,1.813053384147677e-52,4.1310192506902653e-44,1.7983891518010346e-52,4.499362086579775e-57,1.2022916417787224e-40,5.933757171809718e-50,8.346983882555885e-35
2.3286898860994662e-15,0.11840434584117639,3.76,0.0,0.8475204466148355,0.9999999991702825,9.682853326917166e-35,1.4418005972292914e-26,7.37787205391826e-16,7.377872014120492e-16,1.0386375962831188e-16,5.166781360351063e-29,6.608152302215793e-28,3.953020130138447e-24,3.953004622448692e-24,2.3624153985564475e-32,1.647264690361001e-24,1.0386376013077082e-16,4.876491325795325e-25,5.868989694061238e-20,3.171634220670275e-26,1.4418205572331712e-26,2.605842000984713e-26,9.680888692080867e-36,2.9843841889479027e-33,4.088604174115458e-28,8.422767839630779e-38,6.423005184924177e-41,5.868989694023423e-20,2.6001836451126503e-37,6.239585950340734e-49,1.4909192730182761e-33,2.408461307547673e-32,8.297174579443852e-10,4.107776990544543e-54,2.8964469246673874e-42,1.1091230020826093e-41,1.0320311702994448e-33,1.6472659406483862e-24,1.1772581169907217e-50,1.779736588881785e-58,2.8613110234227556e-50,3.0101859527044363e-52,6.858670658394722e-44,2.985845791027215e-52,8.820881042418105e-57,2.0278178486767375e-40,9.851729947306805e-50,1.1907564697819732e-34
