Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48)
6.619069468486747e-14,0.0794819594812093,3.76,0.0,0.9273709575738057,0.9999999999482388,7.802010761166706e-25,7.132227878992345e-19,3.5807853496791575e-09,3.580782272424799e-09,5.17582792524751e-11,4.622086012738786e-20,5.7413720912965625e-19,3.0767817367285922e-15,3.076630849017599e-15,3.1630528588088092e-21,3.174177573295122e-21,5.175828333060898e-11,3.52996866171101e-18,5.2470120248216176e-21,4.0710846189489076e-17,7.097985594004742e-19
8.825426035913648e-14,0.07948195949789,3.76,0.0,0.9273709563629579,0.999999999930984,1.63291498737174e-24,1.2134997897565646e-18,4.774380504293492e-09,4.774375270690535e-09,6.9011038010385e-11,7.863140935806384e-20,9.763795213563013e-19,5.23279460588385e-15,5.232541346607356e-15,6.618162943004323e-21,6.6370100261650196e-21,6.90110449461998e-11,6.003534054289566e-18,1.0978494608373634e-20,5.428284406530198e-17,1.2071815273079895e-18
1.1031782603340549e-13,0.07948195951457068,3.76,0.0,0.92737095515211,0.9999999999137283,2.973535804349135e-24,1.854727004181774e-18,5.967975656708402e-09,5.967967660946825e-09,8.626379591088064e-11,1.20165164298795e-19,1.4915661033403072e-18,7.99452061234302e-15,7.994137825993313e-15,1.2048109582608482e-20,1.2076767704918154e-20,8.626380650608292e-11,9.172015170995595e-18,1.998591475133624e-20,6.785603610772715e-17,1.844300727518442e-18
1.544449573819435e-13,0.07948195954793207,3.76,0.0,0.9273709527304141,0.9999999998792155,7.857330531893517e-24,3.570025404694811e-18,8.3551659548018e-09,8.355150579241255e-09,1.2076930909054828e-10,2.3122561676038827e-19,2.867688148531394e-18,1.5373151785711254e-14,1.5372429875153355e-14,3.181053923401847e-20,3.1864802632784876e-20,1.207693294553083e-10,1.763733332847167e-17,5.2768620438261396e-20,9.500721789247392e-17,3.5465254096206316e-18
1.9857208873048152e-13,0.07948195958129345,3.76,0.0,0.9273709503087183,0.9999999998447,1.6302053993481744e-23,5.8603359600525e-18,1.0742356243962175e-08,1.0742331028091078e-08,1.552748187984431e-10,3.7945217152607624e-19,4.702139362911302e-18,2.5211888057729764e-14,2.521072364033569e-14,6.595116901481874e-20,6.603845959768603e-20,1.552748521784569e-10,2.8924979422502357e-17,1.0940241276508618e-19,1.2216578963099729e-16,5.816293366867411e-18
2.8682635142755754e-13,0.0794819596480162,3.76,0.0,0.9273709454653267,0.9999999997756618,4.906683052429698e-23,1.2174058184544869e-17,1.5516736795487612e-08,1.5516684518511074e-08,2.242858278352003e-10,7.877538139929575e-19,9.744537052324982e-18,5.2268583174256986e-14,5.2266246251029766e-14,1.9816388171797014e-19,1.9833395939793672e-19,2.242858969472144e-10,5.996576083738855e-17,3.2872164780532235e-19,1.765134107388746e-16,1.2058221065175075e-17
4.633348768217096e-13,0.07948195978146173,3.76,0.0,0.9273709357785437,0.9999999996375559,2.1175503779931148e-22,3.1787223692026484e-17,2.5065497791358073e-08,2.5065361870548162e-08,3.623078046166569e-10,2.0540945338295728e-18,2.5314938627747156e-17,1.3589827587004511e-13,1.3589258925209046e-13,8.519673730936883e-19,8.523118979048353e-19,3.6230798377841526e-10,1.5590705821202392e-16,1.4132715260385513e-18,2.8538395763113047e-16,3.135159825611803e-17
8.163519276100137e-13,0.0794819600483528,3.76,0.0,0.9273709164049779,0.9999999993612259,1.201901423890631e-21,9.938763748352241e-17,4.416301935438111e-08,4.4162598061069336e-08,6.383515948217174e-10,6.40462543454999e-18,7.833083042565396e-17,4.2121900911469845e-13,4.2120377875993516e-13,4.79749555775343e-18,4.797436890758105e-18,6.383521466465618e-10,4.832116495731165e-16,7.958201788461422e-18,5.042578870429703e-16,9.717627875406203e-17
1e-12,0.07948196058213486,3.76,0.0,0.9273709063263771,0.99999999921741,2.3663888634283228e-21,1.4996842011314135e-16,5.4098015227382746e-08,5.409738321824037e-08,7.819562170910827e-10,9.646080951365305e-18,1.1737419277572913e-16,6.318932037945429e-13,6.318727433284332e-13,9.376596889849999e-18,9.374428243911658e-18,7.819570413518986e-10,7.248664713922251e-16,1.5554051567574026e-17,6.191724141753847e-16,1.4578081934123478e-16
1.522386029186622e-12,0.07948196058213486,3.76,0.0,0.9273708776578481,0.9999999988080929,8.1089144612479e-21,3.5152529571650597e-16,8.235806076556421e-08,8.235659639376029e-08,1.1904385362329744e-09,2.252702167925279e-17,2.7133049156941015e-16,1.4640824044919332e-12,1.4640460744669035e-12,3.1856661866286457e-17,3.1841380351706234e-17,1.1904404294523882e-09,1.6793821657229347e-15,5.2844052164660033e-17,9.499791799810416e-16,3.377777553674402e-16
2.9344542323398384e-12,0.07948196164969885,3.76,0.0,0.9273708001635952,0.999999997699935,6.081463352826718e-20,1.3510713792573257e-15,1.5874813672861986e-07,1.5874269691020344e-07,2.294609978595746e-09,8.564246594831686e-17,1.0009919147313459e-15,5.438511588923425e-12,5.438499926747499e-12,2.315789556756297e-16,2.3130259577362175e-16,2.2946168253143145e-09,6.2369586755129005e-15,3.841368143887611e-16,1.9008503113240873e-15,1.2547930555408443e-15
4.346522435493055e-12,0.0794819627172627,3.76,0.0,0.927370722669351,0.9999999965892549,1.917979324294474e-19,3.0469070297689744e-15,2.3513820354621604e-07,2.3512626928494951e-07,3.3987783179373748e-09,1.9144758853430765e-16,2.183439800797431e-15,1.193096982423045e-11,1.1931169775939773e-11,7.154248195491873e-16,7.14246353804632e-16,3.3987929974175406e-09,1.3680199655894053e-14,1.186710338209692e-15,2.9669015362871527e-15,2.7528968747390614e-15
5.758590638646271e-12,0.0794819637848264,3.76,0.0,0.9273706451751155,0.9999999954760523,4.397843439321973e-19,5.489225713939096e-15,3.115282612188968e-07,3.1150731359748577e-07,4.502943765250251e-09,3.42054174556834e-16,3.81117310201021e-15,2.0941120619950415e-11,2.0941855743197946e-11,1.6091115001757367e-15,1.6057824551760588e-15,4.502968949358411e-09,2.4007267342578562e-14,2.669076610456947e-15,4.198343750244034e-15,4.832096809498647e-15
7.1706588417994875e-12,0.0794819648523899,3.76,0.0,0.9273705676808884,0.9999999943603275,8.474003963781581e-19,8.729912683939192e-15,3.879183097474263e-07,3.8788582992989026e-07,5.607106538844737e-09,5.39611178929901e-16,5.8765574841853645e-15,3.246861614578297e-11,3.247035120825614e-11,3.0426007241352736e-15,3.035042321030144e-15,5.607144684854487e-09,3.7216263536006084e-14,5.046776380002035e-15,5.647078170343549e-15,7.492400832717597e-15
9.994795248105921e-12,0.07948196698751642,3.76,0.0,0.9273704126924583,0.9999999921213111,2.3145620172443188e-18,1.7798742539350316e-14,5.406983793760325e-07,5.406352789584893e-07,7.815424875399919e-09,1.0833502395385835e-15,1.129265510251045e-14,6.307435150210598e-11,6.308000421039756e-11,8.010827599774314e-15,7.984327618280232e-15,7.815495520294127e-09,7.227301259829304e-14,1.3287242621311176e-14,9.388822101767044e-15,1.4556351303118428e-14
1e-11,0.07948196912264231,3.76,0.0,0.9273704124068219,0.9999999921171755,2.3182524696412527e-18,1.781883603635723e-14,5.409799458965684e-07,5.409167797460535e-07,7.819494695213818e-09,1.0845430489703055e-15,1.1304191174939155e-14,6.314004934890818e-11,6.314571216892481e-11,8.023059154297676e-15,7.996506391852654e-15,7.819565407286145e-09,7.234824687237124e-14,1.33075299504813e-14,9.396952387749715e-15,1.457151574592146e-14
1.2818931654412354e-11,0.07948196912264231,3.76,0.0,0.9273702577040591,0.9999999898722058,4.982889874506914e-18,3.0669427826349285e-14,6.934784124418787e-07,6.933746170287144e-07,1.0023735081875167e-08,1.8392865029582057e-15,1.8372659359237915e-14,1.0374538548942635e-10,1.0375847053051547e-10,1.6662309249712395e-14,1.6593930426225458e-14,1.002384553354497e-08,1.1883525256918402e-13,2.763639443194982e-14,1.4608255124120835e-14,2.3944814095596305e-14
1.5643068060718787e-11,0.07948197125776756,3.76,0.0,0.9273701027156889,0.999999987613012,9.30652897283964e-18,4.777985582998791e-14,8.462584089587445e-07,8.461038448332029e-07,1.223203900819333e-08,2.824367592709391e-15,2.705631702508865e-14,1.5447877961221637e-10,1.545040031995249e-10,3.009412350311768e-14,2.994658950393968e-14,1.223219475598158e-08,1.7688701466297136e-13,4.9913327324882335e-14,2.1743325404568327e-14,3.565786015662419e-14
1.846720446702522e-11,0.0794819733928922,3.76,0.0,0.927369947727346,0.9999999853437296,1.5793057039099975e-17,6.956407777185577e-14,9.990383689447297e-07,9.98822963058671e-07,1.44403384926076e-08,4.054697633077355e-15,3.7286345250287005e-14,2.1527161919640781e-10,2.1531486849782833e-10,4.939389657687491e-14,4.911127533041689e-14,1.4440543218703785e-08,2.4641250084885855e-13,8.192122076380593e-14,3.122809965811694e-14,4.969556199967376e-14
2.2529366110818315e-11,0.07948197646399689,3.76,0.0,0.9273697247963376,0.9999999820619642,3.0068718409819275e-17,1.0993382405373893e-13,1.2187928791111155e-06,1.2184722968079178e-06,1.7616692696475616e-08,6.283649352172937e-15,5.4608783087120005e-14,3.203494520639214e-10,3.204312373949883e-10,8.954912658759087e-14,8.892488281360813e-14,1.76169708192892e-08,3.665064521488328e-13,1.4851372702917433e-13,4.9830919961032334e-14,7.396378154978741e-14
2.659152775461141e-11,0.07948197953510039,3.76,0.0,0.9273695018653767,0.9999999787593279,5.1800773531030536e-17,1.6208951040201684e-13,1.4385473138252922e-06,1.4381007180272483e-06,2.0793046712688513e-08,9.092867097197804e-15,7.487110395265584e-14,4.4622521566936386e-10,4.463634737409669e-10,1.4714888262885169e-13,1.4593743346021045e-13,2.079339699971895e-08,5.102618332310487e-13,2.4403049176169404e-13,7.541101079135911e-14,1.0304189380931122e-13
3.06536893984045e-11,0.07948198260620272,3.76,0.0,0.9273692789344576,0.9999999754358214,8.29724630841852e-17,2.272797895219886e-13,1.6583016731793771e-06,1.6577082286938477e-06,2.3969405870335516e-08,1.2522993740108636e-14,9.79284968261428e-14,5.928905090421504e-10,5.931065726463661e-10,2.2532343331935452e-13,2.2318547380521318e-13,2.396982184946012e-08,6.776334774901531e-13,3.736589756130161e-13,1.0921666086082252e-13,1.369301273823783e-13
3.877801268599069e-11,0.07948198874840418,3.76,0.0,0.9273688330727252,0.9999999687262008,1.8280329642576904e-16,4.0177504035193603e-13,2.0978101662686122e-06,2.096860526307323e-06,3.032216108952878e-08,2.1397267535187206e-14,1.5188886121209394e-13,9.48555937363383e-10,9.490052362590508e-10,4.559622177227585e-13,4.5048553528296676e-13,3.032266791591529e-08,1.0830449461258294e-12,7.560690942558896e-13,2.0651314762652519e-13,2.1913792244118857e-13
4.690233597357688e-11,0.07948199489060159,3.76,0.0,0.9273683872110972,0.9999999619331077,3.4918018514752005e-16,6.434318566964079e-13,2.5373183593984194e-06,2.5359292055142715e-06,3.6675001372269134e-08,3.319692384027603e-14,2.154532603505485e-13,1.3872782713972885e-09,1.3880869853134634e-09,8.065757356607337e-13,7.949028208988693e-13,3.667550973605011e-08,1.5823806772715528e-12,1.3373408512451285e-12,3.517268397996802e-13,3.205891430947881e-13
5.5026659261163066e-11,0.07948200103279532,3.76,0.0,0.927367941349531,0.9999999550565477,6.048837287049142e-16,9.62253976275964e-13,2.9768262538259417e-06,2.974914282177209e-06,4.302796994372325e-08,4.8184206271516984e-14,2.87684226862224e-13,1.908990021200331e-09,1.910311521951801e-09,1.3022616272630346e-12,1.280264906241095e-12,4.302834802665362e-08,2.175282493564467e-12,2.1590366258252554e-12,5.548531781479522e-13,4.412858872351254e-13
6.315098254874925e-11,0.07948200717498571,3.76,0.0,0.9273674954879835,0.999999948096526,9.763160487527835e-16,1.3682379200476792e-12,3.4163338510780332e-06,3.4138157721588393e-06,4.9381110274502546e-08,6.659183318820953e-14,3.6774806341334686e-13,2.513623658476635e-09,2.5156384818808495e-09,1.968109506968171e-12,1.930121597405853e-12,4.9381183504004316e-08,2.8613944142427273e-12,3.2626900739883324e-12,8.258775531874844e-13,5.812303930149149e-13
7.127530583633543e-11,0.07948201331717317,3.76,0.0,0.927367049626411,0.9999999410530486,1.4933503574390664e-15,1.8713719156894297e-12,3.855841152937087e-06,3.852633691319894e-06,5.573446606172692e-08,8.862750738773397e-14,4.548989959097406e-13,3.2011116357710434e-09,3.20402745098604e-09,2.8291978500841528e-12,2.767755997603943e-12,5.5734016883792734e-08,3.640362610615986e-12,4.6898016043634825e-12,1.1747743459099834e-12,7.404250338666939e-13
8.752395241150781e-11,0.07948202560154052,3.76,0.0,0.927366157903018,0.9999999267157479,3.099293978420171e-15,3.208997367354621e-12,4.734854878727856e-06,4.730018880601185e-06,6.844199975078795e-08,1.4432463546541152e-13,6.477924959721306e-13,4.824380449647668e-09,4.829829628899104e-09,5.237338822858153e-12,5.098297007280558e-12,6.843968021020515e-08,5.475462448353073e-12,8.680216496140353e-12,2.146024912744409e-12,1.1165748288662316e-12
9.999999999999999e-11,0.07948203665746449,3.76,0.0,0.9273654732189112,0.9999999154807528,5.00639626236133e-15,4.576806019141878e-12,5.409779049984382e-06,5.403466661966013e-06,7.820003287910971e-08,1.982658228138039e-13,8.103555456046649e-13,6.295166077547098e-09,6.303333295136147e-09,7.809890026445001e-12,7.573678188647166e-12,7.819535165723594e-08,7.133868069330733e-12,1.2942253206396174e-11,3.1800450735845118e-12,1.4576697518406712e-12
1.0214773432916294e-10,0.07948203665746449,3.76,0.0,0.9273653553514408,0.9999999135268134,5.4064088708743265e-15,4.845136668505037e-12,5.52596624419686e-06,5.519379897786493e-06,7.987995927905669e-08,2.08572590382109e-13,8.394571521481876e-13,6.568006636948638e-09,6.576717638309992e-09,8.323705713472381e-12,8.066669113032577e-12,7.987477719743309e-08,7.441111709572329e-12,1.3793428606821833e-11,3.386308228695812e-12,1.5209714461708175e-12
1.1677151624681808e-10,0.07948204771338428,3.76,0.0,0.9273645527991008,0.9999999000675676,8.793035888025692e-15,6.950985649577876e-12,6.317076690581228e-06,6.308470392017739e-06,9.13193053205499e-08,2.870122241701345e-13,1.0452744494442273e-12,8.57903054535582e-09,8.59209679034844e-09,1.243208400779393e-11,1.199468155007145e-11,9.130987849104743e-08,9.70220283777107e-12,2.059847465872936e-11,5.033514339421305e-12,1.9877810779450906e-12
1.3139529816447323e-10,0.07948205876930194,3.76,0.0,0.9273637502457382,0.9999998863380426,1.3547263816377022e-14,9.584488722277291e-12,7.108186236348141e-06,7.097290455675988e-06,1.0276029969090109e-07,3.802903235409532e-13,1.262879386679123e-12,1.0857058489637981e-08,1.0875730540888877e-08,1.770827841910359e-11,1.700959528390498e-11,1.0274498824316724e-07,1.2256743744381414e-11,2.9336149485655443e-11,7.145417856651501e-12,2.5170221041163582e-12
1.4601908008212835e-10,0.07948206982521945,3.76,0.0,0.9273629476910912,0.9999998723382711,1.9990792548547486e-14,1.2803501551644268e-11,7.899294902259078e-06,7.885840181110445e-06,1.142032061836863e-07,4.889420190850823e-13,1.4902994693880962e-12,1.3401696984161287e-08,1.3427382225686183e-08,2.4297964518623613e-11,2.32362475804562e-11,1.141801105996127e-07,1.510276322815733e-11,4.024689090918529e-11,9.779678390807787e-12,3.108714274015186e-12
1.6064286199978347e-10,0.07948208088113885,3.76,0.0,0.9273621451348959,0.9999998580682852,2.847890241765701e-14,1.6665791388471435e-11,8.690402711328626e-06,8.674119660638982e-06,1.256482905306148e-07,6.134084674535318e-13,1.725892567920779e-12,1.6212552785100152e-08,1.6246815103605206e-08,3.234668944872791e-11,3.079709389822738e-11,1.2561524969992853e-07,1.8238310886244937e-11,5.3570781109541526e-11,1.2993840920692476e-11,3.762878718310085e-12
