Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56),CH2F(45),C2H2F3O2(908),C2HF3O(401),CH3-CF2(64),CHF2-CH2(63),CFO(50),FC1(F)CO1(1321),CH2O(19),CHF2-CHF(66),HCO(14),[O]O[C](F)F(171),C2H3F2O2(1300),O[C](F)F(239),H2O2(11),CF2CH(72)
1.9667031352872718e-19,0.08248621053509891,3.76,0.0,0.9018541955745701,0.9999999999996712,1.1763630078304295e-44,7.1094105730632e-33,4.936233049366767e-18,4.936233049361234e-18,2.902072322805654e-19,9.354911813572861e-35,1.2327817048943808e-33,5.811297015382177e-30,5.5148856084104244e-30,8.172662426355215e-42,8.736603633283512e-26,2.9020723228044176e-19,1.6529327680448104e-31,9.033447571005705e-22,3.511195754857167e-28,7.110344636081974e-33,1.7735489322526017e-32,1.8148871280788292e-40,1.768176009136418e-38,5.5008941091770126e-34,6.284370273663595e-47,1.6751360209770897e-45,9.033447571005683e-22,6.319420473040908e-42,2.1606773883448695e-57,2.1251642301319433e-38,3.607421761977655e-37,3.2879136421254057e-13,2.0636503405250363e-61,1.2290485402987864e-50,3.8701769972001175e-50,1.751688964950809e-38,8.736603634390688e-26,6.836518728497671e-63,4.609046088759122e-65,2.1468352241308072e-57,2.659815196523628e-59,1.4119793927681072e-44,1.7955697077208338e-59,3.688297097965899e-68,1.5726977158809185e-46,4.519387317816493e-57,2.4590396188457446e-39,4.977242489168974e-69,3.113029685773484e-49,7.612104282020036e-35,5.434612346966738e-54
3.935114961395818e-19,0.08248621053509893,3.76,0.0,0.9018541955745701,0.9999999999993421,9.4180568554318e-44,2.845616995768404e-32,9.876754746039675e-18,9.876754746017525e-18,5.806665994279731e-19,3.744402734313119e-34,4.934339534457541e-33,2.2667039453210043e-29,2.207391464026293e-29,6.54309926970151e-41,1.7480797710585957e-25,5.806665994280716e-19,6.616038739267896e-31,1.8074743489162585e-21,7.0258081195138035e-28,2.8459908637647774e-32,7.098817730911028e-32,7.264278262192687e-40,7.077312036208067e-38,2.2017912176076932e-33,5.031317385217124e-46,6.704911702107092e-45,1.80747434891625e-21,2.529415085238303e-41,1.7298561977014447e-56,8.506195622207243e-38,1.4439088222999934e-36,6.578683844342765e-13,1.6521752167910873e-60,9.842356344630164e-50,3.0992804490164483e-49,7.01132089303642e-38,1.7480797715017546e-25,1.0950311162605143e-61,3.690042084376718e-64,1.7187735470315038e-56,2.1294694387397945e-58,1.1304420566458524e-43,1.4375475527230162e-58,5.908142617689509e-67,6.328976024541491e-46,3.6182578351978435e-56,9.84256688690294e-39,7.970078675042075e-68,2.492316603420082e-48,3.0468254844352445e-34,4.352097542065132e-53
7.87193861361291e-19,0.08248621053509891,3.76,0.0,0.9018541955745701,0.9999999999986839,7.5373078274363e-43,1.1386174576273664e-31,1.975779813938549e-17,1.975779813929686e-17,1.161585333721368e-18,1.4982488635846585e-33,1.9743785356994796e-32,8.951109627038922e-29,8.83244111659041e-29,5.236467997178813e-40,3.4969185858495985e-25,1.1615853337229485e-18,2.647277274641106e-30,3.6157335325476344e-21,1.4056131472009285e-27,1.1387670530163263e-31,2.840451756187184e-31,2.906657534960121e-39,2.8318466770623624e-37,8.810032832773692e-33,4.026583028433416e-45,2.682839706770483e-44,3.615733532547602e-21,1.0120955116833556e-40,1.3844115013565634e-55,3.4035865233537114e-37,5.777516037653734e-36,1.3160224214941027e-12,1.32224255389308e-59,7.877874233193816e-49,2.480680513323697e-48,2.8054416240876204e-37,3.496918587622808e-25,1.7530008236856176e-60,2.953159493921481e-63,1.375541207998936e-55,1.704222740246871e-57,9.046972073545658e-43,1.1504749474996176e-57,9.458525601478817e-66,2.5596929498747034e-45,2.8957059305429065e-55,3.93830878392036e-38,1.275732102703954e-66,1.9946107478010767e-47,1.2191270611714305e-33,3.4834419610821886e-52
1.5745585918047097e-18,0.08248621053509891,3.76,0.0,0.9018541955745701,0.9999999999973677,6.030991447893088e-42,4.555211258004883e-31,3.951988492607712e-17,3.951988492572254e-17,2.3234228023024737e-18,5.993971365995825e-33,7.898799736309631e-32,3.5572949766824934e-28,3.5335515806248833e-28,4.1899700002758746e-39,6.994596212753668e-25,2.3234228023111708e-18,1.0590832901844606e-29,7.232251899810388e-21,2.8121172669731835e-27,4.555809732905518e-31,1.1363656615801481e-30,1.1628522953749768e-38,1.1329230696033747e-36,3.524586805171085e-32,3.2218782018020175e-44,1.073311915543661e-43,7.232251899810257e-21,4.049041131886111e-40,1.1077408291725825e-54,1.3616564705692774e-36,2.3113826004016983e-35,2.632330482079172e-12,1.0579953391579149e-58,6.303895439253401e-48,1.9850469950354633e-47,1.1223593290503894e-36,6.994596219847641e-25,2.8055623645250673e-59,2.3629832403174496e-62,1.1006419592097003e-54,1.3636371232495966e-56,7.238952172109146e-42,9.205547638070226e-57,1.5138040344294627e-64,1.0458699316009581e-44,2.3170047033498692e-54,1.5755799411934976e-37,2.0415870797372266e-65,1.5959916480227838e-46,4.8773020925498235e-33,2.787459312161956e-51
3.149288052691547e-18,0.08248621053509891,3.76,0.0,0.9018541955745701,0.999999999994735,4.825251288056644e-41,1.8222328018618038e-30,7.904405849946037e-17,7.904405849804196e-17,4.6470977394419516e-18,2.3977839290082062e-32,3.15977700478474e-31,1.4182874514972416e-27,1.4135356672173237e-27,3.352294275183601e-38,1.3989951455850182e-24,4.647097739481489e-18,4.236677945851966e-29,1.4465288634335895e-20,5.6268833036125446e-27,1.8224722080524827e-30,4.545832590843506e-30,4.651787838564578e-38,4.532061102216457e-36,1.4099494629569482e-31,2.577747299579296e-43,4.293607774864707e-43,1.4465288634335368e-20,1.6197483080570192e-39,8.862788689467645e-54,5.4470710344273804e-36,9.246282682383548e-35,5.2649465491109785e-12,8.464772798232999e-58,5.043754850371751e-47,1.5882386543347363e-46,4.489802701217689e-36,1.3989951484228217e-24,4.4895087062339054e-58,1.8905772194859292e-61,8.805971734318496e-54,1.0910132821243784e-55,5.791711556008659e-41,7.365137509660554e-56,2.4224384666255608e-63,4.358443016173796e-44,1.853779764976086e-53,6.302832538682203e-37,3.266871941149249e-64,1.2769145496861648e-45,1.9510796178977322e-32,2.230249781497918e-50
6.2987469744652216e-18,0.08248621053509891,3.76,0.0,0.90185419557457,0.9999999999894698,3.860384302412196e-40,7.289227836129474e-30,1.5809240564622692e-16,1.58092405640553e-16,9.294447613629971e-18,9.591527986207757e-32,1.2639622043944604e-30,5.663887963122431e-27,5.654372746817328e-27,2.681962736852774e-37,2.798066189919758e-24,9.294447613797616e-18,1.694740137742906e-28,2.89313621033869e-20,1.1263446565288376e-26,7.290185473835064e-30,1.8184070278505368e-29,1.8607909233938448e-37,1.8128982082585814e-35,5.64002732821613e-31,2.0622957407422363e-42,1.7175215526811575e-42,2.89313621033848e-20,6.479257183300277e-39,7.090600518147853e-53,2.1789185658592485e-35,3.698663419675933e-34,1.0530178466621276e-11,6.772149993657386e-57,4.0352592953791796e-46,1.2706713517155931e-45,1.7959941602246198e-35,2.7980662012712998e-24,7.183701099738713e-57,1.5125513902931622e-60,7.045111829713924e-53,8.728520613843706e-55,4.633589110719185e-40,5.892389944393418e-55,3.8761831895668874e-62,1.8831520773271335e-43,1.4830942165456642e-52,2.5212354796114727e-36,5.227261212486667e-63,1.0215801322935921e-44,7.804636044635827e-32,1.7843127647706124e-49
1.259766481801257e-17,0.08248621053509893,3.76,0.0,0.9018541955745698,0.9999999999789393,3.0883807691259013e-39,2.9157504778859346e-29,3.1618909993975985e-16,3.1618909991706363e-16,1.8589147361642262e-17,3.8366908427549205e-31,5.055951453147629e-30,2.2637027400914553e-26,2.2617951149928e-26,2.1456211173979883e-36,5.596208261451692e-24,1.8589147362331837e-17,6.779098471623049e-28,5.786350904148892e-20,2.2564697842370167e-26,2.916133519941388e-29,7.273776096855491e-29,7.443315703080859e-37,7.251740370284104e-35,2.2560568165333424e-30,1.6498757550230504e-41,6.870294440355237e-42,5.786350904148052e-20,2.591755849337264e-38,5.6726678066018145e-52,8.715863518780893e-35,1.4794953459176236e-33,2.1060641435428687e-11,5.417865026649281e-56,3.228309605300608e-45,1.0165692536791383e-44,7.184122804034068e-35,5.596208306857706e-24,1.1494311498636883e-55,1.2100983348450458e-59,5.6362232444722366e-52,6.98298223923191e-54,3.706959120227059e-39,4.714024192438528e-54,6.202118461061037e-61,8.650415737888655e-43,1.1865035356322431e-51,1.0085146096009723e-35,8.36383082936028e-62,8.172834992865641e-44,3.1219179335796882e-31,1.4274953889782183e-48
2.5195500505107266e-17,0.08248621053509891,3.76,0.0,0.9018541955745695,0.9999999999578784,2.4707339728936857e-38,1.1663120732601215e-28,6.323824885268257e-16,6.323824884360402e-16,3.717854685621187e-17,1.5346932211729358e-30,2.0224009715781138e-29,9.051105992404931e-26,9.047272492178679e-26,1.716517265154209e-35,1.1192492335971004e-23,3.7178546859008154e-17,2.711666972538538e-27,1.1572780291769292e-19,4.527969941258771e-26,1.1664652749845656e-28,2.909540035930391e-28,2.9773570281018857e-36,2.900725655729677e-34,9.024318950661124e-30,1.3199162707224882e-40,2.748200495654448e-41,1.1572780291765927e-19,1.036713082923415e-37,4.538272501807471e-51,3.486390417303294e-34,5.9180406056361914e-33,4.212156390819129e-11,4.334369756713175e-55,2.582688552217433e-44,8.132682721034644e-44,2.873678355347745e-34,1.1192492517588327e-23,1.839121016058598e-54,9.681357586089371e-59,4.509032108932763e-51,5.586452093119819e-53,2.965602242011824e-38,3.7712646641496775e-53,9.923569936762774e-60,4.3543339285774496e-42,9.49214093322888e-51,4.034098670789269e-35,1.338229963289573e-60,6.538345503788209e-43,1.2487798766785441e-30,1.1420143822495478e-47
5.0391171879296657e-17,0.08248621053509893,3.76,0.0,0.9018541955745688,0.9999999999157565,1.9765989635472387e-37,4.665272163864092e-28,1.264769265700957e-15,1.2647692653378129e-15,7.435734583953114e-17,6.138814287191525e-30,8.089643571309882e-29,3.6197013947558843e-25,3.618927402480117e-25,1.3732219603481211e-34,2.238506021087648e-23,7.43573458507923e-17,1.0846723054286316e-26,2.314563906701009e-19,9.115969862630621e-26,4.665884840627246e-28,1.1638219337034027e-27,1.1909492364007086e-35,1.1602961637640866e-33,3.6097458478251963e-29,1.0559392857385501e-39,1.0993296008590396e-40,2.314563906699664e-19,4.146875001294217e-37,3.6307745825571334e-50,1.3945708956331586e-33,2.3672274989697914e-32,8.424339499431225e-11,3.467558454893675e-54,2.0661671886965343e-43,6.50619765451895e-43,1.14947718958938e-33,2.2385060937280795e-23,2.9426185560482274e-53,7.745861656561009e-58,3.6072470932071735e-50,4.469188197904699e-52,2.372495472354917e-37,3.0170305192493775e-52,1.5877856569193262e-58,2.457052015862283e-41,7.593757801486685e-50,1.6136470320354969e-34,2.141181563205814e-59,5.230707302480689e-42,4.9951449132287825e-30,9.13618734164031e-47
1.0078251462767545e-16,0.08248621053509896,3.76,0.0,0.9018541955745675,0.9999999998315128,1.5812839523332568e-36,1.8661137249261253e-27,2.529542820049218e-15,2.5295428185966373e-15,1.4871494378288998e-16,2.4555401027619674e-29,3.2358644888832143e-28,1.4477323559202882e-24,1.4475746413901539e-24,1.0985808270609234e-33,4.477019486451536e-23,1.487149438280865e-16,4.338700251451916e-26,4.629135661749172e-19,1.8471968141941773e-25,1.866358689653134e-27,4.655299572440548e-27,4.763812002022391e-35,4.6411964574089954e-33,1.4439019371091916e-28,8.447539401628048e-39,4.397680078014568e-40,4.629135661743784e-19,1.6587554809509227e-36,2.9048443438877967e-49,5.578358853714949e-33,9.468927807517174e-32,1.684870017289737e-10,2.7741223121172595e-53,1.652940289122547e-42,5.204978715822815e-42,4.597920458703612e-33,4.477019776959063e-23,4.708209599205012e-52,6.197875119143884e-57,2.8858062379404286e-49,3.575361171783661e-51,1.8980013699122324e-36,2.4136329925633986e-51,2.5404687366326342e-57,1.5550724290040826e-40,6.07502425574597e-49,6.454599393272611e-34,3.4259013902865326e-58,4.184578034517469e-41,1.9980630465323e-29,7.308978784999379e-46
2.01565200124433e-16,0.08248621053509898,3.76,0.0,0.9018541955745648,0.9999999996630257,1.265029182286943e-35,7.464465300117674e-27,5.0590899287457356e-15,5.0590899229354034e-15,2.9743013957648874e-16,9.822238045746823e-29,1.2943465063009688e-27,5.790633012740514e-24,5.7903059205105094e-24,8.788659643345176e-33,8.95404597899891e-23,2.9743013975757886e-16,1.7354823040398229e-25,9.25827917184553e-19,3.7903958504866567e-25,7.46544430745857e-27,1.862122195654722e-26,1.9055295769537145e-34,1.8564809429423192e-32,5.7756145000735785e-28,6.758041629996951e-38,1.7593546616108102e-39,9.258279171823942e-19,6.635040456709495e-36,2.3242246188358952e-48,2.2313952466278752e-32,3.787570923871013e-31,3.3697399344826634e-10,2.219408850366309e-52,1.3223548455633001e-41,4.16399121124121e-41,1.8391705278888726e-32,8.954047140590997e-23,7.533151174883294e-51,4.96017530573366e-56,2.3086484171826968e-48,2.8602931893155584e-50,1.518402325563852e-35,1.930911524067573e-50,4.064759685076949e-56,1.0798296424968051e-39,4.860026598487505e-48,2.5818389204704914e-33,5.481450908795617e-57,3.3476670369737593e-40,7.992262348034546e-29,5.84719458968724e-45
3.023478856211906e-16,0.08248621053509901,3.76,0.0,0.9018541955745621,0.9999999994945388,3.617194432375967e-35,1.5861996029621952e-26,7.588637037442245e-15,7.588637025095286e-15,4.461453352769686e-16,2.0872359334809366e-28,2.7504859810755567e-27,1.2304909887872985e-23,1.2304404671161311e-23,2.513008322400887e-32,1.3431072033654306e-22,4.461453356619752e-16,3.687901270390086e-25,1.3887422681941939e-18,5.805594273006583e-25,1.58640751684299e-26,3.9570111439264717e-26,4.049255836333919e-34,3.9450234781849174e-32,1.227318453237824e-27,1.932378278471319e-37,3.7391032188113873e-39,1.3887422681896017e-18,1.409948328062001e-35,6.64647103707655e-48,4.7417884469089385e-32,8.04858385700391e-31,5.054607634178208e-10,6.3463297345867806e-52,3.925743151894502e-41,1.2361855626170695e-40,3.9082388433592836e-32,1.3431074501392897e-22,2.849945515316654e-50,1.4186567504476971e-55,6.60129408791066e-48,8.178653971471031e-50,4.341681623623447e-35,5.521206561254544e-50,1.5496806222277607e-55,3.06717639973569e-39,1.3896643823495882e-47,5.4864037068017345e-33,2.0176899165676543e-56,9.572238494634347e-40,1.6983563840108424e-28,1.7358868655542504e-44
4.031305711179482e-16,0.08248621053509905,3.76,0.0,0.9018541955745595,0.9999999993260521,7.629712721088355e-35,2.705870650963956e-26,1.011818414613875e-14,1.0118184125076287e-14,5.948605308843297e-16,3.5605946721073956e-28,4.692004259512598e-27,2.0990562975699117e-23,2.0989870888036942e-23,5.300663477215309e-32,1.790809765070614e-22,5.948605315412755e-16,6.291126921961639e-25,1.8516566192038427e-18,7.892792087551155e-25,2.70622513091084e-26,6.750196801257147e-26,6.907562037344436e-34,6.729747251037443e-32,2.0936611645052482e-27,4.0759463253529616e-37,6.379259024415543e-39,1.851656619196001e-18,2.4052092786718887e-35,1.4020626702197435e-47,8.089047555524925e-32,1.3729928288761816e-30,6.739473116379285e-10,1.338672544372502e-51,8.553990333534722e-41,2.693584064164038e-40,6.666996997537829e-32,1.7908101859364768e-22,7.4183940879254865e-50,2.9931863010413503e-55,1.3924044028638115e-47,1.725115358203727e-49,9.157862687251293e-35,1.1645836169257814e-49,4.169489024053192e-55,6.518122916833466e-39,2.931205266504914e-47,9.359151594620748e-33,5.117974749645562e-56,2.0190626408247163e-39,2.897196752224216e-28,3.782407272458219e-44
